label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92
0.03	south29_all	80	9661	3755	1886	1243	1184	844	634	498	529	344	312	349	179	178	216	268	100	103	68	86	76	126	55	31	39	26	66	48	42	20	18	26	15	14	14	13	17	10	7	3	6	9	15	7	4	4	4	1	8	5	8	2	2	2	0	3	0	2	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	4832	1827	801	497	543	389	289	223	248	155	127	162	74	90	111	140	54	44	30	36	39	73	20	15	20	5	42	28	20	4	4	8	8	8	4	4	10	5	4	2	5	2	7	3	1	3	0	0	6	4	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	9537	3668	1903	1255	1145	772	636	526	553	333	319	339	169	177	199	259	89	99	75	84	70	129	62	36	42	32	58	52	34	19	12	22	20	14	16	12	12	15	9	5	7	8	15	5	4	3	5	2	7	9	2	4	2	3	0	5	0	3	0	0	1	0	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	4737	1734	806	517	519	366	296	239	265	150	149	170	69	88	96	150	45	39	31	41	34	68	27	20	18	15	34	27	16	8	5	11	9	6	3	3	5	6	7	3	5	3	10	2	2	1	1	1	6	4	0	3	0	0	0	3	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	9756	3833	2035	1228	1208	868	598	566	507	418	291	319	192	190	191	259	110	91	75	86	75	128	36	36	24	32	49	65	25	21	27	37	13	18	22	10	13	6	15	10	11	3	7	6	9	5	4	3	7	1	7	0	5	2	2	0	0	3	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south31_active	80	4968	1768	897	513	602	395	259	250	254	210	130	154	70	97	103	155	56	44	28	29	33	81	15	16	6	17	23	20	11	9	13	21	7	5	15	2	5	1	9	8	8	2	2	3	6	2	1	1	2	0	4	0	4	1	1	0	0	2	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south32_all	80	9731	3816	2084	1190	1185	860	596	558	512	420	290	314	201	178	198	265	104	88	77	75	87	132	44	32	27	30	60	67	24	23	18	36	8	16	28	9	5	11	13	12	9	5	8	3	8	7	4	3	3	3	7	0	4	2	2	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south32_active	80	4922	1804	923	487	548	409	258	248	261	212	135	152	79	91	114	157	50	45	29	27	34	85	19	14	10	14	32	22	6	12	9	21	5	6	21	2	2	2	8	11	5	3	1	1	4	4	1	2	2	1	4	0	3	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south33_all	80	9696	3909	2058	1231	1179	828	602	522	512	402	310	319	216	192	204	265	100	95	76	73	78	146	45	41	33	33	60	58	27	21	17	40	10	14	23	14	5	10	18	13	8	5	9	3	7	6	4	3	6	4	2	1	2	2	2	0	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	4919	1890	920	503	524	384	272	228	252	189	167	160	86	100	112	141	40	48	28	30	28	96	19	16	16	17	28	23	7	11	11	17	4	8	14	6	1	2	13	12	5	3	3	1	4	4	1	2	4	2	0	0	1	2	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	9664	3955	2048	1204	1240	805	608	516	526	367	349	329	214	189	193	264	98	93	89	65	62	143	54	49	35	30	58	56	29	26	15	38	12	19	24	18	10	11	18	11	4	5	7	6	7	6	4	1	5	3	3	1	1	1	3	0	1	0	1	1	0	1	0	0	1	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
