label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86
0.03	north6_all	80	5563	2447	1974	953	762	584	583	849	332	566	196	240	130	117	111	248	110	191	137	68	62	126	54	37	26	20	33	50	17	13	24	18	12	26	17	17	8	2	6	16	11	2	3	3	3	2	1	8	0	1	1	1	1	1	5	3	0	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2470	943	1010	294	263	255	282	564	132	388	61	121	37	52	50	154	62	126	77	27	40	89	24	16	9	5	17	30	3	5	9	11	3	21	10	14	5	0	5	11	5	0	0	1	2	1	1	4	0	0	0	0	1	1	4	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5589	2510	1978	936	698	561	559	834	331	547	210	288	129	120	116	241	125	186	143	67	64	122	41	42	22	18	32	55	23	13	18	14	15	29	21	21	6	5	7	16	10	2	2	5	4	2	3	8	2	3	0	3	2	0	4	2	1	1	1	1	1	1	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	2527	994	1008	291	221	237	268	557	131	367	79	147	37	53	51	160	74	121	78	28	36	74	20	18	10	3	18	29	5	6	7	9	3	25	15	18	4	2	6	9	7	0	0	2	2	1	2	5	2	0	0	0	1	0	4	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	5710	2488	1932	947	685	572	520	834	333	564	220	287	136	119	108	232	121	179	133	70	58	129	43	35	20	23	28	48	17	12	26	14	17	24	17	21	2	7	5	13	7	5	2	6	5	3	4	6	2	4	1	5	4	0	4	2	1	1	1	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_active	80	2563	1003	1009	293	228	246	262	541	135	371	83	169	36	49	50	163	72	120	81	26	32	65	23	17	8	4	15	30	3	2	12	11	4	20	8	17	1	4	3	6	5	0	0	3	2	1	2	5	2	0	0	1	2	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	5778	2493	1957	935	679	596	531	859	311	594	222	303	138	122	112	275	121	163	154	61	57	123	43	29	21	23	26	31	16	17	28	13	14	20	19	19	4	9	5	13	5	5	3	4	5	4	4	7	2	11	1	5	3	1	2	0	1	0	1	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	2604	1001	1055	280	215	269	263	571	125	384	87	187	43	42	44	195	64	105	107	20	32	66	24	17	7	7	16	19	2	4	15	9	3	15	9	13	2	5	3	6	3	0	0	3	1	2	2	6	2	8	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	5727	2463	1962	948	717	603	535	894	302	607	202	298	158	128	111	286	118	189	158	53	58	95	47	25	24	19	32	24	14	18	41	12	11	15	17	16	5	8	4	7	1	5	4	5	5	4	4	5	0	11	2	2	4	1	2	1	2	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2596	968	1045	266	228	275	245	590	114	386	73	189	52	45	44	183	70	132	122	16	31	41	22	15	6	9	22	17	1	5	24	7	4	11	8	10	2	4	2	4	1	0	1	4	1	2	2	4	0	8	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
