label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188
0.03	north6_all	80	37860	14628	11522	6219	5822	2977	4795	4417	1880	2500	2106	2311	1995	1416	801	1561	1081	679	529	794	507	596	489	516	562	655	580	224	316	323	379	241	320	312	133	178	156	180	172	120	160	135	61	82	120	91	115	98	73	66	47	46	50	46	125	38	36	41	29	34	37	42	34	65	41	19	30	16	25	26	16	19	25	20	25	9	14	9	13	7	13	8	10	8	13	7	7	10	8	8	6	11	10	5	1	4	4	4	1	7	7	4	2	1	2	1	1	2	0	4	2	3	4	3	6	1	0	2	1	1	1	0	2	2	0	6	0	0	0	1	1	0	0	0	0	0	1	3	3	0	0	1	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	22803	8124	7001	3372	3391	1334	2932	2770	916	1502	1263	1428	1229	817	361	930	643	338	241	465	255	337	285	294	331	434	348	95	177	190	245	139	185	193	64	89	86	103	103	57	98	73	33	41	76	49	56	41	41	34	20	17	23	20	60	22	16	19	18	20	21	25	14	42	26	12	19	5	12	15	6	12	13	11	14	6	11	2	6	3	6	2	6	1	7	4	6	3	3	2	4	9	6	3	1	2	1	1	1	6	4	2	1	1	0	1	1	1	0	2	1	1	1	2	0	1	0	2	0	0	1	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	37934	14583	11431	6319	5855	2948	4878	4429	1950	2541	2221	2308	1930	1369	782	1634	1055	647	541	774	502	620	485	535	540	693	648	214	321	317	392	246	323	292	132	166	159	164	173	102	193	166	57	73	123	88	120	97	64	78	42	52	63	43	105	40	36	42	31	31	44	34	31	86	36	20	36	15	28	29	18	21	21	22	31	13	12	7	18	7	10	8	7	5	14	8	11	10	4	8	6	11	12	7	4	4	5	5	1	3	4	4	2	3	3	2	1	1	0	4	3	3	5	2	3	1	1	1	0	2	1	1	2	1	1	6	0	0	1	1	1	2	0	0	1	0	1	1	2	0	0	2	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	22727	8066	6826	3423	3392	1344	2969	2871	965	1539	1348	1388	1148	780	347	990	647	331	268	430	256	330	273	297	307	454	400	97	178	188	252	141	178	163	70	88	93	91	110	47	122	90	26	32	83	40	55	41	32	40	20	24	24	22	58	23	15	20	19	14	22	20	14	60	23	11	25	3	10	19	7	14	11	12	15	6	8	2	10	4	3	2	3	0	9	4	7	4	3	3	4	10	7	3	2	2	1	1	1	2	3	2	1	1	0	2	1	1	0	3	1	1	2	1	0	1	0	1	0	1	0	1	1	0	1	6	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	38132	14569	11538	6314	5875	2962	4996	4550	1958	2553	2239	2365	1858	1360	802	1666	1015	672	562	780	504	588	469	539	530	655	641	220	322	306	365	242	350	292	133	157	163	157	182	94	190	182	66	77	119	87	122	84	71	83	55	56	66	47	98	42	47	41	31	32	45	36	29	77	34	24	28	19	18	36	17	21	29	17	24	11	8	5	20	9	8	6	8	6	17	4	11	10	4	9	13	10	15	5	4	8	7	6	2	6	3	4	2	3	5	3	2	0	0	2	2	2	4	3	3	1	1	1	0	5	1	1	2	0	2	6	1	0	1	0	2	2	0	0	1	0	1	0	2	0	0	2	0	0	0	4	1	0	0	0	0	0	2	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	22748	8095	6908	3420	3394	1341	3101	2895	975	1578	1359	1423	1079	775	348	999	605	358	283	445	242	336	270	312	311	423	397	101	181	172	215	132	209	171	74	79	91	80	111	46	115	91	28	38	78	41	65	37	39	39	30	25	31	23	54	27	21	20	19	14	24	23	20	53	23	13	19	4	9	27	5	11	19	7	11	4	5	1	9	5	2	2	5	0	10	2	5	2	4	3	12	6	8	1	2	5	1	1	2	5	2	2	1	1	1	2	2	0	0	2	0	1	1	1	0	1	0	1	0	3	0	1	1	0	2	6	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	38123	14381	11674	6297	5931	2982	4998	4533	1946	2432	2180	2245	1938	1379	792	1588	973	661	583	774	507	599	479	568	537	655	641	239	319	307	367	252	291	259	137	151	160	176	168	95	183	172	65	83	135	84	121	77	69	75	55	50	58	46	77	48	49	48	33	34	41	48	27	73	28	29	28	27	19	30	23	23	27	17	26	9	10	4	17	10	10	6	7	6	13	3	10	12	2	5	18	13	12	7	4	14	6	8	2	5	0	4	3	3	4	4	2	3	1	1	6	2	2	2	2	1	2	1	6	4	1	1	0	0	2	0	1	0	4	0	2	2	0	0	1	0	1	0	2	0	0	1	1	0	0	4	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	22841	8036	7025	3441	3405	1362	3128	2858	947	1465	1314	1307	1100	795	348	933	567	341	301	452	236	335	274	315	302	437	407	112	177	164	214	131	172	151	77	73	83	94	108	52	104	81	33	39	89	45	69	36	38	35	29	21	27	26	33	28	20	24	19	15	21	36	15	58	19	14	18	8	9	22	8	14	19	6	14	3	5	2	9	7	7	2	4	1	6	1	4	2	2	2	13	7	5	1	2	9	3	2	2	4	0	2	0	1	2	2	1	0	0	1	3	0	1	1	0	1	1	1	0	3	0	1	0	0	2	0	1	0	2	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	38331	14374	11688	6201	5870	2981	4883	4560	1929	2471	2146	2322	2026	1387	790	1539	959	660	597	785	486	570	463	541	567	618	574	235	319	313	364	234	266	245	131	153	169	173	158	101	186	152	78	77	135	74	126	63	71	68	63	43	49	40	78	47	58	48	29	48	44	64	31	66	39	31	18	29	16	27	18	17	28	12	29	8	10	9	14	8	18	10	6	7	9	3	5	7	1	4	14	20	6	6	6	13	8	7	2	4	4	3	2	1	5	2	2	3	1	1	4	1	0	1	6	1	1	1	6	3	0	0	1	0	2	0	1	0	4	0	2	0	0	0	0	2	2	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	23082	7942	7097	3379	3368	1360	3018	2865	952	1444	1307	1404	1179	773	344	930	538	335	307	451	231	338	256	330	323	401	362	104	186	162	220	118	168	143	76	70	89	96	99	58	103	77	42	34	82	41	83	34	40	31	31	21	25	22	48	28	27	24	14	21	24	43	19	53	27	18	12	12	9	19	8	9	20	3	16	4	5	7	7	5	11	4	4	3	3	1	2	0	1	1	10	12	1	1	5	9	4	2	2	4	4	2	0	1	3	0	1	0	0	1	3	0	0	0	3	1	1	1	0	2	0	0	1	0	2	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	33013	13061	10259	5724	5295	2930	4166	3879	1686	2337	1931	2007	1660	1241	859	1321	959	624	523	689	468	491	410	525	446	529	437	247	288	292	303	194	268	230	130	128	169	155	155	91	150	130	105	84	105	71	92	61	68	56	49	42	50	58	55	37	46	29	35	33	36	49	24	44	34	23	21	19	25	24	17	22	20	11	25	11	13	12	12	8	14	8	11	5	8	5	6	10	5	8	3	7	6	4	8	5	4	4	2	3	5	5	3	2	2	2	3	3	2	1	1	2	3	2	1	4	1	1	0	1	0	4	3	2	2	1	3	1	1	2	0	7	1	0	1	0	2	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	19175	6878	5987	2995	2941	1380	2574	2509	793	1302	1144	1185	994	687	413	765	563	287	247	385	226	254	194	286	265	302	259	119	151	149	184	97	167	131	63	55	84	79	83	47	76	77	49	36	66	42	57	36	33	20	18	20	24	37	32	19	21	16	15	11	22	32	10	27	20	10	14	11	15	12	4	11	14	5	12	7	8	8	6	3	4	3	6	4	3	2	3	6	2	6	1	3	3	2	3	1	3	1	2	2	4	2	2	1	0	1	3	2	1	0	0	1	1	0	1	2	1	0	0	1	0	1	2	1	1	0	1	1	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	33082	13217	10268	5647	5251	2980	4201	3868	1716	2318	1917	1982	1670	1243	807	1326	937	638	510	694	450	516	394	516	466	530	425	240	282	275	320	205	249	231	130	131	162	156	149	89	141	143	111	91	104	73	83	54	63	61	56	43	44	55	54	32	45	27	34	28	30	59	28	46	28	26	23	18	18	22	14	22	23	12	21	8	10	19	15	9	20	16	8	6	12	10	8	10	7	7	2	4	9	4	10	4	3	5	3	4	4	4	5	2	1	1	1	2	1	1	1	2	3	3	2	4	2	1	1	0	2	4	1	1	0	1	5	0	0	2	1	7	1	0	1	0	0	2	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	19182	6936	6010	2880	2943	1352	2571	2466	822	1261	1105	1168	954	719	372	762	516	302	226	374	213	265	188	284	264	299	256	119	129	142	185	102	153	117	58	57	74	79	74	42	70	82	48	36	70	37	46	30	28	23	18	19	21	33	28	19	22	14	17	10	14	38	14	28	14	12	15	9	14	10	3	12	16	6	9	5	5	11	7	5	9	9	4	4	6	5	4	6	2	5	1	0	5	4	4	1	2	3	3	3	3	1	3	1	0	1	1	2	1	0	0	1	2	0	2	2	1	0	0	0	0	1	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	34096	13485	10597	5880	5281	2943	4290	3940	1791	2264	1947	2114	1783	1204	791	1456	949	623	568	718	457	530	382	497	497	504	445	227	306	289	340	213	283	240	130	140	159	154	166	104	161	171	100	90	119	69	91	62	62	50	51	45	45	52	60	37	43	24	33	23	44	61	28	39	28	25	33	24	12	21	11	11	21	16	16	7	8	13	12	6	23	14	12	6	12	8	8	10	9	3	6	8	9	3	8	5	5	4	1	4	7	3	4	4	1	1	1	2	1	1	1	2	2	1	2	4	1	1	1	0	2	2	1	0	0	1	4	0	0	1	2	8	1	0	0	0	0	2	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	19858	7115	6208	3046	3008	1315	2576	2492	869	1268	1106	1284	999	668	369	843	517	289	247	385	218	275	182	274	295	275	277	108	143	163	197	103	175	119	55	56	77	75	95	54	89	84	47	37	68	28	51	32	27	25	21	18	24	35	32	22	24	10	15	9	29	40	16	24	13	10	22	11	8	8	4	6	14	8	8	3	3	9	6	2	11	8	5	4	8	4	5	4	4	2	5	1	7	3	2	2	2	2	1	3	5	0	3	1	0	1	0	2	1	0	0	2	2	0	2	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	35926	13845	10989	6083	5335	2980	4685	4173	1876	2345	2124	2163	1798	1216	790	1488	980	628	569	765	456	565	380	534	550	615	502	216	303	284	381	240	324	249	147	131	158	160	165	109	189	172	89	76	131	79	100	66	53	53	46	56	50	51	60	33	44	24	38	26	48	51	27	39	38	29	37	25	13	25	13	12	25	13	15	7	12	14	15	7	22	12	10	10	10	7	8	4	10	3	9	10	7	6	4	3	6	5	4	4	7	3	5	5	1	1	2	2	1	2	1	2	2	3	1	2	1	0	3	1	2	0	1	2	0	2	2	0	0	0	2	1	1	0	0	1	0	2	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	21208	7408	6567	3224	3028	1354	2817	2631	936	1363	1244	1291	1005	646	358	914	546	306	253	431	225	297	191	321	311	361	302	102	147	168	219	123	211	115	66	58	83	78	83	53	115	93	41	29	71	31	54	33	27	32	25	26	23	28	30	16	24	13	19	11	25	33	18	27	20	12	24	10	7	11	8	7	15	7	6	2	5	8	8	3	11	7	4	7	7	4	4	0	4	3	6	1	6	4	2	1	1	2	3	2	4	1	3	2	0	1	1	0	1	1	1	1	2	1	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	37125	14115	11628	6279	5659	2868	4996	4580	1949	2483	2198	2291	1883	1236	783	1523	1031	618	584	786	449	554	383	550	572	654	514	216	301	326	379	259	342	269	147	128	157	152	162	119	207	171	92	78	154	73	102	81	59	50	45	67	48	52	86	37	42	30	41	32	51	34	19	46	41	26	37	23	12	27	16	16	30	12	32	10	11	13	10	5	15	8	11	8	9	6	5	3	9	2	11	11	6	4	3	9	6	2	3	4	6	3	4	6	2	0	3	2	0	1	2	2	1	5	0	1	0	1	2	4	1	0	2	2	0	2	0	0	0	0	1	1	2	0	1	1	0	0	0	0	0	2	0	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	22221	7706	6958	3340	3257	1322	3044	2949	966	1465	1319	1421	1102	636	365	965	584	305	276	471	215	291	202	327	339	403	305	98	155	197	224	144	222	152	69	54	86	80	86	55	138	95	44	31	77	37	58	41	37	30	28	32	23	31	40	20	23	12	24	13	28	24	10	35	22	13	23	8	4	16	11	9	20	5	21	5	4	6	5	2	6	2	3	5	7	3	3	0	4	2	8	4	5	2	2	8	1	0	2	2	3	2	2	2	1	0	1	0	0	1	1	1	1	4	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
