label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	south31_all	80	13346	2851	1891	1423	798	476	400	250	282	179	97	156	171	68	84	28	22	33	19	14	10	6	3	4	3	3	0	0	2	1	2	0	1	0	0	0	0	0	1	0	2	0	0	3	0	0	0
0.03	south31_active	80	8187	1319	963	823	407	221	208	128	170	119	44	112	117	39	58	14	6	17	10	10	4	5	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0
0.03	south32_all	80	12727	2846	1926	1422	735	458	401	251	258	183	104	156	162	77	68	24	23	30	20	13	10	4	3	5	4	2	0	0	2	1	2	0	1	0	0	0	0	0	1	0	2	0	0	3	0	0	0
0.03	south32_active	80	7749	1299	943	812	385	200	208	125	154	125	48	113	103	43	51	12	9	16	10	9	5	1	1	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0
0.03	south33_all	80	12558	2992	1921	1442	711	448	395	247	268	179	119	148	139	72	60	22	28	27	21	10	8	8	4	3	3	5	0	0	2	0	2	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0
0.03	south33_active	80	7619	1370	936	813	385	197	204	124	156	119	56	102	76	40	41	10	15	14	11	6	4	3	2	1	1	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0
0.03	south34_all	80	12434	2979	1869	1448	713	456	362	247	235	179	123	158	129	77	56	17	24	19	16	7	4	7	5	6	3	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south34_active	80	7485	1358	919	831	365	194	190	121	137	112	54	104	63	45	40	7	15	10	10	2	2	3	3	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south35_all	80	12385	2974	1860	1434	716	444	362	261	229	173	128	158	130	60	59	22	22	18	15	5	0	9	8	5	1	3	2	0	2	1	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	7410	1377	922	829	358	197	189	132	139	97	57	99	75	32	39	11	12	10	11	1	0	4	6	3	0	3	0	0	1	1	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	12958	2922	1875	1432	755	472	379	289	258	185	116	173	145	56	50	22	18	17	16	17	1	9	11	4	0	1	2	1	2	1	0	1	0	0	1	0	5	1	0	1	0	0	0	0	0	0	0
0.03	south36_active	80	7914	1336	948	836	389	226	202	158	166	102	54	106	101	32	39	13	10	9	11	9	0	4	7	3	0	1	0	0	1	1	0	0	0	0	1	0	5	1	0	1	0	0	0	0	0	0	0
0.03	south37_all	80	13687	2869	1922	1437	756	465	387	302	257	186	109	208	141	46	54	22	26	22	15	21	1	10	8	1	1	1	2	2	2	1	0	1	0	0	1	0	5	1	0	1	0	0	0	0	0	0	0
0.03	south37_active	80	8447	1331	987	837	382	217	204	176	156	97	50	105	95	24	38	13	14	10	11	11	0	3	5	0	0	1	1	1	1	1	0	0	0	0	1	0	5	1	0	1	0	0	0	0	0	0	0
0.03	south38_all	80	14000	2848	2026	1450	795	478	414	318	267	192	92	223	149	43	59	18	31	29	23	23	3	15	5	2	5	3	3	3	0	1	2	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south38_active	80	8659	1307	1051	822	421	224	213	185	158	107	42	115	104	23	42	12	15	13	12	13	1	4	2	2	2	2	3	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south39_all	80	14323	2808	1974	1501	821	465	396	274	257	205	98	219	142	37	67	28	28	28	24	24	8	15	3	2	6	4	3	4	0	3	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	8862	1298	1023	869	434	208	203	154	143	115	41	134	91	17	49	18	15	13	12	12	3	6	1	2	2	2	3	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	14341	2807	1963	1536	844	488	391	273	252	212	99	196	158	41	72	29	25	31	35	22	8	19	2	2	6	6	3	4	0	3	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	8922	1314	995	872	447	220	212	148	153	122	49	133	112	19	54	14	10	18	23	10	4	8	0	2	2	3	2	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
