label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72
0.03	south33_active	80	18503	796	817	440	382	1136	146	534	163	60	76	318	173	67	89	135	55	25	50	9	19	25	79	10	16	3	32	10	5	1	3	25	1	4	3	3	5	2	1	3	2	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	18550	2813	1790	1103	907	1227	464	603	317	236	223	361	255	119	134	143	91	77	85	35	40	45	89	22	26	23	30	17	9	9	8	23	10	4	4	7	8	3	0	9	3	1	2	2	1	1	2	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
0.03	south34_active	80	16304	769	791	413	368	1003	128	451	143	63	71	282	185	63	82	120	61	26	46	8	12	23	76	9	15	5	25	6	2	3	1	20	1	3	2	5	5	1	0	8	2	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south35_all	80	16492	2771	1795	1144	900	1087	475	581	314	270	231	333	223	114	121	126	94	67	71	35	32	50	89	25	26	24	23	15	12	9	11	11	9	4	7	8	9	2	2	13	3	2	1	1	1	2	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south35_active	80	14142	718	771	412	348	845	124	416	126	76	71	256	157	55	69	98	64	26	39	12	10	26	78	10	10	5	21	4	3	3	3	9	0	3	2	4	7	1	0	12	1	1	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south36_all	80	14323	2799	1783	1143	839	945	471	535	329	265	217	280	187	118	119	132	84	68	65	35	29	42	77	26	29	22	29	10	9	11	12	8	8	2	8	11	5	5	3	13	3	2	1	1	2	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	1
0.03	south36_active	80	11991	704	727	369	300	684	112	362	133	74	64	196	134	58	66	105	54	22	37	9	8	22	65	9	11	6	23	4	2	4	5	6	0	2	3	7	3	4	1	12	0	1	0	0	2	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1
0.03	south37_all	80	15339	2739	1807	1133	819	1039	477	611	340	277	218	305	189	129	102	154	100	54	64	39	30	43	89	29	39	22	35	14	8	11	14	8	6	2	12	15	4	6	5	6	5	2	1	2	1	1	1	0	1	1	1	0	1	0	2	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0
0.03	south37_active	80	13078	696	767	379	296	753	119	429	148	78	63	224	136	64	56	124	60	19	39	10	8	25	74	10	15	7	25	3	1	6	6	6	0	1	6	9	3	4	2	6	0	1	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	17411	2745	1832	1142	849	1155	533	650	333	273	202	314	215	140	114	172	105	52	58	43	36	37	76	25	36	20	39	21	9	8	9	15	3	2	10	11	4	8	3	6	5	2	3	4	2	1	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0
0.03	south38_active	80	15259	763	800	398	335	901	135	485	168	77	63	233	161	68	66	141	60	20	37	9	8	20	66	9	17	4	28	6	1	4	5	6	0	1	5	6	3	5	2	6	0	1	2	1	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	19458	2766	1830	1138	875	1263	512	688	327	272	195	315	225	134	113	183	96	70	60	45	37	25	64	22	30	18	33	20	7	9	7	15	7	1	10	9	4	6	2	6	5	1	4	3	3	1	1	0	0	3	0	1	1	0	1	0	0	0	1	0	1	0	0	4	0	0	0	2	0	0	1	0	0
0.03	south39_active	80	17363	783	831	422	377	998	140	523	171	73	62	248	170	62	72	146	54	33	40	8	7	12	55	8	17	2	24	5	1	6	3	7	2	0	5	4	3	3	1	6	0	1	3	1	3	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0
0.03	south40_all	80	20226	2814	1763	1196	860	1270	518	674	298	234	203	322	242	136	125	185	89	76	60	47	37	26	62	17	28	17	27	20	7	7	5	24	8	2	9	4	5	5	4	7	5	0	3	3	2	2	1	0	1	3	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0
0.03	south40_active	80	18084	825	810	440	368	1044	155	513	153	55	65	257	183	65	86	155	56	38	44	10	10	11	54	7	17	1	19	7	2	6	2	13	3	2	4	1	4	3	2	6	0	0	2	1	2	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
