label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175
0.03	north6_all	80	31731	15417	8952	4916	4637	2643	4812	2663	2008	1330	2287	1147	916	1079	1355	573	1246	519	426	497	691	428	671	296	239	373	418	171	256	167	140	181	169	282	119	167	107	112	139	128	92	65	66	78	56	77	127	98	131	38	70	34	42	61	43	32	20	26	44	39	20	32	23	28	19	33	23	17	16	11	23	18	12	6	9	10	8	9	11	20	10	9	4	2	10	5	1	10	2	4	7	5	4	6	3	3	2	6	2	1	9	12	1	1	1	2	2	0	2	1	0	1	0	2	1	0	6	1	2	1	1	0	0	0	0	0	2	0	2	1	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	18739	9078	5113	2586	2600	1330	3012	1528	1149	619	1452	592	455	615	854	238	794	254	202	247	448	229	415	149	119	198	281	79	146	77	75	110	89	168	54	85	49	56	90	77	50	29	26	37	24	35	82	69	75	21	50	13	27	42	21	18	8	14	24	21	8	16	11	18	13	14	15	6	5	6	8	14	8	4	6	5	2	5	6	13	5	5	3	1	6	3	1	7	1	3	4	4	2	3	0	1	1	5	0	0	9	11	1	0	0	2	0	0	1	1	0	1	0	1	1	0	5	1	1	0	0	0	0	0	0	0	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	31613	15329	9018	4826	4498	2697	4936	2579	2032	1303	2177	1142	929	1083	1401	618	1226	495	427	505	742	447	619	319	242	359	468	190	233	162	169	179	166	215	118	153	94	106	156	128	86	67	72	80	51	70	112	101	115	45	88	39	44	62	46	30	29	23	51	30	24	32	25	26	21	38	22	19	15	9	24	8	15	8	13	9	7	8	11	16	7	8	4	1	7	9	1	9	4	2	7	4	2	4	2	3	1	3	3	2	9	12	1	2	1	0	2	2	2	0	4	0	0	2	5	0	1	1	2	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	2	0	0	4	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	18685	9054	5110	2510	2482	1345	3131	1442	1161	617	1331	588	458	621	870	280	771	239	201	263	488	234	380	167	114	173	312	91	130	75	89	99	83	132	56	78	46	52	104	78	47	27	29	38	21	37	66	80	66	22	58	16	25	44	25	15	12	12	27	20	10	15	15	17	12	15	16	5	7	3	8	4	10	5	7	4	5	4	7	12	3	5	3	0	4	7	1	7	3	1	4	2	1	2	0	0	0	2	1	0	9	11	1	0	0	0	1	1	1	0	4	0	0	1	5	0	0	1	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	31637	15616	9080	4806	4507	2724	4809	2529	2039	1264	2212	1153	954	1093	1443	651	1231	491	419	498	708	407	617	358	260	339	488	184	231	168	177	175	182	229	116	132	89	91	194	165	92	75	70	64	54	66	122	119	83	41	105	43	39	61	44	36	29	26	40	32	16	31	21	22	32	37	14	18	12	10	27	11	12	12	14	7	9	7	14	15	8	7	6	6	5	7	0	9	8	3	6	4	1	3	4	1	2	3	4	3	1	7	4	2	1	0	4	3	1	0	4	0	0	3	4	0	3	0	1	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	18808	9146	5143	2490	2528	1337	3102	1445	1177	611	1354	615	467	641	931	293	740	241	211	248	470	215	363	180	122	164	293	84	135	81	94	102	88	150	59	61	41	47	122	109	54	32	29	36	24	38	75	97	44	18	76	21	20	43	27	20	11	16	25	23	9	17	13	14	20	19	10	6	9	2	12	10	9	7	8	4	7	4	8	13	2	4	3	5	3	4	0	8	6	0	4	2	0	2	2	0	0	3	2	1	1	6	2	0	1	0	4	2	0	0	4	0	0	1	4	0	3	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	31629	15648	8937	4868	4537	2658	4876	2595	2037	1220	2303	1159	938	1129	1512	610	1263	464	412	490	725	418	609	355	246	312	459	182	233	163	197	194	176	230	113	130	89	89	208	178	92	76	85	71	55	60	125	110	70	39	88	43	30	66	48	38	29	25	39	35	19	25	19	21	29	34	14	13	12	15	29	17	8	11	12	6	9	6	12	11	5	4	6	9	2	11	1	9	7	4	7	4	2	1	5	2	4	5	4	2	3	6	5	2	1	1	4	3	3	0	4	0	0	2	4	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	18770	9246	5111	2471	2520	1309	3187	1461	1132	590	1433	616	448	680	950	273	769	224	180	253	484	232	356	180	114	165	276	87	136	73	100	113	87	150	61	67	46	43	112	125	53	29	41	38	24	35	79	86	36	17	59	23	12	46	28	25	12	14	23	25	11	13	15	15	19	27	12	5	10	4	20	12	5	6	6	4	9	4	4	11	1	2	2	9	2	8	1	8	6	1	0	2	1	1	2	0	0	2	2	1	3	6	2	0	1	0	4	2	1	0	4	0	0	0	4	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	31710	15650	8936	4933	4633	2712	4708	2568	1956	1256	2335	1144	942	1145	1546	576	1277	451	428	474	677	419	604	371	247	341	458	186	230	173	184	191	169	259	118	125	117	84	185	212	92	74	83	75	53	64	115	95	74	40	86	45	40	55	45	42	25	28	27	37	16	27	18	17	26	38	15	14	16	14	27	22	7	9	10	9	8	5	10	8	4	7	8	10	2	8	1	11	6	5	8	4	4	1	5	5	4	6	3	2	11	1	6	0	1	1	4	2	2	1	0	0	0	1	0	0	4	0	0	0	2	1	0	0	0	0	0	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	18636	9264	5186	2478	2581	1316	3067	1449	1099	591	1449	610	463	663	958	256	795	205	190	232	440	233	330	192	114	198	265	83	132	86	86	106	91	167	59	60	63	36	96	149	51	35	44	39	21	36	68	59	33	18	65	26	18	37	21	30	12	16	18	26	5	14	14	8	17	29	12	6	11	4	16	12	5	4	3	6	8	4	3	7	2	3	3	10	2	6	1	9	5	2	0	3	2	0	2	4	0	2	1	1	10	1	2	0	1	0	4	1	1	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	28032	13307	7773	4499	4259	2589	3909	2446	1704	1221	1921	1041	866	959	1348	589	1095	497	433	465	556	391	486	304	279	334	337	193	194	169	141	148	183	207	95	134	89	109	145	111	80	73	74	65	57	65	69	115	69	41	89	32	31	35	36	28	26	26	36	25	13	32	16	25	18	55	23	14	14	10	13	22	9	13	16	5	8	10	14	7	2	3	9	3	4	7	1	7	4	7	2	2	3	2	2	2	3	2	3	2	4	7	7	1	3	1	0	3	1	1	2	3	0	2	1	2	0	0	0	1	0	0	1	0	0	1	1	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_active	80	15848	7609	4270	2253	2326	1212	2373	1313	849	540	1143	517	376	532	822	264	707	248	203	238	318	206	280	161	126	188	194	84	93	84	69	77	95	137	52	68	42	62	87	59	39	31	35	22	21	27	29	67	40	20	41	13	10	21	18	15	12	12	20	9	7	18	10	13	11	43	11	9	7	4	6	10	6	5	11	2	2	4	10	3	0	2	4	1	1	4	0	1	1	3	1	0	1	2	2	1	2	2	0	1	3	7	2	1	1	1	0	0	1	1	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north12_all	80	29358	13974	8091	4579	4454	2628	4237	2487	1764	1246	1957	1064	907	1045	1379	573	1160	509	443	477	595	386	487	309	281	325	362	200	192	194	149	157	170	203	107	116	90	109	144	120	91	69	62	64	57	56	60	105	71	36	92	26	36	28	34	30	27	28	35	27	12	33	18	32	26	62	24	12	19	11	15	17	6	12	15	6	7	11	21	7	7	3	10	9	3	7	3	8	4	7	2	4	4	2	3	2	3	0	2	0	4	7	5	1	2	3	0	2	3	2	5	3	0	1	1	2	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_active	80	16806	7995	4434	2330	2477	1227	2489	1336	888	545	1191	528	408	609	867	262	750	250	201	255	337	200	275	162	135	197	209	83	86	106	66	83	89	123	53	63	46	57	85	66	43	26	37	22	19	24	41	60	46	15	50	11	13	13	14	15	14	16	20	13	7	19	12	21	15	46	12	8	11	7	7	8	4	6	11	4	3	3	12	2	4	1	4	6	2	4	1	1	1	3	1	0	2	2	1	1	2	0	0	0	3	7	2	1	1	3	0	0	3	1	4	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_all	80	30392	14618	8428	4692	4462	2775	4240	2482	1798	1281	2079	1071	918	1083	1462	591	1131	494	425	490	605	416	518	327	277	362	425	186	212	194	155	176	144	217	113	106	106	131	155	144	113	75	51	63	54	72	89	103	85	35	88	31	45	35	37	30	24	27	34	30	14	24	20	26	29	50	26	12	20	13	15	28	5	10	11	10	7	8	15	10	11	4	8	9	3	7	3	6	3	3	2	6	3	5	3	0	3	1	1	0	14	7	2	0	1	4	0	1	6	2	6	3	0	0	1	2	0	1	0	0	0	1	1	3	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_active	80	17559	8532	4740	2392	2500	1349	2450	1352	922	566	1275	513	424	642	943	257	729	226	190	271	341	205	287	171	119	214	235	72	108	107	76	99	75	121	56	59	53	72	100	89	60	36	28	28	21	44	65	59	65	12	53	12	25	18	19	20	12	18	14	15	6	19	14	20	17	38	14	9	9	9	7	15	3	5	7	6	3	2	6	2	6	1	3	6	2	4	1	1	2	1	1	2	2	5	0	0	2	0	0	0	13	6	0	0	0	3	0	0	4	1	5	1	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north14_all	80	31615	15278	8640	4768	4572	2834	4445	2546	1901	1286	2245	1089	990	1086	1484	560	1256	502	438	501	665	422	536	343	270	363	472	180	239	184	153	178	163	255	115	109	110	132	177	152	100	57	50	62	62	74	113	97	92	26	84	36	51	40	41	25	23	31	33	31	15	28	18	25	23	35	19	11	20	15	16	28	7	10	10	13	10	6	13	12	9	6	6	12	5	8	5	3	5	3	4	6	4	9	5	2	2	7	1	0	13	3	1	0	0	4	0	1	6	1	4	2	0	0	0	2	0	1	0	1	0	1	1	6	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north14_active	80	18420	9000	4894	2417	2598	1410	2656	1434	1028	559	1424	525	509	625	943	237	798	237	199	283	379	206	314	176	122	235	281	85	129	97	77	96	80	149	54	63	48	78	116	95	54	26	22	34	25	47	84	56	63	9	58	15	30	26	24	16	14	18	18	16	4	22	11	18	13	23	12	6	8	12	10	12	6	5	4	9	5	2	5	4	6	3	1	10	3	4	2	0	3	0	3	2	2	8	2	1	1	6	0	0	13	1	0	0	0	3	0	1	4	0	3	1	0	0	0	2	0	0	0	0	0	0	0	6	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north15_all	80	32069	15642	8785	4916	4567	2863	4335	2520	1912	1300	2427	1057	1011	1092	1525	562	1319	480	409	493	640	420	548	371	260	360	482	180	259	161	150	185	159	312	126	110	108	120	185	153	101	48	49	67	52	76	121	101	92	23	96	36	40	48	53	26	27	28	32	27	16	23	23	33	17	35	19	13	15	13	11	21	10	9	9	14	6	6	11	16	9	5	6	8	4	4	5	0	5	2	4	3	8	8	7	2	3	8	1	1	11	2	0	2	1	2	0	2	3	0	4	1	0	1	0	0	0	1	1	1	0	1	7	7	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north15_active	80	18952	9286	5022	2457	2640	1425	2646	1426	1091	561	1561	496	496	627	977	227	842	227	184	289	379	225	314	195	119	233	314	86	146	86	84	93	79	207	52	58	44	68	126	101	58	23	20	38	23	50	77	72	52	10	69	18	26	33	42	18	17	15	16	13	3	18	13	22	7	22	13	7	7	9	7	10	7	4	3	8	3	3	5	8	7	3	1	7	2	2	3	0	4	0	3	3	3	6	3	1	1	6	0	1	11	0	0	0	0	1	0	1	1	0	4	1	0	1	0	0	0	0	1	0	0	0	6	7	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north16_all	80	32358	15755	8877	4941	4522	2859	4471	2562	1936	1305	2352	1063	1012	1116	1386	538	1361	475	418	493	682	415	577	379	260	372	481	186	252	163	175	164	164	319	137	122	101	94	169	139	88	50	49	61	50	66	121	100	87	25	101	38	35	57	53	22	24	34	28	22	18	21	22	30	17	34	12	14	12	14	10	18	11	7	8	9	5	4	10	11	4	8	5	8	3	5	5	2	3	3	7	4	8	11	5	5	3	7	0	1	2	1	3	2	2	2	0	2	1	0	4	0	3	1	0	0	0	3	1	1	0	6	7	4	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	19085	9388	5021	2423	2598	1397	2790	1414	1093	571	1511	524	518	632	860	227	844	232	196	278	405	219	336	202	133	227	331	92	134	84	87	75	84	224	56	72	38	52	112	88	47	24	19	37	28	43	77	72	49	14	73	18	22	39	46	14	15	16	17	7	9	15	12	22	8	22	5	7	7	8	8	4	7	3	3	3	2	3	7	6	3	4	1	7	1	2	3	1	2	2	5	3	2	9	4	3	2	6	0	1	2	0	1	0	0	1	0	1	1	0	4	0	3	1	0	0	0	3	1	0	0	6	7	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
