label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130
0.03	north11_all	80	13164	2747	3068	1862	871	757	1259	477	1156	961	302	546	430	234	261	255	283	122	110	101	90	188	71	78	61	54	49	40	41	45	69	29	33	43	25	23	56	22	30	12	21	14	15	16	17	9	7	11	6	8	11	4	5	7	1	9	2	3	14	5	5	5	2	4	2	3	4	3	3	3	6	5	3	4	0	1	2	3	0	1	0	1	1	2	1	0	0	0	1	1	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	11177	643	2345	1408	213	394	1013	141	1002	843	82	417	325	121	186	174	220	45	30	18	57	140	27	39	23	13	11	10	25	17	54	7	13	31	11	6	46	9	21	2	15	6	4	13	14	0	5	9	3	0	3	1	0	5	0	4	0	1	9	5	1	5	2	1	0	3	3	0	2	2	4	4	0	1	0	0	1	3	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	12420	2675	2859	1828	863	774	1127	482	1053	906	295	514	425	228	251	243	247	135	117	106	86	191	67	73	56	59	50	41	30	37	77	36	33	46	22	22	73	20	27	16	20	13	14	17	13	10	14	14	8	9	11	4	8	7	2	5	1	4	9	4	5	2	2	5	3	3	4	2	4	3	5	4	3	3	0	1	2	0	2	0	0	0	1	1	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north12_active	80	10339	662	2113	1352	202	393	874	143	902	775	79	382	325	122	166	163	176	47	40	22	47	142	28	38	16	14	10	13	12	16	64	11	10	32	10	7	58	9	19	2	12	7	3	12	9	1	8	9	3	0	3	1	1	4	0	2	0	2	7	4	1	2	2	1	0	3	2	0	2	2	5	4	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	11437	2648	2615	1769	886	788	1087	504	984	793	299	488	417	206	234	220	214	109	119	90	99	174	75	68	49	59	54	49	38	38	70	40	35	54	24	21	74	26	25	20	27	16	10	17	13	9	11	10	7	11	11	4	8	5	4	7	2	7	8	8	2	6	2	3	3	1	4	1	5	2	5	1	2	3	0	1	2	1	4	0	0	0	2	3	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
0.03	north13_active	80	9269	675	1873	1253	207	373	834	134	821	642	83	351	314	111	142	134	153	35	37	25	55	132	27	32	15	11	13	11	12	16	53	15	13	41	9	5	58	8	17	2	20	6	1	10	10	2	4	5	2	1	2	1	1	2	0	5	0	5	7	7	1	1	2	0	0	1	2	0	3	1	5	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north14_all	80	10542	2637	2467	1687	914	776	976	517	854	718	302	439	343	206	245	210	190	107	122	81	113	145	70	66	52	64	55	45	38	38	62	41	38	53	30	19	60	30	32	20	27	13	11	17	20	9	12	13	4	12	14	4	5	5	4	5	3	5	4	6	3	6	1	3	3	1	1	0	4	2	5	1	1	3	2	1	7	1	4	0	0	1	1	2	0	0	0	1	0	2	0	0	1	0	1	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
0.03	north14_active	80	8179	671	1700	1130	222	370	711	125	690	559	68	309	245	98	140	118	124	30	38	23	60	111	22	25	17	15	10	11	11	11	46	20	15	39	9	5	47	11	22	3	20	4	2	8	15	2	5	6	2	2	4	0	1	1	0	3	0	4	3	5	2	1	0	0	0	1	0	0	3	2	5	1	1	0	0	1	7	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north15_all	80	10030	2595	2460	1632	940	759	939	486	894	714	315	441	328	234	231	226	192	106	120	74	110	131	68	58	64	60	51	47	45	32	50	38	37	58	33	19	63	28	25	17	22	17	9	18	18	10	11	10	6	9	11	7	5	7	5	8	2	5	6	7	3	7	3	3	4	1	1	1	1	2	4	1	1	3	2	1	6	1	4	3	0	1	1	3	0	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north15_active	80	7616	665	1649	1045	218	332	664	99	733	561	74	307	235	107	114	126	128	28	35	22	52	93	17	23	19	17	9	14	15	9	34	20	16	44	13	5	50	11	14	3	16	7	1	9	12	5	6	5	3	2	3	1	1	2	1	5	0	4	4	5	2	2	1	0	0	1	0	1	1	2	4	1	1	1	0	1	6	1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north16_all	80	10674	2579	2670	1679	969	765	997	479	984	750	321	456	329	231	244	211	177	112	124	82	121	134	69	63	74	62	53	51	38	41	55	28	36	56	30	18	56	26	30	14	20	19	10	20	18	12	9	8	8	8	9	8	3	5	6	7	3	4	6	5	2	6	5	2	2	3	0	1	2	2	1	0	1	3	2	2	6	1	2	4	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north16_active	80	8380	655	1850	1138	232	357	726	106	821	609	74	322	240	104	127	128	116	33	33	24	63	98	17	29	21	17	11	13	14	14	39	13	14	44	10	8	47	10	16	2	15	5	3	9	10	7	4	6	4	2	3	1	0	1	1	5	0	4	4	4	1	6	2	0	0	3	0	1	1	2	1	0	1	1	0	1	6	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north17_all	80	11927	2630	2895	1802	969	774	1094	452	1031	812	296	469	380	226	274	231	193	121	112	99	144	152	71	68	73	56	59	52	49	41	66	32	37	51	26	21	63	23	23	11	16	21	13	19	17	10	12	8	11	5	7	10	4	5	6	8	1	5	3	6	1	6	5	1	2	3	0	3	3	0	1	0	1	4	3	2	3	1	0	4	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	9813	676	2085	1287	237	367	834	104	886	672	78	341	297	110	156	150	129	34	38	27	86	111	20	34	17	16	13	15	22	14	48	15	13	33	12	11	58	5	13	1	11	7	5	6	8	6	7	6	4	0	2	3	1	1	3	5	0	4	2	5	1	6	2	0	0	3	0	1	2	0	1	0	0	3	0	1	3	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	13094	2617	3016	1920	927	820	1166	460	1053	858	292	484	400	224	297	221	204	125	117	114	148	159	89	70	74	56	68	51	54	42	71	34	36	49	26	25	45	23	23	11	33	22	15	22	15	8	10	6	7	5	5	10	5	7	5	8	5	8	4	7	3	9	9	1	0	8	1	2	3	0	2	0	1	2	3	1	1	1	0	5	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north18_active	80	11065	652	2231	1405	229	431	924	134	908	726	74	369	316	113	191	152	146	35	35	33	101	125	27	39	20	15	15	15	31	12	48	12	13	33	14	16	40	7	14	0	28	7	5	10	10	4	6	4	1	0	1	3	1	2	2	5	1	4	3	5	2	9	4	0	0	7	1	0	2	0	2	0	0	2	0	0	1	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	13838	2601	3085	1993	930	841	1218	460	1067	878	286	488	440	212	309	227	217	134	108	117	144	166	89	79	64	60	65	45	57	36	71	43	39	60	30	30	66	25	23	14	39	23	13	19	11	12	12	11	5	5	8	8	7	5	6	10	5	8	5	9	5	3	9	1	2	6	1	2	5	0	1	2	3	3	3	0	1	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north19_active	80	11875	623	2331	1490	240	455	973	157	942	744	69	389	353	109	218	159	154	40	34	27	107	133	28	42	18	12	14	17	34	9	53	18	16	43	17	20	63	8	15	3	34	7	3	9	8	6	8	7	1	0	3	3	2	1	4	6	1	4	3	7	2	3	4	0	2	5	1	0	3	0	1	2	1	2	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	13641	2622	3058	2013	938	827	1253	450	1078	889	284	500	426	234	276	227	221	133	111	116	121	169	86	86	75	62	65	39	62	42	62	37	40	73	30	33	74	25	28	18	49	20	10	18	16	12	11	12	7	7	15	8	9	6	4	10	6	4	9	5	7	4	8	3	3	8	2	1	2	0	1	4	3	1	1	0	3	0	0	6	1	2	1	0	0	1	4	2	1	0	0	1	0	0	0	2	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	11659	583	2325	1506	234	451	1024	157	944	759	63	395	336	118	194	163	155	45	25	25	83	129	25	45	21	15	14	16	38	10	47	13	15	59	15	20	69	11	16	4	36	8	2	11	14	5	8	8	1	1	5	1	4	3	2	7	2	1	7	3	3	3	4	1	2	7	2	0	1	0	1	3	1	0	0	0	3	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	7256	7594	3337	1927	1382	1426	591	961	567	320	336	265	501	290	179	166	142	135	103	121	120	178	189	84	67	51	51	91	146	33	43	49	22	87	29	21	56	36	22	17	52	12	11	15	32	16	14	12	13	15	6	12	32	8	7	6	5	4	6	4	5	2	10	7	6	6	5	1	0	1	4	2	7	0	2	0	8	4	4	1	0	1	1	0	0	1	0	0	1	0	2	2	0	10	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south21_active	80	4563	6709	2602	1416	1002	1165	189	758	399	100	137	84	412	189	74	52	34	35	21	76	71	136	164	34	35	12	13	74	127	9	21	40	10	78	7	5	47	25	12	2	48	4	6	6	24	4	5	4	6	9	2	9	31	3	5	3	4	3	1	2	3	2	8	4	3	3	3	1	0	0	3	0	7	0	1	0	7	4	2	0	0	1	0	0	0	0	0	0	0	0	2	2	0	10	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south22_all	80	6964	6607	2976	1833	1249	1277	556	856	502	314	331	248	436	272	184	143	144	130	96	112	112	155	170	81	62	55	60	82	110	38	49	63	23	69	34	20	49	34	23	17	50	11	11	16	26	18	19	10	14	11	12	15	23	5	6	5	4	5	2	6	5	1	11	4	6	6	3	2	4	2	2	3	4	0	3	0	9	5	3	1	0	1	1	0	0	1	1	0	0	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south22_active	80	4047	5594	2191	1262	824	992	158	644	334	78	107	75	337	171	74	47	32	31	18	64	62	111	139	34	30	11	12	63	98	10	24	46	14	59	7	5	39	25	10	3	46	3	5	5	18	4	7	4	6	5	5	7	22	3	4	1	4	3	1	3	3	1	9	3	3	3	1	1	1	0	1	0	4	0	1	0	7	5	3	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south23_all	80	6633	5810	2610	1654	1222	1206	543	738	466	297	326	249	430	249	181	148	131	136	112	115	107	136	149	80	61	70	58	57	83	37	46	69	33	47	25	25	45	30	18	15	44	17	10	13	27	15	17	7	13	14	10	16	15	6	8	6	6	5	7	7	4	3	8	4	2	4	3	1	4	2	3	3	1	0	2	1	10	8	4	2	0	1	1	1	1	0	7	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
