label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29
0.03	north8_active	80	329	479	118	74	114	43	8	10	57	29	5	0	2	3	4	2	1	0	1	0	0	0	2	0	0	0	1	0	0	0
0.03	north9_all	80	658	743	209	133	163	62	16	19	82	33	5	1	2	2	9	1	0	1	1	1	0	0	2	0	0	0	0	0	0	0
0.03	north9_active	80	333	514	115	82	117	38	6	10	57	27	2	1	2	2	6	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0
0.03	north10_all	80	692	703	209	124	178	60	22	39	76	54	7	1	0	3	14	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	357	476	118	74	120	37	7	28	46	48	3	1	0	3	5	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	775	619	213	132	204	65	20	31	41	28	7	7	2	5	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	370	391	111	76	106	42	9	16	18	19	5	5	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	751	644	208	128	201	66	23	34	42	23	7	6	2	6	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	369	420	109	69	117	41	11	20	23	15	6	3	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	743	636	238	127	209	57	27	34	49	27	5	5	2	8	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	373	406	130	71	145	37	16	17	27	17	5	2	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	716	646	229	118	215	48	26	29	48	21	5	2	1	5	2	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	north14_active	80	377	424	131	64	145	25	17	16	25	10	5	1	1	1	1	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_all	80	751	620	226	105	217	53	26	37	58	26	7	3	1	4	2	1	1	0	2	1	0	0	1	0	0	1	0	0	0	0
0.03	north15_active	80	386	397	130	56	160	31	15	24	41	13	5	1	0	3	1	1	0	0	2	1	0	0	1	0	0	1	0	0	0	0
0.03	north16_all	80	749	601	223	98	208	70	26	36	67	27	9	3	2	7	4	3	1	0	3	1	0	0	1	0	0	1	0	0	0	0
0.03	north16_active	80	393	401	131	53	140	47	17	24	55	15	6	0	1	4	2	2	0	0	2	1	0	0	1	0	0	1	0	0	0	0
0.03	north17_all	80	736	634	225	107	242	64	28	31	79	21	14	7	4	7	8	2	1	0	3	1	1	0	0	0	0	2	0	0	0	0
0.03	north17_active	80	361	398	139	62	149	48	16	23	63	13	6	2	2	4	4	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0
0.03	north18_all	80	734	660	227	115	248	77	24	23	80	27	12	6	5	6	7	3	0	1	2	2	1	0	0	1	0	2	0	0	0	0
0.03	north18_active	80	357	411	134	63	154	55	14	18	67	16	5	2	3	3	4	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0
0.03	north19_all	80	751	720	215	115	246	70	26	17	55	21	11	8	6	3	6	8	0	1	2	1	1	0	0	1	0	1	0	0	0	0
0.03	north19_active	80	354	452	125	58	150	43	14	9	43	13	5	2	4	2	3	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	754	676	201	122	205	63	23	37	45	17	13	3	8	6	6	7	0	1	2	1	1	0	0	3	0	1	0	0	0	0
0.03	north20_active	80	361	446	117	64	139	33	11	22	36	10	7	0	5	2	4	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	641	331	137	300	61	81	28	21	36	16	8	7	8	8	0	2	3	1	4	2	1	1	0	0	0	0	0	0	0	0
0.03	south21_active	80	301	186	68	186	35	31	12	10	25	12	4	4	6	3	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	665	345	135	296	64	91	27	25	35	12	7	5	10	5	2	1	2	1	3	2	1	0	0	0	0	0	0	0	1	0
0.03	south22_active	80	311	211	69	181	36	38	12	12	28	10	3	2	8	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
0.03	south23_all	80	669	363	146	275	68	94	26	27	29	15	2	7	11	5	2	1	2	0	3	2	1	0	0	0	0	0	0	3	1	0
0.03	south23_active	80	307	222	72	183	39	45	10	14	20	11	0	3	10	1	1	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0
0.03	south24_all	80	675	367	147	268	68	83	20	23	27	9	1	9	11	2	3	1	5	0	2	1	1	0	0	0	0	0	0	3	1	0
0.03	south24_active	80	310	207	76	177	35	49	6	11	20	4	0	5	11	1	1	0	3	0	0	0	0	0	0	0	0	0	0	3	1	0
0.03	south25_all	80	655	361	148	271	61	94	16	22	25	13	3	6	14	4	2	0	3	0	1	1	4	0	0	0	0	0	0	3	0	0
0.03	south25_active	80	300	198	68	171	29	54	7	10	17	5	1	4	14	2	0	0	3	0	0	0	4	0	0	0	0	0	0	3	0	0
0.03	south26_all	80	655	338	138	243	55	86	20	22	27	16	4	7	8	2	2	0	5	0	2	1	4	1	0	0	0	0	0	0	0	0
0.03	south26_active	80	305	168	60	168	26	52	9	11	21	7	2	3	8	1	0	0	4	0	1	0	4	1	0	0	0	0	0	0	0	0
0.03	south27_all	80	635	344	139	284	49	97	21	21	26	15	6	7	6	3	2	0	7	0	1	1	4	1	0	0	0	0	0	0	0	0
0.03	south27_active	80	300	174	65	193	23	61	10	10	17	9	2	3	6	1	1	0	6	0	1	0	4	1	0	0	0	0	0	0	0	0
0.03	south28_all	80	609	329	129	258	48	88	29	18	26	16	7	8	3	1	2	0	5	0	2	0	0	1	0	0	0	0	0	0	0	0
0.03	south28_active	80	279	157	63	172	21	58	12	9	17	9	3	4	2	0	1	0	4	0	2	0	0	1	0	0	0	0	0	0	0	0
0.03	south29_all	80	643	315	128	249	43	75	24	18	27	12	5	6	2	2	3	1	5	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	276	153	58	164	15	49	11	8	17	9	2	4	0	1	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	638	290	132	210	52	67	24	14	22	11	6	7	3	1	3	1	5	0	1	1	2	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	269	137	49	137	22	39	9	5	12	6	2	5	0	1	2	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	612	369	156	290	60	98	22	11	40	10	4	3	8	2	4	2	5	2	0	0	2	0	0	0	0	1	2	0	0	0
0.03	south31_active	80	289	194	85	179	32	57	7	7	31	4	3	2	6	0	2	1	4	1	0	0	2	0	0	0	0	1	2	0	0	0
0.03	south32_all	80	606	346	136	266	61	88	22	13	42	13	3	2	7	2	5	1	5	2	0	0	0	0	0	1	0	0	2	0	0	0
0.03	south32_active	80	281	197	67	169	30	55	9	7	30	5	3	2	5	0	2	1	4	1	0	0	0	0	0	0	0	0	2	0	0	0
0.03	south33_all	80	585	372	146	294	63	91	31	11	41	17	5	4	6	2	3	1	1	2	0	0	0	0	0	1	0	0	2	0	0	1
0.03	south33_active	80	262	206	69	209	26	64	15	6	26	7	5	3	4	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0
0.03	south34_all	80	639	356	140	309	61	80	25	13	41	16	6	4	5	5	1	2	1	1	0	0	0	0	0	1	0	0	0	0	0	1
0.03	south34_active	80	289	217	61	198	24	56	10	6	27	6	5	3	3	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	661	393	152	322	66	67	26	13	37	19	8	8	11	7	0	2	2	2	0	0	1	1	0	1	0	0	0	0	0	1
0.03	south35_active	80	304	222	68	213	27	47	13	6	27	10	5	5	8	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	656	381	155	299	59	69	18	16	35	23	9	7	15	5	3	1	2	4	0	0	1	1	1	0	0	0	0	0	0	0
0.03	south36_active	80	288	220	77	185	25	44	9	8	24	14	4	4	8	1	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	674	407	166	291	53	81	17	17	27	22	8	5	13	6	3	0	1	4	0	0	1	1	1	0	0	0	0	0	0	0
0.03	south37_active	80	307	234	85	206	24	51	11	11	20	13	2	3	6	2	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	669	402	168	290	54	89	19	24	28	21	8	7	9	5	4	3	2	4	0	0	0	1	1	0	0	0	0	0	0	0
0.03	south38_active	80	316	240	82	197	27	60	14	17	18	14	3	5	2	1	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	657	369	144	271	52	97	18	25	26	17	8	11	8	4	3	3	2	2	1	0	0	1	1	0	0	0	0	0	0	0
0.03	south39_active	80	307	220	67	188	28	62	13	13	15	11	5	8	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	639	326	133	239	59	81	25	23	30	16	6	12	5	4	4	3	2	1	1	0	0	2	3	0	1	0	0	0	0	0
0.03	south40_active	80	287	184	67	169	30	50	16	10	18	10	4	8	2	1	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0
