label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62
0.03	south24_active	80	31715	21710	5036	13129	3097	589	837	932	2281	348	841	155	434	302	58	419	393	47	108	74	82	60	6	26	9	29	15	46	11	12	10	12	0	2	34	2	2	4	0	5	2	0	0	2	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south25_all	80	48247	27469	9838	14870	5095	2683	2221	1772	2713	946	1287	581	654	476	281	538	476	162	191	131	109	74	55	50	38	48	17	40	23	13	27	19	5	6	17	3	3	5	1	5	2	2	2	1	2	0	1	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	south25_active	80	31422	21687	5061	13100	3039	589	839	978	2371	360	953	189	444	290	47	450	431	51	142	78	81	39	9	28	9	29	11	29	11	12	11	15	0	1	16	2	2	2	0	5	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_all	80	48783	27414	9884	14583	5133	2732	2185	1789	2829	968	1313	568	625	475	277	509	429	176	186	146	113	69	62	51	35	41	21	36	17	11	26	16	4	9	12	2	4	4	1	2	3	3	4	1	2	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_active	80	32050	21635	5016	12867	3107	586	821	1001	2481	366	968	180	403	284	43	435	373	57	138	92	80	38	13	32	3	24	11	26	7	8	11	14	1	5	11	2	3	1	0	2	1	1	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south27_all	80	48776	27609	9971	14533	5109	2731	2211	1741	2839	975	1279	599	654	459	271	476	470	173	186	135	122	76	64	43	25	31	20	46	15	15	26	22	3	9	5	1	6	4	1	2	2	2	3	1	1	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	32056	21755	5052	12842	3127	599	844	930	2492	367	960	173	428	273	51	400	405	56	143	80	85	43	16	27	4	18	10	38	9	10	11	19	2	7	4	1	5	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	49072	27560	10066	14659	5044	2754	2167	1735	2919	993	1176	589	695	460	255	419	494	157	176	147	143	71	64	46	23	30	24	60	17	18	23	15	3	10	7	3	12	5	0	2	1	3	3	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	32327	21712	5055	12961	3095	609	825	936	2561	349	867	157	474	296	48	346	430	53	142	85	95	41	12	22	5	19	11	50	8	11	13	12	3	8	5	1	5	2	0	0	0	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	49169	27599	10087	14913	4938	2774	2121	1704	2846	936	1184	588	710	491	246	466	463	151	172	147	138	57	59	47	25	33	29	58	14	19	22	33	8	13	16	3	14	6	2	2	4	4	3	0	2	1	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	32250	21671	5040	13180	3074	642	779	935	2456	344	870	151	487	325	55	390	402	50	130	85	93	29	9	22	5	22	18	49	5	10	14	29	4	12	14	1	7	3	0	0	4	0	3	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	48636	27633	10010	14963	4824	2772	2063	1726	2839	928	1181	583	679	505	235	444	427	142	179	139	143	65	55	56	25	38	42	47	11	16	18	26	8	8	18	5	12	5	5	1	5	5	1	0	2	1	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
