label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110
0.03	north10_all	80	4504	1698	1055	1038	584	531	344	302	247	219	177	178	130	117	114	126	82	81	52	84	40	57	43	56	37	26	50	24	32	33	16	15	11	18	16	11	11	18	11	11	9	5	5	3	6	5	5	4	3	7	0	3	3	2	1	3	1	3	2	0	1	2	4	0	2	1	2	1	0	6	1	2	0	2	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1
0.03	north10_active	80	2424	866	550	611	301	279	170	159	120	112	86	93	55	58	56	73	42	49	20	41	20	39	17	45	18	9	29	5	19	19	6	9	4	7	8	3	3	12	9	3	2	2	1	2	4	2	2	2	2	3	0	1	2	1	0	3	1	2	0	0	1	1	3	0	1	1	1	1	0	2	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north11_all	80	8222	1656	1019	1792	868	962	346	545	266	251	180	184	119	118	103	222	123	119	67	207	44	94	34	141	45	42	53	24	44	58	19	24	16	16	29	18	10	32	15	9	5	15	3	5	2	5	5	14	8	7	5	3	10	0	6	2	4	0	4	1	2	0	1	9	1	2	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	5219	789	518	1130	519	608	168	317	149	133	95	98	68	55	48	124	69	65	42	124	20	55	16	98	29	25	34	10	28	27	11	11	10	8	18	10	3	17	5	6	1	8	1	3	1	3	2	9	2	6	1	3	3	0	1	2	3	0	3	0	0	0	0	7	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	8189	1617	1020	1813	849	913	365	528	263	226	184	185	128	125	119	209	127	105	73	188	43	115	46	111	44	49	51	25	48	51	17	24	19	17	43	18	14	30	20	8	3	9	4	4	4	8	4	8	8	8	4	1	7	0	6	0	3	0	5	1	2	0	1	7	1	1	9	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	5213	757	489	1178	498	576	175	309	142	116	96	88	65	62	60	133	72	58	40	116	28	66	24	70	24	32	28	12	29	23	7	12	13	8	30	12	6	21	10	4	1	5	1	3	3	4	2	6	4	6	0	1	0	0	2	0	2	0	3	0	1	0	0	6	1	0	9	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	8313	1596	1019	1825	851	879	364	502	254	225	167	205	136	116	114	189	123	106	73	168	46	116	51	104	43	46	53	18	49	48	16	24	22	17	41	15	12	32	19	8	5	6	8	4	5	7	2	6	8	8	4	1	4	2	5	0	8	0	1	0	1	3	1	7	1	2	11	0	2	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	5289	748	488	1171	508	564	167	295	132	123	85	107	64	65	56	114	70	56	44	106	28	66	26	63	23	32	30	10	34	28	5	13	14	7	30	8	6	24	9	5	1	3	2	3	4	3	1	4	4	6	0	1	0	2	2	0	8	0	0	0	1	1	0	6	1	1	11	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	8227	1593	1011	1841	832	863	362	508	269	225	158	221	152	123	108	164	118	107	74	141	49	105	50	90	39	42	60	29	62	48	12	17	20	19	44	17	17	27	20	7	5	4	12	6	8	5	2	6	8	6	6	1	3	4	5	1	8	1	4	1	1	3	1	0	1	1	11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	5217	739	468	1196	487	540	165	294	146	121	77	116	71	68	57	108	64	56	44	94	29	65	29	56	19	26	33	17	43	32	4	11	13	9	30	9	9	20	11	4	1	1	4	5	5	1	2	5	5	4	3	1	0	4	3	1	8	0	2	0	1	1	0	0	0	1	11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	8311	1607	1025	1797	814	876	352	515	282	229	160	209	150	104	95	171	120	108	70	152	52	87	46	96	37	43	60	31	55	45	14	17	19	19	29	19	16	34	12	3	5	4	11	7	8	12	3	7	7	3	6	2	4	4	4	1	8	2	4	2	0	3	0	0	1	1	12	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north15_active	80	5253	767	486	1158	464	557	167	299	143	123	73	110	74	54	47	110	70	60	35	101	25	56	27	59	22	22	33	16	38	35	8	11	10	10	15	9	10	23	7	3	1	2	4	4	3	2	2	5	4	2	3	2	3	4	3	1	8	0	2	0	0	1	0	0	0	1	11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north16_all	80	8234	1665	1040	1881	797	940	367	521	280	230	170	193	137	114	98	181	116	96	71	167	55	63	43	110	31	44	60	32	58	52	11	18	18	19	35	18	23	39	11	4	4	7	11	7	9	10	5	10	9	6	5	3	5	6	4	1	9	2	4	2	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north16_active	80	5188	793	492	1208	452	595	177	305	155	117	83	101	69	64	44	117	63	52	35	93	25	34	22	64	17	25	35	13	34	32	7	12	8	12	22	10	14	21	9	3	2	4	6	4	3	2	4	7	4	5	3	2	5	6	3	1	8	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north17_all	80	7752	1630	1007	1771	752	854	368	472	282	209	166	168	139	109	85	171	114	95	76	169	52	60	44	107	36	43	51	27	61	51	15	21	17	20	37	20	23	32	13	6	5	8	10	7	7	10	4	8	10	6	1	4	6	3	4	0	1	2	2	2	1	1	0	1	0	1	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north17_active	80	4837	773	471	1124	433	541	187	268	159	107	72	85	74	63	36	107	63	58	41	100	20	33	17	55	18	27	30	13	37	30	8	11	6	15	19	11	12	18	9	3	2	6	6	2	3	3	3	4	4	4	0	3	6	3	3	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north18_all	80	6960	1597	989	1583	704	784	357	443	252	192	173	152	125	113	80	147	120	88	64	124	44	63	36	103	35	37	44	20	57	51	18	17	19	23	37	19	22	29	14	5	5	11	9	6	7	4	2	11	7	9	1	2	3	4	3	1	1	0	1	1	2	1	1	1	1	1	1	2	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north18_active	80	4290	729	459	967	401	486	168	249	136	88	91	75	56	65	38	84	70	52	32	65	17	39	15	53	16	23	31	9	38	28	9	8	7	16	18	12	10	14	7	1	3	7	7	1	5	2	2	4	0	4	0	1	3	3	2	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	6028	1574	947	1392	686	664	347	393	242	186	163	139	140	110	58	137	109	89	61	99	39	57	27	82	34	16	37	19	53	40	18	20	19	22	24	17	23	19	20	7	6	13	7	4	9	2	1	8	6	8	3	3	3	4	0	1	1	1	0	1	2	1	1	1	1	1	2	2	1	0	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north19_active	80	3571	703	432	811	366	410	166	210	131	84	81	72	58	57	26	79	64	52	32	62	19	33	7	43	16	7	23	12	39	21	9	9	7	14	11	10	13	11	14	2	2	6	4	0	6	1	1	2	2	2	0	2	3	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	6133	1569	972	1337	699	706	330	418	220	198	179	149	135	117	67	151	110	97	58	105	37	81	25	74	37	21	40	25	55	25	17	20	18	22	14	19	27	26	19	10	7	18	10	3	12	1	3	8	6	11	3	4	2	4	0	1	1	2	1	0	2	2	2	1	1	1	3	2	1	0	3	4	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	3649	703	444	831	352	411	151	230	112	92	95	76	51	55	24	101	66	56	34	59	21	49	6	49	22	8	18	13	39	15	11	11	8	11	9	12	17	22	11	5	4	7	8	0	6	1	3	2	2	4	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	8225	1672	1067	1740	822	946	345	486	261	254	181	205	138	118	103	214	136	61	82	165	54	69	30	78	43	38	63	24	45	38	11	14	14	14	15	24	17	31	13	1	6	6	17	8	8	1	3	7	8	8	8	6	3	4	5	1	7	2	1	6	2	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south21_active	80	5326	776	499	1110	480	595	170	298	145	128	82	110	74	65	49	143	72	24	44	95	30	33	15	51	28	20	45	12	27	26	6	7	8	8	10	20	13	21	10	1	2	3	8	2	6	1	3	5	5	7	7	2	1	1	1	0	6	1	0	2	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	8113	1689	1068	1678	829	960	339	497	257	252	166	221	126	141	104	201	143	76	99	175	57	80	30	101	48	36	73	31	54	50	19	23	20	23	19	26	24	28	8	1	4	1	13	10	6	2	6	5	6	5	10	6	2	7	6	1	6	2	1	6	1	1	1	0	1	0	3	0	1	0	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0.03	south22_active	80	5237	787	485	1066	492	598	182	324	138	129	67	121	66	78	50	114	70	38	56	88	32	39	15	67	29	23	54	17	40	28	9	9	9	19	12	18	13	24	6	1	2	1	8	2	4	1	5	3	5	4	8	2	1	4	2	0	5	1	0	2	1	0	1	0	1	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south23_all	80	8111	1668	1072	1715	828	936	367	495	248	251	156	246	136	143	105	205	146	89	96	209	62	92	35	92	50	35	66	35	51	53	19	26	19	24	22	25	30	32	12	10	5	1	12	7	8	3	6	5	4	4	10	4	6	14	7	2	6	1	2	5	1	3	1	0	0	0	2	0	1	0	2	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0.03	south23_active	80	5261	777	501	1094	488	589	197	334	138	133	60	136	66	72	49	118	78	53	55	124	31	45	16	57	28	22	46	20	43	31	10	10	9	18	16	14	11	25	9	6	4	1	8	0	6	1	4	4	3	3	8	1	4	8	3	1	5	1	0	2	1	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south24_all	80	8143	1658	1048	1745	793	925	381	484	244	256	149	232	125	131	100	196	140	103	92	225	65	88	34	107	57	28	64	37	66	56	25	31	18	23	20	25	25	38	13	9	6	2	4	7	9	4	7	3	8	2	9	3	6	16	7	3	2	1	1	2	1	4	2	2	0	0	3	0	1	0	3	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south24_active	80	5302	784	481	1122	461	569	207	316	132	140	62	134	54	67	48	120	70	57	57	137	40	51	15	71	34	15	47	20	54	30	14	14	6	17	13	13	9	28	10	5	4	2	2	1	5	1	5	3	7	2	7	1	3	11	3	2	0	1	0	2	1	1	1	2	0	0	3	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south25_all	80	8195	1683	1042	1838	775	911	389	540	266	247	143	222	141	122	98	193	139	116	85	236	64	80	31	88	55	30	57	29	73	51	19	30	16	23	22	26	25	34	15	11	9	2	4	4	7	3	3	2	11	6	4	2	5	22	5	2	3	1	1	3	0	4	2	2	1	0	2	0	0	0	4	2	1	1	1	0	0	1	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south25_active	80	5358	802	499	1158	443	560	206	334	140	135	66	117	62	54	48	109	78	63	53	162	32	44	14	57	30	11	41	14	58	33	11	15	9	17	16	12	10	22	11	6	6	2	3	1	3	1	2	2	8	6	2	1	3	11	2	2	0	1	0	3	0	1	1	2	1	0	1	0	0	0	3	0	1	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south26_all	80	8321	1682	1045	1836	803	867	394	542	269	259	149	224	141	129	97	200	118	121	70	215	57	68	30	115	50	29	47	27	70	60	26	22	17	13	22	26	13	31	19	8	8	4	6	5	8	1	3	4	15	7	5	4	4	16	4	2	3	2	0	4	0	5	1	2	1	0	3	1	0	2	3	0	1	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south26_active	80	5405	803	494	1166	458	528	197	324	133	141	74	120	56	58	50	124	70	68	46	169	25	41	16	77	35	8	33	11	55	41	15	13	9	8	15	18	7	23	12	4	6	4	5	1	3	0	1	4	10	5	3	2	1	7	2	1	1	2	0	3	0	2	0	2	1	0	1	0	0	1	2	0	1	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south27_all	80	8088	1749	1009	1810	826	885	379	542	278	246	147	216	139	131	96	225	112	113	60	189	57	60	36	123	44	28	59	28	72	57	27	21	13	16	24	26	14	36	29	7	8	3	10	6	10	2	2	3	13	7	5	5	3	11	4	1	4	2	0	2	1	4	0	0	1	0	3	1	0	3	3	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south27_active	80	5226	860	472	1150	464	555	191	329	138	133	75	120	56	55	46	138	68	72	37	140	24	35	16	84	28	8	43	9	54	39	15	12	8	10	16	12	9	29	16	3	4	2	8	3	2	0	0	3	7	4	2	3	1	5	3	0	3	2	0	1	0	2	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
