label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97
0.03	north13_active	80	4116	1527	2427	375	425	272	400	523	258	119	163	65	290	46	59	64	63	35	80	26	18	39	27	25	18	19	13	40	23	10	5	7	11	11	4	2	26	5	10	26	6	4	2	1	10	8	4	1	11	2	1	1	1	2	1	2	2	0	2	0	2	0	1	0	13	1	0	0	1	0	1	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	7242	2773	3805	936	832	562	675	837	492	253	294	167	440	120	110	111	105	73	130	68	58	66	38	40	34	44	27	70	41	20	16	16	16	20	9	8	30	7	16	14	9	7	8	4	10	9	5	3	6	1	5	2	3	11	1	3	2	2	4	2	3	1	0	0	12	1	0	0	1	0	0	0	0	0	1	2	0	0	5	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north14_active	80	4121	1514	2469	404	425	269	370	521	276	117	161	66	276	56	57	51	64	29	65	29	25	43	22	21	19	24	14	51	33	8	4	7	8	13	4	3	24	6	11	12	7	4	6	1	9	9	4	1	3	0	3	1	2	9	0	2	2	0	1	1	3	1	0	0	12	1	0	0	1	0	0	0	0	0	1	2	0	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	7286	2812	3855	940	832	547	650	835	520	283	289	173	437	140	117	97	124	68	128	73	59	77	37	40	29	47	34	75	39	23	14	21	16	15	10	7	35	5	13	13	9	9	10	4	10	10	3	1	3	1	5	3	6	9	0	3	1	3	5	1	2	1	1	0	7	1	0	0	2	0	0	0	0	0	2	1	0	0	4	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north15_active	80	4188	1518	2489	435	431	269	369	526	291	142	158	72	279	53	55	47	79	26	70	30	27	48	17	17	15	23	18	57	30	11	5	8	9	8	4	4	28	4	8	12	6	6	6	1	8	10	3	1	2	0	3	0	5	9	0	2	1	0	1	1	2	1	1	0	7	1	0	0	1	0	0	0	0	0	1	1	0	0	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	7371	2854	3879	995	811	543	623	774	513	279	303	171	413	148	115	88	127	66	151	66	46	65	38	43	27	48	38	65	41	20	9	17	14	13	11	11	23	7	10	14	8	7	8	4	9	4	4	3	3	2	7	2	4	15	0	3	0	4	4	2	2	1	2	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	4	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north16_active	80	4242	1553	2490	452	402	268	333	492	287	141	160	78	247	54	56	45	83	30	87	28	25	39	17	17	12	25	20	51	31	10	4	7	6	8	3	6	17	7	7	10	5	4	5	1	6	4	3	3	1	0	5	0	4	10	0	2	0	1	2	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	7401	2875	3870	1011	817	581	680	784	526	266	278	163	407	158	126	81	113	66	151	56	43	72	42	41	28	63	35	66	33	19	12	17	15	8	14	10	20	6	8	18	12	5	8	3	7	7	3	3	3	2	6	6	5	8	1	1	1	3	4	1	2	1	5	0	3	0	0	0	1	0	0	0	0	0	1	1	0	0	4	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1
0.03	north17_active	80	4296	1572	2494	473	410	293	386	518	300	133	138	71	239	55	61	46	68	27	84	19	24	39	19	14	15	41	22	50	25	10	4	9	9	4	5	6	14	5	6	13	6	4	4	1	4	7	1	3	2	0	5	2	4	3	0	0	1	2	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	7372	2873	3763	1009	802	581	701	764	502	256	285	148	428	148	110	96	118	84	155	57	43	66	44	44	35	53	34	59	30	17	14	9	16	12	15	13	18	12	5	18	15	6	4	4	4	10	5	3	5	2	3	8	8	8	3	0	1	3	3	1	2	1	4	0	4	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
0.03	north18_active	80	4277	1568	2419	488	392	293	411	513	279	117	158	61	257	52	60	57	66	44	89	19	22	32	21	19	18	41	19	38	23	8	7	4	9	6	5	7	11	9	4	13	7	3	2	1	2	9	3	3	3	0	2	3	5	3	2	0	1	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	7306	2761	3710	969	785	558	687	813	518	243	318	158	463	139	106	103	124	90	138	55	46	61	44	45	42	70	24	55	25	20	14	14	14	8	18	11	16	12	8	15	17	7	4	5	5	11	5	4	3	2	1	8	9	2	3	1	1	2	3	0	4	1	3	0	4	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	4203	1474	2334	494	414	273	402	558	286	112	183	64	297	55	55	56	66	50	81	18	21	30	21	23	24	54	10	32	17	8	7	8	9	4	7	7	10	6	5	8	11	1	2	1	2	10	2	3	2	0	0	3	4	2	2	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	7217	2748	3640	944	779	557	663	825	462	270	317	176	483	147	112	109	132	75	141	58	44	65	40	43	38	62	24	53	19	23	15	20	10	7	13	12	33	16	9	12	10	8	4	3	7	7	5	3	4	4	1	6	8	1	4	1	1	1	2	1	3	1	2	0	2	0	0	3	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	4146	1427	2321	476	413	285	378	559	262	131	194	77	341	63	55	60	68	44	85	24	17	35	17	21	22	44	8	31	11	11	11	13	4	3	6	7	30	10	5	8	7	1	3	0	3	6	2	2	3	1	0	1	3	1	4	0	1	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	7289	2826	3790	944	797	597	675	842	474	272	267	183	412	103	124	100	125	77	143	65	47	79	33	41	34	60	23	46	38	14	16	12	15	15	11	16	15	13	11	19	8	3	8	7	4	8	4	5	8	4	2	6	2	6	1	3	2	1	1	1	2	0	0	2	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south21_active	80	4261	1493	2491	428	403	306	376	553	286	120	151	78	285	46	60	56	84	39	91	34	22	44	17	23	17	39	10	36	22	6	8	5	8	5	5	5	9	10	6	11	5	3	5	4	1	5	2	4	2	1	1	0	0	3	1	1	2	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south22_all	80	7171	2840	3857	910	786	558	669	856	443	244	290	171	413	125	117	109	128	82	146	66	40	73	40	40	30	48	22	55	44	15	14	16	12	18	14	16	17	15	9	13	7	6	12	6	3	5	5	9	10	5	3	3	3	3	1	4	3	2	1	1	3	1	2	2	1	0	0	0	0	0	0	0	0	0	5	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south22_active	80	4203	1486	2546	406	405	284	392	575	271	107	175	74	276	54	54	63	91	44	86	35	12	41	17	23	6	36	9	44	21	5	8	10	7	7	5	5	10	13	5	7	4	3	8	2	0	3	1	6	5	2	2	2	0	2	0	1	2	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south23_all	80	7054	2731	3852	953	791	528	676	803	461	261	299	175	443	133	112	114	128	84	133	59	42	65	37	40	28	55	30	61	48	17	15	15	10	21	15	13	32	18	8	6	5	9	10	3	6	1	5	7	11	6	3	3	2	4	2	5	2	3	2	1	1	2	4	1	1	1	0	0	0	1	0	0	0	1	5	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	4089	1450	2566	442	401	252	401	530	280	124	166	82	297	58	57	61	84	38	74	24	14	39	13	21	6	33	11	50	32	8	7	8	4	12	6	5	25	14	5	3	3	5	5	2	3	1	0	3	6	5	2	3	1	4	1	2	1	2	1	0	0	2	4	0	1	1	0	0	0	1	0	0	0	1	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	7042	2687	3795	948	765	510	675	741	486	270	309	180	449	131	130	125	129	86	134	57	45	61	41	33	32	50	35	55	51	18	12	15	8	26	16	10	31	25	9	8	5	9	12	5	8	6	4	5	15	4	1	5	2	3	4	4	2	3	2	0	1	2	5	1	1	1	0	0	0	1	1	0	0	1	4	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	4065	1416	2492	432	394	232	402	477	305	127	178	85	314	54	67	70	80	31	78	27	16	41	17	15	9	26	16	45	35	7	4	10	3	17	5	4	25	20	7	5	4	4	8	2	4	5	0	2	8	4	1	5	1	2	2	2	1	2	0	0	0	2	5	0	1	1	0	0	0	1	0	0	0	1	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	7060	2640	3712	977	767	528	671	757	479	271	295	183	460	129	127	109	134	85	119	61	46	57	44	29	28	53	37	50	46	19	13	12	13	29	13	7	35	19	9	12	6	8	5	2	10	12	1	3	7	4	0	4	2	4	7	2	2	6	3	1	0	1	5	0	1	1	0	0	0	1	2	0	1	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south25_active	80	4077	1364	2439	447	386	231	387	474	282	126	168	82	319	52	67	58	83	26	69	25	21	35	16	18	15	28	19	38	31	8	5	6	7	21	5	3	27	14	4	8	4	4	3	0	6	11	0	2	5	3	0	3	1	2	3	2	1	2	1	0	0	1	4	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	7170	2713	3635	1004	832	541	668	761	471	280	291	171	451	121	114	104	135	79	135	57	61	54	40	25	30	48	29	46	37	19	17	14	16	24	15	11	19	19	9	10	8	8	8	3	9	16	0	6	6	2	0	3	0	4	7	2	3	4	4	1	0	0	2	1	2	2	0	0	0	0	2	0	1	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south26_active	80	4101	1449	2322	470	418	238	378	485	257	129	161	72	320	54	61	53	86	31	92	27	28	31	17	15	15	25	17	35	26	7	4	6	12	14	5	5	12	13	3	7	4	1	7	0	6	12	0	4	4	0	0	2	0	2	3	2	3	1	1	0	0	0	1	1	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	7149	2769	3707	988	853	550	690	840	465	264	286	170	450	131	118	99	131	75	145	62	63	60	41	32	34	40	24	61	39	19	15	14	21	20	17	13	18	10	13	6	10	10	8	3	6	15	1	7	2	4	0	2	2	1	6	0	2	4	3	1	0	0	2	4	4	2	0	1	0	0	1	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south27_active	80	4121	1459	2387	456	427	243	405	531	258	109	171	84	321	52	57	49	88	33	105	29	31	37	17	18	15	24	13	42	27	8	4	6	15	12	6	5	14	5	4	3	5	2	6	1	4	10	1	4	1	0	0	0	2	0	2	0	2	1	1	0	0	0	1	2	4	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	7308	2723	3735	1031	881	538	684	917	457	245	287	162	468	136	132	96	122	73	155	58	65	69	40	27	31	46	19	60	29	18	16	21	17	18	16	12	16	11	13	8	11	10	6	7	5	12	4	7	2	4	0	2	2	0	5	0	2	3	2	1	0	0	3	4	3	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	south28_active	80	4196	1461	2415	489	433	251	396	597	271	110	163	80	335	50	62	46	81	29	116	31	30	43	19	12	13	26	10	38	20	5	5	11	13	12	4	5	10	5	6	4	7	4	4	4	3	7	4	4	1	1	0	0	2	0	2	0	2	3	1	1	0	0	2	2	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	7265	2698	3785	995	842	530	680	914	470	240	279	158	497	145	131	101	120	80	152	60	54	74	40	37	32	43	15	72	27	19	11	21	17	13	20	10	21	11	10	17	7	9	3	6	3	8	5	7	4	3	0	4	2	3	3	0	4	4	3	2	0	1	2	4	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	4194	1429	2467	462	426	251	383	600	287	114	157	83	335	58	60	46	76	29	114	36	27	44	20	20	15	26	8	40	19	8	4	10	13	8	6	5	12	6	6	9	5	4	2	4	2	4	4	2	1	1	0	2	2	3	1	0	3	4	1	2	0	0	2	2	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	7309	2686	3753	990	752	547	674	932	484	249	279	167	525	149	125	88	130	86	144	54	47	82	34	42	31	52	20	83	34	18	15	20	16	11	13	9	17	9	8	22	13	8	7	7	6	6	9	7	6	2	0	4	2	8	1	0	3	4	4	4	0	1	2	2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	4231	1427	2418	460	392	262	380	613	310	120	155	81	352	62	59	38	77	34	105	32	24	50	20	24	15	30	9	57	24	6	5	10	12	9	3	4	7	5	6	10	7	4	4	4	5	4	8	3	1	2	0	2	1	4	1	0	1	4	1	4	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	7052	2730	3706	977	806	538	722	835	465	264	309	169	474	116	132	94	159	67	151	64	55	59	32	42	44	63	25	63	43	14	15	17	14	10	8	12	15	14	10	16	9	6	10	4	9	9	6	8	5	2	4	5	3	11	1	0	2	1	2	6	1	1	1	1	0	0	0	0	1	0	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
