label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118
0.03	north7_all	80	33474	29182	7680	5239	6481	5708	5760	2028	1533	1368	1797	1912	779	976	619	565	486	450	466	347	492	349	229	184	250	213	121	150	113	108	96	177	87	103	62	108	77	49	37	32	53	37	37	29	24	24	22	8	12	24	15	22	13	6	7	16	8	4	7	7	4	8	1	3	5	9	3	0	1	2	0	0	1	0	1	3	3	0	2	0	4	0	1	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north7_active	80	20608	25359	2846	1830	4965	4642	5080	806	498	496	1344	1564	274	619	216	242	167	222	297	152	380	220	61	57	166	135	51	83	61	61	47	152	62	87	26	83	44	14	12	14	38	23	28	13	5	17	8	4	5	14	9	18	4	1	5	10	8	1	1	7	1	7	1	2	0	7	3	0	0	2	0	0	1	0	0	3	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north8_all	80	33678	28896	7658	5201	6401	5610	5590	2008	1560	1356	1845	1857	781	965	644	603	494	449	491	356	471	336	221	182	224	224	128	157	107	117	81	175	94	110	69	111	92	42	35	37	57	35	34	29	28	23	17	9	19	14	23	21	12	10	6	16	9	7	7	10	2	13	6	3	6	13	4	0	1	2	0	2	2	1	1	4	3	0	0	0	4	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north8_active	80	20688	25143	2824	1816	4908	4563	4903	800	506	496	1400	1498	274	615	236	271	174	209	312	155	354	208	54	50	140	137	49	84	52	67	38	149	69	89	32	84	57	12	8	21	39	22	26	12	9	17	8	4	10	4	20	15	3	3	4	10	9	2	1	10	1	11	6	2	3	11	3	0	0	2	0	2	1	0	0	4	3	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north9_all	80	33670	28766	7670	5228	6574	5599	5634	1953	1583	1344	1861	1862	794	928	647	594	479	486	509	357	488	320	219	195	210	226	129	170	120	136	84	163	100	99	61	86	83	45	37	31	51	37	49	21	26	23	15	9	20	15	24	18	19	8	10	10	25	7	7	11	3	7	9	5	7	8	3	0	1	4	0	2	1	1	2	6	3	0	0	1	4	0	2	1	2	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north9_active	80	20655	24948	2871	1771	5085	4565	4912	793	509	497	1431	1523	267	578	228	267	169	225	347	166	366	193	63	65	119	145	48	96	53	74	38	131	69	80	29	68	43	13	10	15	36	28	39	11	9	19	6	4	10	6	22	13	7	2	8	6	25	3	1	9	2	5	8	4	4	7	2	0	0	3	0	2	0	0	0	5	3	0	0	1	3	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north10_all	80	33312	28732	7720	5306	6289	5813	5820	1950	1627	1374	1940	1825	839	904	638	573	448	495	491	358	471	274	213	195	247	211	143	172	122	149	89	150	122	92	64	84	91	40	39	42	45	38	45	13	19	27	12	10	18	17	36	13	16	10	8	11	33	7	6	11	4	7	10	3	6	10	4	1	7	2	1	2	1	2	1	5	2	0	0	1	3	0	1	0	3	1	0	0	0	1	1	0	0	0	1	0	0	2	1	0	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
0.03	north10_active	80	20249	24849	2819	1826	4812	4773	5038	787	496	515	1482	1503	290	573	228	251	154	235	341	167	353	149	61	67	148	126	53	87	56	85	41	119	89	74	27	62	51	10	13	22	31	27	36	5	6	21	6	3	9	8	28	9	5	4	7	5	31	3	1	8	2	5	8	3	4	9	3	0	5	1	0	2	0	0	0	4	2	0	0	1	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north11_all	80	33171	28199	7701	5194	6469	5824	5774	2024	1570	1358	1847	2061	798	906	602	594	459	458	512	377	510	330	242	203	234	216	141	128	116	143	105	181	101	102	37	120	81	43	41	45	39	59	38	26	15	29	12	21	13	8	19	47	11	10	9	10	16	6	3	6	2	13	18	4	1	1	3	4	3	1	3	6	2	1	1	2	1	0	9	0	0	3	0	2	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north11_active	80	20313	24302	2731	1812	4920	4743	4974	879	474	473	1433	1706	279	580	209	263	143	237	333	152	407	213	62	67	139	140	53	65	62	94	46	152	64	77	12	96	60	7	20	20	28	42	17	15	3	20	6	2	7	3	13	44	7	2	3	5	14	2	3	1	1	10	16	3	0	1	2	1	2	1	1	6	2	0	0	2	0	0	8	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	33480	28400	7829	5228	6721	6001	5910	2107	1550	1335	1820	1989	807	919	600	591	471	447	454	356	494	341	233	187	250	211	132	122	127	149	98	193	106	99	44	126	97	44	50	46	34	56	20	25	15	26	16	20	9	7	21	52	15	7	13	10	13	9	5	7	4	14	19	5	1	1	1	5	3	3	4	7	3	0	0	1	1	0	9	0	1	2	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	20532	24561	2818	1824	5125	4939	5121	884	462	466	1416	1644	273	582	228	291	147	205	288	149	399	216	65	63	157	140	53	58	59	99	47	159	66	75	16	104	75	7	24	22	24	32	13	12	3	22	9	3	3	5	14	48	11	1	6	7	12	3	4	1	2	12	18	2	1	1	0	2	2	3	1	6	2	0	0	1	0	0	8	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	33285	28463	7885	5227	6592	6064	5871	2069	1540	1346	1763	2050	798	889	584	616	450	443	443	316	477	328	220	191	237	190	119	132	139	166	87	168	101	111	48	121	108	43	58	45	40	45	29	26	22	21	21	28	10	9	17	37	19	5	12	9	10	9	5	5	5	6	11	8	3	3	1	5	3	3	7	2	2	0	0	1	0	0	1	0	3	3	0	1	0	0	0	0	2	1	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	20410	24550	2835	1804	4958	4995	5097	856	463	482	1378	1703	274	577	217	304	136	200	286	145	379	202	72	70	149	122	48	58	60	112	45	140	64	82	19	96	83	5	22	23	31	23	20	11	4	15	11	8	2	6	8	34	12	0	9	7	9	3	3	1	2	5	10	4	3	2	0	2	2	3	5	0	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	33137	28482	7611	5336	6425	5911	5848	2070	1509	1325	1829	1972	761	935	591	623	446	454	425	317	480	332	227	171	255	196	114	138	148	161	87	157	91	116	56	132	118	46	52	41	56	40	33	28	24	18	27	27	10	12	14	27	15	3	16	6	17	9	5	2	4	4	6	7	5	5	1	3	1	2	6	2	2	0	0	1	0	0	0	1	3	1	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	20326	24563	2703	1844	4897	4878	5104	832	459	499	1413	1640	252	602	209	307	131	205	267	144	373	206	71	59	165	120	45	67	67	113	45	136	63	93	22	106	86	5	20	20	34	16	25	13	4	12	13	9	2	7	6	23	10	0	11	5	16	2	3	1	1	4	6	3	4	3	1	2	0	2	5	0	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	33320	28596	7574	5363	6319	5845	5885	2020	1515	1305	1840	2031	774	918	602	599	436	447	437	332	492	339	224	170	273	206	113	144	150	152	91	154	91	104	61	104	88	38	49	34	57	33	36	30	30	27	22	24	14	19	12	11	11	1	13	8	17	9	6	1	3	10	6	7	6	8	1	3	0	2	5	1	2	1	2	1	0	2	0	1	2	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	20570	24673	2716	1815	4789	4809	5115	802	470	502	1397	1675	272	615	208	295	135	193	279	154	388	218	65	63	179	124	50	73	63	100	47	133	65	82	25	77	63	6	17	16	36	14	28	13	6	23	13	11	2	12	7	9	6	0	8	2	16	2	3	0	1	10	5	4	5	6	1	3	0	2	4	0	0	0	2	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	33157	29141	7558	5314	6186	5916	5942	2022	1560	1320	1882	2016	798	915	625	590	425	447	458	335	476	341	244	172	259	226	140	154	141	129	108	168	105	91	65	104	64	34	49	35	55	28	35	30	30	36	18	21	16	23	7	8	14	3	13	7	37	6	4	2	2	8	6	5	4	6	1	4	0	1	5	2	2	1	2	1	0	2	0	1	3	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	20313	25257	2722	1821	4683	4881	5205	794	482	521	1412	1656	277	586	219	291	140	197	303	137	369	225	70	61	172	131	54	73	69	74	53	146	82	69	30	75	42	8	22	17	38	15	29	15	9	29	11	9	4	14	4	6	9	1	7	2	35	1	2	0	1	8	5	2	3	5	1	3	0	1	4	1	1	0	2	1	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	33443	29038	7551	5234	6130	5958	5608	1992	1618	1328	1922	1933	835	930	622	574	415	467	418	341	474	348	245	189	261	209	152	150	140	130	111	170	123	78	65	117	55	43	46	36	40	32	33	34	26	46	19	18	19	24	6	7	15	11	10	8	28	6	10	2	4	10	6	4	4	6	3	3	13	2	1	2	3	1	2	1	1	2	0	1	1	0	2	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
