label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73
0.03	north7_active	80	17655	1985	711	821	332	274	166	215	106	84	267	53	52	33	55	18	146	63	22	17	22	47	7	15	11	10	23	5	3	5	5	3	7	3	1	4	0	0	9	0	1	1	1	2	0	11	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	20469	4023	2218	1680	1043	784	576	500	403	310	415	185	179	123	126	98	199	93	60	49	52	65	25	27	19	15	24	18	9	12	6	10	6	8	4	5	3	6	11	4	3	3	2	2	1	11	1	3	0	5	1	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	17642	2045	681	870	319	277	170	227	116	78	276	37	48	31	52	25	175	58	20	17	22	44	7	15	7	6	14	6	3	3	4	6	5	4	1	4	0	2	9	1	2	1	1	2	0	11	0	2	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	20322	4035	2251	1646	1026	803	567	516	382	326	370	199	184	128	127	103	205	82	57	44	46	67	27	36	18	14	25	22	11	16	7	12	3	5	5	9	2	4	4	2	1	2	2	2	0	0	1	4	0	2	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	17550	2075	673	847	293	269	171	233	111	82	258	47	48	32	46	28	181	51	19	18	15	47	6	17	5	6	15	10	5	8	4	9	3	2	1	8	0	2	3	1	1	0	1	1	0	0	0	3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	20053	4017	2269	1678	1051	844	576	524	372	334	366	210	171	142	130	99	203	74	52	53	44	72	24	37	31	16	33	17	17	17	11	17	3	10	4	13	1	3	3	2	2	1	1	2	0	0	2	4	0	1	1	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	17222	2043	673	848	307	296	185	229	115	85	265	55	52	42	49	31	180	37	15	18	16	53	7	17	14	8	22	7	5	8	7	13	3	4	0	11	0	2	2	1	2	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	20100	4077	2139	1656	985	800	642	481	377	254	355	200	188	135	91	100	268	83	68	52	36	53	39	17	17	19	44	18	6	9	8	15	11	11	8	12	2	9	6	3	2	3	1	1	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
0.03	north11_active	80	17304	2100	699	830	316	287	185	196	119	82	257	48	62	47	34	18	246	55	32	17	13	33	11	7	9	8	40	11	4	0	5	12	6	3	2	7	0	3	5	0	2	2	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north12_all	80	19804	4061	2133	1670	1002	774	644	505	357	258	371	209	191	161	110	103	214	77	62	49	45	60	34	18	21	23	57	17	10	9	7	16	7	9	5	10	2	4	6	2	1	1	1	2	1	3	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
