label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29
0.03	north11_all	80	747	285	166	151	350	34	31	23	22	15	12	3	3	4	4	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north11_active	80	355	81	90	112	336	10	15	12	6	8	6	0	1	3	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_all	80	732	279	174	146	318	33	30	23	19	19	10	1	0	4	6	1	2	0	0	1	0	0	1	0	0	0	1	0	0	0
0.03	north12_active	80	343	78	92	110	307	11	12	13	5	10	4	0	0	3	4	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north13_all	80	731	293	192	131	349	31	39	25	16	21	11	5	5	7	7	2	3	0	0	1	0	1	0	0	0	0	1	0	0	0
0.03	north13_active	80	338	86	93	99	335	3	19	13	2	10	5	2	3	5	4	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north14_all	80	697	271	180	113	310	36	33	24	19	18	11	8	5	4	6	3	2	0	0	1	0	1	0	0	0	0	1	0	0	0
0.03	north14_active	80	302	79	86	76	292	3	17	13	5	9	6	3	3	2	4	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north15_all	80	673	264	172	96	225	33	40	24	22	14	10	10	6	7	3	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north15_active	80	277	76	78	58	202	4	21	11	6	5	6	3	3	4	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north16_all	80	646	256	163	98	147	39	34	16	21	14	6	11	3	5	3	3	2	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north16_active	80	259	69	64	54	125	8	15	3	8	5	4	1	1	3	3	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north17_all	80	667	270	167	120	145	41	27	20	13	18	7	9	5	4	4	5	2	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	279	77	72	68	121	11	10	9	3	9	6	1	2	3	4	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	704	281	159	129	190	45	28	24	15	17	10	10	5	4	8	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	322	84	69	80	170	13	7	13	3	9	7	1	2	3	8	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	706	263	147	138	299	51	22	24	14	19	11	9	4	2	8	5	4	0	1	1	0	0	0	0	1	0	0	0	0	0
0.03	north19_active	80	309	82	63	89	277	15	7	16	2	8	8	1	2	0	8	1	4	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north20_all	80	716	257	134	137	271	51	31	23	13	13	13	7	2	2	6	2	3	1	1	1	0	0	0	0	1	0	0	0	0	0
0.03	north20_active	80	288	77	59	92	257	15	11	12	1	2	11	1	2	0	6	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south21_all	80	713	296	155	119	280	34	43	25	17	11	4	5	3	4	2	1	2	2	1	0	0	0	0	3	0	0	0	0	0	0
0.03	south21_active	80	296	75	74	77	255	8	17	11	3	4	1	1	0	4	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south22_all	80	736	268	144	138	307	36	44	38	13	7	5	4	6	1	2	1	3	2	1	0	0	0	0	3	0	0	0	0	0	0
0.03	south22_active	80	319	83	59	94	284	9	24	22	4	2	0	1	1	1	1	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south23_all	80	740	244	148	144	310	48	46	37	10	7	11	1	6	3	3	2	4	1	2	2	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	303	81	65	99	284	10	27	25	3	5	4	0	2	3	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	752	243	162	138	258	49	43	36	9	5	15	2	7	2	2	4	3	2	1	2	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	283	83	74	89	233	9	23	25	5	3	6	0	2	2	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	730	265	157	129	220	47	36	31	11	8	16	3	6	7	3	3	1	2	1	2	0	1	0	0	1	0	0	0	0	0
0.03	south25_active	80	269	76	79	79	196	8	15	18	3	6	9	0	1	5	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	703	274	172	114	166	46	30	32	14	6	13	6	5	7	5	3	1	2	0	0	0	2	0	0	1	0	0	0	0	0
0.03	south26_active	80	246	75	89	72	136	9	10	13	4	4	7	0	0	4	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	705	282	171	118	163	46	28	22	15	12	7	7	3	9	4	2	1	0	1	1	0	2	1	0	1	0	0	0	0	0
0.03	south27_active	80	268	67	78	74	133	10	11	7	4	7	4	1	0	4	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	south28_all	80	688	277	189	112	148	46	31	27	12	14	7	10	4	8	3	2	2	0	2	1	0	1	1	0	0	0	0	0	0	0
0.03	south28_active	80	252	63	79	65	121	8	12	11	3	8	2	1	2	3	2	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	south29_all	80	695	277	181	113	155	44	30	24	8	20	5	8	3	6	1	3	1	1	2	2	0	0	1	0	0	0	0	0	0	0
0.03	south29_active	80	255	72	75	69	132	6	13	13	3	11	1	2	2	1	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0
0.03	south30_all	80	686	276	164	124	151	47	24	25	11	18	5	9	4	5	2	3	3	1	1	1	1	0	2	0	0	0	0	0	0	0
0.03	south30_active	80	246	73	70	73	130	5	9	15	4	9	1	1	3	1	0	2	2	1	1	0	0	0	2	0	0	0	0	0	0	0
0.03	south31_all	80	686	270	178	111	272	38	33	24	17	8	11	6	4	3	3	1	0	0	1	2	0	1	1	1	1	1	0	1	3	1
0.03	south31_active	80	292	83	92	76	233	7	12	9	2	4	9	2	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	3	1
0.03	south32_all	80	690	277	167	112	321	35	25	23	18	9	11	5	4	3	3	1	0	3	1	1	0	1	1	1	0	1	0	1	3	0
0.03	south32_active	80	305	85	88	80	291	8	11	10	1	5	9	2	3	2	0	0	0	1	0	1	0	0	0	1	0	0	0	1	3	0
0.03	south33_all	80	659	296	176	128	370	30	26	25	15	10	9	3	5	5	5	3	0	4	1	0	0	2	0	1	0	2	0	1	3	0
0.03	south33_active	80	301	93	91	96	353	8	14	19	2	5	8	2	3	2	2	2	0	1	0	0	0	0	0	1	0	1	0	1	3	0
0.03	south34_all	80	721	305	185	106	357	32	26	27	12	17	10	1	4	7	4	3	0	5	0	0	0	1	0	1	0	3	0	0	0	0
0.03	south34_active	80	341	108	96	74	334	8	14	19	3	9	9	1	2	2	3	2	0	1	0	0	0	0	0	1	0	3	0	0	0	0
0.03	south35_all	80	738	302	196	106	377	35	30	33	15	21	12	7	4	7	4	6	1	6	0	0	0	1	1	0	0	3	0	0	0	0
0.03	south35_active	80	331	103	90	76	353	6	13	22	9	11	10	2	1	2	3	3	0	0	0	0	0	0	1	0	0	3	0	0	0	0
0.03	south36_all	80	751	289	198	114	294	39	36	33	15	26	14	9	6	5	1	4	2	3	0	0	0	1	1	0	0	2	0	0	0	0
0.03	south36_active	80	351	93	82	76	267	10	12	19	9	17	12	2	1	1	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0
0.03	south37_all	80	745	290	189	112	244	34	42	26	20	17	14	8	8	3	2	6	2	3	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south37_active	80	330	86	80	74	222	10	13	15	11	11	9	1	4	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south38_all	80	724	275	154	113	158	36	40	24	19	14	10	5	7	2	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	292	70	67	70	132	11	13	11	3	9	7	1	4	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	711	273	152	115	179	33	39	20	20	9	10	7	5	3	4	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	265	82	69	71	147	6	12	8	3	3	6	0	4	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	689	250	152	108	166	35	33	21	16	11	14	5	5	4	4	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	234	74	68	61	136	6	12	8	2	3	8	0	4	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
