label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	south29_active	80	7952	5391	2930	966	1495	396	466	218	170	164	108	145	135	88	37	48	26	17	28	41	17	8	10	4	17	10	5	4	8	4	1	0	4	2	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	13072	7736	4356	1794	2109	780	780	463	351	297	238	249	196	162	83	93	65	49	43	54	24	16	21	14	22	14	14	10	12	7	2	4	8	4	2	3	3	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	7378	4807	2721	913	1318	366	432	210	163	155	120	126	116	83	44	56	26	14	21	42	13	8	11	5	17	8	6	2	6	6	0	1	5	2	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	14998	9927	5454	1964	2706	846	1013	485	343	308	236	279	261	176	83	153	85	45	34	47	43	25	32	20	20	12	14	7	15	4	5	3	2	3	0	5	2	0	1	0	2	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south31_active	80	8959	6447	3470	1046	1718	414	607	253	161	155	111	171	162	108	39	109	42	20	18	29	25	13	14	15	15	8	11	5	10	1	2	0	2	2	0	4	1	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south32_all	80	15113	9854	5454	1945	2716	885	964	508	338	296	235	267	239	179	84	157	81	47	36	51	33	28	33	18	21	13	13	6	10	4	9	4	2	3	0	1	2	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south32_active	80	9138	6414	3551	1033	1796	434	564	256	151	143	107	149	137	100	43	102	42	20	18	33	21	14	16	13	13	7	8	4	6	2	4	1	1	2	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south33_all	80	15126	9621	5384	2015	2724	913	934	496	328	280	234	259	251	184	82	135	84	44	34	43	34	29	32	14	26	13	10	6	8	6	5	3	2	2	2	0	2	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south33_active	80	9105	6133	3494	1074	1839	437	532	248	156	141	110	136	152	102	39	82	39	16	16	30	23	15	18	9	12	8	3	3	6	3	2	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south34_all	80	15276	9508	5439	1969	2727	903	910	503	303	286	236	259	228	187	82	136	71	40	35	44	27	29	24	15	24	11	15	5	12	7	5	2	2	1	2	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
