label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107
0.03	north13_all	80	4473	8071	6267	996	788	559	911	406	321	251	342	186	152	134	143	110	80	100	59	85	58	70	43	42	70	34	72	34	72	18	22	37	16	21	15	12	32	20	31	8	10	13	7	7	2	7	9	12	4	8	5	5	2	6	0	16	4	4	0	2	0	2	6	1	3	1	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	1118	7352	5879	384	415	214	731	174	137	66	227	59	55	45	69	34	30	63	19	53	11	50	28	15	54	7	59	16	60	7	5	24	5	6	2	3	30	18	26	2	4	10	3	2	0	3	6	9	3	7	0	1	0	1	0	16	4	2	0	1	0	1	6	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	4437	8073	6469	1005	758	584	930	398	303	262	346	183	144	151	127	103	78	90	73	87	69	62	54	43	83	36	69	31	72	25	20	36	20	16	16	13	27	16	21	6	11	12	5	4	2	8	13	6	4	3	3	6	2	2	2	19	7	3	0	3	0	1	7	1	3	1	1	0	2	1	1	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	1116	7338	6077	386	401	243	759	169	135	76	238	56	45	49	61	33	31	55	26	55	16	38	30	17	68	8	56	16	59	10	5	22	7	5	3	3	24	13	18	3	3	9	4	2	0	3	10	5	3	2	0	1	0	1	2	19	7	2	0	2	0	1	7	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	4465	7791	6447	991	781	560	939	389	314	275	326	176	142	154	115	109	79	98	84	76	59	68	58	42	90	32	68	35	65	31	30	33	17	15	16	8	24	17	42	5	14	11	5	4	7	7	14	6	4	5	4	4	3	1	4	17	9	4	0	3	0	2	4	1	0	3	1	1	2	1	1	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	1105	7087	6047	371	402	214	758	181	142	72	229	51	38	54	60	36	33	57	28	55	14	46	28	19	75	8	55	16	51	14	7	25	6	3	4	1	19	14	38	2	4	9	4	1	2	3	12	6	3	4	1	0	0	0	4	17	9	3	0	2	0	1	4	0	0	2	0	0	2	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	4462	8169	6419	999	778	544	929	391	312	279	321	170	144	159	118	123	88	101	88	74	68	64	59	37	107	25	63	36	63	35	31	30	20	11	18	7	26	12	40	8	18	10	5	4	8	3	18	5	4	13	4	6	3	0	5	10	12	6	0	4	0	1	2	3	0	3	1	1	1	1	2	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	1100	7492	6024	385	389	195	767	197	127	70	228	44	33	59	67	36	35	57	24	52	21	47	26	17	90	5	55	15	52	18	7	22	7	3	4	1	21	10	38	3	6	5	2	2	3	0	17	5	4	12	1	1	0	0	5	10	12	6	0	2	0	0	2	2	0	3	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	4555	8355	6185	972	808	543	955	415	319	257	328	168	138	158	127	110	102	91	82	64	60	73	60	42	123	22	66	34	62	36	31	20	22	11	13	5	22	13	41	8	17	14	5	4	7	3	15	9	2	22	4	4	3	0	4	5	11	9	0	4	7	1	2	4	0	3	0	1	0	1	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	1087	7673	5733	367	401	180	788	223	137	65	232	37	34	66	70	28	38	47	21	42	20	60	26	16	101	4	56	15	52	19	5	14	10	4	5	1	17	11	38	3	7	5	2	2	3	0	14	9	2	20	2	1	0	0	3	5	11	9	0	2	7	0	2	2	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
