label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59
0.03	south34_all	80	7463	3338	3105	2437	819	797	467	447	285	283	262	162	123	129	178	86	72	131	59	50	60	36	21	23	13	9	19	5	9	9	7	1	5	0	5	4	1	3	0	8	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	south34_active	80	2885	1455	2334	1972	162	463	150	226	93	160	175	77	69	77	144	59	52	113	34	38	49	27	12	16	12	4	15	1	5	9	2	0	3	0	2	3	1	3	0	8	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south35_all	80	7400	3360	2975	2341	825	769	472	418	267	264	248	148	129	118	184	71	66	114	49	33	67	54	21	15	8	5	20	7	12	11	8	4	5	1	2	3	2	3	2	8	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
0.03	south35_active	80	2777	1435	2179	1859	184	432	163	210	75	144	170	72	71	68	151	50	52	99	32	24	55	47	10	13	7	3	15	2	6	8	2	0	3	1	2	2	2	3	2	8	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south36_all	80	7433	3331	2838	2197	822	747	458	380	262	265	237	153	121	98	145	70	58	101	51	29	58	58	21	13	12	6	12	10	14	13	6	5	2	2	2	8	2	3	2	6	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
0.03	south36_active	80	2665	1406	2011	1693	213	409	150	172	64	136	164	69	61	50	118	49	45	84	36	16	47	54	12	12	10	2	8	3	7	7	0	0	1	1	2	8	2	3	2	6	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south37_all	80	7297	3331	2886	2191	787	714	473	378	270	275	246	161	124	97	145	66	64	113	40	24	41	54	15	14	12	9	14	9	11	10	5	6	2	3	0	7	2	2	2	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
0.03	south37_active	80	2585	1415	2038	1670	219	392	160	166	64	152	171	81	66	49	120	47	51	100	25	10	30	49	6	13	9	2	10	3	7	3	0	0	0	2	0	7	2	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	7366	3344	3007	2330	825	738	465	375	279	283	252	187	136	94	118	60	67	115	39	29	37	45	16	18	23	13	19	9	15	9	2	4	2	3	1	9	3	2	1	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
0.03	south38_active	80	2737	1475	2202	1819	226	428	147	172	82	164	185	97	78	50	100	47	55	98	25	16	28	40	8	13	18	3	14	3	9	4	0	0	1	1	0	8	3	2	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
0.03	south39_all	80	7520	3375	3115	2506	806	765	474	403	293	285	262	188	135	113	132	72	85	140	43	30	42	54	15	20	25	15	15	7	16	6	0	4	2	3	1	3	4	3	0	0	1	2	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
0.03	south39_active	80	2898	1532	2309	2022	202	445	158	193	100	180	187	99	75	65	112	52	66	123	25	19	33	49	6	15	21	3	12	3	10	3	0	1	1	1	0	2	4	3	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
0.03	south40_all	80	7580	3398	3220	2575	871	807	476	414	295	277	284	193	129	114	141	79	95	143	40	42	51	48	18	28	37	12	13	6	14	7	3	2	2	3	2	6	6	2	0	0	1	1	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
0.03	south40_active	80	2975	1565	2436	2134	213	462	151	214	107	183	202	103	69	67	118	56	69	126	23	32	44	46	8	21	31	3	10	3	8	5	1	1	2	1	0	4	6	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
