label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47
0.03	south28_active	80	21208	6697	626	671	461	1089	681	672	502	120	94	30	77	33	111	42	109	6	7	6	12	2	26	2	14	4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0
0.03	south29_all	80	24867	8089	2332	1495	998	1341	843	865	581	222	171	103	89	62	114	45	108	19	21	13	9	6	30	5	15	6	8	2	3	1	0	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0
0.03	south29_active	80	21276	6502	639	643	459	1092	668	738	489	120	86	28	62	31	102	36	103	6	7	5	7	2	26	4	14	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0
0.03	south30_all	80	24917	8065	2311	1502	1037	1330	879	896	541	229	154	94	95	64	144	45	94	20	19	12	7	9	27	6	16	7	6	3	1	2	0	0	1	0	0	0	1	0	0	0	1	2	1	0	0	1	0	0
0.03	south30_active	80	21343	6493	635	659	468	1085	689	770	453	128	81	23	64	27	132	35	87	8	8	4	5	2	23	3	16	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0
0.03	south31_all	80	23627	7854	2234	1424	932	1294	813	886	481	214	126	116	140	67	127	26	59	18	12	17	17	9	16	6	9	3	9	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	20002	6277	580	628	407	1048	620	773	388	124	71	38	98	30	112	16	55	5	5	8	15	1	11	4	4	1	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	25164	8044	2284	1453	970	1328	828	902	452	210	133	114	150	64	106	43	80	14	11	11	21	11	20	6	11	4	8	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	21529	6565	607	645	432	1061	631	782	364	121	73	39	105	28	94	34	75	3	5	4	17	1	15	4	7	1	8	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	25589	8200	2262	1387	1017	1390	737	843	468	193	143	101	126	54	111	51	74	11	10	9	19	8	22	4	9	4	6	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
0.03	south33_active	80	21918	6662	622	635	461	1114	548	710	380	108	80	30	83	19	100	38	65	2	5	3	15	1	18	3	8	1	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	south34_all	80	25697	8119	2215	1402	1034	1326	708	814	493	213	147	103	107	55	93	57	84	15	14	12	17	6	26	5	10	2	7	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1
0.03	south34_active	80	21993	6545	624	619	465	1071	523	678	405	132	87	31	63	17	85	36	72	2	7	3	11	2	24	4	8	0	5	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	south35_all	80	25535	8216	2275	1372	1025	1302	721	804	495	212	175	96	100	56	107	56	80	21	11	14	19	2	23	3	4	1	7	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1
0.03	south35_active	80	21893	6536	621	621	463	1053	544	671	400	127	102	25	56	21	98	32	64	3	8	2	14	1	22	3	3	1	5	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	south36_all	80	25321	8200	2230	1424	1001	1319	773	748	520	228	159	97	89	54	103	45	77	24	17	12	13	8	22	3	3	2	3	2	2	2	0	0	2	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0
0.03	south36_active	80	21753	6477	606	631	441	1098	612	628	428	136	97	23	56	27	94	23	63	3	12	2	9	5	22	3	1	2	1	2	2	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	south37_all	80	25005	8181	2264	1410	983	1282	852	748	508	220	149	96	101	58	128	41	69	20	18	11	12	10	28	3	2	2	2	3	5	1	0	2	3	0	0	1	2	1	1	1	0	1	0	0	0	0	0	0
0.03	south37_active	80	21453	6464	615	604	427	1048	677	644	419	130	84	28	69	32	116	24	57	4	10	1	9	5	28	3	1	2	1	3	5	1	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
0.03	south38_all	80	25024	8078	2223	1448	1011	1250	833	777	529	204	127	84	110	58	126	44	78	22	18	12	8	13	22	4	1	2	4	4	4	1	0	2	4	0	0	1	2	1	1	1	0	1	0	0	0	0	0	0
0.03	south38_active	80	21471	6383	593	649	452	1009	660	680	456	119	70	22	78	33	114	26	67	5	8	1	5	7	20	3	0	2	3	4	4	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
0.03	south39_all	80	24915	8075	2266	1441	958	1268	827	827	562	196	115	95	111	63	109	53	80	25	19	10	8	9	20	4	2	2	8	3	4	0	0	2	3	0	0	1	1	2	1	1	0	0	0	1	0	0	0	0
0.03	south39_active	80	21356	6381	601	674	438	1029	624	732	490	111	56	28	72	30	92	41	70	6	6	3	4	5	18	3	2	1	7	3	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	24927	8173	2256	1450	972	1279	828	834	607	197	150	96	119	64	90	58	80	29	16	12	10	10	9	4	3	1	8	3	3	0	1	1	2	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0
0.03	south40_active	80	21348	6444	602	684	443	1052	619	736	536	117	76	24	81	29	75	44	70	11	4	3	7	7	7	3	2	0	7	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
