label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60
0.03	south36_all	80	32285	31509	7618	8990	6591	5065	1710	1474	1260	1361	661	572	762	279	197	159	186	157	95	100	57	53	69	71	35	30	9	19	15	16	9	13	9	13	4	5	7	3	1	1	1	1	1	0	2	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south36_active	80	15909	20047	3740	5619	4297	3188	806	775	680	868	342	319	534	132	101	84	107	94	39	49	25	23	49	44	20	15	4	4	9	7	5	8	5	10	2	4	4	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south37_all	80	32001	31684	7826	9022	6535	4951	1633	1429	1210	1345	669	555	726	256	204	158	169	157	100	95	53	58	60	65	38	29	9	17	11	27	7	12	10	9	3	5	5	1	2	2	2	1	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south37_active	80	15858	20201	3811	5644	4185	3117	769	746	628	856	361	301	474	123	110	82	90	89	41	44	23	28	42	40	26	14	5	7	6	12	3	7	7	6	2	4	2	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south38_all	80	31463	30909	7728	8850	6246	4809	1585	1428	1168	1321	664	544	720	253	200	142	154	144	90	106	66	59	63	72	26	25	11	18	13	27	9	15	5	5	2	0	6	1	3	2	2	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	15391	19617	3734	5374	3869	3007	739	756	608	861	345	313	451	123	100	76	75	73	41	52	32	26	41	56	18	13	4	9	6	11	4	8	4	2	1	0	3	0	2	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	30784	29743	7598	8679	5891	4458	1574	1404	1201	1211	600	540	715	242	212	143	147	157	80	93	59	64	56	58	29	21	17	13	13	29	7	12	4	3	1	1	2	3	4	2	1	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	14819	18866	3640	5179	3609	2734	724	753	626	778	317	290	445	107	104	73	77	63	41	47	28	26	29	41	21	8	7	8	8	14	3	8	3	1	0	1	1	0	2	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	30348	28199	7347	8277	5884	4325	1533	1423	1174	1150	570	498	707	265	218	144	128	155	86	93	63	69	58	75	32	23	18	9	12	26	9	6	2	4	4	1	2	3	4	0	2	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	14342	17734	3505	4857	3591	2564	675	732	610	731	285	284	427	120	98	69	65	61	49	47	28	28	34	58	19	9	8	7	4	12	5	3	1	1	0	1	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
