label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121
0.03	north6_all	80	34396	13996	17283	5187	3992	5194	2385	2634	3765	2108	1851	995	1551	1328	923	499	840	412	465	384	289	417	442	438	370	349	159	160	251	121	181	113	158	146	98	79	54	45	87	58	59	45	25	36	33	52	22	14	22	12	15	13	17	18	8	10	5	13	21	14	1	8	7	3	4	4	3	10	2	2	1	2	3	3	1	1	1	0	2	8	1	1	1	0	3	2	3	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	18797	7254	10864	2458	1847	3204	1117	1482	2500	1225	1089	474	954	788	510	211	523	184	264	173	126	219	270	282	245	209	82	92	146	58	111	64	97	82	47	52	23	16	59	30	30	33	14	17	20	39	12	8	12	2	6	4	11	13	2	6	1	10	9	10	0	6	4	0	4	3	2	7	0	2	0	1	2	2	1	1	1	0	2	7	0	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	34409	13959	16896	5160	3932	5082	2399	2666	3656	2100	1880	1005	1471	1337	934	513	815	423	490	357	309	399	446	372	386	343	155	173	239	136	152	104	137	164	82	65	54	54	81	53	56	39	39	36	37	64	24	15	24	15	13	17	13	18	11	13	5	13	18	14	2	6	6	4	5	3	3	3	2	2	1	1	1	3	1	1	1	0	4	0	1	1	1	0	3	1	5	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	18855	7240	10734	2424	1849	3086	1129	1527	2383	1209	1094	467	896	780	507	200	506	180	278	165	134	223	279	224	262	204	77	87	146	58	80	59	87	96	42	41	20	21	56	33	31	28	17	13	23	53	13	9	13	6	6	7	8	13	3	9	1	10	5	7	0	3	4	1	4	3	1	0	1	2	0	1	0	2	1	0	0	0	2	0	0	0	0	0	3	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	34468	13932	16963	5104	3754	5095	2354	2685	3682	2199	1840	1009	1489	1278	923	488	842	394	503	346	324	408	398	386	354	324	172	179	218	122	195	99	136	138	67	72	51	52	79	57	47	37	48	31	39	61	20	21	18	21	19	20	10	13	10	16	5	11	9	11	5	10	7	6	5	2	2	5	4	1	0	2	0	4	0	2	2	0	2	0	1	0	2	3	4	1	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0
0.03	north8_active	80	18901	7160	10912	2384	1767	3053	1087	1535	2402	1276	1092	462	876	725	497	208	533	166	263	158	149	231	254	234	221	199	95	99	124	58	120	56	85	80	32	44	21	29	51	38	19	24	22	10	25	46	9	14	8	8	7	7	7	9	3	10	3	7	2	6	3	7	3	4	3	2	0	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	3	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	34529	14026	16551	5072	3739	5119	2329	2738	3740	2234	1849	1022	1459	1295	903	522	823	400	515	368	311	386	417	368	333	307	185	195	212	120	190	105	125	113	70	71	51	60	70	71	47	34	50	30	33	58	21	19	22	21	17	20	7	16	9	18	10	10	10	12	6	8	5	5	2	2	2	8	6	4	0	1	1	4	1	2	3	0	2	1	1	0	1	4	1	0	3	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0
0.03	north9_active	80	19028	7165	10602	2306	1736	3117	1083	1536	2428	1294	1062	460	851	742	489	222	525	181	276	174	142	216	259	203	218	209	97	112	122	67	116	54	78	78	33	41	26	31	48	47	22	17	18	11	22	34	7	13	8	9	8	9	4	11	3	9	5	6	1	3	4	5	2	4	0	2	0	1	2	3	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	34747	14150	17004	5154	3697	5090	2365	2772	3908	2224	1812	998	1466	1312	932	512	823	400	535	362	296	400	439	421	334	339	175	193	234	102	182	108	126	97	66	87	57	58	71	75	59	42	41	28	40	54	25	24	25	14	19	16	8	14	8	24	10	7	9	9	7	8	3	5	3	1	2	9	6	4	2	1	1	5	1	3	2	0	4	1	1	0	2	4	1	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0
0.03	north10_active	80	19183	7266	10879	2360	1731	3063	1073	1538	2565	1279	1033	455	874	775	525	226	537	184	281	171	147	230	282	246	193	241	86	105	130	62	106	59	74	54	33	54	27	29	48	50	33	23	15	9	24	37	8	15	11	4	8	8	4	10	3	12	6	3	2	0	5	6	1	3	1	1	1	3	1	3	2	1	0	0	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	34635	14011	16771	5142	3902	5159	2319	2749	3603	2023	1774	1050	1434	1229	928	519	785	396	467	349	280	393	390	384	402	417	149	167	232	103	188	90	133	111	73	72	50	59	86	44	64	55	33	21	21	55	12	22	20	13	17	34	11	21	11	10	11	13	9	6	7	4	3	5	2	3	3	2	3	4	1	0	2	5	3	9	1	3	1	2	0	1	0	0	5	1	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	19059	7044	10537	2368	1796	3101	1063	1528	2287	1189	1010	517	857	748	511	220	463	160	242	194	128	228	222	221	256	237	72	97	143	48	107	52	85	72	35	37	19	35	70	26	34	39	21	10	12	24	3	7	10	9	10	24	3	12	5	2	8	6	8	3	3	1	1	2	2	1	1	2	2	2	0	0	2	5	2	0	0	2	1	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	34289	14001	16684	5156	3887	5076	2347	2750	3633	2066	1786	999	1375	1253	893	515	786	407	493	342	282	421	340	402	388	402	160	177	237	99	154	89	136	121	70	88	45	61	90	49	71	64	38	18	28	56	19	22	26	14	24	35	10	21	12	10	13	10	5	10	8	3	3	5	3	3	5	4	4	4	1	1	1	2	5	3	1	2	0	7	0	1	0	4	7	2	0	0	1	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	18876	7102	10440	2392	1759	2975	1064	1525	2268	1245	1023	477	810	739	493	224	469	174	284	174	127	247	209	239	243	234	76	101	138	45	81	48	85	77	37	41	16	40	67	27	43	45	23	8	15	36	9	6	10	11	17	24	2	9	5	4	7	6	4	6	4	1	1	2	1	1	2	4	3	3	1	1	1	1	3	0	0	1	0	6	0	1	0	4	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	34358	14050	16890	5177	3783	5005	2392	2830	3777	2121	1863	988	1514	1330	865	521	835	393	520	325	294	431	312	419	379	396	154	174	225	89	148	98	138	124	75	80	45	62	102	47	67	68	39	19	33	64	18	20	23	16	28	21	10	21	7	11	13	18	7	22	6	6	3	6	3	2	2	5	2	2	2	1	0	2	4	3	2	2	0	7	0	0	1	4	2	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	18946	7277	10677	2437	1691	2944	1091	1578	2398	1260	1088	471	903	805	464	223	498	177	302	159	133	247	194	249	252	217	81	94	132	43	71	52	77	83	43	37	17	38	76	32	42	51	27	8	17	43	10	8	8	11	19	13	1	12	3	7	6	11	5	17	3	1	1	2	0	1	1	4	2	1	2	1	0	1	3	1	0	1	0	7	0	0	0	4	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	34203	14056	16987	5220	3844	4974	2419	2792	3709	2221	1911	976	1470	1409	890	512	829	418	554	342	281	436	325	444	356	375	161	165	216	100	180	126	142	130	80	78	43	64	89	45	57	67	32	18	34	59	20	20	22	12	23	21	10	24	10	10	13	18	9	22	6	6	1	7	3	2	4	5	3	3	2	4	0	2	5	4	2	0	0	7	0	0	1	4	2	1	0	5	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	18732	7234	10746	2440	1724	2885	1113	1556	2372	1322	1120	461	901	864	491	232	508	206	317	172	129	240	194	292	232	206	86	104	130	47	103	67	78	84	49	39	20	37	55	31	31	48	22	8	16	45	12	10	8	8	15	15	1	12	3	8	7	10	8	17	3	2	0	4	0	1	1	3	2	1	2	2	0	0	3	3	1	0	0	7	0	0	0	4	2	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	34637	14000	16977	5173	3835	5051	2412	2745	3858	2265	1910	1016	1429	1493	885	499	856	426	575	342	275	449	385	440	349	365	169	171	194	105	207	132	156	130	78	73	51	58	89	44	67	63	30	33	40	55	18	25	16	8	13	29	9	21	11	8	11	16	10	18	9	16	2	5	4	1	6	3	8	2	3	4	0	1	4	6	2	0	0	2	1	2	1	4	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	18928	7151	10915	2403	1735	3003	1079	1554	2493	1322	1134	471	890	933	508	236	541	205	319	173	137	264	223	292	247	195	86	101	131	47	126	72	68	80	47	38	27	36	55	33	39	48	15	21	25	35	11	11	6	3	7	21	1	13	6	7	10	9	8	13	4	7	1	4	2	0	1	1	2	0	3	1	0	0	2	3	1	0	0	2	1	1	0	4	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	34757	14011	17127	5065	3810	5009	2430	2734	3831	2234	1877	1010	1349	1477	928	510	834	406	557	346	294	424	404	437	369	341	165	174	173	125	209	115	167	121	77	73	52	56	86	49	71	58	23	32	41	65	17	24	20	9	11	27	11	22	13	9	14	11	8	28	7	14	5	4	5	5	6	3	8	2	3	5	0	1	3	6	1	0	0	0	1	2	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	19175	7122	11029	2348	1731	3010	1087	1534	2463	1309	1108	485	858	937	549	239	520	195	310	174	139	251	238	313	258	203	80	104	107	52	123	63	85	73	43	35	29	35	51	33	49	39	12	22	30	45	11	11	8	2	3	17	3	15	5	7	12	3	7	21	4	8	2	2	2	2	1	1	2	0	3	2	0	0	2	3	1	0	0	0	1	1	0	0	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	34644	13836	17342	5048	3800	5006	2450	2773	3865	2175	1827	988	1360	1393	962	510	809	390	524	335	285	412	403	399	380	359	160	168	157	126	217	119	164	124	85	83	52	60	71	54	68	43	30	31	50	74	15	25	18	10	19	34	9	19	12	7	17	7	4	17	8	13	5	6	4	4	4	4	7	1	3	6	0	0	1	3	1	1	0	0	2	2	2	0	0	0	1	5	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	19058	7049	11117	2350	1735	2977	1105	1550	2484	1284	1094	457	849	888	572	220	497	175	284	171	137	245	244	282	246	208	78	94	87	55	129	63	89	77	44	38	29	32	42	41	47	28	11	21	40	58	9	10	6	1	6	17	3	13	4	4	12	4	2	9	6	7	3	5	2	2	1	2	2	0	3	4	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	34486	13815	17655	5053	3832	5158	2397	2768	3630	2155	1826	992	1400	1285	947	522	811	389	507	316	284	410	372	451	387	371	177	168	161	133	193	106	188	116	100	82	58	63	79	66	67	44	36	34	50	70	18	22	18	12	23	49	7	16	14	11	16	8	6	15	7	7	9	6	2	4	4	4	5	0	4	6	0	2	0	3	1	1	2	0	2	2	2	0	0	0	4	3	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	18922	7152	11302	2320	1797	3092	1109	1538	2239	1293	1108	469	875	812	571	224	479	174	274	158	126	227	229	320	243	238	78	97	88	64	105	59	116	62	54	39	29	31	47	51	48	30	12	16	41	55	10	9	5	4	5	21	2	11	5	7	9	5	5	8	7	5	4	5	1	2	0	2	2	0	3	4	0	0	0	1	0	1	2	0	1	1	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	34439	13632	17626	5085	3906	5256	2345	2739	3516	2130	1889	999	1388	1261	867	534	790	399	456	334	253	389	361	474	356	373	167	187	172	140	199	100	154	139	96	76	58	63	84	68	67	42	36	31	42	77	17	23	20	10	24	51	7	22	11	16	10	8	9	10	7	7	11	9	1	2	1	3	2	2	4	5	3	3	0	1	2	1	2	0	1	2	2	0	0	0	4	3	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0
0.03	north19_active	80	18926	7069	11124	2322	1816	3135	1064	1539	2218	1268	1129	463	850	764	521	230	463	171	230	175	119	199	207	331	208	247	77	117	86	69	124	61	104	70	52	35	27	30	51	55	40	27	14	12	30	60	9	9	6	5	6	22	3	9	1	8	4	6	6	5	6	4	5	8	0	0	0	2	2	0	3	3	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	34634	13837	17515	5063	3935	5296	2280	2761	3522	2185	1904	1005	1411	1284	846	533	822	412	482	355	254	386	387	447	366	342	174	182	192	118	209	91	162	153	90	65	61	68	81	68	71	48	34	34	42	68	18	18	16	10	18	49	8	18	11	16	3	16	11	6	11	11	12	6	1	3	1	2	1	3	4	2	4	3	1	0	2	0	2	0	0	2	1	0	1	0	4	3	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0
0.03	north20_active	80	19131	7157	10995	2271	1834	3199	1011	1518	2158	1269	1123	474	862	765	526	244	506	184	248	183	121	193	223	292	217	201	79	105	111	60	142	62	97	84	46	33	29	36	53	46	39	31	16	15	26	51	6	10	6	5	5	22	5	5	2	10	1	14	9	0	8	3	6	6	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	33551	16647	12443	10266	3765	4396	2636	3136	1911	1431	1089	1861	977	1226	613	762	607	417	430	573	286	464	227	225	164	240	282	161	113	181	138	79	103	90	145	69	97	64	69	43	48	34	31	35	23	31	19	33	18	18	12	10	31	23	10	15	10	6	4	4	2	4	8	1	3	2	3	1	6	9	4	2	2	2	1	2	1	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	south21_active	80	18209	9209	7324	6330	1694	2563	1347	1839	1020	676	479	1161	515	740	250	407	340	165	194	335	143	265	109	102	74	144	170	82	60	112	72	36	60	50	77	34	60	38	33	21	37	22	14	23	10	12	15	20	8	11	6	4	18	12	3	9	6	3	1	3	1	2	8	0	3	0	1	1	3	8	1	2	1	2	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south22_all	80	33621	16782	12547	10401	3820	4525	2647	3219	1967	1395	1086	1863	1018	1269	601	733	614	417	421	618	287	454	223	212	184	242	278	162	109	171	130	83	120	90	128	67	99	64	66	38	58	43	27	35	28	26	24	39	13	26	9	10	21	24	9	18	12	8	3	9	5	3	7	2	2	3	3	1	5	6	6	3	3	3	1	2	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	2	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	south22_active	80	18216	9237	7419	6442	1736	2661	1341	1863	1034	620	469	1157	552	779	267	376	353	166	196	359	152	275	100	87	89	133	175	86	52	105	67	38	63	50	74	29	72	42	36	16	42	25	11	21	12	9	16	19	4	14	3	5	15	15	3	9	7	4	0	5	3	1	3	1	2	0	1	1	2	6	1	2	2	2	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south23_all	80	34421	17012	12965	10817	3837	4547	2634	3290	2064	1453	1115	1884	1032	1299	638	740	659	414	425	615	285	464	233	209	180	226	291	157	122	157	149	90	125	79	158	65	103	63	78	38	70	41	30	39	23	29	24	41	16	19	13	15	39	14	7	18	8	7	4	9	20	3	9	1	3	4	3	2	4	6	6	3	3	6	1	3	1	0	0	0	0	0	0	0	3	1	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south23_active	80	18930	9465	7775	6766	1782	2666	1305	1900	1082	656	473	1147	542	803	295	400	383	164	193	332	152	298	104	84	90	130	165	82	57	96	83	45	66	45	95	26	70	36	47	18	55	20	13	23	11	11	13	17	6	10	5	6	33	8	2	9	5	3	2	5	16	1	4	1	3	1	1	1	2	6	1	2	1	4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south24_all	80	35417	17645	13322	11255	3780	4799	2631	3350	2062	1463	1125	1999	1074	1292	632	758	696	411	401	647	296	486	255	194	188	215	296	155	143	152	148	81	109	100	152	61	88	69	119	40	63	35	29	32	25	29	28	37	16	20	15	16	29	10	7	20	7	6	3	10	22	3	10	2	3	4	3	1	2	5	5	3	3	5	3	4	2	2	0	0	1	0	1	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
