label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122
0.03	north16_active	80	7371	3517	7593	3374	1791	6410	571	3818	540	2039	267	596	287	442	242	1142	288	665	996	584	452	60	178	473	153	58	282	309	37	163	20	68	29	31	20	19	69	9	12	88	25	94	17	46	28	17	11	36	9	13	9	9	31	2	2	7	2	3	4	9	1	1	13	1	4	1	0	1	4	1	5	5	0	0	1	0	2	24	1	1	0	0	0	2	0	2	0	1	0	0	0	0	1	0	0	2	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north17_all	80	28383	13203	11750	6683	4532	7487	2512	4726	1825	2675	1203	1234	932	900	693	1324	619	847	1052	762	571	290	322	487	277	189	336	339	137	205	110	127	77	78	71	57	84	35	65	106	42	134	46	52	46	25	25	40	33	25	18	23	28	7	8	12	11	5	8	12	9	4	14	1	3	0	2	3	3	3	4	0	3	1	1	5	0	25	2	1	2	0	0	3	0	0	0	1	3	0	2	0	2	0	2	2	0	0	0	7	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
0.03	north17_active	80	7377	3512	7826	3363	1817	6427	560	3919	541	2102	276	598	294	454	248	1141	295	681	935	619	457	60	179	412	172	60	295	276	37	155	28	81	35	32	21	14	61	5	13	94	26	122	24	43	36	11	10	33	19	20	13	12	23	2	4	4	3	1	5	8	0	2	13	1	2	0	1	1	3	0	1	0	2	0	1	1	0	24	1	1	0	0	0	3	0	0	0	1	2	0	1	0	1	0	1	2	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north18_all	80	28343	13232	11658	6626	4500	7297	2584	4720	1834	2713	1213	1249	938	935	705	1258	614	826	984	791	566	306	321	430	296	204	370	378	131	200	124	127	86	81	70	52	66	39	55	99	46	117	38	46	48	33	16	25	33	32	22	22	28	7	13	7	10	4	10	12	8	9	17	2	4	1	2	4	3	4	2	2	3	2	1	6	0	9	1	3	0	0	0	1	1	0	0	1	3	0	2	0	0	0	2	2	0	0	0	1	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0
0.03	north18_active	80	7370	3565	7771	3383	1791	6249	556	3926	526	2105	284	603	290	472	249	1058	291	642	872	664	451	65	183	353	191	70	324	314	31	149	32	73	37	30	17	14	47	9	8	82	29	103	19	35	37	14	6	17	19	26	18	13	24	2	8	4	3	1	6	9	0	7	16	1	2	0	1	1	2	0	0	2	2	1	1	1	0	9	1	2	0	0	0	1	0	0	0	1	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north19_all	80	28282	13223	11801	6655	4486	7525	2631	4587	1855	2587	1199	1236	948	956	702	1319	611	788	1039	798	552	290	301	459	307	205	359	380	134	175	103	140	93	89	61	62	59	41	48	132	48	125	32	40	45	27	17	24	32	29	25	22	28	9	14	8	12	5	19	16	7	11	14	3	6	1	3	5	1	3	2	8	4	5	1	5	0	9	0	2	1	1	2	1	1	0	0	1	3	0	1	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0
0.03	north19_active	80	7309	3574	7911	3449	1748	6437	574	3803	523	1977	294	608	296	486	250	1103	286	578	925	679	422	62	175	364	199	74	310	340	32	136	27	87	40	33	16	18	41	13	10	114	31	114	15	31	34	12	4	18	19	25	19	15	24	2	8	4	3	1	13	14	1	7	14	1	4	0	1	2	0	0	1	8	3	1	0	1	0	9	0	1	0	1	2	1	0	0	0	1	2	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north20_all	80	28266	13191	11564	6656	4451	7409	2605	4513	1876	2568	1214	1217	921	950	673	1242	574	792	1036	807	565	289	297	487	286	209	388	450	125	177	97	149	89	83	64	49	79	42	47	111	52	97	30	64	34	34	23	36	28	45	18	25	37	11	10	8	9	5	17	17	12	10	13	4	8	2	1	4	4	4	3	8	3	4	1	2	0	9	3	6	1	1	2	0	1	0	0	0	2	0	1	0	1	0	2	1	0	0	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	7309	3612	7629	3471	1716	6351	583	3752	518	1940	279	573	272	474	235	1041	260	577	922	678	425	63	180	392	181	73	326	411	32	136	22	88	37	28	19	15	60	15	12	91	35	88	15	53	24	18	6	28	15	40	14	21	35	2	7	3	1	1	12	16	3	6	13	2	5	0	0	3	3	3	1	8	3	1	0	1	0	9	3	1	0	1	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	28053	13321	11724	6862	4602	7595	2629	4318	1674	2588	1236	1211	1016	917	661	1402	646	748	1065	738	571	282	315	554	226	161	381	367	128	197	113	133	91	67	73	56	89	51	50	130	63	50	26	54	28	25	23	36	33	19	17	34	23	16	15	11	12	6	22	11	9	9	6	2	3	4	2	3	7	6	3	12	0	4	3	3	2	2	10	2	0	1	4	1	1	0	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
