label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135
0.03	north6_all	80	26046	13229	8888	12654	5608	5598	5207	2574	1772	1440	1800	1107	896	1128	1721	993	770	512	469	572	683	314	296	434	624	336	180	265	196	237	142	115	226	147	96	102	80	80	88	68	57	56	61	55	40	46	40	51	29	18	38	29	15	32	29	16	15	18	33	19	9	9	11	24	8	4	4	10	3	4	4	7	3	7	1	5	11	3	3	2	3	3	1	5	0	1	3	3	2	0	0	0	0	0	0	4	3	0	1	1	0	1	0	1	0	1	1	0	0	0	4	0	0	2	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	9787	6286	4856	11067	3625	4387	4378	1451	678	354	1259	455	281	736	1481	726	465	204	138	362	550	97	74	330	553	243	64	185	121	179	74	46	193	94	24	36	46	32	62	16	31	32	12	30	23	27	10	20	22	7	20	11	8	23	25	6	9	12	29	17	2	7	5	21	4	2	0	4	1	2	1	3	2	2	0	1	10	2	3	0	1	2	1	2	0	0	2	1	1	0	0	0	0	0	0	1	3	0	1	1	0	1	0	0	0	1	1	0	0	0	4	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	26218	13242	8777	12857	5496	5387	5147	2550	1821	1408	1833	1166	939	1172	1650	993	777	518	497	574	665	303	305	479	580	323	167	256	171	300	148	125	228	129	97	110	113	84	95	68	63	63	59	60	37	39	46	45	32	24	37	28	17	32	32	17	14	20	45	18	11	8	14	21	10	3	10	9	6	4	4	6	3	10	4	4	11	4	3	2	4	5	0	5	0	1	2	1	3	1	1	0	0	6	0	3	2	0	0	1	0	0	0	1	0	2	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	9771	6355	4810	11305	3575	4180	4325	1433	728	322	1259	476	298	774	1414	740	449	197	149	355	530	94	78	375	509	242	63	191	96	239	77	52	190	88	23	36	70	37	69	18	35	37	12	36	20	19	16	15	22	10	19	14	6	25	28	8	10	13	40	14	5	6	6	19	6	1	5	4	3	2	1	1	1	4	1	1	10	3	3	1	1	2	0	2	0	0	2	0	1	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	26022	13247	8874	12910	5429	5383	5195	2586	1812	1414	1733	1158	962	1143	1743	967	720	498	475	569	706	287	285	470	543	316	171	283	164	307	162	111	242	126	87	115	114	79	82	76	66	63	45	57	43	37	36	39	30	29	32	34	19	43	41	21	16	16	44	16	9	9	11	25	8	3	8	5	6	8	5	7	2	10	4	5	7	8	3	1	4	5	1	3	1	1	2	0	3	2	1	1	0	6	0	2	3	0	0	1	0	0	0	1	0	1	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	9616	6405	4903	11313	3532	4180	4353	1504	733	323	1165	458	295	738	1507	712	411	182	142	359	586	90	81	355	473	237	64	217	90	246	78	41	201	79	21	43	79	35	60	20	35	38	10	35	23	13	14	15	18	13	19	18	5	34	36	7	12	9	39	11	6	4	5	19	5	0	5	3	4	4	2	0	1	3	1	0	6	6	2	1	1	2	0	0	0	0	2	0	1	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	26071	13253	8899	13058	5397	5432	5288	2571	1861	1376	1794	1215	1000	1104	1869	982	666	539	476	512	688	302	280	474	488	282	189	328	179	317	141	108	252	110	81	105	128	80	90	77	73	60	40	53	44	39	27	41	31	35	33	30	25	52	28	19	11	23	42	15	7	9	10	20	6	8	7	5	8	9	4	6	2	5	5	5	2	8	4	1	3	5	1	2	2	0	1	2	2	2	2	2	2	6	0	1	2	0	0	2	2	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	9622	6401	4927	11483	3539	4197	4430	1533	772	335	1191	472	296	709	1638	721	380	187	142	312	561	110	86	342	423	212	70	249	98	260	63	42	216	64	16	39	94	32	66	20	40	30	11	27	23	11	14	13	14	15	15	15	9	44	24	8	8	10	40	9	5	5	5	16	4	1	5	2	4	4	1	1	0	3	1	1	1	7	2	1	0	1	0	0	1	0	1	2	0	1	1	0	2	0	0	1	2	0	0	2	2	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	26236	13349	8883	13097	5332	5541	5420	2617	1846	1399	1739	1206	972	1131	1924	982	641	542	465	494	763	317	284	507	518	317	188	308	200	283	133	98	272	116	79	88	132	74	93	82	70	73	38	60	49	35	23	44	40	36	23	24	25	44	40	23	12	21	21	22	9	10	8	14	5	8	6	3	7	7	5	8	1	6	3	7	3	7	4	1	3	3	2	2	2	1	0	3	2	1	3	3	2	6	0	2	2	0	1	1	2	0	0	0	0	3	0	0	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	9698	6445	4984	11451	3485	4344	4513	1559	744	333	1152	483	283	726	1694	728	374	182	136	301	644	110	82	364	450	235	60	230	107	228	62	42	227	73	16	37	89	28	70	20	45	38	13	33	27	12	10	15	17	13	9	13	7	39	36	9	9	9	16	16	4	5	3	7	4	1	3	0	3	3	1	1	0	2	0	1	2	6	2	0	0	0	0	1	1	0	0	2	0	0	2	1	2	0	0	1	2	0	0	1	2	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	26076	13172	8881	13326	5283	5714	5303	2508	1805	1359	1688	1181	895	1169	1600	951	719	528	448	528	693	312	304	442	472	320	188	300	198	256	157	123	279	132	81	105	114	75	106	61	80	71	47	59	39	36	35	35	65	30	39	25	16	42	25	16	12	9	14	26	10	7	10	33	12	7	9	10	5	6	8	9	6	8	4	6	6	1	1	1	2	3	3	2	1	2	1	1	3	1	4	0	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north11_active	80	9763	6254	4884	11619	3431	4454	4420	1470	735	294	1110	540	258	734	1360	716	425	208	135	345	577	103	81	336	402	231	57	228	100	206	72	53	243	94	20	43	68	44	81	9	48	39	16	43	21	20	15	20	39	12	21	12	7	35	23	3	6	6	11	21	0	4	3	28	12	0	4	7	5	2	0	4	5	6	3	1	5	1	0	0	1	0	3	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_all	80	26223	13192	8895	13061	5379	5582	5309	2501	1798	1371	1718	1174	919	1187	1748	910	759	507	460	506	672	307	289	423	542	306	181	296	192	234	169	142	278	149	86	93	112	85	128	56	79	68	49	61	47	35	40	33	44	31	29	24	14	29	35	17	8	13	25	32	14	8	14	32	10	7	11	11	9	9	9	4	4	6	5	5	4	6	3	1	2	2	3	5	5	2	1	1	2	0	2	0	2	3	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	6	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north12_active	80	9804	6269	4870	11359	3518	4346	4423	1480	726	315	1125	521	275	767	1513	668	432	205	135	325	559	111	74	318	458	205	57	215	95	191	81	61	236	102	21	38	68	47	97	10	45	40	11	39	28	18	21	15	26	12	14	11	8	21	30	1	3	11	21	26	2	6	6	30	10	0	6	8	6	5	1	1	4	5	4	1	4	2	2	0	1	0	3	4	1	1	0	1	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	6	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north13_all	80	26229	13264	8865	12958	5413	5569	5426	2565	1829	1375	1776	1206	926	1153	1725	976	764	540	468	558	698	291	302	452	540	334	196	334	187	246	169	138	243	161	100	81	121	81	125	54	73	57	60	56	48	49	38	34	42	36	36	24	21	32	39	15	10	22	31	28	15	10	13	13	11	5	10	13	8	11	3	3	6	4	4	2	5	7	3	2	2	3	1	3	4	1	0	2	2	0	2	0	3	3	1	2	4	1	0	0	0	0	0	1	0	0	0	0	0	0	6	3	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north13_active	80	9758	6271	4853	11257	3552	4355	4554	1533	742	312	1188	549	293	744	1498	710	436	197	140	356	572	98	79	351	448	242	75	251	94	194	81	56	202	106	23	28	80	40	92	9	38	34	20	28	26	30	20	13	26	15	17	11	8	25	30	1	4	15	25	23	5	5	4	12	10	0	6	7	5	5	1	0	5	3	3	0	5	3	2	0	1	0	1	3	0	0	0	1	0	0	1	0	2	1	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north14_all	80	26353	13250	9019	13027	5400	5532	5396	2538	1823	1381	1789	1240	929	1104	1737	949	762	553	450	587	698	306	301	475	562	344	198	321	178	264	160	139	244	151	106	89	106	84	132	50	61	56	57	49	52	53	36	46	36	30	33	22	20	36	40	12	15	26	31	30	11	13	12	16	10	4	13	10	9	13	3	2	6	0	4	1	6	9	3	2	0	4	2	5	4	0	0	2	1	0	0	0	4	3	1	3	6	0	0	0	0	1	0	1	0	0	0	0	0	0	8	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north14_active	80	9876	6222	4934	11351	3540	4360	4520	1508	758	310	1198	548	276	728	1520	684	446	200	140	374	575	112	92	370	474	254	70	232	86	214	81	56	202	97	24	31	68	39	103	9	27	32	22	20	27	31	17	18	24	11	15	9	8	26	30	1	7	18	24	26	5	7	5	13	9	1	3	5	5	8	1	0	4	0	2	0	5	4	2	1	0	0	1	4	0	0	0	1	1	0	0	0	3	1	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north15_all	80	26573	13265	8972	13283	5414	5581	5521	2555	1865	1357	1725	1234	924	1068	1749	979	738	556	430	580	737	316	314	501	565	339	195	314	190	257	140	120	265	142	95	83	107	58	132	50	78	61	60	48	58	63	30	45	31	26	40	25	24	28	49	12	18	26	23	32	12	16	13	12	13	3	15	12	6	11	2	3	8	0	2	3	7	6	1	2	1	3	1	2	3	0	0	1	1	0	0	3	6	3	0	3	7	0	2	0	0	1	0	0	0	0	1	1	1	0	3	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north15_active	80	9990	6263	4894	11622	3521	4393	4643	1508	779	294	1148	533	269	712	1515	712	422	199	133	375	607	115	108	381	489	248	74	237	93	197	62	48	223	91	22	32	69	22	100	8	49	36	26	18	29	32	12	20	17	12	18	12	6	20	40	3	10	18	18	25	5	9	4	8	10	2	3	6	5	5	2	0	5	0	0	0	6	3	0	1	1	0	0	1	0	0	0	0	1	0	0	2	4	2	0	3	6	0	1	0	0	0	0	0	0	0	1	1	0	0	2	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north16_all	80	26464	13229	8973	13088	5328	5622	5573	2525	1886	1401	1713	1204	927	1065	1797	937	744	511	416	548	715	339	328	475	608	332	197	312	185	266	168	129	307	130	77	84	111	63	116	52	67	52	56	39	51	59	34	43	44	26	37	34	22	35	41	14	21	18	26	37	8	14	11	14	13	8	12	9	5	8	4	3	6	0	4	5	6	4	2	2	2	1	2	2	1	0	0	3	1	2	1	3	5	4	0	2	6	1	2	0	0	1	0	0	0	0	1	1	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
0.03	north16_active	80	10064	6194	4902	11422	3486	4413	4730	1455	796	314	1147	502	265	700	1545	702	439	182	113	346	584	119	117	353	535	231	74	243	96	203	77	52	273	80	18	38	78	28	85	8	44	26	21	23	28	27	17	22	24	14	15	12	5	24	35	6	15	11	21	29	3	9	3	9	9	5	1	6	2	4	1	0	3	0	0	0	5	2	2	1	1	0	0	1	0	0	0	2	1	0	1	2	3	2	0	2	5	1	1	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north17_all	80	26155	13096	8828	12599	5296	5423	5399	2532	1878	1438	1673	1152	916	1057	1837	968	679	486	390	518	678	347	331	442	564	310	185	289	192	226	161	127	297	137	80	78	105	71	133	53	66	45	51	52	51	53	36	34	42	26	38	37	23	50	54	21	18	10	19	31	7	16	10	13	14	9	8	11	8	9	6	3	6	1	5	4	4	3	3	3	3	3	1	1	4	1	1	5	0	2	1	3	8	3	0	0	1	3	2	0	0	0	0	0	0	0	2	3	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
0.03	north17_active	80	9478	5971	4685	10858	3408	4153	4528	1415	765	332	1094	437	258	663	1584	703	380	167	101	301	544	128	107	315	489	200	64	224	99	168	72	55	260	84	18	36	76	40	104	9	41	19	17	30	27	20	19	16	20	10	14	13	4	37	46	8	13	6	17	24	3	7	2	8	9	5	1	7	2	4	3	0	4	1	1	0	4	1	2	1	1	1	0	1	2	1	1	5	0	0	1	2	5	2	0	0	1	3	1	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north18_all	80	25836	12957	8858	11899	5101	5117	4894	2501	1775	1468	1642	1140	947	1003	1812	930	652	467	413	463	605	346	316	373	519	311	213	280	173	233	152	128	292	127	92	76	95	80	105	48	57	43	53	54	53	52	36	33	44	25	31	31	23	53	34	22	23	14	22	28	6	13	6	13	11	11	8	10	9	5	7	2	3	4	7	2	3	2	4	5	3	3	3	1	4	1	1	5	0	5	1	1	6	3	0	0	0	3	0	0	0	0	0	1	0	1	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0
0.03	north18_active	80	8707	5647	4514	10077	3215	3770	3989	1345	684	341	1036	398	257	586	1555	649	367	156	92	254	469	117	95	254	440	199	68	225	86	179	68	49	261	72	14	32	62	35	81	10	33	20	14	33	27	20	13	13	19	8	9	7	4	38	28	11	16	7	20	23	2	6	1	10	6	5	2	6	3	1	3	0	2	3	1	0	3	1	2	2	0	1	1	0	2	1	1	5	0	0	1	1	4	2	0	0	0	3	0	0	0	0	0	0	0	0	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north19_all	80	25789	12864	8664	11313	5035	4939	4568	2489	1779	1435	1578	1176	944	973	1639	959	647	486	443	443	533	342	304	326	536	299	207	283	165	220	152	146	249	127	109	74	92	89	96	45	64	54	45	48	56	38	36	32	37	22	32	29	23	49	38	21	20	17	22	21	6	11	12	9	12	10	4	8	12	5	6	2	4	4	5	0	3	1	4	7	5	3	2	2	4	1	2	5	0	5	1	2	5	0	0	0	3	6	0	0	0	0	0	1	0	2	5	2	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0
0.03	north19_active	80	8318	5400	4220	9441	3069	3581	3660	1299	646	328	974	425	227	535	1391	660	352	158	98	231	385	103	80	214	454	201	55	211	83	165	56	55	216	69	23	27	56	31	71	9	30	23	13	27	31	15	9	9	18	5	9	7	5	34	31	9	13	7	22	15	3	5	6	6	5	5	1	4	4	1	3	1	3	3	1	0	2	0	2	3	0	1	1	0	2	1	1	5	0	0	0	2	3	0	0	0	3	6	0	0	0	0	0	0	0	0	5	2	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	25896	12835	8674	11199	5044	5018	4596	2465	1773	1429	1608	1167	937	982	1449	965	722	487	492	460	591	321	298	346	505	277	216	278	156	219	141	149	239	135	124	73	107	89	96	55	77	57	39	54	60	44	34	30	32	22	41	21	24	34	44	16	20	21	22	12	6	12	17	27	12	9	5	9	10	3	4	4	6	5	3	0	3	1	5	6	5	4	2	3	0	1	2	0	0	4	3	2	2	0	0	0	4	3	0	0	1	0	0	2	0	2	4	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0
0.03	north20_active	80	8354	5417	4265	9385	3023	3593	3649	1262	651	343	993	440	240	544	1220	664	400	165	111	254	440	92	76	249	428	188	59	204	79	162	49	48	204	88	24	24	65	22	67	13	35	27	14	29	32	23	8	9	15	7	9	7	4	24	39	8	10	11	21	5	3	9	9	23	6	2	2	3	4	0	1	1	4	3	0	0	1	0	3	2	1	2	1	0	0	1	0	0	0	1	2	2	1	0	0	0	4	3	0	0	1	0	0	0	0	0	4	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	40108	20398	16864	6250	9170	3137	2552	2037	3049	2946	1824	1335	953	1446	1338	664	590	1199	547	475	402	493	509	346	250	260	193	219	252	138	127	131	109	136	79	107	139	139	60	71	60	64	80	59	44	76	43	37	21	37	30	37	47	21	51	17	68	24	22	21	12	19	7	11	8	17	5	9	10	5	9	11	3	5	3	2	5	2	4	4	1	0	1	1	1	3	1	1	0	1	5	2	1	3	0	3	0	0	0	0	1	1	4	2	1	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0
0.03	south21_active	80	29431	15777	14312	3446	7934	970	696	483	2371	2427	1202	809	273	1143	1100	263	171	1034	313	237	182	353	409	241	69	156	39	131	163	77	45	63	41	100	18	79	117	103	25	43	28	36	57	38	16	63	14	31	7	11	12	31	42	17	49	7	61	4	21	11	7	15	2	5	5	14	1	3	5	1	3	7	2	2	0	2	1	0	3	3	1	0	1	1	1	1	1	0	0	0	4	0	1	0	0	0	0	0	0	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
