label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146
0.03	south22_all	80	39347	19033	6418	8136	3687	5488	3611	2246	1516	1486	2103	1095	1973	765	846	980	580	632	411	389	395	528	296	260	212	339	216	251	185	178	296	142	174	146	120	67	67	113	96	99	61	36	113	49	61	72	36	73	17	38	43	37	29	38	13	16	15	9	13	17	13	11	24	9	8	15	10	21	6	7	5	13	5	9	4	2	4	4	4	1	1	8	0	0	3	1	6	3	0	2	2	3	0	0	0	0	1	0	1	0	3	1	0	1	0	0	0	1	1	4	0	12	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	23423	11409	2958	4758	1752	3378	2138	1161	667	735	1272	565	1306	332	485	571	304	384	183	178	210	340	149	147	108	195	124	161	100	94	198	74	102	86	71	29	28	66	56	54	27	14	68	26	33	32	22	44	5	20	10	23	11	23	4	9	10	5	4	8	3	10	23	3	5	6	5	17	5	3	4	11	2	4	2	1	1	0	3	0	0	4	0	0	2	0	5	1	0	1	1	3	0	0	0	0	1	0	1	0	3	0	0	1	0	0	0	0	1	4	0	12	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	39816	19083	6404	8162	3588	5533	3650	2145	1489	1496	2116	1089	2007	753	844	954	612	591	435	410	394	493	298	270	204	312	206	235	172	196	302	143	189	151	109	61	66	100	102	95	52	39	144	47	68	76	31	75	23	38	43	52	20	50	14	12	22	12	11	14	14	15	20	8	7	15	4	15	6	8	5	11	3	2	5	3	4	2	3	4	1	6	2	0	3	1	6	4	0	3	0	4	0	0	0	0	1	0	1	2	3	1	0	1	1	0	0	1	0	4	0	12	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	23743	11465	2906	4716	1741	3372	2193	1121	656	741	1263	543	1253	331	459	552	335	336	196	194	203	306	153	147	101	174	119	151	100	99	194	74	108	87	68	34	26	67	55	55	20	20	92	31	33	42	18	40	7	19	12	29	7	32	7	5	13	6	2	8	4	12	18	2	3	7	1	11	4	4	4	10	1	1	4	3	1	0	2	0	0	4	2	0	2	0	5	3	0	2	0	4	0	0	0	0	1	0	1	1	3	0	0	1	1	0	0	0	0	4	0	12	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	40017	19017	6412	8125	3530	5445	3707	2128	1502	1474	2146	1089	1811	756	927	970	610	579	412	399	378	485	320	267	209	285	228	241	160	198	246	144	192	128	101	78	68	107	99	91	50	39	158	43	71	63	31	56	24	38	43	51	23	40	13	12	19	14	22	13	11	19	22	4	10	16	5	18	7	3	7	13	7	2	5	4	2	2	2	4	1	5	2	3	1	1	6	4	0	2	1	4	0	1	0	0	1	0	1	2	3	1	0	0	1	6	0	0	0	4	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	23986	11423	2875	4730	1723	3297	2248	1117	668	728	1328	550	1092	346	502	560	333	318	191	193	200	295	162	139	100	182	137	151	83	109	142	79	107	65	56	47	28	74	60	49	19	21	107	27	34	43	19	32	7	20	14	32	7	26	6	3	8	7	12	5	4	13	17	2	6	8	2	13	4	1	4	11	3	1	4	3	0	1	2	0	0	1	2	3	1	0	5	3	0	2	1	4	0	0	0	0	1	0	1	1	3	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	40008	18997	6532	8087	3619	5426	3671	2198	1482	1540	2247	1063	1752	772	908	912	619	614	433	408	388	507	318	272	192	288	224	218	145	198	254	146	187	130	96	87	76	101	104	76	47	45	140	41	48	72	34	70	26	46	30	48	27	40	15	15	24	11	28	12	17	18	13	5	8	12	5	11	6	5	8	9	7	2	6	4	1	4	10	4	0	6	2	3	3	2	9	6	0	1	2	2	1	2	1	0	0	0	0	2	3	0	0	0	1	6	0	0	1	4	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	24027	11415	2898	4806	1727	3245	2203	1132	653	762	1376	523	1058	356	489	527	337	338	201	214	211	303	164	126	93	177	133	138	73	100	152	84	105	67	55	53	33	66	62	45	21	22	99	23	22	50	16	43	9	29	16	29	17	25	7	4	14	3	20	2	9	11	7	2	4	6	2	6	2	4	3	4	2	2	2	3	0	3	10	0	0	0	2	3	2	1	7	4	0	1	2	2	1	0	1	0	0	0	0	1	3	0	0	0	1	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	40108	19144	6500	8074	3632	5419	3543	2274	1505	1606	2166	1047	1825	793	910	860	625	632	413	396	424	500	335	267	211	281	210	248	154	185	261	132	173	124	100	98	83	98	114	80	41	47	115	40	45	80	35	56	29	46	38	38	24	24	18	17	33	11	27	9	15	13	10	9	6	9	6	8	9	5	9	11	10	5	5	5	2	5	9	3	0	5	2	3	3	1	5	6	0	0	2	2	1	3	1	0	0	0	0	2	0	1	0	0	1	6	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	24188	11543	2937	4816	1710	3278	2117	1181	675	815	1311	508	1126	373	494	505	340	338	195	215	221	298	183	117	97	171	134	161	75	94	163	80	92	73	50	64	33	61	71	43	20	23	85	21	16	59	14	33	14	29	24	24	17	15	7	4	20	3	21	2	8	5	6	6	4	3	3	2	5	4	4	7	6	5	1	4	0	4	9	0	0	0	2	3	1	1	2	5	0	0	2	2	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
