label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143
0.03	north6_all	80	43254	11866	8138	6831	4267	3543	2844	3317	1928	1477	1282	1757	993	1490	694	739	624	503	454	401	439	339	384	267	265	198	226	190	203	164	249	120	97	96	83	90	102	186	125	61	56	132	45	52	45	82	33	44	44	59	77	19	21	44	23	26	17	14	29	15	19	16	15	19	7	5	12	12	3	7	8	19	5	6	1	2	5	2	4	5	3	1	2	3	3	2	2	0	3	1	1	1	2	0	0	1	0	1	7	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	2	0	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	33147	2721	3661	4083	1697	1793	1403	2451	990	513	410	1307	320	1122	271	415	330	165	124	153	229	147	240	62	104	40	110	65	104	89	165	34	15	49	15	39	74	159	95	17	16	121	16	29	10	70	9	26	34	51	69	4	5	37	10	10	10	6	21	0	3	9	10	3	1	1	8	4	1	4	3	12	0	0	1	1	2	1	2	1	3	0	1	3	1	1	1	0	0	0	1	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	41348	11960	7945	6561	4347	3514	2846	3148	1891	1451	1328	1670	965	1463	725	738	657	473	440	398	433	319	341	274	277	203	215	185	212	144	241	112	108	97	82	78	102	168	106	59	57	101	52	41	39	68	32	45	62	46	46	23	22	52	18	19	16	20	23	15	19	16	19	16	10	5	10	11	3	13	5	17	3	4	1	3	6	2	3	4	2	0	1	0	4	2	1	0	3	1	2	1	1	0	1	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north7_active	80	31110	2871	3452	3834	1693	1755	1355	2227	912	470	415	1219	306	1118	259	391	333	144	106	145	223	132	201	59	107	49	98	64	111	68	169	32	16	48	18	34	67	145	81	18	17	92	14	19	7	51	10	27	47	41	39	4	6	43	7	6	11	8	14	0	3	10	13	5	3	0	5	5	1	7	4	12	1	0	1	2	3	1	2	0	0	0	1	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	43429	11902	8102	6861	4345	3608	2974	3332	1910	1472	1361	1789	984	1463	728	735	679	512	467	398	455	336	328	261	255	195	228	183	214	156	238	103	116	96	80	75	103	155	104	61	58	92	44	54	36	92	36	41	63	50	42	20	26	57	19	10	15	17	27	17	17	12	20	16	11	3	8	8	1	12	5	14	5	2	1	5	5	2	1	3	2	2	0	1	3	1	1	0	3	0	2	0	1	0	2	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north8_active	80	33495	2777	3731	4209	1759	1853	1483	2443	917	505	463	1372	311	1135	295	415	340	168	110	155	263	148	195	62	99	50	98	63	128	72	179	28	22	48	16	30	71	133	75	23	26	88	12	29	7	73	12	26	46	47	34	5	7	49	7	2	10	7	20	1	3	5	14	7	2	0	4	5	0	6	4	8	1	0	0	1	4	1	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north9_all	80	45670	11877	8167	7125	4333	3629	3068	3419	1964	1467	1332	1871	1004	1423	770	773	664	502	459	402	436	322	332	259	267	205	210	179	212	152	225	105	114	99	98	80	132	137	113	62	57	110	39	68	38	100	39	42	67	41	64	17	25	43	18	9	15	14	27	17	12	14	16	11	11	4	6	6	3	13	10	8	4	3	3	5	5	1	0	2	5	3	0	1	2	0	2	0	4	0	1	7	0	2	2	7	1	1	0	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north9_active	80	36201	2736	3962	4557	1850	1923	1600	2573	982	499	464	1456	344	1101	319	446	338	172	119	169	267	144	211	58	97	55	95	74	118	74	167	33	24	52	18	32	94	109	84	28	24	104	13	40	8	84	17	26	55	39	58	4	6	39	6	5	14	6	25	2	1	7	11	6	2	0	3	2	2	7	10	1	1	1	1	1	4	0	0	1	0	1	0	1	1	0	0	0	1	0	1	7	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north10_all	80	47746	11841	8375	7318	4310	3737	3160	3683	2046	1513	1276	1914	995	1410	798	806	607	550	460	399	422	361	341	272	258	219	218	181	201	150	206	106	106	99	106	71	141	161	153	73	51	130	39	68	36	90	40	45	67	45	75	14	15	42	22	16	19	11	25	14	9	14	11	14	12	7	6	6	5	12	12	7	5	2	4	4	2	1	1	1	3	4	1	1	2	0	2	1	2	0	1	7	0	2	2	17	1	2	0	1	2	1	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	38579	2659	4203	4867	1936	2023	1716	2897	1054	549	460	1514	355	1104	336	503	324	211	135	178	249	150	226	71	112	55	103	76	113	82	155	39	19	56	25	23	114	136	126	31	19	118	15	44	7	78	18	32	58	40	67	3	3	37	7	8	18	7	23	3	0	7	8	6	1	2	4	2	3	9	10	1	1	1	1	0	1	0	1	1	0	1	0	1	2	0	1	0	1	0	1	7	0	1	0	17	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	48708	11840	8500	7475	4363	3737	3133	3582	1979	1551	1293	1996	1003	1712	762	812	627	576	430	462	432	337	389	235	260	209	206	186	195	212	247	120	116	93	108	85	105	162	181	64	75	95	45	55	45	122	42	26	82	69	50	24	18	22	12	13	29	12	28	23	7	29	35	6	8	7	10	6	6	19	6	3	5	5	4	5	5	4	4	0	3	3	1	5	2	3	3	3	0	2	4	3	1	5	2	4	1	0	0	2	0	0	0	1	0	6	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	39509	2514	4297	5031	1988	2074	1729	2832	1042	605	469	1547	359	1444	341	478	364	197	142	196	249	126	254	57	106	43	107	88	134	133	204	37	23	52	32	34	75	145	154	28	34	76	15	31	11	113	20	17	70	64	44	4	6	17	5	3	25	7	21	5	2	25	23	2	2	4	9	0	1	18	4	1	1	1	1	2	5	0	2	0	3	3	0	2	1	2	0	2	0	2	4	3	1	5	0	4	0	0	0	2	0	0	0	1	0	6	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	48654	11821	8481	7738	4331	3683	3111	3639	2009	1504	1348	1984	1041	1742	796	892	647	553	437	463	473	327	384	238	259	210	195	200	209	181	218	135	119	85	114	91	117	178	180	64	73	106	43	44	44	124	40	25	102	41	57	28	21	35	13	14	24	13	22	22	9	34	23	10	7	8	8	8	8	26	8	6	5	4	2	2	6	3	3	1	7	4	3	3	2	2	2	3	0	1	8	5	2	4	2	4	1	0	0	2	0	0	0	1	0	6	0	0	0	0	2	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	39389	2545	4296	5266	1956	2024	1691	2914	1095	599	497	1538	383	1468	353	547	391	210	142	200	280	138	253	56	108	46	103	95	145	100	170	43	30	40	34	43	75	159	160	26	35	82	18	24	9	113	21	15	90	34	51	8	8	28	6	4	20	7	17	4	2	31	11	3	1	3	7	1	4	25	6	2	1	1	0	0	6	0	2	0	6	2	0	2	1	1	0	2	0	1	8	5	1	4	0	4	0	0	0	2	0	0	0	1	0	6	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	48242	11787	8516	7595	4348	3736	3004	3528	1999	1464	1343	2021	1009	1686	758	846	660	527	437	442	484	331	407	241	259	203	203	198	213	185	213	125	124	93	110	96	124	184	201	59	64	92	46	40	38	106	33	27	96	52	52	24	20	50	16	17	25	16	19	21	10	31	29	10	11	9	3	12	9	13	6	8	6	8	0	1	8	2	3	1	7	3	4	1	1	4	2	2	0	3	10	5	1	2	1	5	1	0	3	0	0	0	0	2	0	3	0	0	0	2	3	2	1	0	0	0	0	1	0	0	3	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	38987	2551	4347	5175	1978	2031	1654	2834	1096	605	509	1573	361	1405	328	532	392	214	141	200	279	138	274	48	106	49	112	92	150	97	157	38	29	40	35	45	77	162	178	24	28	70	19	22	7	97	16	16	84	43	45	8	6	42	8	5	21	9	17	2	2	26	18	3	3	5	3	4	4	12	4	3	1	4	0	1	8	0	1	0	5	0	1	1	1	1	0	2	0	3	10	5	0	2	0	5	0	0	3	0	0	0	0	1	0	3	0	0	0	2	2	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	47364	11806	8362	7426	4336	3707	2930	3470	2020	1482	1311	2002	969	1615	781	819	664	501	462	433	471	329	387	229	259	222	215	197	224	186	213	127	125	101	98	105	134	172	184	53	56	97	57	61	34	95	39	35	87	47	60	25	24	68	17	21	29	20	16	16	14	23	31	8	15	11	3	10	8	13	8	11	7	8	3	2	5	2	1	1	5	5	4	4	1	3	1	0	0	3	11	2	2	1	1	1	0	0	3	0	0	0	1	2	0	0	0	0	1	6	1	2	1	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	37960	2663	4131	4965	1900	2046	1548	2731	1063	565	484	1585	340	1327	330	517	367	206	136	178	255	135	243	50	119	61	101	85	144	101	153	35	28	45	31	47	87	150	156	19	17	80	20	34	7	83	22	23	76	35	52	9	6	62	9	5	24	9	15	3	4	18	22	4	4	5	3	4	4	12	6	6	4	3	0	1	5	0	0	0	3	1	1	2	0	0	0	0	0	3	10	2	1	1	0	1	0	0	3	0	0	0	0	1	0	0	0	0	1	6	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	45424	11782	8213	7252	4186	3591	2824	3369	2003	1484	1247	2021	916	1514	761	766	617	485	437	439	446	325	419	221	262	218	204	185	232	165	209	108	116	118	95	99	127	112	161	45	54	84	58	66	38	70	41	32	81	45	50	29	17	87	18	24	26	16	14	14	14	25	26	3	17	14	7	8	6	13	7	8	6	9	3	2	8	1	2	0	3	3	2	7	2	5	2	0	0	3	4	2	1	2	1	1	0	3	3	0	0	1	2	1	0	0	0	0	1	6	3	1	1	0	0	0	1	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	35767	2727	3874	4625	1755	1923	1417	2561	991	524	452	1605	319	1217	322	471	324	182	124	182	238	131	257	49	108	56	92	75	139	92	154	31	24	55	25	42	79	91	131	15	16	69	18	42	10	60	22	18	73	34	43	9	2	78	9	5	22	6	10	2	4	16	25	3	6	7	4	4	2	11	5	6	3	3	0	1	7	0	0	0	0	1	1	2	0	0	0	0	0	2	2	2	1	2	1	1	0	2	3	0	0	0	0	0	0	0	0	0	1	6	2	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	43461	11952	8090	6781	4128	3555	2746	3196	1994	1471	1236	1915	921	1482	759	719	631	501	435	444	428	335	412	233	248	219	186	196	236	162	192	118	115	122	100	85	118	109	159	56	57	83	61	81	35	84	45	27	64	41	54	29	15	79	22	25	25	17	21	18	15	25	23	6	13	13	13	5	6	10	7	8	4	6	4	3	5	1	3	0	3	4	2	11	3	6	2	0	1	3	2	0	2	7	1	0	0	3	0	3	1	1	2	0	0	0	0	0	1	4	2	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	33438	2865	3692	4140	1661	1835	1318	2352	953	501	421	1508	295	1155	313	398	321	185	113	177	235	127	248	52	98	54	77	78	138	89	143	32	29	59	25	32	81	91	130	21	19	65	17	52	10	72	23	15	56	33	47	7	4	69	10	6	22	7	15	2	4	15	20	4	6	7	9	4	2	8	4	7	3	1	0	1	4	0	0	0	1	1	2	6	0	0	0	0	1	2	0	0	1	7	1	0	0	2	0	2	0	0	0	0	0	0	0	0	1	4	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	43187	11848	8171	6592	4134	3563	2740	3235	1980	1473	1273	1905	950	1490	728	720	658	526	419	462	412	344	368	248	273	209	170	198	230	159	198	105	121	122	96	84	116	105	129	64	52	79	58	66	38	98	45	24	82	62	63	31	13	59	22	29	30	15	20	18	13	26	18	9	7	7	15	6	10	6	4	9	3	6	4	2	7	1	5	0	6	3	3	12	2	4	2	0	1	1	1	1	1	6	1	0	0	3	0	3	1	1	1	0	0	2	0	0	0	4	2	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	33074	2764	3698	3998	1658	1812	1312	2328	951	488	409	1466	329	1160	289	396	323	191	97	184	217	128	200	64	104	53	71	75	136	94	147	31	28	63	23	31	75	83	98	20	18	61	16	41	11	88	23	11	67	53	54	8	4	47	8	10	26	12	13	2	4	17	15	5	5	2	10	4	6	5	2	7	1	0	0	0	5	0	1	0	2	1	1	8	0	0	1	0	1	0	0	0	0	6	1	0	0	2	0	2	0	0	0	0	0	2	0	0	0	4	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	45793	11850	8355	6772	4216	3674	2864	3412	2037	1471	1285	1881	943	1477	740	782	684	553	433	468	409	344	393	274	299	206	184	203	220	161	214	106	111	128	96	91	116	125	139	60	55	122	58	50	35	96	51	36	79	54	71	27	9	43	22	24	43	16	23	16	12	17	13	13	14	6	11	8	8	6	5	9	4	7	2	2	4	4	6	0	8	3	4	7	3	3	3	0	2	0	2	1	1	5	0	0	1	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	35898	2681	3971	4284	1762	1944	1427	2532	1046	532	439	1478	331	1195	317	439	356	196	112	196	207	139	231	79	118	50	83	94	132	99	172	29	30	69	27	41	83	102	112	21	27	106	23	30	6	89	22	25	64	45	61	7	2	33	7	11	33	12	20	1	2	13	10	6	10	2	7	4	4	4	4	4	2	1	0	0	3	1	1	0	3	1	1	6	1	0	1	0	1	0	0	0	0	5	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	47992	11780	8435	7056	4221	3691	2919	3646	1973	1482	1334	1966	928	1484	755	802	680	543	457	453	449	357	384	287	291	202	205	202	204	167	254	100	110	116	92	91	124	155	138	59	58	132	51	39	44	82	49	37	92	67	76	28	16	26	21	19	36	19	21	13	14	14	13	10	15	6	8	7	7	6	4	18	4	4	4	4	7	4	7	1	8	4	6	6	2	1	2	0	2	0	1	9	1	0	3	0	1	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north19_active	80	38455	2543	4134	4660	1816	1993	1518	2780	1062	549	490	1568	339	1228	334	478	362	187	121	189	238	140	226	82	124	52	94	96	112	102	201	28	27	62	28	39	87	123	112	25	29	115	21	23	9	77	22	26	78	56	62	12	3	19	6	9	25	13	17	1	2	10	12	4	8	2	6	3	5	5	3	13	2	1	0	0	6	1	1	0	5	1	3	4	1	0	1	0	1	0	0	8	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north20_all	80	48874	11864	8450	7375	4286	3800	2985	3807	2043	1499	1381	1958	901	1599	787	814	657	540	454	460	472	363	406	279	281	212	235	200	208	180	285	112	110	116	85	84	149	195	128	45	54	125	53	40	37	95	49	33	106	56	84	30	19	26	20	16	48	18	12	16	15	20	9	13	16	11	7	7	6	8	3	18	4	5	4	3	7	5	5	2	7	2	4	4	2	1	2	0	1	0	1	8	1	1	3	0	1	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
0.03	north20_active	80	39729	2528	4189	4951	1875	2089	1612	2994	1131	563	530	1575	336	1357	354	487	367	188	127	198	259	145	248	72	126	53	108	96	118	106	239	39	30	56	28	33	115	164	103	22	28	103	23	21	7	90	20	26	97	42	73	12	5	23	8	5	38	11	11	4	3	16	7	3	7	5	5	3	4	7	2	12	2	2	0	1	6	1	0	0	4	1	2	1	1	0	0	0	0	0	0	8	1	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
