label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	south29_active	80	55515	18568	2440	4215	6558	3084	396	904	1102	379	409	83	276	119	83	40	62	24	43	11	17	9	7	5	28	4	11	0	3	0	4	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south30_all	80	67437	24312	7895	6500	7637	3880	1466	1392	1345	647	577	299	379	197	154	104	107	70	69	23	40	24	19	13	25	9	10	2	3	3	5	1	0	2	1	0	1	1	1	0	0	0	2	1	0	0	0	0	0
0.03	south30_active	80	54988	18598	2489	4206	6631	3088	409	885	1108	387	409	84	285	121	74	46	71	27	55	8	22	12	6	2	21	4	6	2	3	0	4	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
0.03	south31_all	80	67051	23747	7771	6406	7360	3703	1393	1371	1247	613	542	309	375	192	156	103	129	55	69	41	46	25	19	11	26	15	16	8	8	1	2	3	2	0	1	1	1	4	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	54771	18026	2453	4112	6407	2922	436	912	980	321	375	97	286	118	93	49	104	20	57	8	31	15	8	4	25	5	6	3	5	1	1	1	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	67386	23771	7741	6231	7583	3911	1414	1351	1275	646	535	312	401	221	155	121	111	55	78	40	47	20	15	10	17	12	16	8	6	2	2	3	2	1	1	1	1	4	1	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	55047	18022	2462	3993	6586	3109	426	872	981	341	365	90	294	140	93	54	85	24	66	10	31	11	7	3	17	2	6	3	3	2	1	1	2	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	67034	23797	7649	6242	7487	3877	1438	1322	1330	668	550	321	387	210	152	139	110	47	89	47	41	22	20	8	23	11	14	7	2	2	3	4	1	1	1	0	2	6	1	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	54654	18078	2458	4100	6468	3040	450	841	1036	383	366	99	273	131	83	70	78	18	78	17	26	14	13	4	23	3	4	3	0	1	2	1	1	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	66917	23507	7590	6175	7396	3844	1414	1362	1318	669	556	303	355	203	167	132	117	40	75	48	38	20	21	9	10	9	6	5	0	2	3	4	1	2	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0
0.03	south34_active	80	54592	17742	2446	4008	6367	3049	425	845	1026	363	351	85	238	127	91	66	80	13	63	18	27	12	14	5	9	4	3	2	0	1	2	1	1	1	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0
0.03	south35_all	80	66515	23449	7627	6152	7237	3806	1441	1371	1316	643	578	275	359	205	163	120	133	49	65	47	34	24	20	7	10	5	10	9	5	2	3	4	1	1	1	2	1	2	0	0	1	0	0	0	0	0	0	0	0
0.03	south35_active	80	54265	17720	2470	4032	6211	3038	434	867	1016	356	369	89	256	124	86	60	93	13	52	17	21	15	13	3	8	3	5	2	1	0	3	2	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0
0.03	south36_all	80	66888	23113	7694	6280	7294	3772	1456	1409	1337	634	544	295	333	207	149	104	123	55	79	37	31	23	16	6	5	5	16	10	7	1	1	3	3	1	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south36_active	80	54513	17405	2447	4116	6255	3029	439	905	1042	352	338	98	247	132	79	52	83	13	67	9	17	16	10	2	3	2	8	4	3	0	1	2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south37_all	80	66946	23052	7794	6274	7283	3860	1476	1397	1387	618	543	293	353	213	149	113	106	59	86	33	31	25	12	7	10	6	22	10	8	1	3	2	4	0	3	4	0	0	0	10	1	0	0	0	0	0	0	0	0
0.03	south37_active	80	54490	17529	2443	4112	6271	3078	423	888	1093	341	345	85	262	129	91	54	69	17	72	7	18	15	6	2	6	1	13	4	3	0	1	1	1	0	1	1	0	0	0	10	1	0	0	0	0	0	0	0	0
0.03	south38_all	80	67192	23092	7806	6286	7202	3875	1480	1337	1402	628	560	307	344	208	148	112	102	59	89	42	34	29	15	9	9	6	18	4	3	1	4	2	3	0	3	2	0	0	0	10	1	0	0	0	0	0	0	0	0
0.03	south38_active	80	54663	17547	2429	4097	6224	3094	429	853	1112	343	371	79	253	124	95	55	60	14	72	7	23	16	4	4	6	1	12	3	2	0	0	1	1	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	67643	23338	7765	6195	7394	3953	1477	1223	1396	633	604	308	344	206	145	131	114	70	79	34	43	34	15	12	10	5	19	4	4	2	5	1	2	0	1	1	0	0	0	10	1	0	0	0	0	0	0	0	0
0.03	south39_active	80	55111	17703	2438	4000	6421	3177	430	760	1110	352	411	75	241	115	85	71	70	25	61	4	31	18	6	6	6	1	12	2	2	0	0	0	1	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	66871	23162	7579	6247	7360	3834	1439	1212	1410	613	582	287	338	199	142	134	111	61	102	39	46	32	16	12	8	5	9	2	14	3	4	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
0.03	south40_active	80	54570	17465	2395	4023	6410	3061	411	771	1123	342	387	79	237	116	82	75	73	20	87	8	30	19	9	6	6	2	6	0	12	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
