label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147
0.03	north9_active	80	7673	2419	4492	1006	631	1365	236	734	469	247	111	927	174	309	93	69	47	65	189	60	66	53	246	233	63	72	153	43	18	26	50	134	9	49	3	17	32	49	8	7	14	31	13	7	5	16	31	6	13	9	16	21	16	13	10	4	6	6	2	2	3	12	20	2	13	3	1	2	5	6	1	9	4	0	0	0	1	3	1	1	0	1	1	0	3	0	2	1	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	10689	4141	5175	1767	1284	1736	774	957	736	444	384	1065	305	398	257	206	201	157	234	142	109	115	264	244	96	92	158	85	60	51	72	168	50	61	27	40	37	59	29	30	33	58	24	23	15	33	30	19	15	16	16	36	25	14	13	10	5	8	5	7	11	19	11	5	13	7	4	5	2	6	2	6	6	1	4	1	2	3	2	3	2	2	2	0	3	1	2	2	3	1	0	0	1	0	1	4	0	1	2	1	0	0	1	1	0	1	0	0	0	1	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	7679	2476	4451	1018	687	1394	257	719	470	225	123	956	165	287	96	73	46	60	169	66	58	54	224	221	67	61	131	47	16	22	41	147	11	42	3	15	27	43	7	6	12	49	18	8	6	19	25	11	10	12	12	35	23	10	10	6	4	4	1	2	3	15	10	3	12	3	2	2	1	5	2	6	4	0	4	0	1	3	0	1	0	1	0	0	3	0	1	2	3	1	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	10146	3857	4822	1702	1297	1790	653	879	684	484	361	820	353	380	234	205	187	185	283	145	130	142	260	311	96	133	154	67	65	59	76	141	48	73	50	41	39	64	32	34	18	41	27	16	18	17	33	12	11	16	18	17	23	14	4	7	18	5	5	4	5	24	10	5	15	3	6	3	16	0	8	3	4	3	5	5	5	3	4	0	12	5	3	3	1	1	4	3	0	4	0	1	1	1	0	2	0	2	0	1	0	0	0	0	0	0	2	1	1	1	1	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	7055	2162	4113	923	616	1441	189	610	418	229	108	692	166	282	90	48	36	63	211	49	63	76	227	281	56	85	125	32	19	19	54	125	12	42	13	20	20	52	11	12	7	29	16	10	8	12	25	4	7	14	13	12	18	12	1	4	10	2	2	1	1	22	9	4	15	1	4	2	14	0	6	2	3	1	4	3	1	2	1	0	10	4	1	2	1	0	2	3	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	10184	3854	4759	1668	1246	1706	687	857	663	499	371	815	351	409	232	193	189	179	248	144	124	137	249	311	104	122	151	69	66	59	65	152	43	65	45	34	34	68	33	28	19	39	18	14	20	27	43	14	14	20	20	21	28	15	8	9	16	4	4	7	6	20	7	5	9	1	7	3	15	0	8	2	4	3	5	3	2	3	5	1	11	2	1	3	2	1	4	1	0	2	0	3	1	1	1	2	0	1	0	1	0	0	1	0	0	0	2	1	1	13	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north12_active	80	7038	2100	4054	890	591	1347	210	600	389	228	118	692	172	298	88	44	27	64	181	52	59	70	216	284	60	78	131	37	18	24	45	137	8	38	15	16	11	52	10	6	7	27	10	8	9	19	36	6	7	16	13	15	20	13	5	6	10	2	2	2	2	18	7	4	8	0	5	1	14	0	6	0	3	0	5	2	0	2	2	1	10	2	0	3	1	0	1	1	0	2	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	12	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north13_all	80	10472	3972	4941	1752	1281	1766	709	907	645	519	379	894	357	448	220	177	198	172	261	142	128	119	266	302	102	122	184	76	60	58	63	148	46	68	43	33	34	73	27	27	20	55	26	8	19	22	38	14	13	13	22	22	25	16	15	11	9	4	4	7	3	14	13	6	7	4	6	2	11	0	6	7	5	1	7	2	2	4	3	1	7	1	1	2	2	0	5	0	1	3	1	3	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north13_active	80	7406	2234	4236	970	631	1428	233	635	418	240	113	777	172	334	81	43	35	64	193	59	60	55	228	275	60	78	163	42	21	25	41	134	14	45	14	14	11	53	8	4	5	44	18	5	8	15	31	4	7	8	15	16	17	13	7	8	6	2	1	2	3	11	11	4	5	1	3	0	11	0	4	4	4	0	5	2	0	2	1	1	6	1	0	1	0	0	2	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north14_all	80	10666	4019	4972	1721	1264	1705	764	903	639	518	377	849	365	471	225	196	191	169	225	141	131	121	262	287	101	131	196	72	51	62	63	163	40	68	37	33	31	63	28	25	27	62	23	7	18	28	39	14	15	14	21	21	30	13	18	12	6	3	7	9	5	20	13	6	5	4	7	4	4	2	6	11	2	1	4	1	2	3	4	1	2	0	0	4	2	0	4	1	1	2	1	3	1	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north14_active	80	7685	2340	4270	994	625	1363	256	641	401	242	118	741	194	352	76	51	41	66	170	55	61	61	225	260	58	86	172	41	18	31	35	145	15	52	11	11	13	46	10	8	10	53	19	2	6	16	32	4	9	8	12	14	23	11	9	9	2	2	2	5	3	19	11	4	3	1	3	2	4	1	5	9	2	0	2	1	0	0	1	1	1	0	0	2	0	0	1	1	0	1	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north15_all	80	10587	3997	5206	1765	1262	1666	780	886	640	477	382	863	329	499	227	206	194	165	245	144	130	125	247	261	112	130	203	73	50	61	61	127	45	64	38	29	35	51	23	23	29	52	25	11	20	26	33	12	16	16	20	17	28	16	16	11	8	6	8	10	4	23	13	4	11	6	7	4	2	2	3	15	2	2	4	0	1	3	4	0	0	1	0	5	2	0	3	3	4	2	1	0	1	0	0	1	0	3	1	0	0	0	1	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north15_active	80	7614	2358	4522	1010	624	1299	275	637	415	230	112	758	183	389	84	47	47	62	189	58	61	63	208	235	59	85	173	32	26	29	31	110	14	49	12	9	14	39	7	8	12	45	23	4	7	15	28	2	10	8	10	11	22	13	8	10	3	4	2	5	2	22	10	3	8	1	2	2	2	1	2	13	2	0	2	0	0	0	1	0	0	0	0	2	0	0	1	3	2	1	1	0	1	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north16_all	80	10540	3928	5152	1749	1257	1708	740	873	633	481	405	934	336	466	228	210	183	162	251	134	140	128	230	264	118	120	165	71	60	59	61	136	54	66	38	29	36	50	35	23	36	48	33	14	20	25	32	13	14	11	26	27	26	17	15	12	7	11	8	8	3	25	13	2	15	3	6	3	4	4	8	11	2	1	4	1	1	3	3	1	3	2	0	4	1	1	2	3	4	1	0	0	1	0	0	6	0	4	1	0	0	3	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
0.03	north16_active	80	7582	2318	4454	988	615	1349	258	639	411	240	111	832	197	362	78	49	40	61	187	52	62	70	194	235	63	85	139	34	26	29	32	119	15	53	12	10	15	38	15	10	17	41	26	5	7	14	26	5	9	5	17	21	22	16	12	10	2	6	1	4	1	25	10	2	13	1	2	2	3	3	5	9	1	0	3	0	0	0	0	0	3	0	0	1	0	1	1	3	2	0	0	0	1	0	0	6	0	2	1	0	0	3	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
0.03	north17_all	80	10573	3971	5164	1739	1237	1730	749	965	683	464	390	1009	325	448	233	200	177	156	256	120	142	134	233	241	118	115	180	76	68	52	75	152	53	55	50	28	47	38	32	26	27	24	34	14	25	25	37	13	16	14	24	31	23	16	14	9	10	12	11	6	4	37	5	2	17	5	4	2	4	3	7	13	5	2	3	2	4	0	2	2	3	2	0	3	1	1	3	2	4	0	0	1	2	0	0	6	0	4	2	0	0	4	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
0.03	north17_active	80	7663	2334	4494	966	606	1368	261	693	456	229	112	910	184	349	85	54	33	62	186	46	60	75	203	210	62	83	149	35	33	21	44	139	13	47	13	11	23	28	14	11	14	19	26	7	9	14	29	5	10	7	14	23	18	15	11	6	3	6	1	1	1	36	4	1	14	2	0	1	3	2	4	12	4	0	3	0	1	0	0	1	3	0	0	0	0	1	2	2	2	0	0	0	1	0	0	6	0	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
0.03	north18_all	80	10690	3993	5094	1706	1250	1703	743	968	669	462	386	998	330	449	233	209	195	146	249	128	154	133	229	267	119	132	169	84	69	54	68	148	46	55	53	26	38	43	30	21	26	37	36	19	20	21	30	12	13	20	22	28	24	17	16	9	11	11	7	7	3	25	4	3	11	9	2	2	5	5	10	9	4	2	12	3	6	1	2	2	3	3	1	1	1	1	2	0	5	1	0	1	1	0	0	16	0	1	1	0	0	4	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
0.03	north18_active	80	7719	2343	4414	955	614	1345	234	692	456	211	113	895	174	350	97	63	37	52	182	51	68	74	198	235	62	88	148	46	28	19	38	137	11	47	15	13	22	32	10	6	14	29	25	11	6	14	25	4	7	10	16	23	19	14	13	7	4	6	1	3	1	24	4	1	9	4	0	1	3	4	7	8	3	0	12	1	2	0	0	1	3	2	0	0	0	1	2	0	3	1	0	0	0	0	0	16	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
0.03	north19_all	80	10783	4061	5028	1720	1277	1757	740	1044	706	440	376	956	328	465	224	204	198	155	242	130	166	136	229	322	122	118	178	77	59	60	78	162	50	54	55	28	46	31	28	22	22	45	30	20	19	28	17	12	13	17	19	22	30	23	14	8	21	7	7	7	6	38	5	3	5	9	2	1	4	4	7	12	3	2	10	3	7	3	3	1	2	2	2	1	1	0	2	0	2	1	0	2	2	0	0	16	0	0	1	0	0	4	1	0	1	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	7801	2396	4365	959	650	1420	226	736	453	199	108	854	168	365	100	64	35	57	184	49	70	76	207	285	65	69	149	45	22	24	49	152	9	43	13	14	33	22	7	6	13	37	18	12	6	22	14	4	7	10	12	17	25	21	10	6	11	3	2	3	3	37	4	0	3	3	1	1	2	3	3	11	3	0	10	2	3	1	2	1	2	2	1	0	0	0	2	0	2	1	0	0	0	0	0	16	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	10572	4061	5148	1660	1248	1736	733	984	713	437	380	959	346	454	220	217	191	159	224	137	169	138	209	318	124	100	183	85	73	54	59	172	44	57	48	29	40	27	27	19	23	50	29	23	15	27	12	13	18	17	18	23	20	19	13	8	20	7	6	7	6	34	8	4	8	8	4	0	9	3	5	9	2	2	14	2	6	3	3	1	1	2	2	0	0	0	1	0	2	1	0	2	2	0	0	12	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	7609	2400	4446	910	650	1393	226	696	468	197	117	855	178	356	92	66	35	62	173	53	70	82	187	280	70	51	159	51	23	23	41	160	10	42	11	14	30	15	4	6	10	41	18	14	3	22	11	4	12	11	12	20	17	17	8	6	13	3	2	3	3	33	7	0	6	2	4	0	7	3	4	7	2	1	14	2	4	1	2	1	0	2	1	0	0	0	1	0	2	1	0	0	0	0	0	12	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
