label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156
0.03	north7_active	80	3147	3004	3287	2529	348	1620	318	596	158	1016	156	302	430	415	296	251	71	176	75	63	260	31	73	43	49	108	188	22	39	23	16	14	21	19	25	8	49	10	46	11	10	53	4	15	5	7	4	4	1	2	8	9	31	8	7	11	17	14	13	5	1	13	15	1	0	3	2	1	1	4	4	1	0	7	2	1	0	7	0	1	1	2	0	0	1	1	0	14	3	1	1	1	6	0	1	1	0	0	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	7609	4682	4179	3253	1211	1983	814	886	579	1244	421	489	578	509	410	376	202	254	168	160	309	113	128	97	115	153	189	77	65	55	71	60	47	46	43	32	55	31	73	21	33	79	19	29	21	19	14	14	15	12	16	11	23	13	11	17	13	13	13	12	1	20	9	7	2	9	4	1	2	7	6	6	2	8	4	5	1	5	2	4	4	1	1	4	2	1	0	14	2	1	0	1	4	0	1	1	0	3	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	3074	2958	3229	2557	331	1602	317	586	140	1074	147	300	431	410	292	268	69	197	79	54	261	34	72	41	55	110	169	22	27	27	20	16	19	16	20	9	43	7	57	9	11	65	2	15	4	7	4	4	2	3	14	11	16	10	7	10	11	9	12	2	1	15	7	2	0	9	1	0	1	3	3	3	0	7	3	1	0	5	0	1	2	1	0	4	1	1	0	14	2	1	0	1	4	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	7696	4591	4050	3224	1193	1963	792	908	574	1264	410	499	551	495	398	340	218	288	151	154	315	104	131	105	119	135	173	73	55	58	62	60	50	50	43	37	62	32	76	20	32	95	20	30	15	16	15	16	17	9	23	10	22	14	9	12	14	12	12	13	4	16	11	6	3	14	4	2	0	7	5	6	2	9	5	4	1	6	3	3	3	4	1	4	3	0	0	0	1	0	0	1	0	0	0	0	0	3	0	2	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	3058	2850	3111	2562	321	1605	306	601	133	1111	151	298	409	380	279	249	79	224	69	54	273	21	71	45	59	95	152	17	21	29	18	17	22	17	20	7	51	7	62	8	9	85	2	16	1	5	3	7	5	3	20	9	15	11	7	7	14	7	10	2	1	11	9	2	0	14	0	0	0	2	2	4	0	8	4	1	0	6	0	1	2	3	0	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	7686	4614	4065	3217	1197	2031	830	880	564	1287	391	495	537	501	389	327	210	299	143	157	342	105	121	94	102	140	184	72	54	60	61	53	56	47	44	46	69	34	86	22	34	100	28	25	18	15	17	12	17	10	29	9	22	23	10	10	16	10	9	8	7	11	10	5	3	14	7	4	0	5	3	5	3	1	5	1	2	3	2	2	2	3	2	4	1	0	2	1	0	0	1	0	3	1	0	0	0	2	2	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	3040	2867	3132	2569	329	1706	353	566	124	1123	140	308	391	372	278	237	67	225	66	54	303	26	62	42	52	99	161	17	19	28	20	14	27	19	18	10	56	12	68	8	8	88	5	13	3	4	4	7	6	4	24	6	16	20	4	6	15	6	6	2	0	10	9	3	1	13	0	2	0	1	1	4	0	1	4	0	0	3	1	1	2	2	1	4	0	0	2	1	0	0	1	0	3	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	7643	4667	3914	3082	1306	2015	839	885	565	1258	418	496	508	480	372	342	211	260	181	176	261	116	141	95	113	137	225	83	57	54	49	49	47	37	43	33	69	31	64	32	28	64	25	21	24	23	24	12	16	13	21	11	18	16	10	6	9	6	8	12	5	10	17	5	3	10	6	7	3	5	10	2	7	8	9	2	3	5	4	1	2	2	2	1	1	2	1	0	3	1	4	1	1	1	1	1	1	0	0	0	0	5	0	1	1	1	0	0	1	0	0	1	0	3	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north11_active	80	3068	2977	3047	2486	356	1666	344	571	154	1083	134	314	359	371	257	243	73	180	82	64	217	27	72	39	56	105	205	24	26	23	11	17	15	13	20	11	61	17	54	9	10	55	8	11	9	9	8	5	6	4	18	3	16	7	3	3	4	3	4	3	2	9	17	2	0	7	1	3	2	4	5	0	1	7	7	0	1	4	3	0	0	1	0	0	1	2	1	0	2	0	4	0	0	1	1	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north12_all	80	7675	4570	3955	3113	1270	1998	821	867	565	1232	437	497	503	470	342	308	203	279	180	164	257	118	141	94	127	137	267	80	63	65	52	53	53	28	45	33	68	32	57	29	32	55	19	18	19	20	25	16	13	12	12	12	20	19	14	6	13	10	7	5	8	21	15	7	3	12	6	6	4	5	11	2	7	7	7	4	3	7	3	0	2	4	3	2	4	2	1	0	2	2	4	0	1	2	0	0	2	0	0	1	0	4	0	1	1	1	0	0	0	1	0	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	3077	2913	3110	2489	360	1646	327	559	173	1033	147	314	370	366	245	213	75	193	82	64	214	29	70	38	62	103	238	23	26	21	11	15	18	9	24	12	57	13	46	9	14	44	7	8	8	7	6	8	2	6	8	5	17	13	5	2	7	5	3	0	4	20	15	3	1	10	0	3	4	4	8	0	3	7	5	1	1	6	2	0	1	3	1	1	4	2	1	0	2	0	4	0	0	2	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	7698	4628	4186	3073	1255	2010	866	849	531	1227	424	517	481	469	353	326	206	256	173	168	307	123	138	103	119	103	289	84	64	72	55	44	55	30	45	32	61	30	42	30	35	57	18	16	19	16	21	21	14	13	22	11	25	19	11	6	10	9	18	5	8	34	19	7	5	10	4	4	3	5	11	4	4	12	9	7	3	5	3	1	3	4	2	3	4	2	2	0	3	1	1	0	2	2	0	0	2	0	0	1	0	2	0	1	1	1	0	0	0	1	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	3085	2909	3295	2463	352	1657	330	549	160	1037	138	331	362	362	265	209	78	167	78	64	263	28	67	41	52	72	252	24	26	22	14	10	18	7	24	11	51	11	32	8	14	48	9	8	7	5	5	11	4	7	18	6	23	14	4	2	7	4	15	1	3	33	18	2	2	9	0	3	3	4	9	0	2	12	7	2	1	4	2	0	1	3	1	2	4	2	2	0	3	0	1	0	1	2	0	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	7704	4734	4229	3137	1239	1992	834	897	523	1197	425	492	522	436	370	353	197	251	164	155	343	108	143	99	118	103	268	77	55	68	56	41	52	29	46	33	70	30	46	36	29	70	20	17	19	22	18	21	14	16	28	14	22	17	13	8	18	10	20	6	6	44	12	7	6	11	2	3	4	1	7	6	4	17	5	13	1	5	1	3	3	6	1	10	4	1	1	1	1	1	1	0	1	2	1	0	3	1	2	1	0	1	1	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	3045	3015	3300	2512	356	1633	308	604	141	1010	140	322	395	346	269	221	79	164	87	65	298	20	71	41	48	72	231	22	18	21	15	11	23	7	23	9	59	13	34	10	12	62	10	10	6	7	4	11	3	8	22	9	19	15	5	3	12	4	16	2	3	42	10	2	5	8	0	2	3	0	7	1	2	17	4	4	0	5	1	2	1	5	1	9	3	1	1	1	1	0	1	0	1	2	1	0	2	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	7700	4674	4307	3142	1207	2056	838	900	528	1237	430	504	541	486	374	345	207	250	173	153	352	114	133	99	99	96	301	73	51	60	50	39	54	45	44	35	59	25	50	36	27	65	18	21	18	23	16	21	13	17	33	12	18	16	9	6	22	7	20	7	6	29	13	5	8	4	2	2	4	2	11	6	4	17	3	12	6	3	0	4	2	6	2	15	3	2	1	4	2	0	0	0	2	1	1	1	1	1	3	0	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	3029	2988	3339	2539	340	1684	327	587	131	1059	133	330	407	390	283	229	86	155	93	62	301	20	55	39	36	62	268	19	17	23	12	11	26	15	17	13	52	12	38	7	9	57	9	11	7	7	4	10	6	8	27	8	16	14	3	3	17	2	16	3	2	28	11	3	6	2	1	0	3	1	9	1	1	17	3	3	1	3	0	2	1	5	1	15	1	2	1	4	2	0	0	0	1	1	1	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	7681	4599	4191	3188	1218	2126	813	920	548	1170	448	508	572	512	367	317	204	289	178	148	335	119	145	98	83	115	235	78	51	60	45	40	50	40	46	41	70	28	69	35	23	68	22	24	15	24	15	11	13	15	28	11	14	12	11	10	26	6	14	9	6	17	12	3	6	6	2	3	3	3	4	6	3	9	3	7	7	10	1	3	1	6	1	13	2	2	0	6	2	0	0	1	2	5	1	1	1	3	3	1	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	3015	2929	3222	2588	368	1735	353	601	144	1010	140	329	427	404	264	210	76	186	108	60	288	20	63	38	38	75	208	23	17	23	10	12	25	19	17	11	57	12	57	8	7	60	10	8	4	7	3	5	6	6	21	7	11	11	2	5	21	2	11	4	2	16	11	2	4	4	1	0	2	3	2	2	0	9	3	3	1	9	0	2	0	5	0	13	0	1	0	6	1	0	0	1	1	5	1	0	1	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	7619	4598	4106	3128	1248	2160	778	897	575	1199	451	490	581	516	368	313	177	299	194	147	323	128	141	99	95	99	249	79	48	55	43	43	54	42	43	48	58	26	75	25	29	68	30	26	13	17	18	14	17	11	24	14	22	11	11	11	18	6	11	8	6	10	8	7	4	10	3	5	1	6	6	4	2	0	3	5	7	11	5	3	1	6	1	6	1	2	0	7	2	0	0	1	2	10	0	1	0	3	1	4	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	2960	2922	3216	2500	380	1769	345	594	155	1045	143	310	429	407	265	218	60	201	115	64	272	25	64	38	43	68	225	21	19	16	8	12	25	18	13	15	42	10	64	4	5	60	8	8	2	3	4	7	9	4	19	9	16	10	1	6	15	3	7	5	2	10	7	5	3	8	1	1	1	3	4	1	0	0	3	1	1	10	3	2	0	6	0	6	0	1	0	7	1	0	0	1	1	9	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	7615	4671	3981	3165	1213	2170	800	864	561	1199	448	480	600	484	361	311	186	305	185	156	299	130	143	111	90	118	265	82	59	56	40	43	46	37	49	50	71	34	71	28	27	77	28	24	17	20	20	12	17	11	23	19	19	13	12	12	14	9	17	9	8	3	7	8	2	13	2	5	0	5	4	5	1	0	4	5	3	13	6	2	2	3	2	1	2	2	0	4	2	0	1	2	2	10	0	0	0	2	0	4	1	0	0	2	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	2938	2972	3136	2530	361	1795	339	565	158	1031	150	322	445	376	253	217	59	221	98	64	250	30	69	48	43	84	237	22	19	17	7	13	18	15	18	14	55	13	55	2	6	73	6	8	2	5	5	5	9	3	18	14	15	11	3	7	11	4	12	6	2	3	5	6	0	10	0	2	0	2	3	1	0	0	3	2	1	12	4	1	0	3	1	1	0	0	0	4	0	0	1	2	2	9	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	7685	4684	4129	3169	1217	2188	818	850	559	1180	454	515	533	472	406	336	197	290	182	153	307	128	132	113	95	120	233	80	56	57	47	42	48	38	47	47	73	29	68	30	21	58	29	20	20	22	20	13	16	10	21	22	29	10	13	21	11	11	17	13	8	4	7	9	2	13	3	6	0	8	5	2	1	2	7	6	1	10	6	5	2	5	2	1	1	2	1	4	7	1	1	2	4	7	0	0	1	0	0	4	1	1	0	1	1	0	0	2	0	0	2	0	1	0	2	0	0	10	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
