label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117
0.03	north6_all	80	3763	1763	1228	1380	841	439	401	721	558	228	404	680	322	134	105	84	75	125	300	55	63	171	77	151	43	37	42	54	57	29	32	20	21	12	16	11	16	21	18	17	54	14	10	7	17	6	4	15	3	4	10	6	5	10	4	3	4	4	3	2	2	5	3	1	1	2	2	1	3	3	0	2	1	2	2	3	0	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north6_active	80	855	505	497	1030	527	113	123	595	452	95	321	629	255	38	40	23	32	95	284	21	23	155	60	131	23	8	11	40	45	11	24	6	4	6	7	7	6	15	9	15	49	10	5	7	14	1	0	12	1	1	9	2	5	7	4	2	2	1	1	0	2	0	1	1	0	2	1	0	1	1	0	1	1	2	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_all	80	3794	1803	1192	1283	817	465	368	618	492	215	359	534	283	128	115	83	68	126	226	62	64	145	78	114	53	33	39	39	55	25	25	19	26	9	13	14	21	14	17	8	49	17	7	10	14	5	4	8	3	3	8	7	5	9	4	3	3	3	4	3	2	7	2	3	1	3	4	1	2	2	0	2	1	5	2	3	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north7_active	80	864	456	464	938	497	122	110	491	379	80	276	476	214	38	49	28	25	90	204	23	28	130	54	93	25	8	11	27	44	8	18	6	7	3	6	10	5	12	10	4	47	8	3	10	10	2	0	4	1	0	7	2	5	5	4	1	1	1	2	0	2	0	1	2	0	2	3	0	0	1	0	1	1	5	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_all	80	3728	1804	1183	1219	783	452	371	554	469	229	324	482	237	138	117	85	89	133	231	65	52	129	86	112	52	32	38	33	49	24	29	20	26	16	22	11	20	11	11	13	69	17	5	14	12	5	5	6	2	2	15	7	5	6	2	1	4	3	2	3	1	6	2	3	2	1	3	2	2	1	0	1	1	5	1	0	0	1	1	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north8_active	80	880	467	451	877	471	108	110	432	363	93	233	416	170	42	47	25	33	92	208	24	29	108	59	95	23	9	8	23	38	8	19	5	9	4	13	6	5	8	7	4	66	7	2	12	7	2	1	3	0	1	13	2	5	4	2	0	1	1	1	0	1	0	1	2	0	0	2	0	0	1	0	0	1	5	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north9_all	80	3694	1842	1198	1294	835	480	379	609	549	224	379	586	259	128	105	93	109	155	354	70	56	144	95	157	48	32	36	32	49	25	48	23	18	19	19	19	16	9	5	15	85	14	6	22	12	4	6	9	4	2	16	7	0	8	2	2	7	0	2	3	2	4	1	4	2	1	3	2	1	1	0	0	1	5	1	3	0	1	1	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	891	513	523	981	547	132	116	494	456	107	295	520	198	42	48	27	36	112	330	31	32	124	61	139	21	6	10	22	40	8	40	5	8	8	11	6	4	7	4	6	82	2	1	19	8	1	1	4	2	1	14	2	0	6	2	1	2	0	1	0	2	0	0	3	0	0	2	0	0	1	0	0	1	5	1	3	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_all	80	3686	1804	1204	1318	872	509	379	760	648	230	401	827	279	125	110	110	104	167	357	72	60	156	95	182	46	25	32	42	54	22	46	26	18	23	22	19	15	12	10	13	97	15	10	32	20	3	8	7	3	2	12	7	0	7	1	1	9	0	5	2	2	3	1	5	2	0	3	2	1	0	2	1	0	11	0	3	0	0	2	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	878	541	560	1004	598	142	134	649	560	120	317	757	218	42	47	35	40	123	338	35	32	129	64	161	25	6	12	31	45	12	39	5	10	9	12	5	3	10	5	6	96	5	2	29	16	1	2	4	2	1	11	3	0	5	1	1	4	0	4	0	2	0	0	4	0	0	0	0	0	0	1	1	0	11	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	3739	1708	1232	1584	1029	480	373	817	627	257	466	1011	358	126	115	99	103	126	396	59	52	139	86	228	63	31	34	52	60	27	49	13	22	20	26	17	19	20	15	14	77	14	8	16	11	4	5	18	6	8	17	5	10	1	8	1	4	1	10	4	2	1	1	5	4	2	0	0	2	3	2	1	7	3	0	2	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	950	539	598	1276	705	138	149	707	495	138	391	958	306	42	52	34	43	99	372	23	30	130	60	217	38	4	7	38	46	16	45	5	7	4	15	6	10	15	9	7	72	9	1	15	10	1	2	17	2	5	16	2	5	1	6	0	0	0	10	1	1	1	0	0	3	1	0	0	0	0	0	1	7	2	0	2	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	3697	1693	1210	1652	968	476	395	847	597	240	466	956	372	127	111	101	103	122	437	67	58	129	74	223	59	34	36	62	58	33	46	21	20	17	25	13	15	20	13	17	72	15	7	11	10	4	8	17	6	5	20	6	16	1	4	3	4	0	12	0	2	1	2	4	4	2	0	0	2	0	0	3	6	2	0	1	1	2	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	925	549	569	1312	670	136	154	723	479	142	392	901	316	38	41	33	37	95	411	29	28	118	50	211	38	6	10	50	41	19	41	4	8	3	15	7	8	16	7	9	70	12	2	9	9	0	2	17	2	4	18	2	9	1	2	1	0	0	12	0	1	1	1	0	2	1	0	0	0	0	0	1	6	2	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	3585	1718	1228	1638	956	470	406	859	641	245	484	900	373	133	110	99	86	128	433	67	55	160	56	200	54	38	31	58	77	34	45	22	19	18	16	19	13	29	14	15	53	10	8	9	12	6	9	13	5	5	33	7	20	5	7	2	3	1	15	0	2	2	1	1	5	2	0	0	1	0	0	10	0	0	0	2	0	1	1	0	0	0	0	1	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	869	547	561	1312	677	143	156	731	511	129	405	852	329	42	45	34	27	106	409	30	26	143	32	186	34	7	7	45	65	21	40	4	10	5	5	10	6	22	7	8	52	6	2	6	12	0	3	11	2	4	31	1	16	4	6	1	0	0	13	0	1	2	1	1	3	1	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	3678	1743	1216	1678	905	471	377	827	632	243	489	808	362	137	116	96	83	126	407	65	54	168	66	197	48	39	34	56	60	33	50	25	17	19	16	17	11	23	19	12	51	9	10	5	11	6	6	13	5	6	36	5	17	5	7	2	2	1	9	1	1	1	2	2	4	0	0	0	4	2	1	10	1	0	0	2	0	1	1	0	0	0	1	1	0	1	2	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	887	554	522	1352	621	141	142	704	520	121	397	757	316	47	46	36	24	99	375	29	28	151	43	187	32	9	10	47	51	18	43	2	11	7	10	8	6	16	12	8	46	5	4	2	11	0	2	8	2	5	35	0	14	4	6	1	0	0	6	0	1	1	1	1	2	0	0	0	1	1	0	8	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	3653	1717	1200	1491	827	467	390	711	572	244	448	717	322	148	110	100	83	125	337	61	66	129	66	178	55	32	28	49	62	41	52	19	16	19	18	17	8	20	18	6	43	8	10	8	9	6	5	12	6	6	36	5	14	6	6	2	1	1	13	1	0	1	2	3	2	2	1	0	3	2	1	9	1	0	0	2	0	0	1	0	0	0	1	1	0	0	2	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	864	507	502	1177	545	125	132	600	454	116	360	671	281	44	44	31	24	90	305	26	35	113	38	166	32	7	7	39	51	20	41	4	10	5	9	9	3	14	10	4	38	5	2	6	8	0	2	7	2	2	35	0	14	5	5	1	0	0	10	0	0	1	1	2	1	0	0	0	1	1	0	9	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	3674	1725	1182	1364	815	464	380	631	512	232	388	638	300	147	113	111	87	127	259	61	71	107	70	118	52	23	32	53	41	38	49	23	18	16	23	13	14	18	15	6	38	9	6	5	8	6	3	16	7	6	24	8	3	7	4	1	0	0	14	1	0	1	3	3	2	3	1	0	3	2	1	2	2	0	1	1	0	0	1	0	0	0	2	1	0	0	2	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	884	493	479	1046	507	111	116	524	410	106	300	585	252	43	46	30	25	94	227	25	37	88	41	108	25	7	10	42	28	17	37	6	11	5	12	8	4	13	8	4	33	5	2	5	6	2	1	11	2	2	23	0	2	6	2	0	0	0	13	0	0	0	0	1	1	1	0	0	1	1	0	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_all	80	3698	1724	1157	1193	771	463	395	582	443	209	308	549	266	144	105	112	79	112	199	75	73	108	65	103	66	22	33	57	36	35	39	25	18	12	19	9	17	18	8	8	26	9	8	6	10	2	3	13	9	7	13	8	7	6	2	2	1	1	10	1	2	2	3	2	0	4	4	0	1	2	0	2	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_active	80	872	457	451	858	463	95	108	474	341	106	231	495	218	37	43	24	21	74	172	26	36	86	35	92	39	6	12	43	21	14	28	9	7	2	7	6	4	16	2	4	23	4	3	6	7	2	1	9	1	1	11	0	6	4	1	0	0	1	10	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north18_all	80	3673	1734	1139	1135	765	483	376	561	435	220	292	556	280	131	105	109	83	116	202	64	66	119	52	80	61	23	36	43	26	31	34	26	19	14	20	12	17	23	10	11	24	12	8	4	8	3	6	13	10	4	8	8	7	6	3	4	3	1	5	1	2	2	3	2	0	2	5	0	2	3	1	2	1	5	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north18_active	80	878	434	419	801	470	95	110	429	334	98	220	497	210	30	42	27	25	77	181	22	33	88	29	70	36	6	11	33	17	15	23	9	5	3	8	7	5	18	4	5	23	5	3	4	5	2	1	7	2	0	7	1	6	4	1	2	1	1	4	0	0	0	1	1	0	1	0	0	0	0	0	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north19_all	80	3652	1769	1126	1142	759	479	371	569	428	217	282	562	265	135	106	121	71	123	192	61	52	114	57	94	59	29	38	38	38	29	30	28	16	15	12	12	16	21	14	12	27	8	13	6	9	5	7	8	5	4	3	3	6	7	4	4	5	1	5	1	2	1	4	1	1	2	4	2	3	4	1	1	1	5	1	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north19_active	80	868	424	411	809	459	94	109	436	320	90	215	497	195	35	48	35	24	82	169	18	21	83	37	83	39	7	9	28	28	15	19	9	3	4	7	5	6	16	8	4	25	2	6	6	5	2	2	2	1	0	2	1	5	6	2	2	2	1	4	0	0	0	2	1	0	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north20_all	80	3702	1714	1164	1122	760	463	350	533	424	250	288	547	290	124	106	110	86	128	208	50	50	108	65	77	51	29	28	39	41	26	34	22	20	22	12	13	8	19	13	15	32	9	14	9	6	5	7	11	7	1	7	3	3	4	4	4	6	1	2	1	1	0	3	4	2	1	2	2	3	4	1	1	1	6	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north20_active	80	885	420	455	776	462	91	93	416	304	102	221	479	212	29	42	30	27	82	181	19	18	78	48	66	32	6	5	29	34	15	21	7	6	7	7	5	5	13	6	6	29	4	7	8	2	0	3	4	1	0	7	1	3	4	1	2	3	1	1	0	0	0	2	4	1	0	0	1	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south21_all	80	3664	1724	1271	1488	898	484	355	756	668	251	406	902	353	129	121	112	103	130	486	60	76	131	95	234	53	31	32	49	94	34	50	13	18	16	16	15	13	32	18	13	41	24	11	11	16	7	5	5	4	1	17	3	2	2	4	4	3	5	9	2	4	0	2	2	0	2	1	2	4	3	3	6	0	2	2	1	1	3	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0
0.03	south21_active	80	872	542	579	1158	625	143	128	654	559	133	328	858	305	40	56	37	27	97	467	28	33	118	74	219	29	8	16	36	80	25	39	5	3	2	7	9	9	26	8	5	38	23	1	9	9	0	3	2	0	0	15	1	1	1	3	1	2	3	6	0	3	0	0	1	0	1	1	0	0	0	3	6	0	2	2	1	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	3728	1725	1258	1484	895	501	363	735	678	271	444	922	359	128	129	119	101	117	529	62	66	120	78	273	62	32	32	53	98	33	43	13	21	14	11	11	13	34	15	18	48	17	14	13	16	3	4	3	4	3	28	2	3	3	4	6	5	4	8	1	3	0	3	2	1	2	2	1	2	1	5	5	0	2	2	0	1	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
0.03	south22_active	80	903	540	587	1164	632	140	123	639	570	148	348	874	313	40	55	44	26	85	506	26	28	107	56	260	38	7	12	42	82	21	33	3	3	3	6	6	9	28	6	10	44	16	3	11	13	0	1	1	1	1	26	1	2	2	3	1	3	3	7	0	2	0	0	1	1	1	2	0	0	0	4	5	0	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	3691	1762	1206	1512	880	487	356	771	673	267	502	898	354	127	126	112	97	124	491	70	55	163	77	263	75	32	39	47	91	40	30	11	17	14	10	19	15	23	13	16	103	19	12	13	17	2	3	4	3	3	23	4	4	4	4	4	4	1	8	3	1	1	2	1	2	3	3	1	2	1	7	2	0	7	1	1	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south23_active	80	875	582	575	1188	614	135	125	671	573	137	404	853	303	43	55	40	29	93	464	30	21	152	58	247	52	9	12	38	78	25	21	3	4	4	5	13	10	18	5	10	99	16	3	11	15	0	1	2	1	1	22	1	3	3	3	1	3	0	7	0	1	0	0	0	1	1	3	0	0	0	6	2	0	7	1	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	3686	1727	1210	1448	873	458	371	695	629	242	486	906	304	125	109	109	92	125	419	84	59	188	66	232	68	31	44	43	84	34	38	13	19	11	11	20	11	20	6	14	96	12	13	13	18	2	2	5	5	4	14	4	3	6	2	3	5	1	4	2	1	1	3	1	2	3	3	1	0	0	5	0	0	8	0	1	0	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	865	524	569	1135	609	118	122	588	516	114	399	860	254	46	48	39	31	90	389	30	22	173	49	218	53	11	9	33	74	17	30	3	6	4	9	14	6	15	2	10	94	9	2	11	15	0	0	5	1	1	13	1	2	6	1	1	2	0	3	0	1	0	0	0	1	1	2	0	0	0	4	0	0	8	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	3685	1735	1175	1389	860	445	369	635	580	227	447	728	271	125	111	115	89	122	345	82	58	173	69	177	53	34	41	41	66	33	38	14	14	13	15	19	12	14	6	9	90	9	10	9	11	2	3	6	4	3	16	5	3	8	2	2	5	1	4	3	1	2	2	0	3	6	2	1	0	0	4	0	0	8	0	1	0	4	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	824	505	551	1062	562	120	117	508	449	92	361	677	218	44	45	32	30	90	318	29	23	152	46	160	37	13	8	21	59	12	30	4	4	4	13	13	7	11	4	5	88	5	1	7	8	0	0	6	1	1	15	2	2	8	1	1	3	0	4	1	0	1	0	0	1	4	1	0	0	0	3	0	0	8	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	3648	1735	1142	1312	836	478	387	587	528	221	378	612	262	134	108	109	84	117	297	72	63	133	68	146	44	35	36	41	48	34	41	14	14	15	20	14	11	14	7	12	24	14	8	11	8	4	2	10	6	2	11	4	2	10	1	2	5	0	4	2	2	1	4	0	2	5	2	1	0	2	3	0	0	1	0	0	0	4	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
