label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125
0.03	north17_all	80	5378	2532	3994	3840	1465	920	653	478	1232	338	417	445	222	207	318	637	580	316	174	99	116	64	71	79	89	49	62	37	104	37	58	35	29	24	30	83	17	28	13	17	16	13	15	9	11	20	15	10	3	19	5	3	20	5	3	9	3	6	7	2	2	4	1	1	3	8	1	3	1	1	2	3	0	2	2	4	0	4	0	1	0	3	0	1	5	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	1230	719	3419	3488	1108	615	352	149	1062	148	294	346	112	100	265	587	540	276	139	45	75	21	15	59	58	13	25	12	88	22	44	24	13	14	16	76	11	23	4	6	4	7	7	8	1	8	3	5	0	18	3	1	18	4	2	8	2	6	3	1	1	2	1	1	2	8	1	0	0	1	2	3	0	1	1	3	0	2	0	1	0	3	0	1	4	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	5362	2558	4044	3674	1451	910	654	448	1161	321	437	439	215	212	327	557	528	304	163	97	119	68	67	91	83	43	57	42	110	42	55	32	39	26	29	105	17	40	13	20	13	14	18	10	10	12	14	8	4	16	15	1	14	9	4	14	6	5	3	6	2	5	3	1	3	1	1	4	4	1	6	3	0	0	4	6	0	5	1	1	0	2	0	2	2	3	0	0	0	0	1	0	3	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	1221	709	3463	3268	1065	608	353	146	991	156	306	341	111	109	258	507	493	269	126	47	82	21	15	67	52	12	24	12	97	25	45	18	18	14	17	98	12	34	5	6	3	9	9	8	0	7	3	4	1	16	10	0	13	7	1	10	2	5	2	4	1	3	2	1	2	1	1	1	3	1	6	3	0	0	3	5	0	5	0	1	0	2	0	1	1	3	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	5396	2532	4012	3624	1393	923	617	446	1096	323	467	446	236	197	344	560	517	331	154	105	135	65	62	94	79	51	49	32	91	50	43	32	42	38	25	128	12	46	13	15	12	11	20	13	11	14	11	10	7	11	13	0	24	9	7	10	7	2	5	7	2	4	2	0	3	4	0	4	4	1	5	8	0	0	3	6	4	6	1	1	0	1	1	2	1	3	6	0	4	0	1	0	3	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	1219	712	3402	3227	1017	618	325	138	950	157	324	339	124	106	270	516	482	299	118	49	103	19	15	65	51	12	24	5	81	35	35	17	21	25	12	119	7	36	5	4	3	7	11	11	0	11	1	6	4	9	9	0	24	7	3	5	3	2	2	5	1	2	1	0	2	3	0	1	3	1	5	7	0	0	2	4	0	6	0	1	0	0	1	1	1	3	6	0	3	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	5318	2546	4082	3650	1435	946	625	444	1080	354	479	459	219	199	326	555	467	406	172	111	124	70	56	88	77	54	44	37	114	44	48	28	30	36	27	133	14	47	12	10	11	6	16	20	5	17	6	11	6	15	19	2	23	8	6	8	10	12	6	6	3	2	5	2	2	3	0	3	5	1	5	7	1	0	2	7	4	4	1	1	0	1	1	1	0	0	7	0	4	0	0	0	4	2	0	0	1	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1250	745	3481	3255	1060	624	342	135	938	167	339	353	109	103	252	517	436	373	137	53	92	17	14	60	51	9	21	6	106	31	41	11	12	24	15	118	8	39	4	2	4	4	13	18	0	13	0	6	4	12	12	1	22	7	3	3	4	12	2	4	1	1	1	1	2	2	0	1	4	1	5	6	1	0	2	4	0	4	0	1	0	0	1	0	0	0	7	0	3	0	0	0	4	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	5691	6257	1885	1121	827	1491	536	566	401	303	284	451	218	176	179	288	119	189	115	270	72	278	138	204	97	58	78	44	36	67	32	34	57	45	59	26	32	26	15	12	27	20	12	21	15	13	8	13	13	7	2	8	5	12	1	6	17	4	9	6	2	3	2	3	1	2	3	17	2	1	0	2	4	5	2	2	2	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
0.03	south21_active	80	2385	5353	1133	254	247	1240	126	328	129	70	112	367	81	37	82	242	43	146	30	229	38	248	104	182	62	13	62	16	25	57	21	15	47	36	53	12	23	14	2	2	18	16	7	13	4	10	3	9	13	3	2	3	1	10	0	1	14	2	6	4	1	3	1	3	0	2	1	16	2	1	0	2	4	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
