label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115
0.03	north17_all	80	7806	2306	1630	2102	607	513	404	348	311	328	296	413	190	158	240	104	72	187	90	71	65	146	45	41	43	28	26	46	23	66	53	22	14	13	18	20	17	8	4	9	6	11	16	14	15	2	8	6	11	2	7	1	11	2	13	2	8	7	2	2	7	2	4	3	2	3	2	0	5	4	2	1	0	2	3	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north17_active	80	4864	1270	929	1350	292	245	205	179	141	179	171	282	99	88	142	58	29	110	46	27	26	101	18	16	16	15	10	23	7	42	33	16	8	9	7	12	11	7	1	6	5	6	4	9	10	1	6	4	5	0	5	1	7	1	6	1	4	6	1	1	5	0	1	2	0	3	1	0	2	4	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north18_all	80	7796	2302	1687	2123	625	488	405	337	284	317	265	423	184	183	214	90	76	181	81	70	72	167	39	41	39	27	31	34	22	70	69	31	11	12	16	24	18	8	4	14	6	19	16	9	14	4	8	6	11	1	6	3	3	3	9	5	7	6	5	4	7	1	4	5	6	3	3	0	3	4	2	2	0	2	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north18_active	80	4863	1254	959	1346	307	242	205	181	119	162	158	305	95	113	131	46	37	108	41	22	32	103	16	24	14	10	13	21	8	49	49	25	7	7	6	16	10	5	2	11	5	14	4	7	11	2	6	4	4	0	4	1	0	1	4	2	4	5	4	2	5	0	1	3	3	3	1	0	2	4	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north19_all	80	7756	2325	1621	2134	615	496	401	337	273	326	261	373	206	166	208	95	87	190	88	70	76	170	46	35	35	24	35	33	21	74	71	34	14	14	19	29	21	6	4	9	7	17	13	16	26	6	4	4	10	1	4	7	1	3	8	4	3	4	5	4	11	1	3	5	9	4	3	0	5	5	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north19_active	80	4780	1251	916	1392	309	250	203	180	112	172	144	253	106	101	120	42	39	128	36	26	37	106	20	22	13	6	19	19	8	57	54	28	7	10	11	23	13	3	1	9	3	13	5	14	9	2	2	2	3	0	2	4	1	0	3	1	2	4	4	2	8	0	1	3	3	3	1	0	5	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north20_all	80	7735	2278	1615	2107	602	499	423	322	245	320	285	376	222	173	222	96	95	209	89	65	83	174	48	39	35	27	34	25	22	52	83	33	16	18	15	38	22	10	9	12	7	19	11	15	36	10	4	6	12	1	4	9	1	4	3	4	5	6	4	3	6	1	0	3	11	3	3	0	5	5	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	4727	1213	909	1383	310	256	225	176	101	177	155	270	122	101	129	41	41	148	38	31	43	95	18	20	15	10	19	14	11	42	68	26	5	12	10	30	15	3	3	10	2	14	6	13	10	5	0	3	8	0	3	6	1	2	3	1	5	3	4	1	5	0	0	2	5	2	1	0	5	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	3803	2078	1608	1082	918	539	406	797	307	267	416	458	154	148	107	109	265	95	102	66	64	154	41	104	38	87	47	29	34	58	21	24	17	29	22	13	11	9	8	19	13	35	10	16	5	15	9	9	5	5	6	16	9	9	4	3	5	7	5	2	0	4	2	3	1	2	0	1	2	0	0	0	1	1	0	0	1	5	1	3	0	1	0	1	0	6	2	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	1807	1097	900	613	537	275	199	503	167	139	275	271	72	73	46	64	180	58	58	36	29	104	16	84	21	64	29	13	20	38	13	15	10	16	11	6	4	3	2	10	8	22	6	10	1	9	5	1	4	2	4	10	5	5	0	1	5	5	5	0	0	0	1	3	0	1	0	0	2	0	0	0	0	1	0	0	0	4	0	1	0	1	0	0	0	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
