label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39
0.03	south32_active	80	3972	457	830	389	106	397	127	353	611	246	74	12	18	4	23	11	2	35	10	3	7	3	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
0.03	south33_all	80	6976	2208	1462	792	473	531	252	439	643	254	103	43	31	15	27	19	7	48	11	7	6	2	3	3	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	south33_active	80	4025	430	822	387	109	353	126	374	610	230	68	11	19	6	23	10	4	45	10	3	4	2	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	south34_all	80	7027	2120	1456	789	487	519	245	384	665	263	91	43	42	20	30	17	10	48	12	7	3	1	3	4	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	4073	406	830	365	113	364	127	322	631	238	61	6	25	9	27	11	6	45	10	3	1	1	1	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	7064	2179	1447	864	443	506	244	423	643	232	97	42	46	26	30	17	13	39	8	4	3	0	2	6	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	4130	415	809	390	100	363	126	366	612	208	65	11	29	10	27	6	7	37	7	2	1	0	1	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	7041	2167	1483	915	442	504	223	373	575	209	84	43	37	26	36	16	20	36	5	2	4	0	2	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	4113	410	840	443	94	379	110	329	547	178	57	12	23	11	30	6	12	33	4	0	4	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	7016	2211	1465	894	438	507	219	429	548	187	85	34	28	25	35	15	17	14	2	1	8	3	3	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	south37_active	80	4056	432	825	444	106	389	99	373	522	154	52	12	17	12	25	4	8	12	2	0	8	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	7129	2214	1484	852	420	515	208	418	558	185	82	48	33	29	35	14	11	9	2	1	11	3	3	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	south38_active	80	4082	451	858	452	94	395	93	361	535	150	45	12	18	15	22	4	5	8	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	7212	2258	1461	811	429	509	233	384	603	219	84	44	36	36	35	18	10	16	4	2	14	4	3	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0.03	south39_active	80	4152	430	846	422	98	389	111	327	581	189	49	10	19	19	18	6	3	13	0	0	14	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	7181	2239	1486	790	453	498	223	422	675	206	86	55	49	34	39	15	11	32	9	2	7	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	4118	433	876	390	107	376	121	363	650	183	55	11	22	15	23	6	1	29	4	0	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
