label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	north20_all	80	21960	4360	6182	1993	1259	2621	751	611	427	715	331	599	218	334	313	157	112	105	192	65	168	59	111	37	19	46	31	24	18	26	17	12	11	16	12	11	3	7	12	0	4	30	10	4	5	0	3	1	2	1	5	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	18253	1529	5243	899	406	2292	295	145	102	535	128	516	50	270	265	77	25	52	170	32	139	20	98	15	14	33	6	7	8	23	5	9	6	8	2	4	2	5	8	0	2	29	9	2	4	0	1	0	2	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south21_all	80	10025	8997	2661	3006	2547	1074	779	604	846	371	646	380	219	169	219	154	126	105	156	107	101	62	140	43	46	49	45	54	20	19	14	25	9	8	11	13	15	22	6	6	4	5	3	1	3	0	0	0	1	1	1	1	1	1	1	0	2	2	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south21_active	80	3860	7389	725	2291	2015	543	281	150	641	97	525	271	68	78	144	85	29	32	129	80	71	25	128	17	31	36	33	47	12	10	5	21	0	5	8	7	15	21	5	1	2	3	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	10018	9215	2583	3025	2565	1112	771	621	850	363	679	398	228	174	209	143	119	112	159	120	94	50	97	43	44	45	42	39	22	23	18	29	10	8	18	14	9	23	4	9	6	2	3	4	3	0	0	0	2	3	2	1	1	1	1	0	1	2	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south22_active	80	3887	7568	691	2306	2065	580	276	159	641	98	561	274	69	81	131	85	27	39	128	87	67	26	89	20	33	28	33	31	14	14	6	24	0	3	16	8	9	22	4	1	5	0	1	4	2	0	0	0	1	0	0	1	1	0	0	0	1	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	9996	9245	2562	2958	2439	1124	775	626	829	346	697	422	233	175	219	130	107	106	160	124	101	53	118	41	46	44	42	55	22	25	14	20	8	6	21	19	11	25	6	7	7	2	4	8	9	0	4	0	2	5	2	1	2	3	1	0	1	2	0	0	0	0	1	3	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0
0.03	south23_active	80	3900	7588	694	2251	1908	571	276	155	618	96	568	288	69	82	136	75	26	26	129	92	77	31	107	19	29	31	33	50	8	15	2	16	0	1	20	13	11	23	5	1	5	2	2	8	8	0	4	0	1	2	0	1	1	0	0	0	1	2	0	0	0	0	0	3	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0
0.03	south24_all	80	9934	9198	2509	3053	2417	1121	755	606	807	344	709	432	218	171	217	132	107	109	163	125	86	51	98	33	49	38	39	56	22	23	15	19	7	6	28	11	24	10	6	6	5	5	3	7	7	2	6	0	2	5	1	1	2	3	1	0	0	3	0	1	0	0	1	3	0	1	0	1	3	0	0	0	1	0	0	0	0	0	0	0
0.03	south24_active	80	3880	7565	662	2320	1911	584	288	148	590	96	579	290	67	72	141	75	28	26	135	93	60	29	85	16	34	24	31	49	7	11	5	14	1	0	28	8	23	8	5	0	3	4	2	7	7	0	4	0	1	2	0	1	1	0	0	0	0	3	0	1	0	0	0	3	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0
0.03	south25_all	80	10013	9036	2603	3128	2395	1120	739	603	819	358	708	408	216	182	232	135	110	100	167	113	89	51	107	29	38	39	42	68	21	15	14	21	7	7	21	12	29	13	20	5	4	7	6	4	6	3	7	0	2	4	0	0	2	3	0	0	1	1	0	1	1	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
0.03	south25_active	80	3872	7451	687	2369	1872	564	280	155	593	100	583	289	58	69	153	65	22	24	138	79	66	25	94	15	26	30	33	62	6	6	6	16	2	0	20	9	28	12	19	0	1	6	5	4	6	1	5	0	1	2	0	0	1	1	0	0	1	1	0	1	1	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
