label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31
0.03	north6_active	80	338	184	82	79	62	24	11	15	42	22	5	11	0	3	2	0	1	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north7_all	80	716	343	156	144	102	52	26	26	58	51	10	16	3	9	2	0	4	1	2	1	0	1	0	0	0	0	0	0	2	0	0	0
0.03	north7_active	80	344	177	76	74	56	27	12	12	42	29	5	11	1	5	2	0	3	1	2	1	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north8_all	80	721	303	143	136	119	57	32	24	42	46	13	18	5	7	2	0	4	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	345	152	72	68	70	31	15	14	26	28	7	10	3	3	2	0	3	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	698	279	126	137	126	51	30	31	45	38	10	23	7	8	1	0	4	1	2	1	1	0	1	2	0	0	0	0	0	0	0	0
0.03	north9_active	80	342	130	61	67	67	27	14	18	28	21	5	12	4	5	0	0	2	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_all	80	701	312	146	129	128	50	29	24	41	33	9	20	5	9	1	0	2	1	1	1	1	1	2	2	0	0	0	0	0	0	0	0
0.03	north10_active	80	325	159	67	66	72	26	16	14	22	23	6	7	3	6	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	757	369	165	128	162	37	32	23	49	32	3	15	8	2	3	4	2	3	2	1	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north11_active	80	340	181	82	73	118	17	13	18	24	15	1	7	5	1	2	0	2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_all	80	743	358	160	121	143	45	35	22	51	34	3	12	10	3	6	5	3	3	2	0	2	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_active	80	333	178	79	70	99	23	16	17	36	21	0	8	7	2	5	0	2	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_all	80	731	320	160	111	152	43	36	31	35	22	4	14	9	2	5	5	3	2	2	0	2	0	0	0	0	0	1	1	0	0	0	0
0.03	north13_active	80	346	156	70	60	94	23	15	23	27	14	0	13	5	2	5	1	2	1	1	0	2	0	0	0	0	0	1	1	0	0	0	0
0.03	north14_all	80	716	306	172	120	151	39	35	27	29	31	4	15	8	3	5	2	4	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north14_active	80	341	157	72	62	88	20	20	18	20	22	1	14	4	2	4	1	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north15_all	80	724	310	174	112	144	39	29	28	16	24	3	14	6	3	5	2	2	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north15_active	80	358	160	72	57	78	20	21	19	8	15	1	13	3	1	4	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north16_all	80	730	337	166	132	143	30	25	28	29	26	7	15	8	4	5	3	1	3	2	0	0	0	0	0	0	3	0	1	0	0	0	0
0.03	north16_active	80	351	166	68	67	77	13	17	18	19	16	4	13	5	1	2	1	1	2	1	0	0	0	0	0	0	3	0	1	0	0	0	0
0.03	north17_all	80	720	369	169	120	134	34	21	31	43	29	7	15	8	5	5	4	0	3	2	3	0	0	0	0	0	3	0	0	0	0	0	0
0.03	north17_active	80	348	182	76	59	67	12	13	16	29	16	5	11	6	0	2	2	0	2	1	3	0	0	0	0	0	3	0	0	0	0	0	0
0.03	north18_all	80	725	357	161	106	119	36	21	30	51	26	7	25	9	7	5	3	0	2	1	5	0	0	0	0	0	3	0	0	0	0	0	0
0.03	north18_active	80	352	174	84	54	60	15	11	14	34	17	5	15	6	0	1	2	0	2	0	4	0	0	0	0	0	3	0	0	0	0	0	0
0.03	north19_all	80	709	350	163	98	121	39	30	28	48	24	9	21	4	6	5	2	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north19_active	80	341	180	86	46	71	19	13	11	29	17	6	11	3	0	1	2	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north20_all	80	745	359	155	92	128	41	29	21	57	26	4	18	3	4	5	3	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0
0.03	north20_active	80	333	205	78	44	85	22	15	11	44	17	2	9	1	0	1	2	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0
0.03	south21_all	80	1126	324	593	108	58	53	36	16	13	16	15	7	10	8	4	1	2	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	659	161	384	60	24	26	13	7	6	10	11	3	6	2	1	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	1154	329	661	98	58	58	29	20	17	16	11	8	8	4	5	2	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	684	156	411	49	30	30	13	11	7	12	7	3	3	1	1	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	1195	324	640	100	67	48	31	23	26	15	8	7	12	7	6	2	1	17	0	4	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	708	158	384	53	36	27	14	12	14	14	6	1	6	2	2	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	1185	318	606	101	75	47	24	22	22	12	17	6	9	4	2	1	1	16	0	4	0	0	0	2	0	0	0	0	0	0	0	0
0.03	south24_active	80	686	157	365	57	35	27	13	10	13	10	11	2	6	1	1	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	1131	308	535	103	77	42	25	19	22	15	24	6	6	3	3	1	1	15	0	10	1	0	0	2	0	0	0	0	0	0	0	0
0.03	south25_active	80	645	154	308	52	32	22	12	7	16	12	12	3	4	1	1	1	0	15	0	6	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	1073	321	509	97	83	46	25	18	29	15	25	8	2	3	2	0	1	14	0	11	1	0	0	3	0	0	0	0	0	0	0	0
0.03	south26_active	80	617	156	292	46	32	28	10	5	21	10	13	4	2	1	1	0	0	14	0	6	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	1076	345	464	100	70	54	30	26	25	18	22	5	2	2	2	0	1	2	0	7	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south27_active	80	599	168	286	43	34	28	10	12	16	8	11	3	2	1	1	0	0	2	0	6	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	1136	388	508	100	62	53	42	22	26	27	19	4	3	2	2	1	1	3	0	6	0	2	0	1	0	0	0	0	0	0	0	0
0.03	south28_active	80	638	199	334	47	28	31	18	11	13	14	9	3	2	1	1	0	0	2	0	5	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	1217	403	566	102	54	51	46	16	15	25	29	2	6	1	4	3	0	4	1	1	1	2	0	1	0	1	0	0	0	0	0	2
0.03	south29_active	80	694	213	378	47	30	34	22	8	6	15	17	0	4	0	2	1	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	2
0.03	south30_all	80	1243	407	599	103	56	49	46	15	13	20	34	1	5	1	5	3	1	5	2	1	1	2	0	0	0	1	0	0	0	0	0	2
0.03	south30_active	80	710	219	397	53	27	30	27	9	2	14	20	0	3	0	1	1	0	2	1	0	0	2	0	0	0	1	0	0	0	0	0	2
0.03	south31_all	80	1170	348	619	112	62	51	37	24	19	19	25	6	4	4	2	2	4	8	0	3	0	0	0	1	2	0	0	0	0	0	0	0
0.03	south31_active	80	693	187	415	60	30	24	19	13	9	12	19	2	1	1	2	0	3	8	0	3	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south32_all	80	1160	354	631	112	65	60	41	26	20	16	21	6	8	4	2	2	4	5	0	3	0	0	0	0	2	0	0	0	0	0	0	0
0.03	south32_active	80	691	178	435	61	30	27	23	15	8	8	14	2	6	2	2	0	3	5	0	3	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south33_all	80	1112	339	620	108	61	60	33	23	20	13	17	6	7	4	1	2	5	5	0	3	0	0	0	0	0	0	0	0	1	0	1	0
0.03	south33_active	80	658	172	415	53	27	30	20	12	5	5	12	3	5	2	1	1	4	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	1094	337	614	111	65	58	33	24	18	14	12	8	7	3	1	3	2	7	0	0	0	1	1	0	0	0	0	0	1	0	1	0
0.03	south34_active	80	644	167	381	47	26	33	20	13	7	6	5	4	5	3	1	1	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	1132	362	640	121	74	53	34	20	14	17	14	6	5	1	1	2	3	8	1	0	1	1	1	0	1	0	0	0	1	0	1	0
0.03	south35_active	80	648	179	391	46	36	28	21	8	7	6	9	2	4	1	1	1	1	6	1	0	1	1	0	0	1	0	0	0	0	0	0	0
0.03	south36_all	80	1131	353	590	120	82	50	40	18	14	20	17	4	5	2	1	2	3	9	1	1	2	1	1	0	1	0	0	0	1	1	0	0
0.03	south36_active	80	649	170	368	47	44	30	25	11	8	9	11	1	3	1	1	1	1	7	1	0	1	1	0	0	1	0	0	0	0	1	0	0
0.03	south37_all	80	1197	348	565	113	74	51	42	14	10	20	21	3	5	4	2	2	3	5	1	9	2	0	1	0	1	0	0	1	0	1	0	0
0.03	south37_active	80	688	170	354	45	42	26	21	8	5	10	15	1	3	1	1	1	1	5	1	0	1	0	0	0	1	0	0	1	0	1	0	0
0.03	south38_all	80	1213	316	601	115	74	56	38	17	15	16	23	3	5	5	3	2	3	1	2	9	1	0	0	0	1	0	0	1	0	1	0	0
0.03	south38_active	80	711	160	385	48	38	29	19	10	7	10	15	2	2	1	2	1	1	1	2	0	0	0	0	0	1	0	0	1	0	1	0	0
0.03	south39_all	80	1193	316	616	114	63	47	42	18	14	11	26	5	3	4	3	2	2	13	1	9	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south39_active	80	695	157	398	52	26	21	23	10	5	9	17	4	0	1	2	1	1	13	1	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south40_all	80	1138	318	703	112	53	45	37	17	15	4	24	9	3	5	3	1	2	13	1	2	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south40_active	80	674	164	480	54	21	20	19	9	4	3	17	4	1	2	1	1	0	12	1	1	0	0	0	0	0	0	0	1	0	0	0	0
