label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85
0.03	south23_all	80	55957	12107	11450	7859	3635	3600	2343	2801	1949	1889	738	1162	588	493	323	336	436	500	224	187	139	148	190	230	80	94	81	65	51	27	29	21	47	24	26	12	17	14	9	18	10	4	17	9	3	3	1	4	1	2	1	1	0	0	1	0	5	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south23_active	80	34789	5664	6723	4720	1798	2033	1254	1714	1128	1169	368	715	311	251	128	165	271	324	115	85	63	84	120	149	44	52	46	31	27	15	13	7	36	14	15	6	10	9	6	9	6	2	12	3	2	3	1	2	1	0	1	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south24_all	80	56438	12089	11564	7816	3654	3651	2371	2895	1901	1835	755	1132	547	514	331	339	416	497	224	171	142	150	188	200	85	94	71	68	56	23	30	25	36	24	34	16	19	10	10	12	9	6	14	10	4	5	2	4	2	1	1	1	0	0	1	1	4	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south24_active	80	34914	5708	6788	4731	1831	2095	1278	1691	1115	1140	382	698	284	268	139	169	246	307	127	73	75	82	127	131	41	58	46	37	30	10	14	9	25	14	20	8	11	5	6	7	6	3	10	5	3	3	1	2	1	0	1	1	0	0	0	0	4	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south25_all	80	56167	11938	11700	7773	3713	3615	2375	2859	1846	1830	773	1129	533	512	352	332	424	493	221	174	158	170	186	217	87	118	72	76	62	32	36	22	32	27	25	15	38	5	13	15	10	6	12	9	7	4	3	3	2	1	2	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south25_active	80	35025	5617	6818	4671	1906	2085	1265	1667	1071	1110	375	678	275	262	175	185	252	299	128	76	85	92	121	153	40	67	43	40	36	14	17	8	20	16	16	7	28	1	7	10	3	3	8	5	5	2	1	2	1	1	2	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south26_all	80	55870	11762	11703	7772	3801	3608	2417	2896	1841	1736	749	1212	555	512	354	344	437	478	232	160	170	154	183	207	84	108	71	71	61	33	35	25	25	23	26	12	44	4	16	25	13	6	8	6	8	3	3	2	4	2	4	1	2	1	0	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south26_active	80	34903	5527	6812	4656	1935	2057	1327	1728	1105	1026	343	751	277	260	175	184	266	286	128	69	107	90	110	152	42	65	39	39	35	15	18	9	14	11	14	6	32	1	8	19	7	2	6	3	5	0	1	1	3	2	3	0	2	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south27_all	80	55782	11771	11816	7660	3800	3620	2399	2840	1864	1723	760	1230	580	506	376	357	407	469	223	175	191	172	162	236	83	115	77	72	49	34	33	28	27	22	16	17	43	6	18	32	10	4	8	6	22	1	2	1	3	3	4	2	3	2	0	0	0	2	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	34981	5508	6987	4477	1923	2056	1320	1687	1067	1031	349	747	299	265	175	177	258	280	108	79	125	95	102	173	36	69	38	41	28	17	17	11	11	11	7	9	33	3	10	26	5	1	7	3	18	0	0	0	2	3	3	0	2	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
