label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152
0.03	south36_all	80	9089	2933	3078	2718	903	837	954	922	537	682	459	377	258	561	221	545	258	198	133	108	109	196	398	118	71	78	59	66	109	98	53	70	50	84	33	64	69	26	28	22	59	37	50	16	13	23	27	25	23	15	14	49	14	14	6	6	6	4	7	7	17	2	6	5	3	6	6	2	3	8	4	1	2	8	6	3	3	2	1	6	2	0	2	0	2	1	2	7	2	2	0	2	0	1	0	1	3	1	2	1	2	2	1	2	0	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south36_active	80	6573	1376	2315	2255	295	399	705	684	274	523	326	237	120	489	45	492	179	133	35	31	39	155	367	80	20	33	13	37	88	86	20	62	21	70	5	45	62	7	21	6	55	23	36	14	8	16	18	11	20	9	10	48	12	9	1	6	2	0	2	3	14	0	4	2	2	3	6	1	1	5	3	1	1	1	5	2	0	2	0	5	2	0	2	0	2	0	0	7	0	2	0	1	0	0	0	0	3	1	1	1	1	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	9040	2901	3022	2675	949	834	1008	924	518	654	496	395	268	482	214	509	233	185	127	104	105	242	422	129	74	89	63	57	145	107	44	72	52	71	33	61	58	22	32	14	66	28	50	14	9	16	25	24	25	12	8	59	11	13	8	4	6	3	8	7	24	3	11	4	3	3	9	3	5	5	0	5	4	7	6	2	3	5	1	2	6	0	2	0	0	0	2	8	1	2	0	0	0	2	1	1	4	1	2	0	2	0	1	1	0	0	0	0	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	6574	1328	2290	2212	308	395	746	681	266	501	345	252	116	411	47	461	162	127	40	33	39	199	386	94	21	40	13	30	119	87	19	61	20	60	7	44	48	6	20	6	62	16	41	10	5	12	17	9	23	6	4	57	8	7	3	3	2	0	2	4	20	1	9	3	2	2	9	2	1	3	0	1	2	1	6	1	0	5	0	2	6	0	2	0	0	0	0	8	0	2	0	0	0	0	1	0	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	9032	2922	3059	2738	943	858	959	871	487	674	484	406	293	572	204	522	226	193	116	103	93	262	338	114	68	67	60	50	136	86	38	67	46	66	34	53	61	26	31	14	59	28	63	22	9	25	17	16	29	14	10	49	14	10	10	13	7	4	8	5	23	3	18	4	6	2	9	6	5	3	0	4	7	6	6	1	3	6	1	2	6	0	3	1	2	1	1	5	3	0	0	1	0	3	1	1	4	0	2	1	2	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south38_active	80	6540	1363	2331	2255	291	408	694	649	254	506	330	274	127	495	43	474	162	129	40	32	36	221	304	74	20	30	14	30	110	65	15	55	18	56	8	45	51	10	21	7	54	13	54	15	4	17	12	6	27	6	5	47	10	3	3	11	0	0	2	3	21	1	16	1	4	2	9	4	0	2	0	0	4	1	6	1	0	5	0	2	6	0	2	1	2	0	0	5	2	0	0	0	0	0	1	0	4	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south39_all	80	9187	3014	3043	2713	989	863	978	863	513	668	456	411	273	562	204	546	259	191	104	112	95	269	343	114	69	66	71	58	135	82	32	66	39	67	26	56	64	25	26	17	73	29	59	22	12	20	14	10	26	12	7	63	13	11	7	16	9	3	4	4	24	2	17	9	7	1	13	6	5	7	0	4	9	4	3	3	3	6	1	1	4	1	1	1	2	1	0	1	2	0	0	1	2	2	1	0	2	0	0	1	1	0	0	1	2	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south39_active	80	6640	1404	2321	2223	314	425	700	652	274	517	305	275	109	492	46	497	186	120	32	35	38	234	312	72	19	31	16	37	112	59	15	52	18	55	7	48	52	12	14	8	66	14	52	15	6	13	8	3	21	2	4	61	10	2	3	12	1	0	1	1	21	2	14	4	4	1	13	3	0	6	0	0	6	0	3	2	0	5	0	0	4	0	0	1	2	0	0	1	2	0	0	0	2	0	1	0	2	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south40_all	80	9077	2952	3036	2739	961	869	959	851	491	711	442	377	266	605	198	558	261	198	108	120	93	274	340	108	79	65	68	61	126	86	33	64	39	45	25	51	63	26	23	24	75	35	64	21	15	21	12	9	29	10	15	41	16	9	10	18	10	4	5	5	19	2	11	9	5	2	14	7	4	8	1	1	7	4	3	3	2	6	0	1	3	2	2	2	2	3	0	0	2	1	0	1	3	2	1	0	0	0	1	1	1	0	0	1	2	0	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
0.03	south40_active	80	6540	1404	2306	2232	297	424	701	649	273	542	299	256	113	535	46	507	194	117	30	33	38	244	311	70	30	29	17	39	102	61	11	44	18	39	9	39	50	12	13	15	69	22	56	14	7	14	6	3	23	2	8	41	13	2	2	15	3	1	3	2	18	2	9	3	2	2	14	4	0	7	1	0	4	0	2	2	0	5	0	0	3	1	1	2	2	0	0	0	2	1	0	0	3	1	0	0	0	0	1	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
