label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66
0.03	south33_all	80	32430	13565	8772	5533	5032	4651	2238	1860	1284	2315	764	676	1097	714	458	352	220	160	154	286	120	212	116	60	73	40	39	34	24	41	16	13	28	5	24	12	4	5	20	4	10	3	11	3	0	5	3	2	2	2	6	0	0	0	1	2	0	0	2	1	0	0	0	0	1	0	0
0.03	south33_active	80	12190	3638	3921	2336	3386	3700	1122	1059	570	2049	356	368	929	531	336	267	61	32	38	243	46	185	82	29	59	7	15	20	11	37	8	6	22	3	17	8	3	3	20	4	9	3	6	2	0	5	1	1	0	0	6	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
0.03	south34_all	80	32317	13518	8663	5500	5147	4818	2209	1838	1294	2248	784	712	1094	670	452	402	217	152	149	269	111	225	114	57	77	39	33	30	30	50	17	17	23	5	22	15	4	4	22	9	5	2	6	3	0	6	2	2	0	1	6	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0
0.03	south34_active	80	12117	3631	3847	2284	3522	3806	1116	1039	584	2002	357	382	936	518	323	294	61	34	39	233	38	201	83	26	64	8	14	14	19	44	8	8	18	2	16	13	2	2	21	5	3	1	2	2	0	5	0	1	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	32273	13575	8585	5428	5151	4726	2181	1842	1270	2170	783	703	1068	719	399	396	231	163	149	284	111	203	130	52	84	39	39	26	20	37	31	19	25	4	15	13	5	5	22	8	8	2	5	3	1	3	2	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south35_active	80	12068	3631	3792	2270	3474	3664	1086	1061	576	1915	372	361	923	549	286	287	67	37	41	247	39	183	101	25	70	5	21	12	13	29	20	8	22	0	9	12	2	1	21	3	5	1	5	3	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	32284	13502	8625	5369	5134	4742	2206	1855	1261	2101	805	644	1038	749	427	438	205	169	135	291	83	218	132	52	89	33	34	23	28	39	34	19	27	8	13	10	7	5	14	8	5	2	4	1	2	3	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	11992	3630	3745	2225	3465	3672	1098	1098	569	1838	383	327	904	586	298	336	56	27	45	265	34	190	110	25	72	6	16	9	18	31	24	9	25	3	11	8	1	1	12	3	3	1	4	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	32355	13612	8576	5485	5212	4700	2316	1863	1246	2310	792	616	995	741	446	396	201	180	133	335	98	202	152	45	48	34	31	24	24	23	31	18	21	12	17	5	8	5	10	3	7	5	5	2	2	1	1	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south37_active	80	12015	3647	3773	2268	3563	3630	1181	1105	556	2015	377	313	849	569	318	290	58	25	44	310	39	169	127	21	31	7	14	10	11	16	20	8	17	5	14	2	1	2	8	0	5	4	5	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south38_all	80	32450	13594	8678	5513	5171	4721	2285	1921	1221	2291	776	602	1040	728	466	389	202	156	134	329	103	228	132	46	59	34	28	24	27	19	20	12	15	10	22	7	7	5	11	3	5	3	7	1	1	1	1	4	3	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south38_active	80	12187	3682	3834	2273	3550	3702	1154	1161	516	2006	363	311	880	570	318	289	62	17	38	302	47	180	104	18	42	6	10	10	13	16	11	6	11	5	18	4	1	3	9	1	5	3	5	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south39_all	80	32471	13601	8568	5523	5220	4779	2274	1927	1224	2445	798	601	1003	696	475	374	219	146	137	317	114	213	162	58	61	34	28	34	30	32	20	11	14	12	27	6	9	8	10	5	5	3	3	1	1	1	3	3	3	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south39_active	80	12130	3688	3822	2246	3562	3773	1150	1159	535	2170	379	323	841	544	325	275	71	22	38	290	50	167	134	25	39	8	10	15	16	27	12	5	11	5	18	4	1	4	9	4	5	3	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south40_all	80	32404	13478	8464	5485	5275	4883	2206	1891	1241	2377	796	651	1055	712	475	372	236	142	133	287	130	205	124	59	63	35	26	33	31	60	27	11	23	11	15	9	10	8	15	5	3	5	3	1	0	0	3	3	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	12171	3621	3758	2250	3561	3872	1115	1107	511	2119	370	364	885	565	326	279	70	24	40	255	59	160	100	22	41	12	9	18	16	53	14	5	21	4	7	8	1	4	14	4	3	5	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
