label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108
0.03	north11_all	80	1551	737	507	266	505	160	136	148	129	99	95	101	47	108	57	38	24	25	50	24	17	24	20	22	49	12	10	7	14	8	6	3	8	22	3	5	4	4	8	6	8	10	0	3	0	1	6	1	2	0	1	3	2	4	0	4	1	0	1	2	1	2	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
0.03	north11_active	80	792	407	258	141	318	70	69	83	67	53	52	59	26	76	40	16	6	11	25	15	10	11	8	16	33	3	6	2	8	3	4	2	3	11	2	4	4	3	6	2	4	7	0	3	0	1	2	1	1	0	0	3	2	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north12_all	80	1581	776	505	256	473	170	134	130	131	109	92	109	50	135	55	41	24	28	46	33	23	25	20	23	43	10	8	5	13	8	7	4	10	20	3	5	3	6	4	7	7	11	0	5	0	1	7	7	0	0	1	4	1	3	1	5	0	0	1	2	1	2	0	0	2	2	0	0	0	0	1	2	0	1	0	0	0	3	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
0.03	north12_active	80	814	420	264	132	290	83	66	73	64	62	55	52	24	89	34	15	10	13	23	21	7	6	8	18	32	3	5	1	9	4	6	2	5	12	2	3	3	5	3	2	3	7	0	5	0	1	3	2	0	0	0	3	0	1	1	2	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north13_all	80	1525	799	498	273	464	179	143	132	141	119	90	113	49	126	60	43	21	29	37	34	27	25	15	22	50	9	8	4	12	6	9	4	8	18	6	5	7	4	5	4	5	12	1	4	1	1	9	10	1	1	1	1	2	2	1	5	1	1	3	0	2	2	0	0	1	2	0	0	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
0.03	north13_active	80	783	444	282	140	290	82	74	74	69	74	52	55	24	75	32	19	9	11	18	21	7	8	9	16	35	3	4	2	8	3	4	1	4	10	2	2	6	4	3	1	1	8	0	4	1	0	5	5	0	0	0	0	1	0	1	2	1	1	3	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
0.03	north14_all	80	1528	818	514	301	527	181	134	133	135	130	82	126	51	139	49	46	23	35	51	35	30	24	15	24	44	9	13	5	14	7	15	4	8	16	5	3	8	3	6	6	2	20	1	5	1	1	4	10	1	2	1	1	2	1	1	2	1	2	20	0	1	1	0	0	1	2	0	0	0	0	1	2	0	1	0	4	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0
0.03	north14_active	80	763	489	283	155	326	80	62	80	67	76	46	66	27	85	26	23	12	14	30	21	11	9	11	16	28	3	8	3	8	3	7	1	4	8	2	1	7	3	3	5	1	17	0	4	1	0	3	5	0	0	0	0	1	0	1	1	1	2	20	0	1	1	0	0	1	1	0	0	0	0	1	2	0	0	0	4	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
0.03	north15_all	80	1458	808	498	301	561	165	153	145	123	133	87	111	48	112	49	52	22	34	53	32	26	18	17	32	46	10	16	4	17	6	16	5	5	17	5	3	10	4	7	5	3	18	1	3	1	3	4	9	2	4	0	1	1	2	1	0	1	2	20	0	1	1	0	0	1	1	0	0	2	0	1	0	0	1	1	4	0	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north15_active	80	728	481	274	158	359	69	73	81	56	72	41	65	29	69	22	31	11	17	32	17	13	9	13	18	27	3	10	3	8	2	6	1	3	8	1	0	9	3	5	5	1	17	0	1	1	2	3	5	0	1	0	0	1	1	1	0	1	2	20	0	1	1	0	0	1	1	0	0	2	0	1	0	0	0	1	4	0	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
