label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68
0.03	south33_active	80	1604	382	518	222	295	266	1089	164	301	48	104	62	13	22	11	11	12	30	9	164	5	13	2	3	4	1	14	23	4	5	5	1	1	41	0	4	15	1	2	1	0	3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	3567	1536	943	588	490	452	1065	256	315	132	151	117	59	52	35	38	31	38	29	179	20	36	8	4	13	6	15	16	3	3	4	1	3	56	1	5	18	0	1	0	2	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	1659	397	497	236	284	297	985	178	260	48	108	71	15	22	7	11	16	34	10	175	6	17	3	2	5	1	15	13	2	2	4	1	2	53	0	4	17	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	3557	1495	958	584	509	437	1107	256	294	138	125	117	60	53	36	43	33	47	28	160	22	39	12	5	9	7	14	17	3	4	20	2	5	34	1	4	24	1	2	0	1	2	0	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	1682	380	525	229	289	269	1027	170	240	55	89	73	13	23	11	13	13	36	9	158	5	21	3	2	3	4	13	15	2	3	19	2	5	31	0	3	23	1	2	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	3491	1446	962	591	531	433	1108	277	322	145	114	119	50	51	40	42	35	51	23	185	16	31	13	14	8	5	9	9	4	4	16	2	5	28	0	2	10	1	2	0	1	1	0	0	1	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	1659	369	531	228	305	269	1034	181	259	58	79	74	10	20	13	13	11	40	4	185	4	15	3	8	3	4	7	7	1	3	15	1	5	26	0	1	9	1	2	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	3500	1414	960	578	561	429	1145	262	350	142	98	122	57	54	40	48	36	53	21	175	13	22	13	22	5	5	23	15	5	4	16	3	8	20	1	3	8	1	2	2	0	1	1	0	0	1	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	1655	368	547	218	322	263	1064	174	285	62	69	78	14	26	17	15	12	44	4	175	3	12	3	13	2	4	21	13	3	3	15	1	8	20	0	1	8	1	2	2	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	3431	1385	963	561	538	439	1093	266	343	124	111	119	69	49	43	43	36	44	20	178	12	20	10	22	3	9	25	17	12	7	4	3	5	25	2	4	8	1	2	5	0	0	1	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	1605	366	535	203	318	269	1014	170	287	51	77	81	20	19	15	13	11	36	6	174	3	11	2	12	0	6	24	15	6	5	4	0	5	25	0	1	8	1	2	5	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	3451	1403	955	552	558	428	1118	250	354	118	114	122	74	50	41	46	35	35	23	155	15	26	10	16	5	11	35	13	10	7	16	3	3	26	4	2	2	0	0	5	1	0	1	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
0.03	south39_active	80	1602	353	511	205	317	252	1041	162	302	47	73	83	21	19	12	10	13	27	8	149	3	15	3	8	1	5	33	11	6	3	14	0	3	26	0	0	2	0	0	5	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
0.03	south40_all	80	3448	1417	945	537	528	425	1107	269	345	115	122	113	74	46	42	42	35	44	20	135	16	26	12	8	6	12	23	8	11	8	16	7	1	22	4	3	2	0	1	3	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
0.03	south40_active	80	1602	352	481	195	288	252	1026	171	290	45	81	78	23	14	12	7	10	34	5	128	3	14	3	4	3	5	20	7	7	4	14	3	1	22	1	1	2	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
