label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99
0.03	south34_all	80	38889	11659	8913	9211	8278	2742	2364	1709	1763	1126	1065	1784	1045	580	618	639	705	504	532	354	426	290	209	191	252	134	106	153	124	110	63	123	80	54	50	69	30	46	29	19	8	14	37	9	12	12	11	15	13	10	8	4	11	15	4	2	0	5	8	3	2	2	2	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	south34_active	80	22324	5390	4861	5737	5284	1288	1192	776	952	498	521	1085	575	282	320	335	422	306	324	195	255	167	118	105	139	67	54	100	74	56	30	64	53	26	25	45	13	28	13	13	3	5	28	1	5	8	5	7	8	2	6	2	9	11	2	2	0	3	1	2	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	37650	11372	8645	8804	7923	2733	2273	1686	1692	1105	996	1707	1063	569	596	613	660	443	529	355	392	312	196	203	221	135	98	166	135	86	58	123	88	52	51	46	33	43	24	22	8	6	36	9	13	8	13	12	13	7	10	5	6	10	3	2	0	2	7	3	3	4	1	0	1	1	1	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	21387	5186	4726	5395	4909	1266	1146	763	912	487	455	1041	596	255	311	332	396	259	313	197	228	171	111	105	121	65	52	107	85	51	29	74	56	26	28	27	13	23	10	15	2	3	23	4	7	6	7	6	8	1	9	2	3	7	1	1	0	0	1	1	2	3	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	36246	11130	8622	8343	7549	2744	2248	1678	1590	1066	966	1639	1023	550	545	624	713	411	519	344	383	302	184	195	208	113	85	143	120	86	54	73	100	53	48	56	35	34	21	26	11	11	36	14	13	8	12	18	17	12	11	7	4	13	4	1	1	2	4	3	5	7	1	0	6	1	1	2	0	0	2	2	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	20457	5079	4619	5054	4643	1293	1127	742	807	483	436	1020	581	248	259	352	426	232	319	187	227	173	102	100	111	54	41	90	75	52	24	53	70	32	27	37	14	19	10	17	5	8	22	6	8	6	7	10	13	4	10	2	1	10	1	0	0	0	0	1	2	4	0	0	6	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	35522	10969	8561	8146	7451	2713	2208	1642	1571	1104	954	1517	963	553	561	580	699	393	516	308	359	323	185	193	205	113	89	129	112	82	52	106	87	49	46	56	43	37	22	30	15	13	25	12	11	10	9	17	16	9	15	9	5	9	4	2	1	1	0	4	6	8	0	0	6	2	1	2	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	19713	4967	4517	4833	4625	1265	1087	727	788	487	440	955	551	244	280	328	438	218	318	162	217	179	103	104	117	55	46	81	72	47	29	77	55	27	27	31	20	23	6	17	5	8	14	5	9	7	6	10	12	3	12	4	2	7	0	1	0	0	0	1	2	5	0	0	5	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	35315	10892	8532	8031	7449	2699	2240	1628	1545	1143	965	1530	976	544	583	585	766	411	555	308	369	312	191	181	191	110	90	112	114	86	49	109	84	51	43	60	38	42	24	29	17	17	21	17	13	8	5	18	14	9	18	8	5	5	7	3	1	1	0	4	4	8	0	3	7	1	2	1	2	0	1	2	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	19697	4932	4475	4667	4663	1213	1115	712	761	521	486	949	534	254	291	341	502	225	344	151	217	169	100	101	115	56	49	76	73	49	23	81	46	28	23	35	19	23	10	18	5	9	11	8	10	6	2	11	9	4	9	4	2	4	2	2	0	1	0	1	0	3	0	0	6	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	36626	11031	8614	8347	7757	2609	2262	1658	1628	1171	994	1639	1015	547	632	636	807	436	610	303	353	316	205	182	221	129	96	119	131	99	49	125	95	47	35	62	39	47	23	29	17	13	12	15	13	11	6	18	9	8	19	5	6	0	11	5	1	2	2	3	5	8	1	7	7	1	2	1	2	0	0	1	1	3	6	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	20685	5039	4550	4853	4918	1172	1103	720	819	543	510	1057	559	252	324	380	515	243	375	152	202	166	110	105	147	68	55	67	92	61	22	92	59	19	20	43	22	25	8	19	4	5	7	5	8	5	4	11	5	3	10	3	3	0	3	4	1	1	0	1	0	2	0	3	5	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	37631	11391	8806	8645	8112	2631	2268	1645	1614	1128	1072	1711	1086	577	599	633	837	443	602	309	383	309	217	186	240	132	84	132	147	105	47	111	97	42	35	62	28	58	28	28	20	13	14	14	15	15	6	16	14	6	17	5	6	1	11	8	3	5	3	3	3	6	1	7	3	0	1	1	2	0	0	5	1	3	6	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	21414	5219	4726	5090	5117	1226	1133	708	825	524	555	1100	601	275	306	393	541	243	357	168	222	164	114	110	175	69	44	76	106	67	24	76	57	23	19	42	15	35	14	18	5	3	8	6	9	7	3	10	6	2	8	3	2	1	3	4	3	4	0	1	0	2	0	3	2	0	0	0	1	0	0	3	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
