label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104
0.03	south23_active	80	1236	488	422	196	101	289	162	42	35	45	29	42	74	43	78	22	18	14	9	9	28	12	12	26	12	7	22	5	12	14	3	14	5	0	5	5	7	3	7	4	3	0	2	2	3	1	2	3	2	2	0	1	0	2	1	3	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
0.03	south24_all	80	2091	853	652	358	226	473	295	113	79	109	75	76	123	52	111	58	39	27	33	21	39	29	25	40	23	16	25	11	16	14	5	18	11	4	5	6	7	11	14	7	6	1	4	2	3	0	4	4	2	4	2	1	0	3	0	4	0	0	0	2	2	2	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0
0.03	south24_active	80	1179	465	409	192	112	300	186	41	36	51	34	40	66	32	76	27	22	14	8	8	24	14	12	22	11	5	15	6	10	10	1	14	5	1	3	4	5	5	7	5	3	0	2	1	0	0	2	3	0	3	0	0	0	2	0	3	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0
0.03	south25_all	80	2009	846	633	351	223	451	297	110	88	97	85	61	127	49	120	52	43	28	27	22	35	23	25	27	25	14	27	12	8	12	6	14	12	7	4	7	7	9	13	9	6	1	4	2	5	1	2	3	0	2	2	1	0	1	2	5	0	0	0	1	1	1	2	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0
0.03	south25_active	80	1132	452	385	175	111	283	190	41	40	46	41	29	68	27	75	24	28	13	9	10	21	14	13	16	16	4	14	5	4	8	2	10	3	2	2	4	4	3	7	7	4	0	1	2	2	1	0	2	0	2	0	0	0	0	2	3	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0
0.03	south26_all	80	2146	847	592	328	184	404	275	114	91	107	91	61	130	63	109	59	39	26	22	21	29	26	24	23	27	18	27	8	8	12	5	10	13	6	4	10	8	6	11	13	5	2	4	1	9	5	1	2	0	6	1	1	2	1	2	2	0	0	0	1	1	1	3	2	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0
0.03	south26_active	80	1203	459	340	162	95	250	168	47	46	60	44	29	77	35	57	35	23	9	9	10	14	18	15	15	17	6	14	4	2	6	3	6	3	2	3	7	4	2	4	7	2	1	1	1	3	5	0	2	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0
0.03	south27_all	80	2184	839	560	355	194	397	237	116	104	91	83	59	128	59	119	57	42	31	24	21	30	25	30	31	24	17	18	14	9	13	6	9	10	7	7	7	9	6	10	13	5	3	3	1	7	6	0	1	2	5	3	1	4	2	2	2	0	0	0	0	1	0	2	3	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south27_active	80	1219	470	301	174	101	251	147	52	51	52	40	27	77	34	64	40	26	15	12	11	16	17	20	18	12	7	8	10	2	7	3	7	2	4	5	4	5	4	6	8	2	1	1	1	3	5	0	1	1	2	3	0	2	1	2	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south28_all	80	2148	864	537	356	183	402	232	119	98	95	80	56	133	64	123	59	29	34	26	23	27	22	43	27	31	26	26	18	9	13	4	10	4	7	12	11	6	6	9	10	3	2	4	1	5	7	0	4	4	5	3	2	7	1	0	1	0	0	1	1	0	1	1	2	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0
