label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102
0.03	north6_all	80	1216	524	415	258	196	145	127	359	84	94	55	41	35	150	38	37	37	133	29	20	23	17	15	14	27	16	24	13	24	11	11	9	8	4	7	16	5	5	1	36	2	3	5	12	2	17	0	3	3	1	5	0	26	0	1	5	1	6	2	2	1	0	0	0	7	0	1	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	449	114	276	129	50	35	58	312	18	55	15	6	12	143	7	23	27	124	18	15	11	7	11	1	21	8	22	9	18	3	2	8	5	1	7	13	1	4	0	34	1	1	3	12	1	14	0	3	0	0	1	0	26	0	0	4	0	6	0	1	1	0	0	0	7	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_all	80	1255	506	416	264	179	154	132	330	80	101	61	52	47	158	39	45	31	107	28	15	26	18	14	11	18	15	25	9	25	11	9	7	9	4	3	7	8	2	0	48	2	2	4	12	2	5	0	2	2	0	3	0	28	0	0	4	2	6	2	1	1	0	0	0	0	0	1	3	0	0	3	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	429	115	273	113	46	36	61	293	12	53	13	8	13	144	8	28	26	102	16	12	12	8	11	1	12	7	22	6	19	3	3	6	6	1	3	6	3	0	0	47	1	1	3	12	0	2	0	2	0	0	1	0	28	0	0	4	0	6	0	1	1	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_all	80	1225	494	401	235	188	163	127	313	82	91	57	47	59	144	38	45	26	96	31	18	18	20	13	10	9	14	20	14	13	9	7	7	8	4	5	2	11	3	1	34	1	0	3	8	3	7	0	1	2	0	1	0	6	0	2	4	1	6	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	404	109	256	81	50	36	56	276	13	40	11	8	14	129	10	27	19	91	18	12	9	10	12	2	5	6	16	8	7	3	3	5	5	2	5	1	3	1	0	33	1	0	2	8	0	6	0	0	0	0	1	0	6	0	2	4	0	6	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	1203	499	403	227	185	159	142	237	86	85	57	45	62	135	33	42	21	88	37	21	15	19	15	7	10	21	17	15	12	8	5	8	5	4	6	7	10	3	5	22	1	1	2	6	6	4	1	2	1	2	2	0	3	2	3	0	1	0	5	0	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	358	115	233	77	50	37	64	196	18	44	14	6	11	110	9	25	9	84	18	11	8	8	12	1	6	12	14	8	6	3	2	6	2	1	4	6	5	1	0	22	1	1	2	6	4	4	0	1	0	0	1	0	3	0	3	0	0	0	5	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	1202	509	393	238	181	155	132	207	79	82	54	43	56	113	32	44	36	80	28	21	12	22	16	10	9	27	16	15	9	5	5	12	6	5	6	9	9	2	6	10	0	1	2	6	5	10	1	3	1	2	1	1	4	3	5	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_active	80	361	108	219	88	49	40	60	160	16	40	12	8	14	92	10	26	18	77	13	8	5	9	10	2	6	17	13	10	6	2	1	9	3	1	4	8	4	2	0	9	0	1	2	6	4	9	0	2	0	0	0	0	3	1	3	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	1217	502	431	275	195	144	128	345	82	115	49	56	40	172	32	51	44	175	23	15	11	17	22	15	17	23	28	15	10	5	7	8	9	7	11	13	7	7	2	41	2	4	2	17	1	4	2	5	2	0	1	1	29	5	2	1	0	8	1	0	3	1	0	0	11	1	0	2	0	0	19	1	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	428	99	255	135	59	50	50	311	17	79	12	15	15	160	4	37	32	165	13	7	2	9	9	8	12	15	25	12	8	2	3	6	6	5	11	13	1	6	0	40	0	3	2	17	1	3	1	5	0	0	0	1	29	0	1	1	0	8	1	0	3	1	0	0	11	1	0	2	0	0	19	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	1157	505	454	268	203	147	126	325	80	112	52	53	41	174	32	50	49	147	28	20	14	16	17	16	18	17	35	21	12	6	6	10	8	7	14	18	6	5	2	41	3	4	1	10	2	4	2	3	2	0	1	1	29	4	2	2	0	0	1	1	1	2	0	0	11	1	0	2	0	0	19	2	1	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	418	102	257	122	63	53	50	291	13	81	16	13	15	157	6	35	30	142	19	11	4	7	10	8	10	10	30	19	11	3	2	8	6	4	14	7	2	5	0	39	0	3	0	9	2	3	2	3	0	0	0	0	29	0	1	2	0	0	1	0	1	1	0	0	11	1	0	2	0	0	19	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	1154	560	446	280	198	156	135	334	68	121	65	52	45	162	35	45	45	142	36	20	16	17	19	13	14	18	33	20	15	6	6	15	6	6	7	40	5	6	1	27	3	3	1	14	3	5	2	3	2	0	1	1	25	0	2	1	0	4	0	1	0	2	0	3	13	1	1	2	0	0	19	3	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	412	117	242	125	61	52	49	306	9	82	23	10	19	147	7	27	27	137	22	10	4	5	10	3	8	11	30	16	12	4	2	12	5	5	6	28	2	5	0	25	0	2	0	13	2	2	2	3	0	0	0	0	25	0	1	1	0	4	0	0	0	1	0	3	13	1	0	2	0	0	19	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	1110	535	442	270	186	152	123	288	70	109	65	52	42	155	30	51	56	141	36	22	18	25	21	15	17	16	22	17	12	5	4	12	1	9	14	41	4	6	1	19	4	3	1	31	2	5	2	12	4	0	1	1	32	1	1	6	0	4	0	3	0	2	0	3	3	0	1	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	406	109	237	134	52	50	47	260	15	66	26	9	15	143	8	34	37	138	24	12	7	10	13	4	12	11	19	14	8	4	0	11	1	8	13	29	2	5	0	18	0	2	0	30	1	2	1	12	0	0	0	0	32	1	0	6	0	4	0	2	0	1	0	3	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	1138	542	453	290	172	146	129	328	69	96	64	51	49	140	34	42	46	166	29	22	22	19	20	14	19	14	21	8	13	6	5	14	0	8	11	34	4	12	1	9	2	2	1	29	2	4	2	11	4	0	1	1	7	1	1	5	0	10	0	2	4	3	0	3	3	0	1	0	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	421	126	250	141	46	43	56	296	17	57	25	7	17	134	7	25	34	160	17	10	7	7	14	4	13	12	19	5	10	6	1	12	0	7	7	33	3	10	0	9	0	0	1	29	1	2	1	11	0	0	0	0	7	1	0	5	0	10	0	2	3	2	0	3	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	1157	528	450	280	168	142	128	301	74	96	55	48	48	160	34	46	45	168	32	24	17	16	25	17	20	21	20	16	10	6	6	8	0	6	15	18	4	11	2	2	4	3	3	20	3	5	3	11	3	0	1	0	8	1	1	5	0	6	0	2	4	2	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	432	129	257	134	43	44	65	265	19	60	16	7	13	154	7	30	34	160	17	14	6	6	13	8	14	18	17	13	9	5	2	7	0	4	10	17	2	9	0	2	1	0	2	20	2	5	1	11	0	0	0	0	7	1	0	5	0	6	0	2	3	2	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	1170	558	426	267	167	149	133	369	83	81	54	46	52	175	40	33	37	173	26	24	19	14	23	16	18	24	25	17	13	6	6	7	1	6	11	35	3	10	3	33	5	5	3	15	3	5	3	7	1	0	0	0	8	0	0	5	0	6	0	3	4	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north17_active	80	436	119	258	130	38	50	67	332	20	53	20	11	20	168	12	22	27	164	15	13	4	5	15	8	11	17	21	14	12	5	3	6	0	3	7	34	2	8	1	32	2	2	2	15	2	5	1	7	0	0	0	0	7	0	0	5	0	6	0	2	3	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north18_all	80	1174	555	413	246	182	134	129	347	77	85	54	56	50	171	41	30	48	154	19	26	14	14	25	18	13	25	34	24	13	6	7	4	4	6	15	32	2	8	3	36	6	5	4	1	3	4	4	5	3	1	1	1	20	1	2	0	0	6	0	1	4	2	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north18_active	80	436	120	257	107	45	48	59	300	12	51	19	13	19	163	12	17	24	140	11	16	5	5	16	6	5	17	31	18	12	2	3	4	1	1	11	31	1	7	1	34	2	2	3	1	2	4	1	5	0	1	0	0	19	0	0	0	0	6	0	0	3	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north19_all	80	1154	552	396	232	195	139	121	297	73	78	53	62	47	154	40	30	44	101	20	27	18	20	19	15	19	17	35	18	9	6	7	7	5	7	12	34	1	3	6	39	5	4	3	0	2	3	3	7	3	1	1	1	22	1	2	0	0	0	0	1	0	0	0	4	1	1	1	0	1	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north19_active	80	400	104	229	94	52	46	48	260	11	44	16	12	24	136	11	18	19	89	11	17	7	9	14	3	13	10	33	11	8	1	3	5	2	1	11	32	0	2	1	37	2	3	2	0	1	3	0	7	1	1	0	0	20	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north20_all	80	1176	526	386	241	205	133	119	267	62	82	53	66	49	116	37	37	45	81	28	21	13	16	17	18	20	13	24	17	10	8	7	7	8	6	9	15	3	4	4	18	2	3	2	6	2	8	4	8	4	1	1	1	21	2	2	0	0	1	0	0	0	0	0	3	1	0	1	0	1	3	1	4	0	0	0	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north20_active	80	386	105	217	85	43	34	49	220	6	44	12	15	24	94	8	20	17	70	17	13	6	8	12	5	14	7	22	11	6	3	2	5	4	1	8	13	0	4	0	17	0	1	2	6	2	7	1	8	1	1	0	0	20	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	2	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	1165	581	379	219	200	763	423	112	72	464	67	119	77	45	34	23	44	28	19	34	22	37	95	13	21	14	19	10	6	12	8	36	31	4	63	5	1	11	7	3	3	8	3	9	0	2	7	1	1	2	0	3	3	1	0	1	0	0	1	1	0	0	1	1	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south21_active	80	378	143	199	59	94	712	366	49	18	445	34	99	54	9	7	4	31	12	8	26	11	35	92	4	17	4	14	2	2	10	3	36	27	2	63	2	1	10	0	0	1	6	1	9	0	1	6	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	south22_all	80	1193	575	402	206	209	715	488	115	73	529	62	121	62	40	41	22	41	30	20	25	23	53	98	14	19	10	31	5	5	11	8	48	35	6	38	3	3	13	5	3	2	7	5	5	0	1	0	1	1	1	1	4	3	1	0	1	0	0	0	1	0	0	0	1	0	2	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south22_active	80	385	135	210	61	97	664	425	58	20	502	31	102	39	10	6	3	30	14	10	20	14	51	92	5	16	3	22	0	1	9	4	47	30	3	38	2	1	12	0	0	0	5	2	4	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south23_all	80	1178	575	423	208	226	790	597	119	84	650	64	173	70	37	31	27	30	26	13	24	30	61	122	14	33	7	30	4	7	16	9	47	42	5	41	3	5	24	4	2	1	4	4	9	0	0	1	0	1	0	2	4	2	1	0	1	0	0	0	5	0	0	0	0	4	2	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south23_active	80	437	151	242	64	117	742	538	66	25	628	33	156	43	10	4	4	20	15	6	19	20	58	116	4	31	3	22	0	1	15	5	46	39	3	41	2	1	24	0	0	0	3	2	8	0	0	1	0	0	0	2	1	2	0	0	0	0	0	0	5	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south24_all	80	1154	565	412	221	223	780	624	121	83	581	66	194	65	32	36	28	27	32	13	24	26	77	87	11	30	4	24	5	7	12	12	58	41	7	62	1	4	31	2	1	2	1	4	13	2	0	2	2	0	0	2	3	1	1	0	0	1	0	4	5	0	0	0	0	4	0	0	1	1	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south24_active	80	426	154	236	68	116	737	572	68	24	556	34	166	40	9	4	3	16	18	8	20	20	73	81	3	29	2	19	1	1	10	8	57	38	3	62	0	0	31	0	0	1	1	2	12	0	0	2	1	0	0	2	1	1	0	0	0	0	0	3	5	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south25_all	80	1140	551	388	225	216	786	585	134	80	524	59	204	84	37	33	29	30	24	16	28	25	72	77	14	29	7	22	5	9	13	12	55	31	6	76	3	6	41	4	1	5	2	3	17	4	0	4	2	0	1	2	2	1	1	0	0	1	1	4	5	0	0	0	0	4	0	0	0	0	0	1	0	2	1	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south25_active	80	425	153	227	67	127	741	533	76	23	499	31	172	57	11	4	4	18	13	9	22	21	68	71	4	26	1	17	1	2	11	7	54	29	3	76	1	1	41	0	0	2	2	2	17	1	0	4	1	0	0	1	1	1	0	0	0	0	0	3	5	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south26_all	80	1198	526	381	240	201	904	564	137	80	510	60	181	82	46	32	28	37	24	15	30	18	64	72	14	17	6	15	8	8	11	8	92	39	4	78	7	6	36	5	2	8	3	2	15	4	2	5	2	1	4	1	0	1	0	0	0	1	1	6	5	0	0	1	0	7	1	0	0	0	0	1	0	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	430	147	211	75	110	855	515	77	25	486	36	148	57	16	4	4	27	13	9	19	15	61	68	4	14	1	8	2	1	8	5	92	37	1	78	1	2	36	0	0	3	3	1	15	1	1	5	1	0	0	0	0	1	0	0	0	0	0	5	5	0	0	1	0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	1193	513	401	242	194	840	532	133	82	533	69	179	73	51	29	23	42	21	22	39	17	46	99	14	21	10	33	8	7	11	9	126	34	7	50	7	4	29	4	2	8	4	1	12	3	2	5	1	1	4	1	0	2	0	1	0	0	1	6	1	0	0	2	1	3	1	0	0	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	427	138	225	70	100	796	479	76	25	510	35	151	50	17	3	5	28	11	14	24	12	37	94	5	19	1	25	2	1	8	4	125	31	5	49	1	2	28	0	1	4	4	1	12	1	1	5	0	0	0	0	0	1	0	1	0	0	0	5	1	0	0	1	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	1165	496	403	241	204	845	517	125	84	565	73	151	71	57	27	21	41	24	28	53	18	62	100	13	23	9	39	12	7	9	7	121	38	7	51	9	3	9	5	3	7	4	0	8	2	2	5	0	3	3	0	0	2	1	1	0	1	1	2	1	2	0	3	1	3	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south28_active	80	424	129	224	73	99	803	469	75	22	544	33	130	50	18	2	5	27	13	16	40	12	40	97	4	21	1	33	3	3	6	3	120	35	6	50	2	2	8	1	2	3	3	0	8	1	1	5	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	1163	497	381	231	206	821	557	126	90	578	80	147	63	58	33	27	42	25	34	52	17	66	83	10	22	11	42	11	6	11	7	101	17	12	41	7	2	17	6	3	6	4	1	8	2	0	5	0	3	3	1	0	2	1	1	1	1	0	0	1	3	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south29_active	80	433	127	224	66	98	770	511	71	21	550	35	124	42	16	3	9	26	16	21	40	10	42	78	4	19	1	36	4	2	6	3	99	15	10	40	2	2	16	1	2	4	3	0	8	0	0	3	0	0	0	0	0	1	0	1	1	0	0	0	1	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	1165	508	389	228	212	884	513	131	86	535	86	169	69	51	35	29	43	20	33	48	25	71	69	14	19	11	42	12	8	10	5	101	17	10	37	5	4	13	5	1	5	7	1	3	3	1	7	0	2	1	1	2	0	2	1	1	1	0	0	3	3	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
