label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131
0.03	north14_active	80	3616	2112	667	1366	1072	243	238	190	191	150	417	119	158	230	67	75	78	85	126	52	58	36	37	52	43	17	25	14	60	20	15	33	6	25	4	10	8	14	9	5	7	7	2	4	1	8	9	6	6	2	3	1	1	2	2	4	1	3	1	2	4	1	1	1	0	7	1	0	2	2	0	6	0	1	3	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	6357	3567	1353	2302	1807	517	504	380	351	300	682	215	253	356	161	138	130	138	182	116	92	77	73	84	70	35	37	32	90	23	35	42	23	39	11	27	17	41	14	10	18	5	12	11	4	15	12	13	21	5	12	6	2	2	4	5	3	5	3	10	4	2	2	7	3	7	3	2	2	6	0	9	1	3	5	2	2	0	2	1	0	0	1	0	2	0	1	0	0	0	0	1	0	0	1	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_active	80	3594	2134	665	1502	1198	236	252	184	180	172	427	108	145	233	82	67	80	87	111	72	55	42	38	50	46	17	19	15	66	14	17	29	8	23	4	16	8	22	6	4	9	2	5	5	1	9	10	9	14	1	10	0	1	1	3	3	2	1	0	2	3	1	1	1	0	7	1	0	2	2	0	8	0	1	3	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	6485	3714	1368	2439	1968	523	498	386	384	322	663	197	261	391	155	126	123	148	189	136	118	83	86	100	66	40	42	34	100	30	36	48	16	43	14	35	12	44	8	9	14	9	14	8	5	19	9	16	18	4	15	3	5	3	4	7	4	5	4	12	6	4	1	8	3	6	3	0	2	5	1	7	0	3	5	5	2	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	3756	2253	659	1582	1312	243	254	180	195	177	435	96	171	245	77	63	72	90	109	87	76	44	42	68	44	17	22	17	77	16	16	32	7	28	7	23	3	24	2	3	7	3	7	4	2	11	7	11	12	2	12	0	5	2	4	5	1	2	0	2	4	2	0	1	0	4	2	0	2	2	0	6	0	1	3	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	6430	3617	1342	2343	1932	528	491	358	390	330	610	188	265	388	143	120	129	169	158	137	119	75	80	92	59	36	42	31	96	33	33	48	16	52	17	36	10	34	7	9	16	11	14	10	8	16	10	15	21	3	16	4	5	3	5	4	4	5	4	10	5	3	2	12	0	4	3	0	0	1	1	4	0	1	5	7	1	1	0	0	0	0	0	1	2	0	1	0	0	0	1	2	0	0	0	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0
0.03	north17_active	80	3725	2169	639	1530	1240	242	264	146	191	181	389	91	168	230	72	59	71	102	82	85	74	36	37	62	37	16	25	15	72	17	14	33	8	37	9	23	3	21	3	4	8	4	9	5	3	8	8	9	13	2	11	0	4	1	5	3	1	1	1	2	3	1	1	0	0	2	1	0	0	0	0	2	0	0	3	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	6060	3470	1299	2085	1718	542	472	364	384	342	588	196	255	361	123	121	126	160	150	122	135	76	71	92	49	36	51	36	87	34	26	48	16	45	21	34	13	20	9	10	16	13	13	14	7	13	11	14	20	5	9	3	5	4	5	4	2	4	5	5	3	4	2	8	2	5	2	0	2	0	1	2	3	0	1	6	1	2	0	0	1	0	0	1	3	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3
0.03	north18_active	80	3404	2093	614	1327	1048	252	250	149	198	179	375	93	162	203	62	56	67	91	85	76	80	40	26	67	31	12	28	14	54	17	11	33	8	34	9	24	5	15	5	4	7	5	10	8	3	6	8	6	14	5	3	1	4	1	4	4	0	1	1	2	2	1	1	0	2	1	1	0	2	0	0	1	3	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north19_all	80	5905	3315	1253	1912	1589	564	442	365	383	338	559	201	280	292	113	118	120	155	129	93	123	76	74	82	51	34	45	37	92	31	23	44	20	39	19	25	12	10	9	13	16	15	15	19	7	11	10	9	17	4	8	4	4	4	3	2	1	4	3	7	3	2	2	7	2	3	1	0	4	1	0	2	4	0	1	4	0	2	0	0	1	0	0	2	3	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
