label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47
0.03	south32_all	80	3501	1445	746	418	313	241	138	305	265	194	80	49	82	27	13	60	6	6	25	10	7	6	3	1	10	2	1	2	2	0	2	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	1962	808	384	189	172	119	76	213	182	134	46	32	47	16	4	39	2	3	14	5	5	4	2	0	9	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	3589	1493	779	415	318	241	143	310	280	195	68	46	66	30	17	52	10	9	26	8	9	6	4	5	9	3	1	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	2018	834	420	185	173	118	84	217	183	134	35	21	44	18	6	34	5	5	12	5	7	3	2	3	8	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	3629	1482	810	414	335	234	142	325	283	213	56	45	72	32	16	37	9	6	31	6	7	8	3	4	6	4	1	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	2047	861	455	190	167	110	81	235	183	144	27	25	42	17	8	27	4	3	21	4	6	7	1	3	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	3617	1489	791	399	348	236	143	339	280	211	51	40	81	28	14	34	12	6	29	3	10	7	6	6	4	3	4	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	2019	868	436	183	181	114	79	247	177	152	27	20	46	14	7	23	6	2	20	2	8	6	3	3	3	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	3597	1516	770	391	344	235	149	316	238	240	60	31	86	26	11	37	12	4	29	6	7	8	4	5	2	4	5	0	2	2	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south36_active	80	1985	908	444	188	179	108	68	228	147	175	43	19	52	9	6	26	8	0	23	3	6	6	2	3	1	2	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	3506	1511	764	404	324	216	134	310	224	223	65	32	65	20	13	33	17	6	29	11	10	7	5	4	2	3	6	0	2	2	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south37_active	80	1938	876	437	192	180	100	57	233	136	156	46	14	35	8	4	18	8	0	18	6	9	5	3	2	2	1	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	3525	1556	747	430	333	224	151	298	241	191	62	41	77	20	18	29	15	7	30	12	5	8	1	4	1	3	2	0	1	2	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south38_active	80	1984	874	426	214	181	110	64	206	156	138	43	18	49	6	8	20	8	1	16	7	4	5	1	3	1	2	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	3452	1522	742	428	324	205	156	362	298	168	55	46	67	13	20	35	17	8	34	9	5	9	2	3	1	2	1	5	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south39_active	80	1947	835	405	204	175	103	89	260	188	112	37	21	44	5	9	26	7	3	16	6	4	5	1	3	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	3452	1482	734	422	324	199	161	340	314	168	56	49	90	15	19	32	12	9	28	12	3	6	1	2	4	3	0	5	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south40_active	80	1949	825	377	201	173	95	83	248	207	115	35	24	58	7	11	24	4	3	17	7	1	3	0	2	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
