label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57
0.03	north17_active	80	17569	14752	16094	2531	7123	5249	1701	2176	647	1061	1041	457	298	384	296	64	160	48	46	18	24	15	11	27	14	6	15	4	11	8	12	6	1	0	1	0	1	0	0	0	0	6	0	0	0	2	0	0	0	0	1	0	0	0	2	0	1	0
0.03	north18_all	80	41472	22462	19121	6048	8177	6268	2659	2798	1248	1328	1296	701	473	464	398	175	191	131	90	103	59	41	33	38	20	10	20	13	12	14	8	5	4	1	3	3	2	0	0	2	1	2	1	1	0	2	0	0	0	0	0	1	1	0	2	0	1	1
0.03	north18_active	80	17506	14843	15972	2605	6931	5390	1722	2269	594	1018	1069	462	314	388	304	63	141	49	36	18	24	11	9	25	9	4	14	3	9	9	5	3	2	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0
0.03	north19_all	80	41334	22348	19074	6034	8143	6013	2596	2834	1158	1283	1270	681	457	463	394	149	189	134	94	89	49	37	32	35	19	17	25	12	22	9	8	4	6	0	3	2	2	0	0	3	1	0	0	2	0	2	0	0	0	0	0	1	0	0	2	0	1	1
0.03	north19_active	80	17572	14774	15917	2614	6895	5131	1630	2296	531	968	1040	464	296	387	306	50	137	50	38	16	19	9	9	22	7	9	18	6	19	6	2	3	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0
0.03	north20_all	80	41430	22490	19066	6161	7939	5804	2554	2814	1140	1311	1234	668	485	445	388	155	204	129	106	75	49	38	32	28	19	33	19	11	22	15	7	1	6	1	3	3	2	0	0	3	1	3	0	2	0	2	0	0	0	0	0	1	0	0	2	0	0	1
0.03	north20_active	80	17745	14945	15907	2716	6677	4932	1585	2287	535	987	991	456	319	358	298	50	151	44	54	14	21	10	10	12	5	25	18	7	20	13	2	0	2	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
0.03	south21_all	80	59012	32976	9791	6400	7041	2763	2040	1443	1299	1473	783	463	360	604	342	424	165	153	105	72	57	52	46	71	86	12	32	17	9	6	7	12	13	5	11	1	0	1	3	4	1	1	0	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0
0.03	south21_active	80	42586	27457	4054	3022	5566	1023	612	496	765	1149	460	105	97	502	249	347	103	105	67	47	38	22	26	67	68	4	26	8	4	6	5	7	5	2	5	1	0	1	3	3	0	1	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0
0.03	south22_all	80	59078	32618	9691	6310	7109	2767	2016	1458	1305	1466	770	489	360	639	334	418	176	164	96	80	80	58	50	46	85	10	42	19	9	11	6	12	15	6	10	2	4	1	1	4	0	2	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0
0.03	south22_active	80	42649	27117	4022	2990	5714	989	639	492	743	1157	463	116	93	525	240	350	108	119	65	55	62	25	30	41	72	3	36	13	3	7	3	6	6	3	7	2	4	1	1	3	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
0.03	south23_all	80	59123	32943	9754	6280	6938	2804	2020	1455	1280	1560	757	482	368	732	341	434	196	184	106	77	99	57	43	55	62	16	35	21	12	9	5	13	12	6	5	8	4	2	1	2	0	2	1	0	1	0	1	1	0	2	0	0	2	0	0	0	0	0
0.03	south23_active	80	42709	27388	4038	2885	5593	1001	634	490	690	1272	452	124	84	613	238	371	129	134	72	49	83	23	22	50	55	7	32	13	3	5	3	6	6	3	3	8	4	0	0	2	0	1	1	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0
0.03	south24_all	80	59321	33015	9875	6154	6985	2876	1939	1511	1214	1639	790	491	380	663	373	386	189	186	104	86	107	54	40	58	31	19	35	16	10	8	4	7	8	5	5	7	5	2	1	1	0	2	1	0	1	0	0	1	0	2	0	0	2	0	0	0	0	0
0.03	south24_active	80	42740	27494	4068	2918	5603	1043	614	501	654	1346	467	124	77	548	265	327	125	132	76	65	91	22	26	49	26	10	30	10	4	4	1	4	5	2	3	7	4	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0
0.03	south25_all	80	59720	33138	9800	6250	6939	2814	1990	1513	1265	1684	826	485	384	677	352	358	177	161	112	99	110	53	43	53	26	25	36	14	14	6	6	11	8	5	8	6	3	3	2	0	0	1	1	0	1	1	0	1	0	1	0	0	2	0	0	0	0	0
0.03	south25_active	80	42922	27605	4113	2978	5522	1054	592	521	700	1370	486	118	72	563	254	299	114	112	78	72	95	19	30	41	20	14	31	6	6	2	4	7	5	2	6	6	2	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0
0.03	south26_all	80	59626	33498	9793	6287	7116	2712	1978	1469	1286	1741	810	470	405	575	362	313	146	155	107	94	101	48	46	55	29	18	38	13	15	8	9	17	9	6	6	1	3	3	1	1	0	1	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	south26_active	80	42967	27990	4149	3078	5588	1021	582	503	753	1420	473	111	89	487	256	252	95	95	74	70	86	20	32	40	22	8	33	8	6	6	4	13	7	3	4	1	2	0	1	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	59384	33178	9759	6338	7029	2749	1977	1443	1319	1655	819	466	398	513	319	397	170	148	106	101	111	50	44	57	47	18	34	17	18	7	10	22	14	3	8	1	3	2	2	1	0	1	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	42919	27759	4174	3022	5534	994	621	502	768	1319	497	117	86	420	222	337	106	92	67	73	89	21	30	43	37	7	29	10	8	5	4	17	7	2	5	1	2	0	1	0	0	1	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	59170	33541	9875	6316	7081	2834	1960	1439	1339	1732	792	465	386	528	356	405	171	155	123	107	117	42	54	47	61	17	33	18	13	9	9	17	13	5	5	1	0	2	4	2	0	1	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	42857	28094	4239	2977	5621	1045	632	479	781	1424	483	119	96	436	251	347	107	108	72	74	91	19	33	37	54	8	29	11	6	5	1	13	6	4	4	1	0	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	59239	33238	9790	6367	7071	2852	1877	1474	1353	1729	782	459	369	523	339	439	197	156	122	123	125	43	46	31	58	21	25	17	10	5	6	17	9	3	3	0	4	1	4	1	0	1	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	42734	27813	4133	3022	5672	1063	604	498	803	1433	489	108	92	415	241	382	124	104	77	77	99	15	29	22	50	11	18	9	5	2	1	15	3	2	2	0	2	0	0	1	0	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	59455	32915	9775	6349	7018	2831	1855	1503	1327	1648	750	461	372	578	364	413	188	137	118	114	110	52	43	47	50	22	31	15	8	11	12	12	2	4	4	1	4	2	4	1	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	42941	27481	4120	3067	5637	1080	580	496	766	1370	469	110	95	482	267	356	121	87	69	63	90	22	22	39	42	12	24	8	5	2	6	10	1	2	3	0	2	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	59028	33442	9722	6481	6790	2693	1858	1408	1211	1530	760	500	345	537	413	392	157	166	121	102	122	54	38	69	40	20	37	19	9	16	12	7	13	6	1	1	0	1	5	0	1	0	0	1	3	2	0	0	0	3	0	0	0	0	0	0	0	0
0.03	south31_active	80	42522	27886	4157	3237	5354	971	559	474	671	1273	448	88	86	430	328	340	105	103	61	57	96	22	15	59	31	11	34	13	5	10	7	3	12	5	0	1	0	0	2	0	1	0	0	0	3	2	0	0	0	3	0	0	0	0	0	0	0	0
0.03	south32_all	80	59318	33299	9728	6461	6938	2648	1816	1414	1319	1537	761	472	349	609	383	419	170	172	122	90	134	48	44	67	41	28	31	21	8	16	11	4	7	4	3	1	0	0	4	1	0	1	0	1	15	3	0	0	0	1	1	0	0	0	0	0	0	0
0.03	south32_active	80	42725	27720	4089	3232	5491	978	535	482	733	1268	457	82	81	492	291	359	111	115	62	51	113	19	16	59	35	19	24	15	6	9	7	2	4	2	2	0	0	0	1	0	0	0	0	0	15	3	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south33_all	80	59172	33458	9840	6430	6879	2697	1864	1489	1328	1569	791	434	354	597	364	408	180	182	119	69	108	46	51	66	47	20	33	15	9	14	11	4	8	3	3	1	2	0	3	2	0	2	0	0	14	1	0	0	0	1	1	0	0	0	0	0	0	0
0.03	south33_active	80	42684	27877	4113	3187	5403	1016	572	514	730	1296	485	85	77	480	271	344	108	127	60	44	90	16	19	56	39	14	28	11	7	8	6	1	4	1	3	0	1	0	1	0	0	1	0	0	14	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south34_all	80	59385	33509	9943	6438	6989	2750	1908	1541	1331	1563	789	420	369	601	356	358	174	176	108	62	117	43	46	73	47	18	35	12	10	8	10	5	5	1	7	2	2	0	2	3	0	2	0	0	14	3	0	0	0	1	1	0	0	0	0	0	0	0
0.03	south34_active	80	42875	27880	4204	3165	5517	995	611	511	752	1291	500	90	75	497	263	297	97	123	52	42	96	19	15	60	40	11	30	8	8	3	4	3	2	0	4	0	1	0	0	1	0	1	0	0	14	3	0	0	0	1	0	0	0	0	0	0	0	0
