label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100
0.03	north19_all	80	32943	27172	13172	9810	4618	3110	2519	2636	2911	1319	2589	1063	979	662	593	653	971	388	772	409	240	251	257	390	179	135	160	194	107	81	115	177	125	56	78	43	60	23	29	54	24	29	15	17	15	11	19	21	15	12	9	11	15	20	2	6	8	2	1	5	1	0	2	4	3	2	2	2	0	1	1	14	0	1	0	1	0	0	3	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north19_active	80	17658	22765	10086	7758	2288	921	939	1783	2262	343	2249	573	550	147	252	411	840	108	665	299	64	110	162	337	105	72	104	152	65	34	87	151	99	23	69	18	46	9	19	41	4	19	4	5	4	2	19	9	5	6	2	6	10	18	1	6	1	1	1	1	0	0	1	1	2	2	1	0	0	0	1	14	0	1	0	1	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north20_all	80	32834	26699	13205	9852	4594	3079	2501	2675	2880	1317	2620	1053	984	687	622	645	937	394	798	416	232	254	273	397	174	143	185	214	105	81	141	156	103	62	71	46	62	28	23	65	30	27	21	14	13	11	20	19	20	16	4	12	11	11	4	5	6	3	1	6	3	0	1	4	3	2	3	2	0	0	0	14	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north20_active	80	17559	22364	10073	7910	2350	898	913	1794	2270	355	2247	558	561	152	259	404	803	103	693	290	71	120	176	346	103	78	112	171	66	33	112	131	78	29	56	21	51	12	18	52	3	18	3	6	2	2	17	8	8	9	2	6	6	9	2	4	1	0	1	3	0	0	1	1	2	2	2	0	0	0	0	14	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south21_all	80	59478	12935	16987	5434	5767	2988	3965	2373	1833	2316	1079	1317	1305	704	702	507	472	440	535	280	452	389	205	186	143	186	144	118	172	68	219	60	56	77	34	156	44	55	34	27	16	31	26	14	26	17	23	15	12	23	9	13	3	3	9	6	3	9	2	3	3	1	7	3	2	5	2	0	1	9	0	0	2	0	0	0	0	0	1	0	2	0	1	2	1	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0
0.03	south21_active	80	49948	2784	14305	1568	3921	764	2939	1389	1006	1817	313	854	938	296	431	178	234	268	426	85	360	321	95	71	51	128	71	58	144	18	199	20	20	57	10	135	12	45	17	18	1	19	12	4	13	5	18	5	6	20	7	12	2	1	7	5	1	6	0	1	1	0	3	3	0	3	1	0	0	9	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south22_all	80	59769	12942	16901	5488	5717	2951	3930	2335	1777	2337	1059	1385	1237	680	738	523	467	439	546	311	421	434	191	170	143	163	141	124	152	69	180	53	59	109	33	157	43	64	30	31	20	20	26	13	27	15	28	14	8	24	10	14	4	6	6	3	2	14	1	1	3	1	5	9	1	3	2	1	1	5	0	1	1	0	0	0	0	0	1	0	2	0	1	2	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south22_active	80	50376	2770	14226	1606	3908	721	2927	1378	971	1884	316	924	911	282	480	180	230	262	428	96	345	366	79	68	38	115	68	61	123	25	158	17	21	88	11	137	10	52	16	22	3	11	12	3	14	4	23	6	4	23	7	10	1	1	4	3	0	11	0	0	1	0	2	9	0	3	2	0	0	5	0	1	1	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	59180	12859	16983	5517	5847	3010	4005	2371	1737	2221	1091	1383	1207	696	731	519	473	441	581	282	474	393	201	179	138	159	142	124	167	75	206	63	59	123	32	161	43	79	33	45	22	17	24	15	19	16	30	12	8	31	7	8	4	8	5	6	2	9	0	1	2	2	3	10	1	2	3	2	0	2	1	1	1	0	0	1	0	0	1	1	2	0	0	2	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	49837	2749	14326	1596	4043	759	3033	1381	917	1764	350	920	894	287	471	177	223	276	471	82	398	332	79	70	35	109	75	67	139	28	179	17	20	99	9	141	13	63	15	40	4	9	12	3	8	2	26	5	4	30	3	3	1	1	4	6	0	8	0	0	0	0	1	9	0	2	2	1	0	2	0	1	1	0	0	1	0	0	1	0	2	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
