label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127
0.03	north17_active	80	10615	5342	2170	399	318	191	1836	148	156	1111	109	107	509	82	560	145	83	218	59	35	31	33	76	87	50	92	42	16	69	17	6	66	59	5	6	3	18	14	11	19	36	10	9	7	7	17	9	27	3	16	7	1	1	5	5	1	3	0	0	2	4	0	3	3	0	5	3	2	0	1	1	0	1	4	0	1	0	0	0	0	7	1	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	13331	6528	3083	1417	1131	816	1933	567	477	1258	315	301	564	217	606	204	175	257	142	108	100	88	105	110	80	100	68	47	100	31	31	75	77	26	22	15	25	31	19	43	36	18	26	19	13	22	16	32	4	27	15	8	4	12	12	6	8	4	4	3	5	0	3	3	1	1	6	2	4	1	1	0	1	3	2	2	0	0	0	1	6	3	2	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	10608	5334	2124	376	330	177	1722	157	151	1127	90	107	473	96	537	128	84	210	70	32	32	36	70	85	55	83	47	17	87	15	7	66	62	9	6	4	17	21	10	34	33	7	20	11	4	21	10	29	2	23	7	1	1	10	11	1	1	0	0	0	4	0	2	2	0	1	5	1	0	1	1	0	1	3	0	1	0	0	0	0	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	13166	6429	3088	1422	1144	812	1961	553	459	1170	292	321	592	210	731	205	189	246	133	100	100	92	114	110	77	86	71	46	100	31	23	80	82	25	30	20	21	34	14	46	38	21	26	20	11	17	10	36	4	28	11	8	3	19	8	6	8	3	4	1	2	1	5	5	0	4	6	2	4	0	1	1	2	6	2	1	0	0	0	1	2	3	0	0	1	1	1	0	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north19_active	80	10443	5245	2135	353	341	176	1754	161	140	1035	88	112	507	90	657	123	96	192	75	32	38	37	79	84	54	70	44	18	88	15	5	68	68	9	8	5	16	26	8	37	37	3	22	13	4	16	9	29	2	24	4	0	0	17	7	2	3	0	0	0	1	1	4	2	0	4	5	1	0	0	1	1	1	6	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north20_all	80	13290	6504	3093	1408	1144	829	1922	548	436	1160	295	314	545	211	634	231	183	278	133	114	101	88	113	112	95	66	65	52	101	37	20	84	81	27	35	15	21	27	15	39	35	19	36	15	10	19	15	32	3	37	8	10	4	14	14	4	5	4	2	2	3	4	5	4	0	5	5	1	3	0	1	1	3	4	1	1	1	3	0	0	0	3	1	0	0	1	1	0	1	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north20_active	80	10583	5323	2203	324	357	186	1705	147	133	1027	74	109	464	98	561	137	93	219	69	42	40	35	86	82	58	55	39	17	89	16	4	70	72	12	12	4	15	20	6	33	33	2	32	11	4	17	14	26	2	35	1	1	0	12	13	1	3	1	0	2	2	4	3	1	0	5	4	1	0	0	1	1	2	4	0	0	1	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south21_all	80	13405	6719	3223	1438	1036	872	1842	551	486	1341	347	304	624	239	643	227	160	276	112	104	97	89	122	114	83	85	65	53	82	41	32	83	72	25	27	21	20	24	17	29	17	21	36	21	12	8	8	42	5	17	5	10	14	7	11	3	3	5	3	3	4	2	3	2	2	12	1	1	1	1	0	3	1	0	0	3	2	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	3	1	1	0	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	south21_active	80	10736	5515	2319	378	323	202	1622	153	157	1223	102	98	544	98	574	149	85	232	43	36	35	41	88	78	58	62	33	21	63	18	9	76	67	9	7	4	8	17	11	23	15	13	33	19	5	6	5	39	2	13	2	2	8	6	11	1	0	1	1	0	3	1	1	1	0	11	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	13613	6751	3223	1465	1050	888	1925	553	459	1346	342	304	608	225	668	208	174	304	114	104	89	105	115	114	91	75	61	53	97	36	37	87	69	27	23	16	23	19	14	27	26	18	44	19	10	8	13	25	10	24	8	8	18	14	11	2	2	5	2	1	9	2	4	2	3	9	0	2	1	1	0	5	0	1	0	1	2	0	1	1	0	0	0	0	0	2	0	0	1	0	1	0	1	2	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
