label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133
0.03	north6_all	80	27696	11730	9700	5360	7160	2916	2413	2931	2672	1468	1145	980	940	1577	691	963	690	397	392	318	333	273	255	196	305	227	260	229	159	188	111	108	215	86	54	97	55	45	56	39	38	27	46	45	28	48	20	22	32	32	56	30	11	18	11	12	14	10	13	12	7	9	3	5	3	10	10	8	6	2	3	4	1	2	1	1	0	2	3	2	3	2	2	1	1	1	2	0	1	1	1	0	2	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	13195	3180	6189	1997	5730	950	718	1942	2021	582	260	265	424	1322	305	720	455	104	124	63	66	92	112	46	197	147	171	173	65	137	29	52	187	32	18	71	20	18	39	5	15	9	37	27	10	45	5	5	23	28	54	26	0	12	3	4	2	7	11	7	4	7	1	1	1	7	5	1	0	2	1	1	1	1	0	0	0	1	2	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	27699	11727	9906	5316	7229	2906	2408	2916	2686	1515	1186	1029	941	1582	666	974	706	451	406	338	322	263	254	195	273	242	261	209	141	183	120	99	196	98	65	104	59	53	49	41	40	28	48	51	36	47	23	25	32	41	47	36	14	19	10	15	11	10	10	13	9	5	2	4	2	8	6	7	10	3	2	4	1	2	1	0	0	3	1	2	4	2	3	1	1	0	2	0	1	1	1	2	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	13169	3187	6360	1975	5797	932	700	1930	2035	586	285	283	432	1340	289	722	477	117	114	66	78	90	91	50	178	157	170	152	60	144	31	43	169	35	22	79	23	20	38	6	17	11	39	35	12	43	7	7	21	37	45	33	0	10	2	6	1	7	9	7	6	3	1	1	2	6	5	1	0	2	0	2	0	1	0	0	0	3	0	0	0	1	0	1	1	0	1	0	1	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	27661	11729	9913	5330	7149	2930	2339	2944	2724	1489	1164	1029	996	1586	689	970	714	461	419	356	315	255	247	213	292	258	234	206	143	202	129	107	195	94	65	106	65	48	49	46	43	33	56	48	33	34	21	31	36	44	36	37	9	19	9	13	14	9	10	12	9	4	2	6	3	12	2	6	8	2	3	5	1	1	1	0	3	6	2	1	3	1	3	4	0	0	2	0	2	1	2	3	4	0	0	0	2	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	13186	3240	6485	1968	5667	921	663	1998	2065	608	271	272	487	1327	287	701	480	115	132	74	82	96	95	48	200	179	150	154	54	162	33	48	171	38	24	79	25	19	38	6	18	13	48	30	12	28	9	6	23	39	33	33	1	9	1	4	0	6	9	8	5	1	0	0	3	9	1	1	0	1	0	2	0	1	1	0	2	5	0	0	0	1	0	3	0	0	2	0	2	1	0	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	28127	11761	10070	5326	7195	3046	2345	2954	2844	1519	1147	1010	1000	1612	714	970	767	464	418	361	315	281	233	230	282	248	228	217	156	220	124	108	194	92	81	106	63	48	71	44	42	39	67	48	34	40	27	28	37	51	38	36	10	24	13	11	9	11	4	13	6	5	3	4	4	30	2	3	7	3	3	4	1	1	1	0	3	5	2	0	3	5	2	3	0	0	2	0	2	1	1	3	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	13812	3408	6698	2010	5790	946	700	2063	2180	643	240	261	496	1369	313	722	532	128	141	70	80	112	101	51	197	171	157	164	73	188	33	46	162	41	25	78	22	19	55	6	17	11	58	27	9	30	11	8	23	47	33	30	2	17	1	4	1	6	3	8	3	1	0	0	3	29	1	0	0	1	0	1	0	1	1	0	2	4	0	0	0	5	0	2	0	0	2	0	2	1	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_all	80	28802	11864	10433	5385	7905	3076	2337	3084	3077	1506	1146	1018	996	1772	746	1007	773	405	397	395	338	297	252	234	316	248	228	270	152	226	124	128	204	83	79	105	61	45	71	45	41	47	80	48	30	62	23	23	35	77	40	34	15	28	14	6	8	9	9	10	6	4	4	7	5	29	4	3	3	2	2	5	2	1	1	3	3	3	2	1	2	9	1	3	0	1	1	0	1	0	1	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	14825	3642	7163	2140	6612	1024	765	2226	2439	697	234	281	499	1509	353	760	552	125	146	90	79	125	136	47	233	169	172	222	71	194	36	63	175	40	23	75	22	18	50	7	16	18	69	27	8	50	11	6	18	71	34	28	4	24	0	1	2	5	6	6	1	1	1	1	3	28	2	0	1	0	0	1	1	1	1	3	2	2	0	0	0	9	0	2	0	1	1	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	30676	11908	11509	5473	8796	3121	2471	3312	3393	1533	1177	1008	986	1839	776	1009	794	469	384	349	306	288	269	225	279	329	261	223	142	255	106	123	239	101	86	104	68	67	112	42	46	38	84	56	32	91	21	36	26	16	59	60	21	33	7	17	10	10	21	4	7	13	1	4	11	8	5	7	2	3	5	4	5	1	8	1	1	0	5	1	2	2	0	2	1	0	0	2	1	1	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north11_active	80	17262	4040	8430	2431	7596	1208	894	2578	2762	781	254	298	530	1595	414	808	624	164	142	72	90	132	156	48	197	245	188	169	78	203	38	66	201	60	28	80	25	22	96	8	26	16	70	42	14	78	5	12	18	14	55	51	5	24	0	6	3	9	20	2	5	5	1	3	8	8	4	1	1	0	3	2	3	0	6	1	0	0	1	0	1	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	north12_all	80	30717	11957	11449	5391	8730	3162	2461	3240	3376	1535	1186	1039	989	1772	803	1034	805	467	381	356	309	282	280	231	289	338	277	238	145	263	92	128	260	117	66	112	57	66	77	49	47	37	84	49	29	98	22	31	44	22	53	57	23	45	6	17	12	10	24	5	6	6	3	5	8	22	4	3	1	3	4	5	3	0	6	2	0	4	3	4	3	1	0	2	2	1	2	0	1	0	1	0	0	0	0	0	0	0	1	2	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	17289	4089	8385	2379	7505	1219	858	2473	2751	769	247	314	526	1543	431	817	610	165	136	80	89	132	162	45	201	259	210	187	85	213	34	60	220	76	24	84	24	18	61	10	22	18	72	37	13	86	6	8	32	18	48	51	2	37	0	8	3	6	23	3	4	1	1	3	6	21	2	0	0	0	3	2	2	0	6	1	0	4	1	2	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	30682	11890	11582	5370	8762	3124	2451	3225	3402	1579	1149	1021	984	1739	813	1176	817	471	383	389	300	281	290	255	317	324	320	230	141	240	96	133	276	114	56	118	56	66	98	52	49	45	66	52	19	108	21	26	43	31	39	49	27	58	8	16	11	11	17	9	7	6	3	5	7	23	3	5	3	1	2	3	1	1	4	12	0	4	3	4	3	1	0	2	3	1	3	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	17216	4078	8440	2383	7457	1190	843	2421	2810	778	239	316	521	1506	440	955	633	172	139	91	85	135	151	47	231	256	254	181	75	203	24	66	242	65	22	80	24	20	83	9	21	23	54	40	5	99	5	8	29	26	37	43	6	53	0	7	0	5	17	7	4	1	1	3	5	21	2	0	3	0	2	0	0	0	4	11	0	4	1	2	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	30095	11818	11406	5448	8671	3063	2429	3140	3292	1567	1099	991	998	1791	815	1147	792	447	393	380	298	287	288	259	312	311	293	230	148	239	113	121	250	111	60	125	63	65	132	54	45	61	57	35	27	84	21	25	35	32	54	22	30	73	7	10	12	17	24	14	8	6	5	5	1	21	3	4	4	1	3	3	0	1	5	11	0	5	5	3	3	0	0	2	2	1	3	0	5	0	0	0	1	0	0	0	1	1	0	3	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	16623	3970	8184	2374	7332	1150	796	2348	2691	757	218	298	574	1545	456	922	600	155	144	95	76	118	142	53	204	239	228	190	73	193	25	57	223	65	24	88	27	16	115	11	19	34	43	28	14	75	4	7	23	26	52	16	7	67	1	4	0	7	23	10	4	1	1	1	1	19	2	1	4	0	2	0	0	0	5	10	0	4	3	2	1	0	0	1	1	0	1	0	5	0	0	0	1	0	0	0	0	0	0	3	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	30036	11900	11269	5413	8664	2946	2404	3219	3204	1573	1112	991	994	1921	779	1145	782	434	390	376	306	294	276	261	281	269	258	232	153	260	117	98	235	92	68	128	60	59	138	48	50	59	51	45	30	55	28	26	25	34	62	41	27	61	8	9	6	12	29	14	10	7	8	4	7	26	2	6	6	2	1	2	0	2	4	11	0	1	6	3	3	0	0	0	1	0	2	0	5	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	16526	3950	8014	2307	7279	1092	781	2447	2614	743	226	299	561	1678	419	922	606	144	136	103	83	116	139	50	174	208	204	191	77	209	27	52	216	43	28	86	22	15	116	9	25	33	33	37	14	47	6	8	12	30	60	34	8	52	1	3	0	5	27	10	4	3	3	0	4	25	2	1	5	0	0	0	0	1	3	10	0	0	4	1	1	0	0	0	0	0	1	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	29170	11894	10847	5397	8168	2918	2396	3163	2955	1542	1152	963	978	1902	772	1023	731	435	400	371	325	307	284	245	252	231	215	229	160	267	116	111	176	85	79	120	71	56	127	48	52	60	53	40	39	54	31	24	22	28	57	40	23	32	7	12	10	11	33	9	5	8	9	3	8	15	2	6	6	2	2	1	0	2	11	0	4	1	9	1	1	1	0	0	0	0	1	0	5	0	0	0	2	0	0	1	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	15333	3724	7464	2123	6741	1020	759	2328	2354	699	235	265	515	1644	397	793	546	128	138	96	80	110	146	55	144	163	147	184	79	215	26	58	155	36	31	82	29	9	104	10	31	29	38	33	17	48	9	8	11	24	53	34	6	26	2	6	1	5	29	7	1	4	3	0	4	15	2	1	5	0	0	0	0	1	10	0	2	0	5	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	1	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	28837	11873	10651	5323	7930	2915	2483	3278	2940	1509	1166	922	981	1772	761	978	688	441	379	365	317	289	291	231	274	220	215	210	153	261	109	104	183	89	74	107	65	51	88	48	50	43	47	45	34	43	30	26	24	44	32	41	20	22	8	13	7	10	27	7	9	8	10	3	9	22	2	5	6	3	2	2	1	2	10	1	6	1	6	1	1	1	2	1	0	0	1	2	0	1	0	0	2	0	1	1	1	0	1	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	14631	3585	7212	2017	6466	986	763	2371	2317	666	248	243	512	1524	373	705	504	125	120	91	76	112	143	55	174	148	142	161	78	210	25	58	161	41	25	69	27	11	64	6	30	17	35	34	16	36	7	7	15	41	26	35	5	16	2	8	1	4	22	1	5	6	4	2	4	22	1	1	4	0	1	1	1	1	9	0	3	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	28029	11649	10063	5270	7446	2980	2407	3116	2757	1430	1175	942	948	1554	739	887	664	448	410	348	333	282	308	237	268	212	205	200	174	214	104	98	194	98	83	100	59	59	88	50	48	41	47	52	36	37	29	32	22	38	26	34	17	28	8	15	17	10	23	10	7	6	6	3	7	19	3	4	4	3	3	7	1	1	9	2	7	1	5	1	2	2	2	1	0	1	1	2	0	1	1	0	1	0	1	1	2	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0
0.03	north18_active	80	13498	3303	6586	1878	5986	944	703	2161	2108	605	235	228	472	1305	349	627	458	120	126	72	75	100	144	61	168	132	127	152	79	168	24	50	170	42	26	62	25	11	66	8	25	18	36	30	13	28	8	6	14	32	18	30	5	24	4	7	2	5	19	4	5	4	3	2	1	19	1	1	3	2	2	3	1	0	9	0	3	1	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
0.03	north19_all	80	28642	11612	10280	5223	7930	3062	2409	3115	2998	1465	1138	975	979	1690	740	947	697	437	418	361	338	267	301	236	287	231	211	219	181	187	104	108	215	88	84	100	60	51	103	55	51	33	57	57	29	31	26	32	26	34	43	40	12	47	10	14	19	12	15	11	9	5	9	4	4	20	3	2	4	4	4	8	2	2	10	4	5	2	1	1	2	6	2	2	0	1	0	3	0	1	1	0	0	0	1	0	1	0	2	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0
0.03	north19_active	80	14454	3487	6901	2001	6532	1066	733	2204	2358	668	260	258	498	1449	368	694	479	135	137	87	90	115	147	56	194	159	138	169	84	146	25	58	187	37	29	72	27	10	84	8	25	14	51	37	14	21	6	5	18	29	36	36	3	44	3	3	2	7	11	4	7	5	5	4	0	20	0	1	3	2	3	3	1	0	10	0	2	2	1	0	0	5	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0
0.03	north20_all	80	29317	11751	10811	5309	8452	3173	2423	3139	3227	1517	1175	1001	1018	1848	713	955	761	427	422	353	359	302	299	231	312	269	257	248	176	191	110	112	211	88	84	125	54	56	103	52	52	38	69	62	27	37	31	26	26	26	44	54	12	63	13	11	17	15	12	18	11	6	12	8	5	12	5	2	5	3	3	9	3	4	8	6	2	6	1	1	1	9	0	2	0	1	0	2	5	3	1	0	8	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0
0.03	north20_active	80	15561	3721	7503	2131	7153	1159	763	2312	2640	724	270	270	541	1622	373	745	534	148	149	80	101	128	155	57	219	190	188	189	78	149	31	64	178	44	32	97	23	11	84	11	25	19	62	41	12	26	10	2	19	21	37	51	3	60	4	2	3	9	9	7	9	4	9	6	0	11	2	2	3	2	2	3	1	0	8	3	1	4	1	0	0	7	0	1	0	0	0	1	5	0	1	0	8	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0
0.03	south21_all	80	33323	20646	11131	8372	3878	3783	4592	3990	3161	1601	1647	1045	896	738	826	1149	626	446	477	799	367	602	226	250	230	393	185	448	147	117	123	225	230	74	77	64	50	110	60	52	128	46	43	31	81	23	21	43	20	17	14	17	19	30	14	6	39	20	6	7	7	5	10	7	5	9	2	4	4	8	1	5	4	3	4	2	1	2	3	1	1	1	1	0	2	2	3	1	0	2	1	0	7	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
0.03	south21_active	80	20880	16190	7901	6237	1356	2313	3729	3320	2566	817	1122	327	320	234	474	938	344	142	301	677	228	516	51	109	94	339	88	400	58	28	70	193	200	19	21	36	18	85	23	19	117	7	8	11	71	9	5	37	4	9	3	14	8	19	11	3	34	14	1	3	7	0	8	3	2	0	1	2	3	3	0	4	3	2	3	0	1	1	1	0	0	0	1	0	1	1	2	0	0	1	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	33730	20590	11309	8438	3862	3811	4702	4026	3109	1586	1670	1030	875	740	819	1154	602	440	486	816	329	611	224	239	222	360	190	425	152	113	134	219	242	78	73	57	62	122	63	49	105	39	41	25	86	26	22	28	24	21	13	13	19	27	15	8	34	17	8	7	10	5	14	3	6	6	3	2	2	2	2	6	4	4	5	1	1	4	2	2	1	1	1	0	1	1	3	0	0	2	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
