label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124
0.03	north11_all	80	29553	15848	10678	10704	7380	6952	3239	2226	2794	1770	1588	1146	887	1347	906	843	1042	591	474	546	378	493	500	232	316	241	182	174	151	163	117	139	110	184	77	148	93	40	40	87	86	78	64	28	34	22	20	28	16	19	25	47	15	5	12	21	10	10	12	21	18	20	13	22	10	12	4	7	2	8	0	1	2	1	3	1	10	2	2	9	1	3	4	1	1	1	1	0	6	0	2	2	1	0	1	0	0	2	1	0	5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north11_active	80	15757	9974	7217	8827	5954	6031	2051	1069	2174	1150	985	583	292	1074	592	593	871	392	268	401	232	423	407	70	233	159	49	93	49	95	51	93	80	157	23	128	75	11	15	65	69	63	51	11	6	2	7	22	4	12	9	42	5	2	6	15	7	3	8	18	8	19	10	20	6	10	3	1	2	7	0	0	1	0	1	1	10	2	0	8	1	0	3	0	0	0	1	0	6	0	2	1	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north12_all	80	29680	15635	10706	10766	7351	7137	3188	2196	2806	1762	1596	1152	860	1438	912	833	1052	567	473	511	361	566	447	229	291	257	183	174	129	178	120	137	117	176	65	186	88	46	43	100	79	80	64	29	38	23	20	33	17	24	24	35	14	13	15	24	7	9	14	28	12	21	16	16	8	15	5	7	2	4	1	3	3	1	2	1	2	2	3	8	1	1	3	1	0	1	3	0	6	0	2	2	1	0	2	0	0	2	1	0	5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	15922	9837	7303	8869	5897	6194	1971	1069	2183	1140	985	599	300	1154	613	580	883	365	280	365	205	460	356	71	215	168	49	90	46	119	52	95	86	148	18	164	70	10	16	75	65	62	51	10	8	2	5	26	6	14	7	29	3	10	8	18	5	3	9	26	6	20	15	14	4	13	3	2	2	3	0	1	2	0	1	1	2	2	0	8	1	0	3	0	0	0	3	0	6	0	2	1	0	0	1	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	29800	15581	10593	10544	7417	7124	3200	2209	2765	1882	1594	1173	878	1432	915	865	1046	619	478	460	386	527	449	216	312	256	187	182	125	172	114	147	138	159	65	163	99	45	52	104	93	57	48	36	29	22	26	40	16	27	22	36	14	17	14	19	23	9	13	24	12	5	14	3	7	17	7	5	2	12	5	2	6	2	2	1	2	1	2	7	2	0	2	1	0	4	5	0	4	2	0	1	1	0	3	0	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_active	80	16119	9778	7261	8694	6000	6173	1983	1067	2134	1238	964	612	303	1160	612	600	869	415	284	321	234	413	354	62	238	166	54	90	41	116	46	100	105	134	13	147	80	12	15	81	80	44	37	14	7	2	8	25	6	15	5	30	5	12	8	16	22	3	10	23	4	4	13	2	3	14	3	2	2	10	4	1	3	0	1	1	2	1	0	7	1	0	1	0	0	2	5	0	4	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north14_all	80	29698	15499	10560	10234	7596	6906	3300	2170	2767	1889	1550	1184	866	1422	909	875	1030	616	463	477	405	512	478	206	354	254	177	178	123	161	99	162	163	153	61	181	121	51	53	105	72	55	48	31	28	26	29	38	27	21	17	24	18	21	20	27	29	7	15	17	5	13	14	7	6	16	8	4	2	12	5	2	5	3	0	1	0	0	2	1	2	0	3	1	0	4	6	1	1	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north14_active	80	15960	9778	7258	8449	6148	5978	2074	1079	2157	1219	945	612	300	1149	601	613	842	396	269	336	262	380	378	60	258	160	49	86	41	104	38	116	128	125	12	160	96	13	17	89	62	43	36	14	13	4	11	24	8	11	3	20	12	14	13	23	27	1	11	15	1	12	12	4	1	14	4	1	2	9	4	1	3	0	0	0	0	0	0	1	0	0	2	0	0	3	4	1	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_all	80	29738	15539	10686	10166	7628	7044	3423	2190	2872	1927	1538	1179	853	1351	904	858	1005	667	462	499	402	508	487	192	351	266	165	186	129	153	106	163	176	136	65	147	129	59	58	102	72	64	51	33	26	27	34	31	26	18	14	23	21	28	21	15	36	5	17	4	5	13	18	7	7	3	9	3	2	12	10	1	4	5	0	2	0	2	0	1	3	0	4	1	0	5	5	1	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_active	80	15887	9876	7319	8317	6188	6088	2207	1078	2225	1263	958	594	303	1087	618	608	827	436	263	344	275	402	392	56	257	174	39	94	50	98	50	121	137	113	12	132	104	15	22	83	65	51	36	13	12	4	13	19	8	8	3	19	12	19	15	12	33	1	11	3	2	10	14	5	2	1	3	0	0	10	8	1	2	0	0	1	0	2	0	0	0	0	3	0	0	4	3	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
