label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69
0.03	south21_all	80	57186	14715	9139	10111	5765	4297	3976	2326	1073	2155	1430	1031	455	835	711	485	256	254	259	245	226	140	87	99	81	55	103	27	27	23	39	24	11	5	14	19	4	6	20	9	7	5	3	2	4	7	2	0	0	1	1	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
0.03	south21_active	80	35343	7670	4812	6230	3396	2605	2492	1366	473	1371	890	612	215	496	429	313	152	133	132	170	127	86	39	50	52	27	71	11	13	11	23	18	7	2	9	10	1	1	11	6	4	1	1	1	3	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south22_all	80	57419	14750	9148	9947	5722	4359	3927	2384	1052	2059	1401	1002	441	818	661	520	282	282	239	260	234	133	97	84	86	48	74	24	26	20	42	30	7	8	14	15	7	10	12	8	7	3	4	2	2	3	2	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
0.03	south22_active	80	35459	7643	4863	6110	3415	2609	2437	1370	462	1319	909	575	216	470	408	342	179	161	129	175	152	80	43	46	63	24	45	10	13	7	25	20	3	7	8	7	4	2	8	6	4	1	2	2	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	57839	14867	9124	10033	5736	4544	3942	2313	1053	2026	1353	1045	434	870	676	575	280	299	221	231	248	142	103	82	88	44	65	31	29	29	36	32	8	10	15	12	10	8	10	7	6	2	6	2	1	2	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	south23_active	80	36025	7692	4940	6148	3413	2724	2453	1360	473	1269	862	627	205	497	437	387	171	176	129	159	164	85	51	43	63	20	36	10	15	8	24	19	7	8	7	7	5	3	6	5	5	0	4	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	57872	14981	8979	10096	5792	4529	4046	2255	1091	1999	1391	1025	446	804	657	580	284	315	241	221	230	136	104	78	100	61	99	28	29	27	30	27	15	11	11	11	12	9	4	5	3	3	7	2	3	1	0	0	0	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
0.03	south24_active	80	36075	7715	4793	6117	3465	2695	2652	1334	496	1218	907	606	206	480	423	406	175	208	145	143	151	84	47	43	62	33	70	11	15	11	18	15	11	9	5	7	5	5	2	4	2	0	5	1	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	south25_all	80	57334	14717	9044	9939	5806	4433	4106	2218	1086	2002	1409	1061	464	725	618	583	309	338	295	207	234	115	93	84	108	67	104	33	29	30	35	24	19	17	9	11	9	5	4	2	5	4	6	1	4	0	0	0	1	3	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0
0.03	south25_active	80	35908	7593	4849	6115	3425	2669	2737	1290	487	1224	878	671	207	426	394	392	186	220	176	126	137	69	39	44	67	38	75	16	14	12	24	15	13	14	5	9	4	4	2	1	3	0	6	0	2	0	0	0	0	3	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0
