label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77
0.03	south23_active	80	7474	2377	1554	1998	593	979	765	323	442	244	207	87	139	256	34	29	73	25	37	45	21	37	25	44	26	19	34	14	10	8	9	9	6	7	3	1	5	9	2	2	2	1	2	0	0	1	2	0	3	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	south24_all	80	12294	4146	2745	3111	1056	1593	1177	564	729	402	381	191	237	390	86	79	142	66	56	96	42	81	43	70	41	42	54	34	21	11	8	9	18	7	4	4	8	12	3	3	6	8	4	1	2	3	4	0	3	2	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south24_active	80	7489	2351	1572	2013	563	980	787	318	482	223	223	82	125	248	39	30	82	34	32	50	25	51	23	45	26	18	34	17	12	4	5	6	6	5	2	0	4	9	3	1	2	1	2	0	1	1	2	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south25_all	80	12077	4156	2737	3264	1059	1528	1211	580	735	408	369	187	222	377	95	88	144	64	46	99	38	73	32	59	42	49	49	33	18	13	6	9	13	7	4	4	11	7	5	2	3	7	4	6	2	5	4	0	0	1	2	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	7377	2324	1569	2120	569	958	781	323	487	226	218	83	115	257	43	32	71	33	20	59	22	48	15	43	28	27	27	19	8	6	4	5	3	6	2	0	6	5	4	0	0	2	2	3	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	12003	4098	2745	3232	1091	1626	1201	584	665	407	336	184	201	351	91	94	149	58	58	100	38	77	31	61	46	51	46	32	20	10	6	7	13	7	5	5	11	7	5	2	2	4	3	8	3	6	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south26_active	80	7315	2311	1596	2081	611	1055	746	324	446	242	197	80	118	239	44	38	78	27	26	64	21	51	18	38	27	27	28	18	9	5	3	3	6	5	2	1	8	5	3	0	0	2	2	4	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south27_all	80	11988	4081	2723	3225	1136	1575	1225	586	618	403	351	184	197	351	95	101	138	61	61	108	35	80	33	59	47	48	36	32	15	14	8	6	10	24	4	6	10	4	6	2	4	3	4	9	2	5	1	0	4	0	0	0	0	1	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south27_active	80	7350	2279	1580	2052	635	1051	746	331	401	241	196	86	111	235	40	44	69	31	28	75	19	49	18	41	30	27	23	20	8	7	4	3	5	7	2	1	6	2	2	1	1	3	1	5	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south28_all	80	12018	4101	2797	3228	1142	1623	1148	571	590	407	334	192	202	361	98	93	115	53	63	113	29	59	34	79	47	50	30	27	16	12	8	9	13	22	6	5	6	4	6	3	4	2	3	4	2	4	1	0	5	0	0	0	0	1	0	0	2	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south28_active	80	7373	2279	1659	2038	631	1079	688	331	373	255	190	92	119	249	41	49	61	26	30	80	15	28	17	54	27	31	19	16	9	6	4	5	8	5	4	1	3	2	0	2	1	2	1	2	1	3	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
