label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	south22_active	80	28812	7703	3461	2309	449	256	671	188	595	254	119	58	153	40	69	69	87	11	15	5	27	4	8	5	5	8	7	5	2	1	1	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	south23_all	80	33854	10298	4770	3208	1384	988	998	561	768	409	261	185	210	99	104	96	96	42	28	29	36	18	13	10	7	10	7	10	6	6	2	1	2	3	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1
0.03	south23_active	80	28956	7824	3340	2335	415	259	659	208	614	273	119	53	167	42	66	66	80	14	15	14	26	4	9	5	2	8	5	7	2	2	1	0	0	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1
0.03	south24_all	80	33374	10269	4656	3145	1352	973	933	564	764	409	242	187	212	103	99	95	90	38	31	33	29	18	14	9	7	6	8	12	7	11	2	0	0	4	2	1	1	1	1	0	0	0	0	1	0	0	0	0	1
0.03	south24_active	80	28530	7856	3219	2284	400	254	597	196	601	268	101	57	166	37	61	68	75	13	15	15	20	3	10	4	2	5	6	9	2	6	1	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	south25_all	80	31695	9815	4522	3026	1307	965	868	533	668	374	235	189	202	105	103	75	98	38	29	29	20	18	11	7	9	9	4	11	4	10	3	0	0	2	3	1	1	1	1	0	1	0	0	1	0	0	0	0	0
0.03	south25_active	80	26722	7343	3018	2133	358	257	516	187	515	245	100	53	154	40	65	51	78	12	12	15	12	2	7	2	3	6	3	9	1	7	2	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	29675	9183	4371	3014	1358	980	859	539	656	361	240	191	181	118	96	74	104	26	29	26	18	19	13	8	7	7	4	17	4	10	2	2	0	2	3	2	1	1	0	0	1	0	0	1	0	0	1	0	0
0.03	south26_active	80	24544	6699	2780	2068	337	259	489	186	506	218	104	47	140	40	57	51	83	6	12	12	8	4	8	2	2	5	2	15	1	6	2	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south27_all	80	29008	9032	4295	2935	1327	941	858	514	634	367	253	200	178	113	87	61	94	31	28	25	20	24	13	13	8	6	6	16	1	4	1	3	0	2	2	2	0	0	0	0	1	0	0	0	1	0	1	0	0
0.03	south27_active	80	23884	6490	2733	1972	334	254	482	166	489	212	126	60	134	42	47	39	74	9	14	11	11	4	7	7	1	1	4	13	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	south28_all	80	30488	9535	4434	3074	1383	908	880	512	672	387	241	203	174	117	99	61	100	32	33	27	21	23	14	14	8	5	6	16	2	3	0	3	0	2	1	2	2	0	0	0	0	0	0	0	1	0	1	0	0
0.03	south28_active	80	25406	7045	2920	2140	379	250	522	171	536	220	117	68	129	40	55	40	80	10	16	10	13	5	9	9	1	1	4	12	0	2	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0
0.03	south29_all	80	32217	10246	4563	3105	1387	903	877	509	702	380	240	192	203	116	100	71	97	36	34	29	31	15	19	13	10	7	4	10	2	3	2	3	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	4
0.03	south29_active	80	27307	7843	3139	2262	424	258	545	178	569	215	115	73	143	41	57	50	79	9	13	8	24	2	14	9	4	1	3	7	0	2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4
0.03	south30_all	80	34148	10540	4720	3151	1383	930	910	526	746	366	231	195	217	113	100	85	114	40	28	30	34	13	19	12	11	4	8	12	4	3	7	1	2	1	2	1	2	0	0	0	0	0	0	4	1	0	0	0	4
0.03	south30_active	80	29301	8232	3326	2319	442	261	574	182	619	208	96	68	152	42	60	62	92	10	10	6	21	3	15	5	4	1	7	8	1	3	3	0	1	1	0	0	1	0	0	0	0	0	0	4	1	0	0	0	4
0.03	south31_all	80	33576	9848	4909	3170	1388	984	873	541	781	342	251	144	218	123	82	88	107	38	37	25	30	18	20	14	9	9	10	7	2	11	3	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	28722	7626	3454	2230	413	284	560	204	634	210	122	48	170	47	55	67	85	11	20	12	17	7	16	7	2	2	4	5	1	8	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	33205	9905	4844	3190	1367	1000	927	500	791	370	262	162	230	126	85	74	110	31	36	31	26	18	27	15	8	7	15	8	2	7	2	3	0	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	28354	7643	3364	2295	421	305	584	177	633	215	127	54	178	47	59	62	88	7	23	16	19	10	23	7	2	1	9	3	1	5	0	2	0	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	33152	9956	4878	3242	1347	998	917	527	815	367	253	174	216	119	83	77	96	39	43	30	25	17	28	10	5	7	17	6	6	8	1	3	1	0	1	3	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	28333	7620	3385	2347	393	315	573	187	665	213	113	58	157	41	50	63	73	9	24	16	19	9	23	4	1	1	12	2	4	6	0	1	0	0	1	3	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	33494	9823	4817	3301	1338	981	911	577	751	339	249	180	199	120	78	71	102	37	43	24	26	16	23	9	4	5	16	5	5	13	3	1	1	0	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	28728	7493	3332	2398	383	295	559	224	602	200	118	68	144	47	45	53	81	8	25	13	19	7	18	2	1	1	12	1	3	12	0	0	0	0	1	2	2	0	2	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	34028	10075	4764	3271	1336	965	916	599	741	348	242	162	217	120	76	90	85	36	43	27	27	20	18	6	5	3	8	6	6	11	3	1	1	2	3	2	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	29262	7714	3323	2347	375	278	576	246	599	212	118	56	158	48	35	67	68	8	22	11	20	8	13	2	1	1	6	2	3	11	0	0	0	2	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	32579	9809	4607	3211	1289	968	918	603	707	357	248	149	182	107	82	91	98	37	43	20	29	25	12	9	8	9	13	8	2	10	5	0	1	2	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	27737	7342	3122	2283	354	232	565	246	553	224	115	49	135	43	34	66	82	6	28	9	20	7	8	3	3	5	11	2	1	10	2	0	1	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	30606	9417	4467	2916	1331	1003	942	556	705	364	240	148	172	99	96	102	106	34	50	26	28	25	19	9	8	8	9	12	2	1	4	1	1	2	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	25634	6843	2900	2003	346	241	588	216	546	215	102	40	128	33	51	75	91	6	32	10	20	6	11	1	3	4	8	3	0	1	3	1	1	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	28095	8980	4336	2773	1374	1056	931	534	663	355	244	155	155	107	89	92	102	39	38	19	30	23	20	9	11	9	9	16	3	1	3	1	1	1	3	1	3	0	1	2	0	0	0	0	1	0	0	0	0
0.03	south38_active	80	22899	6351	2732	1853	340	238	570	172	492	197	96	38	106	36	47	65	84	7	23	5	19	4	12	2	3	5	6	7	0	1	3	1	1	1	3	0	1	0	1	2	0	0	0	0	1	0	0	0	0
0.03	south39_all	80	27284	8800	4228	2732	1387	1042	896	501	600	351	254	171	163	109	91	79	81	41	34	20	25	14	21	14	7	3	2	12	4	1	3	1	1	1	4	0	4	0	1	2	0	1	0	0	1	0	0	0	0
0.03	south39_active	80	22011	6179	2599	1784	329	246	525	146	440	190	100	43	113	32	49	54	65	11	14	7	17	0	13	4	1	1	0	7	1	1	2	1	1	0	3	0	1	0	1	2	0	0	0	0	1	0	0	0	0
0.03	south40_all	80	28612	9125	4343	2880	1396	1032	899	491	604	371	274	182	191	107	79	75	71	43	34	19	26	14	16	14	9	3	5	7	4	2	2	1	0	1	3	1	4	0	1	2	0	1	0	0	1	1	0	0	0
0.03	south40_active	80	23425	6577	2787	1942	356	250	562	146	453	222	120	52	131	42	43	54	53	12	15	4	20	2	11	5	4	1	2	6	2	2	1	1	0	0	2	1	2	0	1	2	0	0	0	0	1	1	0	0	0
