label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169
0.03	north6_all	80	2902	1326	816	637	483	432	367	226	200	224	820	158	475	104	155	170	186	95	69	80	60	43	57	315	46	44	55	36	31	208	20	60	28	40	91	22	20	141	19	31	104	29	16	24	17	8	129	8	12	28	23	7	12	22	5	8	15	1	2	6	20	5	8	4	5	4	10	0	1	1	3	4	6	5	3	3	0	2	2	2	2	0	0	3	2	1	5	1	3	4	0	1	0	2	6	1	1	0	1	1	8	0	0	5	1	0	0	0	0	1	0	5	3	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1249	460	210	247	172	197	181	79	52	60	762	37	425	36	102	127	150	51	22	41	31	13	13	298	19	18	31	13	21	198	6	50	18	32	87	3	12	135	9	23	104	21	10	16	9	5	126	3	9	25	22	4	11	18	4	3	11	1	0	4	16	1	6	3	1	0	10	0	1	1	1	0	6	1	2	3	0	1	2	1	0	0	0	3	0	0	5	0	0	4	0	0	0	1	5	0	0	0	1	0	8	0	0	5	0	0	0	0	0	0	0	5	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2910	1297	836	669	494	411	366	242	201	215	866	165	477	99	169	166	199	102	70	71	76	52	64	362	50	40	54	31	33	289	19	68	28	39	81	26	25	154	15	33	101	25	13	20	13	9	86	6	15	34	21	8	15	21	5	10	12	2	2	3	11	5	12	4	4	9	11	2	0	3	5	3	13	2	5	3	0	2	0	2	2	0	0	5	2	1	5	1	4	12	0	1	0	2	3	2	1	0	1	2	8	0	0	6	1	0	0	0	0	1	0	5	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1280	478	209	251	180	189	185	87	50	67	808	41	429	35	105	124	171	54	20	38	43	13	17	345	16	12	29	11	19	279	5	61	18	31	76	5	14	147	7	28	98	19	8	14	7	6	84	2	13	31	17	6	14	17	3	6	8	1	0	2	9	2	11	3	1	5	11	0	0	3	1	1	13	1	4	3	0	1	0	1	0	0	0	5	0	0	5	0	1	12	0	0	0	1	2	1	0	0	1	0	8	0	0	6	0	0	0	0	0	0	0	5	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	2933	1299	839	671	476	403	341	240	206	216	926	151	503	115	165	161	240	94	66	66	81	64	74	371	55	39	58	39	39	275	17	82	24	27	84	19	24	126	12	31	79	15	15	14	11	13	87	4	22	23	26	5	11	19	5	9	23	4	1	0	8	6	15	5	4	12	17	7	1	2	5	3	13	1	8	3	1	1	1	3	1	0	0	2	1	0	5	0	2	8	0	0	0	2	2	1	0	4	1	1	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	1291	497	218	257	176	185	176	79	54	63	866	35	456	36	105	112	209	55	19	27	47	15	15	354	18	11	32	13	21	263	4	70	14	20	79	5	17	123	4	25	74	10	8	9	5	9	84	1	20	19	23	4	10	17	3	6	18	3	1	0	5	2	14	4	3	6	17	5	0	2	1	1	12	1	8	3	1	0	1	1	0	0	0	2	0	0	5	0	1	8	0	0	0	1	2	1	0	3	1	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_all	80	2886	1303	810	659	473	425	324	245	217	206	862	148	504	104	161	154	236	89	58	66	75	60	69	355	51	40	49	31	42	264	23	88	27	41	71	20	23	77	13	24	44	22	12	14	9	11	50	7	19	20	22	5	15	16	21	5	25	5	2	3	4	5	15	6	3	13	12	7	2	3	6	2	17	1	10	0	3	1	2	2	1	0	1	2	0	1	1	0	3	8	0	0	0	1	0	1	0	4	0	1	0	0	0	3	1	0	3	0	0	0	1	0	2	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_active	80	1262	479	207	239	170	204	164	81	60	54	803	35	448	31	112	112	207	54	15	28	45	17	14	342	21	11	27	11	22	254	7	73	12	31	65	4	13	73	5	21	36	14	7	10	4	8	49	1	17	17	18	4	13	14	17	3	20	2	1	1	3	2	14	5	2	9	12	5	0	2	3	1	16	0	10	0	2	1	2	0	0	0	1	2	0	0	1	0	2	8	0	0	0	0	0	1	0	3	0	0	0	0	0	3	0	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_all	80	2822	1314	825	629	456	419	312	278	219	192	880	148	561	121	172	171	200	92	67	77	64	57	60	302	49	35	45	32	48	274	24	79	44	46	79	15	19	84	14	15	64	19	11	17	9	6	36	9	17	22	19	4	22	20	21	4	24	6	2	5	10	4	14	6	3	9	13	6	3	3	5	0	9	1	14	0	5	1	3	1	1	2	1	3	3	1	1	0	1	0	0	0	1	2	1	2	0	5	0	1	0	0	0	0	1	1	3	0	0	0	1	0	0	1	0	1	0	4	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_active	80	1198	476	215	239	164	209	152	90	58	44	828	40	512	35	114	122	170	59	16	35	34	15	11	289	24	6	30	10	27	262	7	67	28	35	74	1	12	80	6	13	57	11	6	13	3	4	34	3	15	17	17	2	18	20	18	1	20	2	1	2	9	2	9	6	2	4	13	5	0	2	3	0	7	0	13	0	3	1	3	0	1	2	1	2	3	0	1	0	1	0	0	0	0	2	1	1	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_all	80	2820	1300	788	618	491	408	361	281	213	188	857	164	406	115	137	167	197	76	53	58	67	60	55	266	35	41	61	40	38	162	21	54	42	30	92	20	34	106	25	33	82	17	8	23	14	15	44	13	15	23	14	9	11	19	6	11	13	10	3	2	13	7	7	15	4	3	41	7	4	5	0	2	7	4	2	4	3	1	1	4	2	2	3	4	2	2	12	1	2	3	0	1	0	3	0	2	1	4	0	0	0	1	3	2	1	0	1	1	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	1210	474	202	176	177	180	188	79	61	47	784	46	342	32	88	133	174	39	8	25	26	18	23	250	10	15	33	11	17	154	2	46	25	20	85	2	28	101	14	25	78	8	4	18	7	8	42	3	6	19	12	5	11	17	4	8	8	7	2	0	11	1	5	14	1	1	41	2	1	3	0	0	7	2	2	2	0	0	1	2	2	2	0	3	1	0	11	0	1	3	0	1	0	3	0	0	0	1	0	0	0	1	3	2	1	0	1	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	2791	1222	806	636	456	423	360	263	206	178	625	154	351	123	135	165	215	79	54	57	61	61	54	236	37	39	63	32	34	132	24	44	37	23	66	20	38	67	21	43	89	12	9	20	13	15	29	7	14	26	14	5	12	16	7	9	16	8	4	2	12	4	10	14	5	2	24	5	4	5	0	1	3	4	0	7	2	1	2	6	2	2	2	1	2	1	8	1	1	2	1	1	0	3	0	0	2	4	0	0	0	1	3	3	1	0	0	1	0	0	1	0	14	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	1106	396	203	176	149	182	181	75	51	50	562	43	299	29	81	119	182	35	5	24	24	17	17	219	12	12	36	9	17	127	4	39	19	16	60	2	29	62	6	35	84	4	3	14	5	8	25	1	4	22	12	4	12	15	5	5	11	5	2	0	10	0	9	12	1	2	24	1	1	3	0	0	3	2	0	4	0	0	1	3	1	2	0	0	0	0	8	0	0	2	0	1	0	3	0	0	0	1	0	0	0	1	3	2	1	0	0	0	0	0	1	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	2735	1232	800	621	445	388	331	247	207	158	557	147	328	119	127	162	199	83	58	58	57	55	54	200	36	47	49	23	24	106	19	45	34	17	40	26	35	40	24	47	68	12	14	17	11	15	20	7	6	21	20	8	10	8	8	8	13	6	10	3	12	3	16	10	4	3	10	4	2	5	0	2	4	1	2	4	2	1	2	4	2	0	2	2	4	1	3	1	1	2	2	1	0	1	0	1	2	4	0	1	1	1	2	1	0	0	0	1	0	0	1	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north13_active	80	986	379	185	170	142	152	152	71	53	48	498	38	271	27	78	112	163	36	8	24	20	18	11	182	9	12	22	7	12	102	6	40	17	11	33	5	24	38	6	41	63	3	4	11	4	9	16	3	3	19	17	5	10	6	5	6	9	3	7	1	10	0	14	8	1	3	10	1	0	3	0	0	4	1	2	2	1	0	0	2	1	0	0	1	2	0	3	0	0	2	1	1	0	0	0	0	1	1	0	0	1	1	2	0	0	0	0	1	0	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north14_all	80	2717	1224	829	637	445	380	293	238	235	164	406	163	305	115	127	138	177	88	60	57	58	53	54	149	40	48	42	27	30	94	17	55	34	13	22	28	32	38	18	45	58	14	16	21	16	13	20	6	7	20	12	4	14	6	8	10	8	6	9	2	8	1	12	10	5	6	5	0	1	5	1	2	3	0	2	4	3	0	2	2	1	0	2	1	3	0	4	1	0	3	2	1	0	1	0	1	2	1	0	1	1	1	0	3	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
0.03	north14_active	80	937	355	174	190	134	152	123	70	52	47	354	44	251	23	76	91	133	32	8	24	23	11	15	132	17	10	19	10	14	89	5	47	14	9	15	8	15	33	4	40	52	3	2	12	5	11	15	3	4	19	10	1	13	2	5	6	6	1	6	1	7	0	10	8	1	6	5	0	0	3	0	0	3	0	2	2	2	0	0	1	0	0	0	1	2	0	4	0	0	3	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
0.03	north15_all	80	2768	1246	817	644	454	390	280	221	228	170	395	162	295	124	115	130	169	91	56	62	58	55	58	139	43	46	35	29	29	126	17	55	33	17	21	26	25	39	14	36	50	12	16	19	17	15	30	8	7	13	24	8	17	9	7	8	7	4	10	2	7	3	8	10	4	5	9	0	1	5	1	1	3	0	4	4	3	1	2	1	1	0	1	2	2	0	3	2	1	3	1	0	1	4	0	1	1	1	0	1	1	0	0	4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0
0.03	north15_active	80	972	379	180	191	134	148	114	58	47	41	339	40	238	29	66	88	130	32	11	25	26	11	14	121	19	10	13	13	15	119	4	43	14	12	15	8	9	34	4	31	42	3	2	11	7	11	26	2	4	12	22	3	16	5	3	6	6	1	7	2	6	0	7	9	2	5	8	0	0	3	0	0	3	0	4	2	2	0	0	0	1	0	0	2	2	0	3	0	0	3	1	0	1	3	0	0	1	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0
0.03	north16_all	80	2736	1254	816	628	463	371	279	221	232	181	407	154	273	128	123	141	142	96	62	66	53	54	61	141	43	45	42	38	27	135	17	61	30	17	28	22	21	32	14	26	52	11	19	20	20	14	35	6	10	17	21	6	18	8	8	8	8	3	8	4	11	4	4	9	5	5	6	0	0	8	2	1	0	0	3	1	2	4	1	0	1	3	1	2	2	1	1	1	1	4	0	0	2	4	0	0	0	1	0	0	6	0	0	4	1	1	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
0.03	north16_active	80	967	364	163	186	128	132	118	50	39	43	360	32	221	30	62	96	100	29	13	26	22	12	14	120	23	8	20	17	15	126	2	47	15	10	22	7	8	26	4	21	44	3	3	11	6	8	30	0	7	14	20	3	14	5	4	5	5	1	7	3	10	0	3	8	2	5	5	0	0	4	1	0	0	0	3	0	1	0	1	0	1	0	0	2	1	0	1	0	0	4	0	0	1	3	0	0	0	0	0	0	6	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
0.03	north17_all	80	2747	1348	814	649	484	379	294	239	201	181	430	141	268	134	126	135	151	103	64	63	52	60	52	132	35	43	43	29	29	139	20	51	22	21	36	19	18	37	18	29	54	12	16	17	15	13	37	8	10	12	20	6	19	7	6	8	8	4	4	5	10	4	7	5	4	3	8	0	3	9	1	1	3	0	4	1	3	5	1	0	3	3	1	2	2	1	6	1	1	1	1	1	2	3	0	0	1	1	0	0	6	1	0	2	0	1	1	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_active	80	954	395	181	179	133	136	127	63	33	42	385	28	210	28	63	86	113	34	17	21	16	15	11	108	12	7	24	13	14	130	1	40	11	13	29	4	11	34	8	22	44	6	4	8	5	8	30	0	8	10	18	3	12	6	3	6	6	3	3	3	8	0	1	3	2	3	7	0	0	6	1	1	3	0	4	0	0	0	1	0	1	0	0	2	1	0	5	0	0	1	0	0	1	3	0	0	1	0	0	0	6	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
