label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106
0.03	north16_all	80	8866	4201	2755	3654	2302	1010	1001	689	563	557	390	542	272	255	231	191	157	170	132	113	101	206	75	98	88	58	57	81	36	40	44	41	48	97	16	21	20	15	16	20	7	15	8	5	10	11	8	9	6	9	5	8	5	16	3	3	2	9	1	3	8	1	2	0	4	2	1	4	2	0	0	5	1	0	1	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
0.03	north16_active	80	3430	1716	1334	2990	1748	291	587	262	191	311	130	402	65	75	131	81	31	91	31	45	44	174	31	59	58	37	29	50	11	26	33	31	29	91	13	3	12	9	5	17	2	9	3	1	4	6	2	6	3	9	3	2	2	14	1	2	1	9	0	1	6	0	2	0	3	2	0	3	1	0	0	5	0	0	1	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north17_all	80	8944	4200	2696	3749	2334	1009	981	668	576	540	380	518	287	254	228	197	151	160	129	107	100	192	63	92	88	50	66	84	39	39	47	55	52	91	21	21	22	12	16	18	9	17	7	6	12	11	6	11	4	8	5	8	7	17	1	3	9	7	1	2	6	1	1	0	4	3	2	1	3	0	0	0	1	0	1	0	1	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north17_active	80	3521	1769	1315	3083	1795	297	585	271	210	305	115	398	71	95	127	93	37	92	27	38	50	165	22	56	55	28	30	52	13	27	34	46	32	85	15	4	10	5	5	15	4	13	2	1	5	7	2	9	2	8	2	3	3	14	1	1	3	7	0	1	6	0	1	0	3	3	0	0	3	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north18_all	80	8820	4246	2683	3638	2299	1021	910	690	557	561	384	516	263	240	223	194	150	161	127	107	98	186	67	91	95	55	66	77	34	41	60	59	52	66	21	23	24	13	19	23	13	16	11	12	9	7	6	13	5	4	5	4	10	14	0	3	11	7	0	1	4	0	4	0	1	5	2	1	2	0	0	1	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	3424	1812	1338	2958	1756	289	536	291	211	327	126	404	66	91	135	99	36	87	25	36	51	160	25	53	55	33	33	50	11	31	42	48	32	59	13	6	11	8	6	20	6	12	2	3	4	6	2	10	3	3	2	1	5	11	0	1	5	6	0	1	4	0	2	0	0	5	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	8748	4136	2678	3569	2239	1007	968	675	558	558	389	579	274	219	204	190	134	153	123	100	96	172	70	91	97	58	68	63	33	38	52	61	44	92	20	22	20	14	18	23	18	16	14	12	8	7	6	15	5	6	4	4	10	20	0	3	14	10	1	0	0	0	5	0	1	4	2	1	2	0	0	5	2	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	3408	1769	1334	2891	1710	282	569	274	238	339	135	465	80	90	119	91	34	86	24	33	46	147	24	55	54	33	38	40	8	26	36	50	25	80	9	6	9	9	6	19	9	13	4	3	3	6	3	12	2	3	1	3	6	18	0	1	8	7	0	0	0	0	2	0	1	4	0	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	8683	4102	2718	3437	2183	1029	968	688	561	572	404	606	283	229	221	185	138	156	127	105	105	187	81	89	90	62	63	61	36	39	42	63	45	98	24	22	16	16	20	22	22	17	16	11	9	10	4	9	6	5	4	6	7	18	1	1	10	6	3	0	0	1	4	0	2	5	1	2	0	4	0	5	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	3383	1782	1387	2778	1656	291	559	275	239	341	149	498	83	89	137	92	43	91	19	37	39	163	29	54	48	37	33	39	12	28	28	54	28	87	13	7	9	8	8	17	9	12	7	3	2	9	2	8	2	2	0	4	3	18	0	0	5	1	0	0	0	0	1	0	1	5	0	2	0	4	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
