label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103
0.03	north11_all	80	10487	2700	2762	1490	968	1267	669	633	1004	309	235	253	173	251	126	126	183	122	128	89	204	147	107	77	38	53	32	26	101	58	11	34	27	23	21	38	16	13	13	23	9	13	11	7	2	9	6	5	2	6	6	3	2	3	3	6	1	8	2	5	0	2	3	0	2	0	1	1	3	3	1	3	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
0.03	north11_active	80	6642	1343	1644	812	511	782	372	379	624	151	126	126	69	161	51	58	122	62	84	53	129	100	67	48	16	29	19	15	72	36	7	21	16	15	10	27	10	10	6	17	4	10	5	0	0	6	3	3	1	3	1	0	2	2	2	4	0	7	1	4	0	0	0	0	2	0	0	0	2	3	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north12_all	80	10519	2808	2639	1509	990	1254	692	631	1014	337	245	244	159	234	126	148	192	118	120	93	204	127	100	84	42	46	30	28	90	45	13	34	32	25	20	36	16	14	9	16	6	12	10	7	1	9	5	3	5	8	3	4	3	3	1	6	1	5	4	4	0	0	3	0	1	1	2	1	5	2	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
0.03	north12_active	80	6575	1378	1565	821	514	750	374	378	626	172	118	122	61	148	58	62	128	62	75	53	140	82	70	48	19	26	17	15	62	28	8	16	16	18	9	23	10	6	4	11	2	6	5	0	1	6	3	2	3	5	2	2	0	2	1	4	0	5	3	3	0	0	0	0	1	0	1	0	2	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north13_all	80	10593	2854	2565	1502	954	1288	679	612	935	326	236	242	169	201	136	137	187	121	122	103	188	140	92	85	37	43	33	27	73	32	15	33	32	22	16	32	16	13	16	19	6	14	9	6	5	8	5	5	4	9	5	7	3	2	0	3	1	5	5	1	1	0	3	0	0	2	2	0	4	1	0	0	0	1	4	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	6581	1419	1532	800	488	800	375	344	586	159	108	123	65	131	68	56	120	66	72	55	140	88	64	54	19	24	18	13	47	19	8	14	15	14	8	25	9	5	6	15	0	7	4	0	3	6	3	2	3	6	3	5	0	2	0	1	0	5	4	1	0	0	0	0	0	1	1	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	10386	2844	2490	1447	967	1312	677	599	884	339	238	234	174	210	126	139	179	116	115	96	164	145	92	85	34	42	37	37	77	31	16	40	25	21	16	33	11	15	15	17	8	16	10	6	9	5	3	6	4	7	5	9	3	1	0	7	0	6	5	2	1	0	2	0	0	2	1	5	3	1	0	0	0	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	6389	1398	1500	751	496	829	382	330	582	165	107	124	74	132	60	63	114	65	66	53	114	83	66	56	16	18	16	23	48	18	7	17	13	13	8	23	6	6	7	14	3	7	4	0	7	5	2	3	2	7	3	5	0	1	0	5	0	5	5	2	0	0	0	0	0	1	1	1	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	10173	2788	2522	1474	993	1290	684	601	945	324	249	235	174	224	103	125	184	108	101	101	145	149	90	75	35	50	39	32	73	40	15	32	18	17	14	43	10	8	18	16	8	10	7	7	8	1	4	5	5	5	5	7	6	1	0	7	1	3	5	5	1	0	0	0	1	1	1	10	3	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	6301	1379	1472	759	503	832	375	321	616	164	115	127	75	133	42	60	114	60	58	54	86	95	60	50	13	21	19	23	46	22	7	15	10	8	5	21	5	4	10	12	3	5	3	3	6	1	3	3	2	5	3	4	1	1	0	5	0	1	4	4	0	0	0	0	0	1	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
