label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	north6_all	80	3428	2326	997	1304	628	299	441	201	186	117	107	76	100	49	37	41	29	127	39	13	25	36	12	8	10	37	2	3	2	8	4	0	2	4	1	0	0	1	2	0	6	0	0	0	2	0	2	0	0	1	0	2	2	0	0	1	0	0	0	0	1	0
0.03	north6_active	80	1034	1605	500	1040	443	106	343	89	114	52	38	29	87	10	13	16	9	121	25	5	19	33	0	0	4	35	2	2	1	2	1	0	0	0	0	0	0	1	2	0	5	0	0	0	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0
0.03	north7_all	80	3438	2282	981	1305	630	293	448	192	197	120	100	80	95	42	42	37	25	97	42	12	22	44	13	8	8	29	2	1	3	6	4	1	3	3	1	4	0	0	2	1	1	1	0	0	2	0	2	0	0	1	0	0	2	0	1	1	1	0	0	0	1	0
0.03	north7_active	80	1030	1586	484	1037	440	108	352	86	126	52	42	26	75	8	15	14	7	91	31	5	17	42	1	1	4	27	2	1	1	2	1	0	0	0	0	4	0	0	2	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
0.03	north8_all	80	3434	2265	981	1342	628	298	447	196	179	128	96	79	88	46	40	38	31	104	32	11	20	44	12	8	3	50	4	3	5	2	2	2	3	3	0	5	0	0	2	1	1	4	0	0	1	0	1	0	1	0	0	0	2	0	1	0	1	0	5	0	1	0
0.03	north8_active	80	1019	1597	476	1075	434	106	360	82	112	59	34	24	66	12	17	15	11	99	26	4	16	41	2	1	1	47	2	2	2	0	0	1	0	0	0	5	0	0	2	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0
0.03	north9_all	80	3450	2256	1010	1375	588	303	425	182	183	131	88	72	84	38	46	35	35	109	28	18	23	50	10	9	4	38	7	4	5	1	0	4	4	1	0	5	0	0	0	1	7	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	5	0	0	1
0.03	north9_active	80	1076	1539	484	1102	395	107	328	74	113	62	30	22	59	7	17	19	12	105	22	3	14	47	2	4	1	36	5	2	2	1	0	3	1	1	0	5	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
0.03	north10_all	80	3469	2286	994	1366	628	322	473	177	170	128	83	74	99	42	45	39	36	132	35	16	22	42	8	8	5	35	8	6	6	2	1	5	3	1	0	5	1	0	2	0	12	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	5	0	0	1
0.03	north10_active	80	1098	1551	483	1104	422	117	365	75	89	58	21	25	72	10	14	20	13	128	18	1	13	38	3	4	1	34	6	3	3	1	0	3	1	1	0	5	0	0	1	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
0.03	north11_all	80	3493	2175	973	1394	615	297	478	193	165	128	78	77	93	30	45	28	30	119	28	13	6	18	7	5	6	38	7	3	11	3	2	6	0	7	0	2	1	0	3	2	6	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	1016	1458	495	1131	427	96	377	84	103	50	28	26	70	10	18	2	13	110	21	3	4	15	2	1	3	37	4	1	0	1	2	3	0	5	0	2	0	0	3	2	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	3394	2246	946	1363	617	336	461	189	171	129	87	78	106	30	38	28	27	103	27	12	18	30	7	2	6	57	10	3	10	2	3	7	0	7	2	5	3	0	3	2	6	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	989	1504	484	1103	427	115	368	81	110	48	35	36	84	10	13	5	9	96	20	2	13	25	1	0	2	55	8	1	0	2	3	3	0	4	0	5	2	0	3	2	6	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	3347	2222	958	1342	596	342	453	180	171	123	96	77	110	33	47	33	27	98	25	11	25	35	9	3	7	43	12	2	9	5	2	8	0	4	4	3	2	0	1	3	6	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_active	80	964	1490	490	1105	404	117	360	78	113	48	38	33	86	5	17	12	6	90	14	2	16	28	0	0	2	42	9	1	1	2	1	4	0	2	0	3	2	0	1	2	6	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north14_all	80	3363	2286	938	1317	598	331	442	193	176	121	95	78	101	42	40	30	32	87	28	12	26	29	11	3	7	28	10	0	9	8	3	5	0	4	4	3	2	0	0	3	6	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north14_active	80	1026	1569	479	1086	416	107	346	80	109	57	34	31	74	10	16	13	11	77	18	3	17	23	0	0	2	27	6	0	1	1	1	2	0	2	0	3	2	0	0	2	6	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north15_all	80	3355	2318	961	1357	642	320	437	205	178	116	89	76	101	43	41	24	38	91	26	12	24	45	14	4	7	19	8	2	6	8	2	5	0	1	3	3	2	0	0	6	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north15_active	80	1059	1628	482	1115	452	103	352	87	105	58	31	27	61	9	17	12	13	80	16	4	16	38	1	0	3	18	4	1	1	0	0	3	0	0	0	3	2	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north16_all	80	3423	2274	983	1361	671	320	458	203	191	117	72	74	108	50	42	25	39	139	19	19	20	42	15	8	5	22	6	3	1	6	3	4	1	3	3	0	0	0	0	5	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north16_active	80	1131	1611	495	1116	481	108	378	79	114	53	22	26	64	10	19	10	14	130	12	7	14	36	1	2	3	21	2	2	0	1	2	2	1	2	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north17_all	80	3390	2341	1006	1349	641	329	489	186	185	113	79	78	97	45	44	36	32	124	20	17	17	38	13	8	7	40	5	3	1	4	2	4	1	5	1	0	1	1	5	5	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	1085	1670	490	1092	460	113	398	67	105	42	24	30	60	9	17	18	12	117	10	6	13	32	3	2	5	37	4	2	0	1	2	1	1	3	0	0	1	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	3462	2286	1010	1338	626	346	515	178	156	126	89	78	105	49	43	40	38	132	18	15	10	33	11	12	4	44	8	1	0	3	3	3	1	6	1	0	1	2	5	6	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	1078	1617	482	1080	444	124	407	73	89	51	21	31	76	12	18	23	16	125	9	5	6	28	3	3	4	41	5	1	0	3	3	1	1	4	0	0	1	1	4	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
