label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98
0.03	south28_active	80	2427	6323	519	937	563	379	937	112	103	482	48	148	359	56	20	25	136	26	45	30	24	18	149	26	7	99	8	6	38	7	29	11	5	11	5	3	7	2	4	9	4	5	0	1	0	5	0	4	6	5	1	1	1	8	6	0	0	0	1	2	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	south29_all	80	5723	6549	1610	1465	951	689	1063	376	323	514	215	229	421	163	103	93	169	79	64	68	47	41	152	35	34	87	19	21	30	19	37	22	11	19	8	6	5	4	5	13	7	4	4	5	3	6	1	4	10	6	1	3	0	7	2	1	1	1	2	3	4	0	0	2	0	1	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south29_active	80	2215	5482	482	867	544	366	857	102	100	404	49	134	351	65	30	20	125	35	34	30	18	13	131	19	6	82	4	5	22	7	32	12	5	11	3	3	3	2	2	9	5	3	1	1	0	4	0	4	9	4	1	1	0	6	2	0	0	0	1	2	4	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south30_all	80	5657	5748	1580	1424	980	654	1037	375	322	496	217	217	367	169	98	82	158	88	68	69	42	47	106	39	30	80	24	24	40	27	33	23	14	17	10	8	9	10	5	12	6	3	2	5	4	4	1	4	10	4	1	2	1	9	2	0	1	1	2	1	4	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south30_active	80	2060	4647	425	808	534	331	800	94	108	357	48	121	300	68	26	14	110	45	28	31	15	15	84	21	3	71	4	6	32	11	28	14	7	12	4	3	6	5	1	9	4	2	1	1	1	2	0	4	9	3	1	0	1	8	2	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south31_all	80	5780	7806	1532	1385	993	722	1165	424	361	583	227	274	483	148	128	106	182	79	89	57	61	59	149	32	25	83	25	27	66	17	26	17	13	11	8	8	20	6	14	15	4	6	3	3	5	3	4	4	5	8	4	1	5	0	6	2	4	1	0	0	7	2	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	2416	6858	474	862	570	375	966	121	146	462	41	172	424	54	33	24	135	38	48	31	17	22	135	17	7	78	4	5	56	8	17	9	6	7	1	3	14	3	5	14	2	5	3	1	1	2	2	3	4	5	4	0	3	0	5	0	3	0	0	0	7	2	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	5748	7838	1538	1464	1050	708	1176	433	350	591	246	296	510	161	130	101	207	65	101	59	60	63	128	40	29	104	26	23	40	24	38	22	15	11	9	10	14	8	9	12	5	6	4	6	5	7	5	7	5	8	4	0	4	6	4	0	4	1	1	1	7	2	0	5	1	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	2360	6917	492	908	630	372	987	134	137	478	39	191	450	69	32	24	152	33	59	28	16	21	118	23	12	98	3	4	32	12	31	13	7	6	1	6	11	5	3	12	3	6	3	2	0	4	1	6	4	7	3	0	3	6	3	0	3	0	0	1	7	2	0	5	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	5728	7801	1543	1484	1114	720	1089	412	340	611	228	290	481	157	133	100	175	68	91	70	67	59	106	42	22	147	27	26	30	29	49	24	15	11	8	10	8	9	6	12	9	6	4	5	7	6	4	7	5	13	6	1	2	8	3	0	3	2	1	1	9	2	1	5	1	0	2	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	2336	6909	493	925	668	391	921	139	123	500	43	178	423	64	32	20	129	35	54	35	19	19	97	22	9	141	5	4	28	13	41	17	5	7	0	6	5	6	3	11	6	6	3	2	0	4	1	6	3	12	5	0	1	8	3	0	1	0	0	1	9	2	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	5803	7706	1539	1462	1100	730	1085	430	325	558	227	289	504	154	122	93	184	76	93	67	59	61	113	41	24	162	29	27	37	33	50	28	13	14	13	11	11	12	6	16	9	4	2	5	5	20	4	6	4	12	6	2	5	19	4	1	1	2	1	2	4	1	1	7	1	1	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	2361	6785	486	917	660	405	915	139	120	463	40	186	456	65	26	20	145	42	54	32	20	22	104	23	10	153	5	4	34	17	42	16	3	10	4	6	8	8	2	14	7	4	1	2	0	18	1	6	2	11	5	0	4	19	4	0	0	0	0	2	4	0	0	6	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	5875	7697	1560	1443	1063	728	1050	421	337	578	234	274	514	137	112	90	157	84	71	57	63	62	128	49	21	143	34	26	51	32	39	23	14	24	15	11	13	9	5	15	10	5	0	3	5	19	6	3	4	14	7	3	9	19	4	1	2	2	0	3	4	2	2	4	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	2428	6767	487	904	616	385	868	130	126	477	49	166	467	57	27	22	132	38	42	25	23	22	116	25	8	133	6	4	45	15	30	13	6	20	4	4	12	5	2	12	9	4	0	1	0	16	3	3	3	13	6	0	8	19	4	0	1	0	0	3	4	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
