label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51
0.03	north6_all	80	68977	29434	8446	5077	6517	5045	1802	1230	1481	643	452	346	350	165	191	114	115	99	50	79	27	18	23	26	24	9	10	4	5	3	2	0	2	1	2	1	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	42900	18334	4154	2455	4105	3181	875	608	895	322	210	176	192	75	107	59	76	56	21	45	14	7	10	11	14	2	2	4	1	2	0	0	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north7_all	80	69027	29612	8376	5182	6466	5035	1772	1230	1521	648	447	353	366	189	166	121	114	104	59	81	25	25	23	22	23	7	11	5	7	3	0	0	3	0	3	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north7_active	80	42910	18563	4163	2453	4004	3139	859	609	973	299	206	189	215	89	89	62	67	53	26	48	10	11	13	11	14	2	4	5	2	1	0	0	1	0	3	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north8_all	80	69164	29517	8282	5155	6464	5137	1752	1253	1494	650	438	365	399	192	154	113	115	105	60	95	29	26	27	19	19	7	12	7	5	2	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north8_active	80	42762	18421	4080	2495	3977	3281	875	628	957	301	203	171	241	90	90	61	63	46	26	71	11	11	11	11	14	0	6	5	2	1	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north9_all	80	68813	29765	8391	5137	6467	4886	1777	1251	1504	637	416	365	402	185	146	127	121	105	66	110	31	26	28	21	17	11	10	4	2	1	1	2	2	0	1	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north9_active	80	42676	18542	4112	2491	3995	3123	879	611	959	299	185	172	264	89	87	74	66	46	30	81	12	10	13	15	10	4	5	2	1	0	0	1	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	68604	29460	8505	5175	6431	4873	1771	1206	1448	606	414	373	383	182	147	124	126	96	52	118	28	24	25	21	15	10	8	4	3	3	2	2	5	0	1	1	4	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0
0.03	north10_active	80	42434	18262	4120	2508	3994	3107	895	607	933	290	187	175	247	77	79	72	65	43	26	86	14	10	10	15	8	4	4	2	2	0	0	1	3	0	0	1	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	68606	29082	8477	5200	6460	5230	1808	1235	1456	609	426	337	353	221	169	108	123	120	42	80	26	22	31	13	13	10	6	5	0	3	2	3	3	9	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	42460	17900	4182	2536	4033	3317	939	596	899	292	196	165	197	119	95	63	70	77	22	48	14	11	18	3	4	5	2	2	0	2	1	2	2	9	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
