label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41
0.03	north13_all	80	4676	1593	882	1256	401	634	166	136	100	129	76	61	38	52	22	15	19	8	14	7	36	6	9	2	8	11	2	3	10	2	1	1	1	0	0	1	0	0	5	0	0	0
0.03	north13_active	80	2682	536	224	1035	180	509	35	26	29	98	49	40	10	41	7	3	10	6	4	0	34	5	2	2	6	10	0	3	10	0	1	0	0	0	0	1	0	0	5	0	0	0
0.03	north14_all	80	4633	1644	901	1159	386	557	188	125	96	146	76	64	41	55	26	18	18	8	12	8	19	6	9	2	5	10	1	3	9	1	1	1	0	0	0	1	0	0	0	0	0	0
0.03	north14_active	80	2642	557	229	932	156	438	38	28	24	111	50	40	9	43	9	4	13	4	4	1	18	4	3	1	4	9	0	3	9	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north15_all	80	4500	1663	927	1111	382	506	187	138	92	124	74	62	35	43	27	15	12	6	8	9	18	5	7	3	15	12	0	3	5	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	2462	534	220	862	142	385	45	39	28	93	40	34	6	34	8	2	6	3	5	2	17	3	3	1	14	11	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	4548	1678	918	960	389	448	199	131	84	133	70	59	36	38	26	18	10	8	5	9	16	5	4	3	18	13	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	2407	511	194	696	136	336	42	37	18	96	34	29	8	28	8	3	4	5	4	3	15	2	2	1	17	11	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	4334	1636	932	945	399	429	200	134	101	118	63	58	33	41	19	16	12	6	7	7	15	7	3	2	17	5	1	2	1	1	6	0	0	0	0	1	0	0	0	0	0	0
0.03	north17_active	80	2219	470	185	674	126	308	47	42	26	84	23	27	9	33	6	2	5	5	4	3	13	3	2	0	17	3	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	4320	1641	872	950	379	440	203	130	115	126	63	50	42	48	17	12	12	10	9	7	8	10	3	1	17	3	1	2	0	1	6	0	0	1	0	1	0	0	0	0	0	0
0.03	north18_active	80	2208	449	179	680	122	315	48	35	25	93	30	26	12	39	6	1	4	4	3	3	7	3	1	0	17	2	1	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0
0.03	north19_all	80	4273	1685	856	930	349	416	211	142	115	123	52	49	38	44	17	13	14	12	10	8	5	9	4	1	10	2	0	1	0	1	6	0	0	1	0	1	0	0	0	0	0	0
0.03	north19_active	80	2145	454	186	672	114	285	45	36	22	90	25	22	10	31	5	1	7	6	3	4	4	3	1	0	10	2	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0
0.03	north20_all	80	4332	1639	880	922	364	436	187	147	106	103	50	43	42	44	21	17	12	20	9	8	7	7	2	2	5	9	0	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north20_active	80	2149	432	179	662	125	304	44	39	14	74	25	21	9	32	7	2	7	10	1	3	4	2	0	0	5	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south21_all	80	4857	1667	849	1306	375	563	217	119	109	146	110	60	31	46	15	9	17	16	13	11	21	3	5	3	18	3	1	6	0	3	0	0	3	0	0	0	0	0	1	0	0	0
0.03	south21_active	80	2774	553	234	1078	145	463	43	16	20	120	78	40	11	38	6	6	9	9	3	2	20	1	2	0	17	3	1	5	0	2	0	0	1	0	0	0	0	0	1	0	0	0
0.03	south22_all	80	4824	1650	818	1322	365	533	211	116	103	139	93	50	27	39	19	4	20	15	13	10	27	6	3	3	31	3	0	5	0	2	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	2735	540	215	1079	140	425	46	15	19	110	68	29	10	33	3	2	9	7	4	1	27	4	0	0	31	3	0	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	4858	1629	827	1362	388	567	203	125	100	150	106	44	27	39	19	6	20	17	10	7	24	6	5	3	30	3	1	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0
0.03	south23_active	80	2786	545	222	1102	168	458	49	16	16	118	78	28	5	34	4	1	12	9	4	2	23	4	0	0	30	3	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
