label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50
0.03	north18_active	80	39177	5764	4027	3618	1240	903	1973	1316	1003	473	656	298	351	181	104	130	85	37	67	52	58	17	15	9	10	17	8	5	4	2	4	6	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	63242	12527	8078	6219	2835	2015	3221	2149	1740	806	1067	531	660	325	172	230	169	74	94	84	92	28	39	18	11	33	8	8	9	5	3	8	1	1	4	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north19_active	80	38864	5787	4094	3584	1275	909	2052	1334	1037	442	698	312	436	197	91	134	105	36	60	54	57	20	17	12	7	16	3	6	5	3	3	6	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north20_all	80	63081	12516	8185	6334	2828	2006	3130	2232	1717	782	1119	466	616	325	189	244	182	65	113	68	82	31	39	24	12	34	7	8	11	8	2	10	1	2	5	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1
0.03	north20_active	80	39161	5821	4216	3640	1271	889	2003	1366	979	437	733	268	414	198	106	157	111	30	74	41	49	21	19	9	7	19	3	5	6	3	2	7	0	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south21_all	80	63281	12462	7877	6329	2762	1976	3092	2104	1646	815	997	475	560	343	195	211	178	67	102	93	55	29	55	20	34	46	7	9	6	9	3	3	4	0	1	0	9	1	0	0	1	0	0	0	0	3	0	0	0	0	0
0.03	south21_active	80	39556	5736	3919	3519	1228	913	1947	1321	1070	460	633	267	368	217	102	138	104	30	67	62	36	19	38	8	25	27	6	3	1	7	2	2	2	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	63193	12288	7948	6322	2761	1980	3153	2080	1682	744	985	463	512	328	195	217	182	65	96	102	62	30	45	19	27	46	11	9	6	12	3	5	3	0	8	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0.03	south22_active	80	39414	5628	3953	3558	1241	932	2054	1312	1074	438	603	254	313	204	101	143	115	35	59	73	49	17	30	8	19	31	10	4	3	6	2	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	63480	12423	7973	6304	2687	1972	3135	2113	1597	759	853	440	516	325	198	195	214	50	101	96	83	33	54	23	33	31	19	10	6	11	1	6	2	1	9	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	39727	5714	4014	3595	1205	921	2011	1307	1042	421	487	242	319	192	102	136	140	24	70	71	64	16	41	12	24	22	18	4	4	5	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	62768	12309	8002	6284	2692	1969	3016	2159	1576	766	917	435	512	331	202	200	193	54	90	98	84	31	38	24	25	37	16	9	5	12	2	4	1	2	8	0	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	39229	5681	4006	3552	1230	933	1925	1358	986	412	534	237	323	204	113	114	129	26	55	69	57	10	27	12	16	27	15	3	3	7	1	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	63152	12347	8019	6268	2608	1893	3043	2129	1680	776	969	440	554	335	206	192	215	45	89	91	89	31	38	21	24	36	17	8	4	9	3	3	2	3	2	0	5	1	1	1	0	0	1	1	0	0	0	0	0	0	0
0.03	south25_active	80	39567	5668	4049	3572	1188	893	1863	1334	1073	402	608	221	376	218	107	109	138	16	57	53	44	11	29	12	17	28	16	3	3	8	1	3	1	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south26_all	80	62948	12370	7923	6264	2636	1904	3030	2123	1687	787	1072	444	555	335	196	209	221	53	85	84	83	29	35	18	24	34	12	10	1	13	3	6	4	3	1	0	4	1	1	0	1	0	1	1	0	0	0	0	0	0	0
0.03	south26_active	80	39347	5657	3958	3584	1190	872	1860	1347	1091	432	662	232	384	225	95	127	135	24	55	43	38	12	26	9	15	23	10	5	1	10	1	6	3	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	south27_all	80	63218	12358	7911	6191	2676	1902	3057	2099	1676	755	1109	443	516	313	211	219	244	52	81	82	63	27	43	13	30	31	12	8	2	7	2	5	4	1	4	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0
0.03	south27_active	80	39444	5616	3937	3546	1193	839	1833	1331	1064	411	698	244	353	200	108	151	149	26	52	39	27	13	27	7	23	20	10	3	1	5	1	5	3	1	3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	south28_all	80	63614	12362	7944	6208	2699	1941	3106	2024	1591	735	1070	495	512	319	207	215	221	57	80	72	83	28	62	17	32	32	14	9	3	5	3	4	2	1	4	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	south28_active	80	39841	5653	3975	3553	1202	825	1868	1275	986	416	650	266	343	205	113	149	129	28	49	33	49	14	22	9	21	22	9	4	1	3	2	4	2	1	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	south29_all	80	63311	12461	8024	6176	2760	1945	3075	2039	1635	749	1022	499	479	309	228	210	236	60	89	72	83	31	69	22	33	33	6	7	3	7	2	2	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	39416	5688	4095	3523	1219	818	1862	1274	1009	432	640	285	322	170	136	143	142	26	53	37	64	14	23	9	22	26	3	2	1	3	1	2	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	63309	12563	8046	6112	2828	1925	3159	2052	1666	768	943	493	488	320	220	225	174	72	85	74	81	35	66	24	25	35	5	6	3	8	5	2	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south30_active	80	39455	5683	4128	3476	1253	825	1836	1244	1069	425	589	273	328	178	125	154	101	30	53	42	64	13	19	9	14	29	2	2	1	4	2	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south31_all	80	62883	12463	8005	6345	2739	1957	3056	2138	1616	754	1038	476	528	268	198	179	169	62	89	84	90	37	48	12	32	37	11	10	3	4	7	6	3	0	0	2	6	1	2	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south31_active	80	38857	5736	4081	3638	1227	901	1921	1348	979	419	671	265	364	172	104	112	104	27	60	39	62	27	22	7	13	25	5	9	1	1	4	3	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	62846	12504	7990	6253	2686	1911	3003	2218	1624	756	1067	447	563	295	203	193	167	51	84	92	79	38	43	11	32	16	9	10	8	4	4	5	3	0	0	2	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	38638	5706	4107	3562	1228	869	1860	1398	1005	394	719	251	394	175	113	121	103	24	57	50	53	23	19	9	16	8	3	8	4	1	3	3	2	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	62910	12573	8013	6219	2697	1916	3012	2183	1675	793	1061	472	543	319	230	182	174	52	88	92	67	35	49	12	16	14	4	11	10	3	5	4	2	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	38752	5828	4115	3496	1221	862	1925	1400	1082	426	681	264	376	194	130	114	104	26	59	54	46	17	17	9	9	9	1	8	3	1	3	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	62983	12527	8068	6103	2804	1916	2969	2275	1679	762	1050	459	568	371	232	200	186	52	79	70	54	33	53	16	15	13	3	9	10	4	5	5	3	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	39064	5781	4144	3410	1301	847	1875	1404	1074	406	668	258	382	231	130	132	111	25	45	43	36	16	23	12	9	8	1	6	3	2	3	4	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	62351	12505	8083	6200	2822	1998	3066	2158	1769	815	1066	486	566	389	238	211	182	58	81	63	58	34	57	16	12	19	10	6	9	3	5	5	2	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
