label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139
0.03	north6_all	80	3065	821	993	345	512	335	189	158	140	156	127	276	89	158	49	124	64	82	78	145	66	35	77	18	30	25	29	18	10	22	24	14	20	15	13	13	6	33	17	19	11	7	6	10	6	5	6	18	3	11	10	10	2	4	2	1	3	6	13	3	2	1	0	13	6	7	0	0	2	1	0	2	0	0	2	3	4	1	0	0	3	0	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1850	395	612	161	336	190	92	81	70	85	64	187	50	96	28	82	42	51	47	97	49	17	54	8	10	11	21	13	7	13	20	7	10	8	5	7	3	20	9	8	5	5	2	8	2	4	4	12	1	5	4	5	2	2	1	0	0	4	5	2	0	1	0	10	5	6	0	0	1	0	0	1	0	0	2	3	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	3105	799	964	341	494	322	197	150	120	151	121	277	79	166	51	108	55	87	67	157	79	36	73	16	27	28	30	21	15	20	21	17	19	12	8	17	8	45	13	22	8	11	9	14	5	12	4	16	4	9	7	10	2	3	6	13	5	3	12	3	2	0	0	10	3	5	0	1	3	2	0	0	0	0	2	1	1	1	1	3	2	0	0	0	0	0	4	0	0	0	1	1	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1845	367	595	161	317	183	101	67	56	84	66	178	45	97	31	68	30	50	37	111	60	18	52	6	10	14	17	12	8	14	14	7	9	4	2	10	4	32	5	9	3	7	5	11	2	5	2	12	1	5	4	5	1	2	3	12	1	1	5	2	1	0	0	7	1	4	0	0	1	0	0	0	0	0	1	1	1	0	1	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	3131	794	953	354	508	315	200	163	116	137	127	262	89	162	51	101	54	91	58	157	89	30	73	18	31	23	33	21	21	28	17	18	18	11	8	15	13	61	12	16	7	7	8	13	7	11	4	13	4	3	7	10	2	5	8	17	5	5	11	4	1	0	0	5	6	5	0	1	2	1	1	2	0	1	1	1	1	2	1	3	1	2	0	0	1	0	4	0	0	0	1	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	1862	372	606	166	317	176	101	74	48	72	68	169	54	104	32	64	25	56	30	112	63	14	50	9	13	12	14	9	12	20	10	6	7	4	6	9	10	49	4	6	3	4	5	10	2	3	2	8	3	2	5	5	1	2	4	15	1	4	4	2	1	0	0	5	2	4	0	0	0	0	1	1	0	1	0	1	1	1	1	3	0	2	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	3138	833	932	358	497	311	200	195	128	134	124	223	89	142	56	98	71	85	60	171	95	26	62	19	30	23	34	22	21	24	25	18	22	15	16	10	16	63	9	13	5	8	5	10	13	13	5	6	4	5	7	3	3	4	9	19	4	6	9	3	2	2	0	9	9	1	1	1	2	1	2	4	0	2	1	2	1	2	1	3	0	2	0	0	1	0	4	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	1901	381	593	161	300	177	102	91	60	66	65	138	49	93	35	63	36	50	35	120	66	12	38	12	13	13	17	12	8	14	12	9	11	5	12	6	12	52	6	7	1	6	3	5	9	3	3	4	2	3	5	0	1	1	5	16	1	4	3	2	1	1	0	7	4	1	1	0	0	0	1	1	0	1	0	2	1	1	1	3	0	2	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	3228	824	954	362	491	324	191	201	127	147	133	244	91	147	53	96	71	88	64	143	104	29	66	18	31	18	42	23	18	22	22	16	17	15	17	6	20	58	8	14	7	9	6	9	12	10	4	6	4	5	6	3	2	4	5	12	0	6	7	3	2	2	1	9	9	9	3	1	0	0	3	4	0	4	1	1	1	1	1	1	0	2	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	1958	383	617	164	283	181	86	98	60	69	62	149	43	100	29	58	34	59	44	103	72	19	39	11	15	10	22	14	9	12	12	7	8	9	12	4	14	43	5	10	3	4	2	4	9	4	2	3	3	1	6	0	1	1	3	9	0	4	2	2	1	1	1	7	4	1	2	0	0	0	1	1	0	3	0	1	1	1	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	2628	731	787	351	406	282	185	171	135	140	136	189	86	95	52	85	51	69	76	132	81	28	36	24	18	25	31	22	25	19	17	19	15	13	13	15	8	7	14	15	7	11	4	8	6	8	3	6	7	5	7	6	2	9	2	4	3	5	3	2	12	2	1	9	5	8	0	1	1	0	0	0	2	2	1	0	1	0	1	0	3	0	0	0	0	1	2	4	0	0	1	0	3	1	0	1	1	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_active	80	1486	339	470	161	233	158	87	85	65	73	66	121	41	60	19	51	28	38	41	95	44	13	16	8	8	11	20	16	15	12	6	14	9	6	9	7	1	6	10	6	5	7	3	6	2	6	1	3	4	4	4	2	1	8	1	2	1	1	3	0	11	1	0	8	3	5	0	1	0	0	0	0	1	2	0	0	1	0	0	0	3	0	0	0	0	0	1	4	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north12_all	80	2621	757	755	360	414	258	205	160	131	133	138	174	80	115	46	80	46	68	79	109	76	31	33	24	22	23	28	24	27	18	20	15	19	12	20	15	12	11	19	12	9	7	7	8	6	8	4	12	3	3	6	5	1	10	4	6	2	4	0	1	7	3	2	8	1	9	0	1	1	0	0	0	2	2	0	0	1	0	1	0	0	1	0	0	0	1	2	4	0	0	1	0	3	3	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	1472	342	442	171	225	145	98	83	64	74	72	101	37	75	20	47	25	39	47	78	38	14	15	10	12	10	18	14	15	9	8	10	12	6	16	5	4	8	13	6	6	4	4	5	2	5	3	5	1	2	4	1	1	8	3	3	1	1	0	0	5	2	0	7	0	7	0	1	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	2	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	2603	755	743	356	433	254	198	156	144	117	116	178	82	116	62	86	56	63	66	96	66	34	46	19	27	27	26	27	28	21	19	15	13	14	19	12	13	19	18	15	10	9	10	12	5	3	8	13	1	8	5	6	3	12	4	6	1	4	0	0	8	2	3	7	2	4	0	2	1	0	0	0	3	2	1	0	0	4	1	0	0	2	0	0	1	1	2	2	0	0	1	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	1442	339	427	177	229	143	93	85	70	63	63	99	39	71	32	44	35	35	34	74	41	17	25	8	15	15	13	14	13	9	7	9	10	8	13	6	6	8	10	7	7	4	5	7	1	1	4	6	0	4	3	3	1	6	3	3	0	1	0	0	6	2	0	5	1	3	0	1	0	0	0	0	2	2	1	0	0	3	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	2719	810	793	352	454	281	194	146	123	129	121	213	73	121	63	102	61	65	77	159	64	31	53	18	28	27	22	21	19	20	22	7	12	14	17	9	15	32	14	13	12	10	10	12	3	1	10	17	1	8	2	4	4	10	5	6	0	2	3	0	5	1	4	5	1	3	0	1	0	0	0	1	4	0	1	0	1	4	2	0	2	2	0	0	1	1	2	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	1583	375	447	162	251	157	87	79	58	70	62	141	36	78	31	61	40	32	46	111	35	15	32	7	17	13	12	11	6	9	10	3	8	8	12	2	7	15	7	7	6	4	5	7	0	0	4	7	0	3	1	3	1	4	3	3	0	1	3	0	2	1	0	3	1	3	0	0	0	0	0	1	4	0	1	0	1	3	1	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	2846	799	844	348	471	310	184	161	123	128	124	211	76	122	68	105	63	72	64	187	69	34	67	16	30	24	14	23	27	20	21	7	7	16	16	11	11	33	11	9	14	10	9	15	4	1	9	11	2	11	2	6	5	9	3	9	2	4	5	0	10	1	4	3	3	1	0	3	0	0	1	2	4	0	1	0	1	4	1	0	2	1	0	0	1	1	0	1	3	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	1687	379	476	154	255	173	89	74	57	67	60	139	35	84	30	69	39	41	37	131	47	17	42	3	17	9	7	12	16	7	12	4	3	11	11	2	6	15	6	6	10	4	4	9	1	0	2	6	1	4	1	4	1	1	1	7	1	0	3	0	8	1	0	1	3	1	0	0	0	0	0	1	4	0	1	0	1	3	1	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	3003	803	859	344	506	330	191	179	118	135	137	202	77	130	63	102	68	77	70	215	76	33	74	20	30	21	18	25	25	24	25	5	11	18	17	10	12	35	7	13	10	10	5	10	3	1	5	16	4	9	2	6	6	7	5	13	2	4	8	0	12	1	2	1	3	1	0	2	0	2	1	3	4	1	0	0	1	7	1	1	2	0	0	0	2	1	1	1	3	1	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	1806	393	490	159	294	185	95	74	52	70	72	137	29	88	23	70	43	48	50	148	51	15	45	5	18	8	8	14	14	9	16	3	5	12	11	5	7	25	6	10	6	4	3	5	1	0	0	11	2	3	1	4	2	2	2	11	1	0	5	0	10	0	1	1	3	1	0	0	0	2	0	1	3	1	0	0	1	7	1	0	2	0	0	0	2	0	1	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	3182	828	882	347	515	346	190	190	123	134	144	208	88	135	61	90	68	84	74	187	87	33	84	17	26	18	18	25	26	21	21	7	13	19	14	8	11	39	9	14	9	5	6	10	4	7	6	12	4	5	3	3	5	5	3	11	2	4	11	0	15	2	1	0	3	1	2	2	0	2	1	4	6	1	0	1	0	8	0	1	2	0	0	0	1	0	1	0	3	2	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	1945	394	530	148	303	210	94	73	52	72	77	143	36	94	22	60	43	55	53	119	62	16	55	4	16	5	9	13	16	11	12	5	7	14	9	3	6	30	7	11	5	1	5	6	1	5	1	9	2	1	1	1	1	2	1	10	1	0	8	0	14	0	1	0	3	1	0	0	0	2	0	2	4	1	0	1	0	8	0	0	2	0	0	0	1	0	1	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	3168	830	913	359	501	328	191	198	136	130	123	206	93	125	63	79	77	82	81	187	81	31	67	23	27	21	19	22	12	24	20	10	15	12	11	7	12	41	11	17	8	6	3	10	4	18	7	14	9	5	8	5	5	5	6	8	3	5	6	0	7	2	2	0	1	6	2	0	2	2	0	3	8	1	2	3	1	8	0	1	3	0	1	0	1	0	1	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north18_active	80	1942	382	571	157	305	197	98	87	52	63	76	136	40	85	27	46	39	51	56	138	52	14	41	8	16	7	10	10	8	14	9	4	11	8	4	4	7	34	9	12	4	2	3	6	2	11	3	11	6	2	5	2	2	1	3	6	0	0	5	0	7	0	2	0	1	4	0	0	2	2	0	2	6	1	2	3	1	8	0	0	3	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north19_all	80	3097	819	972	383	505	322	191	186	145	125	129	214	99	125	56	92	68	80	65	168	77	31	58	27	25	25	17	25	14	18	23	10	13	15	12	11	18	31	14	11	6	5	4	9	5	21	5	10	10	9	11	6	4	6	5	3	3	2	4	1	4	2	1	0	1	8	2	0	3	1	0	3	8	0	2	4	1	2	0	1	3	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0.03	north19_active	80	1913	366	595	164	314	192	104	89	56	63	78	142	50	85	26	60	29	47	39	120	45	16	30	11	12	8	7	12	7	13	9	4	9	6	6	2	10	25	12	7	1	1	4	7	2	14	3	9	7	8	7	4	2	1	2	2	0	1	4	0	4	0	1	0	0	4	0	0	3	0	0	2	5	0	2	4	1	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0.03	north20_all	80	3022	839	1023	387	489	275	174	186	154	129	137	219	87	124	64	86	72	88	73	178	73	32	62	29	25	27	22	20	16	21	29	13	15	17	16	15	19	27	12	12	7	5	5	14	6	17	7	19	9	8	14	6	5	9	4	6	4	3	1	1	2	1	2	3	1	8	2	0	3	2	1	1	6	0	2	7	1	0	0	0	1	2	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0.03	north20_active	80	1820	382	622	166	298	145	97	96	69	57	79	130	44	88	31	56	31	52	43	138	40	15	36	13	13	11	10	13	9	13	14	6	9	6	7	7	12	24	11	6	2	2	3	9	4	11	6	18	7	8	11	5	2	2	2	4	1	1	0	0	1	1	1	2	0	4	0	0	3	1	0	1	5	0	2	7	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0.03	south21_all	80	2930	812	917	403	471	271	208	157	112	103	126	189	92	114	73	80	70	85	89	130	77	26	43	28	20	24	37	20	22	15	17	17	20	6	24	8	10	34	12	18	9	15	6	4	1	13	7	18	6	3	7	10	3	5	7	2	0	6	2	1	3	1	2	0	0	2	1	1	3	1	1	6	6	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1
0.03	south21_active	80	1793	400	546	186	286	133	104	83	53	45	63	130	49	73	29	46	39	54	52	91	43	14	23	11	10	15	21	14	11	5	10	10	13	3	9	4	5	25	10	12	3	4	6	3	1	7	6	15	2	2	5	7	0	5	6	2	0	3	1	1	0	1	1	0	0	1	1	0	1	1	1	6	3	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0
0.03	south22_all	80	2794	803	848	370	441	313	217	149	128	121	114	179	93	109	68	81	71	96	70	118	72	33	50	28	18	25	31	21	19	17	16	12	18	9	17	9	12	31	12	11	10	14	6	3	1	10	0	18	5	2	6	9	3	4	6	4	2	10	2	2	2	1	2	0	0	2	1	1	3	2	1	7	5	1	0	0	0	2	0	0	2	1	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	1	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1
