label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146
0.03	south24_active	80	4460	589	1308	178	270	196	952	200	466	82	53	531	122	540	160	31	114	45	45	22	56	73	94	28	15	16	163	15	8	74	5	26	10	114	16	6	7	5	2	2	19	10	4	3	4	2	6	2	8	4	3	14	8	4	3	9	7	1	0	7	7	4	1	3	17	2	4	0	7	8	1	1	0	8	0	0	0	1	2	7	3	0	0	0	0	6	2	13	4	0	1	0	0	0	0	1	0	3	5	2	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	6109	1851	1787	825	651	481	1088	369	585	244	206	543	197	617	210	111	152	106	102	64	99	114	116	74	51	61	160	39	32	76	35	45	25	111	28	20	18	13	12	9	35	20	10	8	16	14	9	10	10	10	7	11	7	6	0	12	10	4	5	11	7	6	5	4	8	5	3	0	11	9	4	4	1	9	1	3	5	2	4	4	6	3	1	0	0	5	2	4	2	1	1	1	0	1	0	1	0	5	1	2	1	0	0	2	1	0	0	1	3	0	0	1	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
0.03	south25_active	80	4462	608	1300	177	279	184	924	194	456	78	60	489	123	580	148	28	104	42	54	17	64	81	91	33	18	18	140	12	7	71	6	36	9	106	19	7	5	2	2	0	24	9	3	3	5	6	7	2	8	6	4	10	5	5	0	7	7	0	0	9	4	5	2	3	7	3	3	0	10	8	1	2	0	8	0	0	0	0	2	2	6	2	0	0	0	5	2	4	1	0	1	1	0	0	0	1	0	5	0	2	0	0	0	2	1	0	0	0	3	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	south26_all	80	6114	1808	1768	823	639	494	1037	366	572	242	210	562	203	710	210	123	149	113	105	69	91	106	119	72	51	61	178	43	32	69	31	47	28	95	36	18	16	14	12	5	36	16	12	12	9	15	8	9	10	8	7	17	8	12	4	25	11	4	5	13	4	5	4	3	14	5	2	0	7	12	2	4	1	8	1	6	2	1	4	1	6	2	2	0	2	7	5	5	1	1	1	1	0	1	1	0	0	5	1	2	0	0	0	2	0	0	0	1	3	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
0.03	south26_active	80	4482	589	1304	171	266	183	881	190	448	76	64	506	119	673	150	29	96	43	51	15	61	71	92	34	16	15	157	13	8	64	7	38	11	92	24	8	5	2	3	0	25	7	3	1	4	6	4	3	8	5	5	16	7	6	3	20	6	1	0	11	2	4	2	1	13	3	2	0	7	11	0	2	0	7	0	4	0	0	2	0	6	2	1	0	2	7	5	5	1	0	1	1	0	0	0	0	0	5	0	2	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	south27_all	80	5812	1774	1700	867	636	511	953	364	530	241	220	524	222	602	205	122	130	111	106	72	87	88	108	68	47	48	158	49	30	65	31	55	34	65	31	17	22	20	16	9	39	13	14	16	7	14	8	9	13	9	6	26	9	12	7	20	9	4	6	10	2	6	5	3	16	4	2	0	10	5	3	2	1	8	1	5	2	0	2	1	6	3	2	0	2	7	5	4	2	1	1	3	0	0	2	0	0	2	0	1	0	0	0	3	0	0	0	1	3	0	1	1	1	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
0.03	south27_active	80	4092	545	1214	198	246	173	796	190	393	72	63	460	124	559	142	23	78	34	53	12	54	47	84	35	17	10	142	15	4	55	7	43	16	54	20	7	7	4	3	2	23	5	5	4	4	6	4	3	11	7	4	24	6	4	4	16	5	1	1	8	0	4	3	2	14	2	1	0	10	5	1	1	0	6	0	4	0	0	2	0	6	3	1	0	2	7	5	4	2	0	1	2	0	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	3	0	1	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
0.03	south28_all	80	5440	1735	1589	843	638	520	822	360	521	254	212	466	204	529	220	133	127	109	109	78	79	75	92	69	45	43	137	51	34	64	28	53	32	44	30	20	29	19	20	12	28	13	14	15	5	10	15	13	16	9	7	24	9	14	10	18	4	6	6	10	2	6	5	5	17	2	3	1	9	7	3	2	1	7	1	5	3	1	1	1	0	1	2	0	3	3	5	6	1	0	1	2	0	0	2	0	0	2	0	1	0	0	0	2	0	0	0	1	2	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	south28_active	80	3771	517	1094	190	231	158	676	178	365	77	54	391	105	477	150	28	71	26	47	13	43	36	65	28	13	9	126	18	5	48	6	39	17	31	16	4	9	3	6	4	17	4	7	5	2	1	8	4	13	6	4	23	6	4	6	17	2	2	3	8	0	5	2	3	15	2	0	1	9	6	1	0	0	6	0	4	0	1	1	0	0	1	1	0	2	3	5	6	1	0	1	1	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south29_all	80	5134	1757	1499	860	627	520	804	370	461	251	212	421	209	450	195	123	125	108	100	79	81	80	95	71	34	46	127	39	32	67	33	52	31	50	25	17	35	19	24	12	29	17	16	11	8	12	17	12	19	9	9	33	7	11	8	14	4	5	8	8	4	4	4	5	18	0	3	1	10	7	3	2	2	8	0	3	3	1	2	0	0	1	1	0	1	1	4	6	1	1	5	3	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south29_active	80	3431	493	1005	188	204	156	634	162	321	75	50	343	106	395	128	28	69	23	43	11	42	44	65	28	12	10	114	14	5	48	6	32	18	37	13	4	12	5	7	5	18	6	7	5	3	3	10	5	16	5	5	31	4	3	4	12	3	2	3	7	1	3	1	4	16	0	0	1	10	6	1	0	0	7	0	3	1	1	1	0	0	1	0	0	0	0	4	5	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south30_all	80	5362	1790	1568	843	640	519	871	362	498	261	225	467	194	387	189	112	136	111	96	76	94	88	104	84	39	51	156	36	28	80	35	48	22	50	20	21	30	15	20	12	32	20	15	8	10	9	18	11	14	9	12	15	11	8	5	6	7	6	8	5	2	7	3	5	5	0	2	1	12	6	5	2	2	9	0	3	4	1	2	0	4	3	2	2	1	2	3	3	0	1	5	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south30_active	80	3647	537	1050	176	218	171	729	160	351	78	59	386	101	337	134	29	73	29	39	15	53	56	81	38	15	12	141	13	5	64	6	31	12	45	9	6	11	3	7	3	24	10	6	2	4	3	9	4	10	4	8	13	9	3	4	4	4	3	3	4	1	5	0	3	4	0	0	1	12	5	3	0	0	7	0	3	3	1	1	0	3	3	1	2	0	1	3	2	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south31_all	80	6000	1769	1880	842	614	494	1182	360	464	245	208	588	189	643	244	110	160	92	115	77	75	79	111	71	67	61	195	31	41	108	39	47	33	77	31	25	20	12	11	19	14	9	12	14	12	8	13	7	11	3	13	45	5	6	9	16	2	6	3	3	5	8	3	3	20	3	4	1	8	8	3	3	2	1	0	0	2	1	1	3	2	4	2	2	3	0	0	10	3	0	6	1	1	0	0	0	2	0	0	0	0	0	1	8	3	1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	3	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0.03	south31_active	80	4443	591	1341	174	247	192	1021	174	361	72	70	526	109	597	176	23	98	34	62	20	55	56	89	32	30	21	182	9	7	87	10	26	19	70	18	10	15	3	2	2	13	5	3	4	3	3	9	2	6	1	2	44	3	1	5	15	0	2	2	3	4	8	1	2	18	2	2	1	6	7	2	0	0	1	0	0	2	1	0	2	1	3	1	1	3	0	0	10	1	0	6	0	0	0	0	0	0	0	0	0	0	0	1	8	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
