label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159
0.03	south29_active	80	4110	1079	1676	774	304	402	256	306	184	128	403	326	152	74	296	65	150	68	100	68	103	36	107	92	64	62	20	21	60	29	55	51	8	18	39	24	14	21	13	23	25	14	7	6	6	9	17	12	3	6	4	19	3	4	0	9	3	13	2	12	7	2	2	13	3	4	3	2	1	6	1	2	0	1	1	0	1	2	0	1	0	0	7	1	0	0	1	1	2	0	0	0	0	1	4	1	0	0	1	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	6880	2120	2689	1346	667	732	503	500	357	267	586	506	253	174	432	143	279	144	141	123	177	84	182	128	104	100	64	45	70	44	109	80	23	42	76	37	29	35	23	35	32	35	10	18	10	13	24	15	5	11	7	27	5	10	8	11	1	24	4	20	9	6	5	20	3	6	3	2	3	3	3	1	3	4	3	4	2	2	1	4	3	5	7	1	0	0	2	1	1	0	3	2	2	2	4	1	2	0	1	1	0	2	0	0	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south30_active	80	4072	1045	1678	780	297	395	273	290	191	130	398	342	137	86	299	77	185	78	96	69	117	35	116	83	60	66	24	17	50	25	72	46	8	22	42	19	14	24	13	21	23	17	5	7	4	5	12	11	2	6	3	17	3	3	2	7	0	14	2	15	6	1	2	12	2	4	3	2	1	2	1	0	1	4	2	1	1	2	0	1	0	0	6	1	0	0	2	1	1	0	1	1	0	1	4	1	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	6893	2107	2740	1367	681	793	497	486	354	268	594	510	280	182	442	138	241	134	164	115	176	90	188	131	115	139	67	38	136	30	96	78	33	22	43	58	32	27	18	40	37	54	14	14	6	21	24	18	8	24	7	18	8	11	10	3	6	10	6	12	5	9	6	13	1	4	3	0	8	13	3	3	1	4	4	4	2	3	3	2	7	5	0	2	1	1	1	1	2	2	0	5	1	3	0	1	0	0	0	0	6	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south31_active	80	4132	1061	1718	767	321	492	265	247	188	126	346	347	153	85	290	71	155	67	87	61	92	37	126	94	70	105	33	25	97	19	60	50	14	14	28	19	16	15	8	30	23	29	9	6	4	9	10	9	2	13	2	18	3	7	6	1	4	6	1	8	2	4	2	11	0	2	1	0	6	12	1	1	0	3	4	0	2	1	1	1	3	2	0	1	0	1	0	0	2	1	0	4	1	0	0	0	0	0	0	0	6	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	6807	2079	2677	1343	693	778	504	495	362	306	583	528	255	180	419	136	260	148	142	116	172	92	200	131	144	130	68	40	145	37	56	91	28	30	40	58	32	24	19	23	31	45	10	15	12	21	18	18	10	18	11	12	15	7	11	5	7	18	8	12	6	6	6	8	1	2	7	1	8	14	4	3	0	6	4	5	1	4	3	2	8	4	10	1	2	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	8	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south32_active	80	4100	1041	1692	761	316	466	259	260	194	148	355	373	147	82	268	68	176	75	73	65	100	39	144	94	84	96	33	22	105	27	38	52	13	16	28	21	15	14	6	17	20	27	6	6	6	10	9	7	5	12	6	10	7	4	7	3	2	11	4	9	1	4	1	6	0	1	5	0	7	12	1	1	0	6	4	1	1	2	1	1	3	2	7	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	8	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	6785	2056	2706	1363	674	773	526	498	356	289	608	459	249	170	370	147	293	134	139	120	183	97	212	136	145	128	66	40	143	41	60	111	32	27	39	55	30	26	15	26	35	47	18	12	15	17	21	14	8	27	8	18	13	4	11	4	9	19	7	13	5	7	6	6	2	4	7	1	5	16	3	0	0	5	4	6	1	6	2	1	6	4	10	1	1	1	1	1	0	1	1	1	0	2	0	1	0	1	0	1	6	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south33_active	80	4046	1013	1755	778	283	440	278	270	194	130	378	313	146	74	223	68	195	69	81	69	109	44	149	98	79	93	31	19	92	30	39	68	15	14	21	30	15	16	6	20	23	24	11	6	6	12	14	6	6	16	6	11	7	1	5	2	2	14	4	8	0	5	2	4	1	3	6	0	4	12	1	0	0	5	4	2	0	3	0	0	3	2	7	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south34_all	80	6644	2107	2645	1422	670	765	519	466	337	283	594	471	245	172	406	149	281	146	135	119	201	89	186	105	135	122	62	38	124	46	51	110	26	31	51	55	29	31	16	23	41	39	16	12	20	14	23	7	14	23	9	22	10	2	8	8	9	20	9	12	5	4	6	4	1	5	9	2	2	7	3	1	1	5	2	5	2	4	3	1	5	2	12	1	1	1	1	2	0	1	1	2	0	3	1	1	0	2	0	1	2	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
