label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194
0.03	north6_all	80	3797	2809	1520	579	536	1262	662	539	792	344	309	166	223	157	206	89	129	157	115	97	129	137	79	63	85	78	95	47	59	81	34	60	28	66	51	33	46	15	29	19	26	45	29	38	31	26	34	56	14	9	11	10	33	22	11	11	12	7	6	12	26	6	16	10	2	4	8	24	12	35	5	7	9	7	4	3	5	4	8	0	2	3	4	7	4	3	3	1	3	5	2	9	0	4	1	11	1	7	1	16	1	1	0	3	0	3	2	0	2	1	1	0	2	0	5	2	1	5	1	0	5	1	0	0	0	1	3	0	1	0	0	1	1	1	7	1	0	0	0	1	0	0	0	0	0	2	0	1	5	0	3	0	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2097	1738	901	273	270	836	408	344	518	184	196	85	129	78	124	42	62	97	69	47	73	66	36	25	49	54	63	20	33	45	22	35	9	51	28	18	29	6	15	9	15	32	20	25	17	16	24	45	5	4	5	7	21	10	3	7	8	3	1	8	13	2	11	5	1	4	4	19	5	30	2	4	2	2	2	2	5	1	4	0	1	1	0	3	3	1	1	0	2	3	2	8	0	2	0	9	0	0	0	10	1	0	0	3	0	2	0	0	0	1	0	0	2	0	5	2	1	0	0	0	5	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	3687	2760	1522	607	542	1252	650	537	787	360	279	168	221	157	183	92	124	162	113	89	119	129	84	66	86	78	116	38	63	88	36	46	29	63	48	28	42	17	29	20	36	54	41	46	26	30	29	52	17	10	11	9	32	16	12	12	14	8	3	8	22	9	19	8	3	5	3	20	9	22	2	5	9	3	1	3	1	5	9	3	3	0	4	4	4	4	3	2	2	3	4	2	0	4	2	10	0	7	0	11	1	1	0	0	0	3	1	1	1	3	1	1	2	0	4	5	1	5	1	1	5	6	0	0	0	1	1	0	1	0	0	1	0	1	7	0	2	0	0	1	0	0	0	0	0	2	0	3	5	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1985	1705	911	286	266	816	394	356	504	197	178	88	129	85	110	44	70	104	54	44	68	56	41	33	51	49	74	17	34	53	21	26	10	48	25	15	26	9	18	12	22	40	27	25	13	22	18	43	8	4	4	5	19	8	4	5	10	4	0	5	11	2	16	4	1	5	1	14	2	19	1	4	3	0	1	2	1	2	5	1	1	0	1	0	2	0	1	1	1	2	4	2	0	2	0	7	0	0	0	10	1	0	0	0	0	2	0	1	0	2	0	0	2	0	4	4	1	0	0	0	5	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	3727	2654	1540	646	568	1266	664	544	772	359	276	185	206	157	179	100	147	183	113	92	116	103	90	66	73	76	103	44	53	84	33	47	26	61	45	34	46	21	24	24	38	53	37	40	30	30	28	43	13	13	9	8	35	13	10	12	13	6	6	6	28	8	19	11	3	6	3	24	10	22	6	3	6	2	1	4	1	11	8	3	2	0	3	8	6	4	3	1	1	2	5	0	1	3	2	4	1	4	0	7	1	2	10	1	0	1	1	1	1	3	1	1	0	0	0	6	1	0	0	1	5	6	0	0	1	0	1	0	1	0	0	0	0	1	7	0	3	0	0	0	0	0	0	0	0	2	0	3	3	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2049	1663	924	332	285	846	386	358	504	201	165	97	112	82	104	43	88	124	62	41	61	45	46	31	43	43	71	22	24	46	19	26	11	37	22	23	32	12	15	13	22	39	24	20	16	22	16	35	8	6	3	5	19	4	2	6	9	2	2	3	16	2	11	6	0	5	2	18	3	19	5	3	4	0	1	3	0	9	5	1	0	0	2	4	2	1	1	1	0	1	3	0	0	2	0	1	0	3	0	6	1	0	9	1	0	0	0	1	0	2	0	0	0	0	0	5	1	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	3689	2741	1477	646	572	1202	673	567	812	354	285	199	204	159	211	107	157	180	130	100	100	89	94	60	73	90	114	36	51	94	33	39	27	52	38	31	47	29	22	26	51	54	38	49	28	36	27	30	15	14	6	9	37	12	13	11	13	6	7	7	19	7	15	12	2	5	2	15	8	16	5	5	4	6	1	4	2	9	6	3	2	0	3	8	6	4	2	4	0	1	4	1	3	1	2	4	1	5	0	3	0	3	10	1	0	1	0	1	1	3	0	1	0	0	0	5	2	0	0	1	2	6	0	1	1	1	1	0	1	0	0	0	0	0	6	1	3	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2029	1727	867	331	295	829	379	369	545	208	173	99	106	85	123	49	103	118	67	45	52	40	48	26	42	50	74	21	28	52	21	23	13	28	17	21	30	16	14	13	36	37	22	30	18	29	11	14	11	6	2	6	24	2	6	4	8	3	4	4	13	2	9	7	0	3	2	13	7	12	5	2	3	2	1	3	0	8	3	1	0	0	2	7	2	1	2	2	0	1	2	0	1	1	1	1	0	3	0	3	0	1	9	1	0	1	0	1	1	1	0	0	0	0	0	4	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	3785	2751	1470	658	600	1135	687	549	815	324	316	196	192	156	205	111	154	191	134	118	102	83	92	57	87	89	120	44	50	91	32	36	24	62	42	37	52	29	21	22	53	44	30	49	29	29	24	37	12	17	8	8	43	14	10	16	16	12	8	10	28	10	15	14	5	2	5	16	18	15	9	7	3	7	2	3	4	10	3	4	0	1	5	9	7	2	1	3	2	3	3	1	5	1	1	1	1	5	1	2	0	3	11	2	2	1	0	0	1	3	1	1	1	0	1	1	2	0	0	0	2	6	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2080	1728	851	345	290	783	407	345	563	187	196	100	100	83	126	54	95	129	77	63	60	45	50	24	51	48	84	18	24	52	19	19	13	39	21	27	32	14	12	11	38	32	19	35	17	18	9	10	8	9	5	4	28	5	6	8	9	7	4	7	22	4	7	9	2	0	3	12	10	13	8	2	2	3	1	1	0	8	3	2	0	0	3	7	4	2	1	1	0	2	1	0	1	1	1	1	0	3	0	2	0	2	9	1	1	1	0	0	1	1	1	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	3757	2832	1444	614	569	1183	624	541	791	354	277	184	195	161	185	111	128	171	94	106	106	103	71	44	79	79	88	35	47	91	37	57	22	89	47	34	30	26	24	18	33	32	21	39	27	23	23	59	12	19	16	7	26	15	10	5	10	13	10	5	17	6	12	8	5	8	2	12	5	15	11	3	7	7	5	4	5	2	3	2	4	3	0	5	9	7	1	3	0	8	4	2	1	0	4	9	0	15	3	0	1	1	1	2	4	2	3	0	1	0	1	0	1	0	0	3	0	1	1	1	2	0	1	0	0	0	1	1	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_active	80	2048	1756	836	298	279	817	374	327	552	222	161	90	100	86	103	42	73	121	40	55	62	69	35	14	54	57	60	14	27	67	16	33	10	65	27	18	16	12	8	8	20	17	16	30	12	15	10	53	7	11	9	3	20	10	7	3	7	4	2	4	9	2	8	5	4	2	1	4	2	9	8	0	5	4	2	4	2	0	1	2	2	1	0	1	4	4	1	2	0	8	1	0	0	0	3	6	0	11	0	0	1	1	0	2	3	1	2	0	1	0	1	0	1	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north12_all	80	3844	2855	1420	636	578	1149	633	535	791	345	297	183	198	154	190	107	120	176	100	104	108	108	73	56	80	83	83	40	53	87	45	67	26	73	48	32	32	23	23	11	31	39	23	42	22	19	26	66	15	12	20	7	25	17	11	8	6	12	12	8	23	8	11	19	5	10	2	7	5	21	11	2	7	5	10	2	5	6	2	2	7	5	3	3	10	7	1	2	0	8	5	2	1	2	2	11	1	17	2	1	1	1	0	2	3	3	2	0	1	1	1	0	1	0	0	2	0	0	1	3	2	4	0	0	0	0	1	1	0	0	0	0	1	0	3	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	2087	1748	827	304	292	802	351	323	557	218	170	88	97	77	105	45	66	122	44	52	68	68	34	26	51	57	51	20	33	59	18	36	14	57	28	16	22	9	9	5	17	21	15	30	9	13	15	57	12	6	10	4	19	11	6	5	5	4	2	4	8	3	8	17	3	7	1	5	2	16	7	1	5	4	5	2	3	4	1	2	1	2	2	0	6	4	1	2	0	8	2	0	0	1	2	9	1	10	0	1	1	1	0	2	3	2	1	0	1	1	1	0	0	0	0	1	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	3808	2794	1376	676	592	1087	601	523	802	319	303	196	190	154	186	120	123	187	94	96	119	104	79	57	69	86	77	43	57	69	45	72	23	69	53	37	42	24	23	20	37	37	19	48	30	26	34	52	22	9	21	9	21	17	13	10	4	12	11	9	19	7	11	22	4	9	4	25	7	28	11	2	2	5	8	2	3	5	2	2	6	6	3	1	7	7	1	2	2	11	2	1	4	3	1	13	1	10	1	1	1	2	1	2	3	3	3	0	1	1	1	0	1	0	0	0	0	0	1	3	0	4	1	2	0	1	1	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	2099	1694	791	335	298	747	347	326	563	199	179	100	101	82	96	51	67	126	40	41	84	62	37	25	42	61	44	19	38	49	17	42	12	49	31	19	28	11	11	11	19	16	10	34	12	20	22	41	15	4	11	6	14	12	7	5	2	4	3	4	7	3	7	21	2	7	1	23	3	21	8	1	1	4	5	1	1	4	1	2	0	2	2	0	4	4	0	2	0	10	1	0	1	2	1	11	1	2	0	1	1	1	0	2	3	2	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	3754	2652	1488	666	596	1115	627	509	750	298	306	180	207	155	186	106	133	166	99	105	115	96	74	55	69	97	78	46	48	81	48	70	30	87	42	30	46	29	22	19	41	46	26	42	30	30	38	54	21	8	22	10	23	19	11	14	8	14	10	8	20	7	13	24	4	6	5	26	11	30	8	5	1	5	9	3	1	5	5	1	5	6	5	3	7	3	1	3	2	11	2	2	3	3	1	14	2	11	1	1	1	1	1	0	1	5	1	0	0	1	1	1	1	0	0	1	1	0	0	3	0	4	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	2071	1591	871	329	305	737	374	309	514	175	171	90	118	84	115	45	68	109	41	49	78	54	35	29	40	65	46	20	29	52	20	37	16	56	25	18	27	16	11	11	23	20	11	25	17	19	33	35	13	4	13	7	14	11	4	9	4	8	4	4	10	4	9	21	1	5	2	24	4	26	6	4	0	5	6	2	1	4	3	1	1	2	3	3	5	1	0	2	0	10	1	1	1	2	1	12	1	3	0	1	1	0	0	0	1	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	3710	2644	1490	639	595	1196	664	559	777	305	301	176	210	167	179	111	132	178	92	108	117	88	83	54	67	78	84	45	38	83	52	48	26	100	39	33	49	29	23	20	36	37	23	46	32	36	35	46	18	7	23	9	33	14	9	15	17	13	8	5	23	4	11	12	5	1	8	23	12	19	6	7	1	8	9	3	1	7	5	0	3	3	4	5	8	3	2	4	5	4	2	1	3	2	0	5	1	3	0	2	2	1	1	0	1	3	1	0	0	0	0	1	1	0	0	1	3	0	0	0	0	0	1	3	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
