label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90
0.03	north6_all	80	18807	3355	2374	1853	1219	814	592	557	786	703	264	339	249	181	170	146	298	95	182	93	89	85	53	40	39	57	68	39	24	57	20	23	27	21	16	10	17	8	12	9	12	3	7	15	4	12	4	10	2	2	1	4	2	2	1	7	0	0	2	4	0	2	0	0	0	1	1	3	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	12361	1573	1239	1025	631	378	274	272	484	431	104	209	139	82	83	56	198	43	100	55	42	44	24	19	20	37	42	25	14	30	11	17	16	15	7	3	12	4	9	4	8	1	4	11	3	7	1	6	1	1	0	1	1	0	0	5	0	0	1	4	0	1	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	18678	3340	2387	1808	1148	804	575	530	765	710	283	348	258	187	166	163	296	107	191	90	95	90	57	45	39	62	61	33	28	56	27	30	32	22	18	9	17	4	7	13	11	7	6	16	3	11	2	9	2	5	1	3	2	3	2	5	0	0	2	1	0	2	0	3	1	1	2	3	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north7_active	80	12265	1543	1224	1002	589	373	264	268	489	453	127	210	151	80	72	66	207	49	116	59	43	45	25	23	15	37	38	23	14	29	14	17	20	16	13	2	10	3	3	6	7	4	4	12	2	6	1	8	1	3	0	1	1	2	0	3	0	0	1	1	0	2	0	3	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_all	80	18603	3310	2367	1840	1105	814	590	516	762	702	289	341	254	190	187	161	284	109	200	102	82	86	52	34	42	50	71	36	30	56	30	26	29	21	16	12	15	4	10	14	16	7	7	12	5	12	3	8	1	5	2	3	3	3	1	7	1	0	1	3	1	2	0	3	2	1	2	3	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	north8_active	80	12242	1527	1210	1017	539	371	278	252	460	454	126	201	143	79	78	70	206	51	118	57	37	41	21	18	17	32	47	24	14	35	13	15	20	15	12	3	7	3	6	7	11	5	4	7	3	6	1	7	1	3	2	1	2	2	0	4	0	0	0	3	1	2	0	3	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north9_all	80	18409	3321	2390	1800	1084	814	620	463	777	658	299	359	240	186	187	149	251	108	191	97	75	74	57	38	44	56	81	38	20	49	33	31	28	12	21	10	8	4	13	14	18	9	7	10	2	15	2	7	0	5	4	3	2	6	1	3	1	0	0	6	3	1	1	5	2	0	3	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north9_active	80	12087	1578	1236	947	518	378	277	231	457	412	137	213	133	79	86	68	181	54	124	54	39	34	27	18	16	35	49	25	11	34	17	18	16	9	14	3	4	3	6	11	13	6	4	4	1	7	1	6	0	3	4	0	2	4	0	1	0	0	0	6	1	1	1	5	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north10_all	80	18429	3377	2447	1795	1070	784	633	475	780	672	262	339	245	185	170	127	229	100	181	102	75	73	53	32	37	49	67	44	21	58	25	26	30	13	23	14	7	8	13	9	25	7	9	9	2	14	3	7	1	3	6	2	1	3	2	2	1	0	0	7	3	1	1	5	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north10_active	80	12147	1579	1289	908	498	377	267	248	449	419	108	200	136	85	83	60	154	56	110	57	40	34	27	12	16	26	37	27	8	43	15	16	17	10	12	5	2	6	5	7	19	4	5	2	1	11	1	6	1	3	5	0	1	2	1	1	0	0	0	6	1	1	1	5	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
